sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
,,,Standard,0,20ul,0,540,60,1/17/2023,LH,7-A
0,a,tech,BC,,20ul,0.91,540,60,1/17/2023,LH,7-A
,,,Standard,0.0625,20ul,0.05,540,60,1/17/2023,LH,7-A
,,,Standard,0.125,20ul,0.12,540,60,1/17/2023,LH,7-A
,,,Standard,0.25,20ul,0.23,540,60,1/17/2023,LH,7-A
,,,Standard,0.5,20ul,0.46,540,60,1/17/2023,LH,7-A
,,,Standard,1,20ul,1.04,540,60,1/17/2023,LH,7-A
575,,,Sample,,20ul,0.611,540,60,1/17/2023,LH,7-A
582,,,Sample,,20ul,0.456,540,60,1/17/2023,LH,7-A
830,a,bio,Sample,,20ul,0.474,540,60,1/17/2023,LH,7-A
830,b,bio,Sample,,20ul,0.461,540,60,1/17/2023,LH,7-A
684,a,bio,Sample,,20ul,0.263,540,60,1/17/2023,LH,7-A
684,b,bio,Sample,,20ul,0.313,540,60,1/17/2023,LH,7-A
684,c,bio,Sample,,20ul,0.252,540,60,1/17/2023,LH,7-A
778,,,Sample,,20ul,0.378,540,60,1/17/2023,LH,7-A
670,a,bio,Sample,,20ul,0.253,540,60,1/17/2023,LH,7-A
670,b,bio,Sample,,20ul,0.17,540,60,1/17/2023,LH,7-A
787,a,bio,Sample,,20ul,0.091,540,60,1/17/2023,LH,7-A
787,b,bio,Sample,,20ul,0.144,540,60,1/17/2023,LH,7-A
669,a,bio,Sample,,20ul,0.522,540,60,1/17/2023,LH,7-A
669,b,bio,Sample,,20ul,0.503,540,60,1/17/2023,LH,7-A
806,a,bio,Sample,,20ul,0.487,540,60,1/17/2023,LH,7-A
806,b,bio,Sample,,20ul,0.496,540,60,1/17/2023,LH,7-A
575,,,Sample,,20ul,0.475,540,60,1/17/2023,LH,7-A
782,,,Sample,,20ul,0.46,540,60,1/17/2023,LH,7-A
907,a,bio,Sample,,20ul,0.436,540,60,1/17/2023,LH,7-A
907,b,bio,Sample,,20ul,0.253,540,60,1/17/2023,LH,7-A
904,a,bio,Sample,,20ul,0.253,540,60,1/17/2023,LH,7-A
904,b,bio,Sample,,20ul,0.23,540,60,1/17/2023,LH,7-A
576,,,Sample,,20ul,0.257,540,60,1/17/2023,LH,7-A
778,,,Sample,,20ul,0.266,540,60,1/17/2023,LH,7-A
856,a,bio,Sample,,20ul,0.381,540,60,1/17/2023,LH,7-A
856,b,bio,Sample,,20ul,0.295,540,60,1/17/2023,LH,7-A
912,a,bio,Sample,,20ul,0.361,540,60,1/17/2023,LH,7-A
912,b,bio,Sample,,20ul,0.332,540,60,1/17/2023,LH,7-A
710,a,bio,Sample,,20ul,0.336,540,60,1/17/2023,LH,7-A
710,b,bio,Sample,,20ul,0.342,540,60,1/17/2023,LH,7-A
851,a,bio,Sample,,20ul,0.391,540,60,1/17/2023,LH,7-A
851,b,bio,Sample,,20ul,0.543,540,60,1/17/2023,LH,7-A
911,a,bio,Sample,,20ul,0.401,540,60,1/17/2023,LH,7-A
911,b,bio,Sample,,20ul,0.488,540,60,1/17/2023,LH,7-A
579,,,Sample,,20ul,0.605,540,60,1/17/2023,LH,7-A
888,a,bio,Sample,,20ul,0.612,540,60,1/17/2023,LH,7-A
856,c,bio,Sample,,20ul,0.265,540,60,1/17/2023,LH,7-A
912,c,bio,Sample,,20ul,0.309,540,60,1/17/2023,LH,7-A
842,a,bio,Sample,,20ul,0.266,540,60,1/17/2023,LH,7-A
842,b,bio,Sample,,20ul,0.192,540,60,1/17/2023,LH,7-A
842,c,bio,Sample,,20ul,0.265,540,60,1/17/2023,LH,7-A
733,,,Sample,,20ul,0.25,540,60,1/17/2023,LH,7-A
733,a,bio,Sample,,20ul,0.166,540,60,1/17/2023,LH,7-A
733,b,bio,Sample,,20ul,0.183,540,60,1/17/2023,LH,7-A
579,a,bio,Sample,,20ul,0.637,540,60,1/17/2023,LH,7-A
579,b,bio,Sample,,20ul,0.59,540,60,1/17/2023,LH,7-A
888,b,bio,Sample,,20ul,0.549,540,60,1/17/2023,LH,7-A
888,c,bio,Sample,,20ul,0.655,540,60,1/17/2023,LH,7-A
540,a,bio,Sample,,20ul,0.395,540,60,1/17/2023,LH,7-A
540,b,bio,Sample,,20ul,0.409,540,60,1/17/2023,LH,7-A
712,a,bio,Sample,,20ul,0.293,540,60,1/17/2023,LH,7-A
712,b,bio,Sample,,20ul,0.393,540,60,1/17/2023,LH,7-A
550,a,bio,Sample,,20ul,0.231,540,60,1/17/2023,LH,7-A
550,b,bio,Sample,,20ul,0.213,540,60,1/17/2023,LH,7-A
675,a,bio,Sample,,20ul,0.216,540,60,1/17/2023,LH,7-A
675,b,bio,Sample,,20ul,0.25,540,60,1/17/2023,LH,7-A
550,c,bio,Sample,,20ul,0.247,540,60,1/17/2023,LH,7-A
675,c,bio,Sample,,20ul,0.161,540,60,1/17/2023,LH,7-A
676,a,bio,Sample,,20ul,0.226,540,60,1/17/2023,LH,7-A
676,b,bio,Sample,,20ul,0.291,540,60,1/17/2023,LH,7-A
751,a,bio,Sample,,20ul,0.625,540,60,1/17/2023,LH,7-A
751,b,bio,Sample,,20ul,0.578,540,60,1/17/2023,LH,7-A
848,a,bio,Sample,,20ul,0.351,540,60,1/17/2023,LH,7-A
848,b,bio,Sample,,20ul,0.429,540,60,1/17/2023,LH,7-A
612,a,bio,Sample,,20ul,0.687,540,60,1/17/2023,LH,7-A
612,b,bio,Sample,,20ul,0.533,540,60,1/17/2023,LH,7-A
665,a,bio,Sample,,20ul,0.405,540,60,1/17/2023,LH,7-A
665,b,bio,Sample,,20ul,0.353,540,60,1/17/2023,LH,7-A
411,a,bio,Sample,,20ul,0.394,540,60,1/17/2023,LH,7-A
411,b,bio,Sample,,20ul,0.25,540,60,1/17/2023,LH,7-A
615,a,bio,Sample,,20ul,0.261,540,60,1/17/2023,LH,7-A
615,b,bio,Sample,,20ul,0.453,540,60,1/17/2023,LH,7-A
462,sampleplate,bio,Sample,,20ul,0.461,540,60,1/17/2023,LH,7-A
462,sampleplate,bio,Sample,,20ul,0.389,540,60,1/17/2023,LH,7-A
724,sampleplate,bio,Sample,,20ul,0.232,540,60,1/17/2023,LH,7-A
724,sampleplate,bio,Sample,,20ul,0.13,540,60,1/17/2023,LH,7-A
840,sampleplate,bio,Sample,,20ul,0.396,540,60,1/17/2023,LH,7-A
840,sampleplate,bio,Sample,,20ul,0.219,540,60,1/17/2023,LH,7-A
879,sampleplate,bio,Sample,,20ul,0.365,540,60,1/17/2023,LH,7-A
879,sampleplate,bio,Sample,,20ul,0.44,540,60,1/17/2023,LH,7-A
