sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
440,a,bio,Sample,,20ul,0.774,540,60,1/17/2023,LH,7-B
835,a,bio,Sample,,20ul,0.576,540,60,1/17/2023,LH,7-B
855,a,bio,Sample,,20ul,0.176,540,60,1/17/2023,LH,7-B
424,a,bio,Sample,,20ul,0.294,540,60,1/17/2023,LH,7-B
534,a,bio,Sample,,20ul,0.461,540,60,1/17/2023,LH,7-B
554,a,bio,Sample,,20ul,0.169,540,60,1/17/2023,LH,7-B
594,a,bio,Sample,,20ul,0.61,540,60,1/17/2023,LH,7-B
630,b,bio,Sample,,20ul,0.507,540,60,1/17/2023,LH,7-B
794,c,bio,Sample,,20ul,0.243,540,60,1/17/2023,LH,7-B
795,a,bio,Sample,,20ul,0.321,540,60,1/17/2023,LH,7-B
,,,Standard,0,20ul,0,540,60,1/17/2023,LH,7-B
0,a,tech,BC,,20ul,0.857,540,60,1/17/2023,LH,7-B
440,b,bio,Sample,,20ul,0.741,540,60,1/17/2023,LH,7-B
835,b,bio,Sample,,20ul,0.68,540,60,1/17/2023,LH,7-B
855,b,bio,Sample,,20ul,0.237,540,60,1/17/2023,LH,7-B
424,b,bio,Sample,,20ul,0.275,540,60,1/17/2023,LH,7-B
534,b,bio,Sample,,20ul,0.459,540,60,1/17/2023,LH,7-B
554,b,bio,Sample,,20ul,0.124,540,60,1/17/2023,LH,7-B
594,b,bio,Sample,,20ul,0.526,540,60,1/17/2023,LH,7-B
630,c,bio,Sample,,20ul,0.523,540,60,1/17/2023,LH,7-B
795,b,bio,Sample,,20ul,0.312,540,60,1/17/2023,LH,7-B
892,c,bio,Sample,,20ul,0.277,540,60,1/17/2023,LH,7-B
545,a,bio,Sample,,20ul,0.285,540,60,1/17/2023,LH,7-B
795,,,Sample,,20ul,0.263,540,60,1/17/2023,LH,7-B
818,a,bio,Sample,,20ul,0.315,540,60,1/17/2023,LH,7-B
867,sampleplate,bio,Sample,,20ul,0.195,540,60,1/17/2023,LH,7-B
935,a,bio,Sample,,20ul,0.332,540,60,1/17/2023,LH,7-B
427,a,bio,Sample,,20ul,0.35,540,60,1/17/2023,LH,7-B
536,a,bio,Sample,,20ul,0.504,540,60,1/17/2023,LH,7-B
706,b,bio,Sample,,20ul,0.527,540,60,1/17/2023,LH,7-B
761,a,bio,Sample,,20ul,0.167,540,60,1/17/2023,LH,7-B
