sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
483,a,bio,Sample,,20ul,0.689,540,60,1/17/2023,LH,7-C
709,a,bio,Sample,,20ul,0.494,540,60,1/17/2023,LH,7-C
724,sampleplate,bio,Sample,,20ul,0.19,540,60,1/17/2023,LH,7-C
419,a,bio,Sample,,20ul,0.661,540,60,1/17/2023,LH,7-C
499,a,bio,Sample,,20ul,0.687,540,60,1/17/2023,LH,7-C
509,a,bio,Sample,,20ul,0.469,540,60,1/17/2023,LH,7-C
556,a,bio,Sample,,20ul,0.635,540,60,1/17/2023,LH,7-C
664,a,bio,Sample,,20ul,0.484,540,60,1/17/2023,LH,7-C
686,c,bio,Sample,,20ul,0.293,540,60,1/17/2023,LH,7-C
799,a,bio,Sample,,20ul,0.211,540,60,1/17/2023,LH,7-C
,,,Standard,0,20ul,0,540,60,1/17/2023,LH,7-C
0,a,tech,BC,,20ul,0.854,540,60,1/17/2023,LH,7-C
483,b,bio,Sample,,20ul,0.364,540,60,1/17/2023,LH,7-C
709,b,bio,Sample,,20ul,0.479,540,60,1/17/2023,LH,7-C
867,sampleplate,bio,Sample,,20ul,0.191,540,60,1/17/2023,LH,7-C
419,b,bio,Sample,,20ul,0.76,540,60,1/17/2023,LH,7-C
499,b,bio,Sample,,20ul,0.257,540,60,1/17/2023,LH,7-C
509,b,bio,Sample,,20ul,0.359,540,60,1/17/2023,LH,7-C
556,b,bio,Sample,,20ul,0.569,540,60,1/17/2023,LH,7-C
664,b,bio,Sample,,20ul,0.664,540,60,1/17/2023,LH,7-C
799,b,bio,Sample,,20ul,0.194,540,60,1/17/2023,LH,7-C
864,c,bio,Sample,,20ul,0.34,540,60,1/17/2023,LH,7-C
462,sampleplate,bio,Sample,,20ul,0.559,540,60,1/17/2023,LH,7-C
494,a,bio,Sample,,20ul,0.384,540,60,1/17/2023,LH,7-C
516,a,bio,Sample,,20ul,0.65,540,60,1/17/2023,LH,7-C
487,a,bio,Sample,,20ul,0.869,540,60,1/17/2023,LH,7-C
502,a,bio,Sample,,20ul,0.583,540,60,1/17/2023,LH,7-C
519,a,bio,Sample,,20ul,0.462,540,60,1/17/2023,LH,7-C
633,c,bio,Sample,,20ul,0.378,540,60,1/17/2023,LH,7-C
694,a,bio,Sample,,20ul,0.839,540,60,1/17/2023,LH,7-C
747,a,bio,Sample,,20ul,0.562,540,60,1/17/2023,LH,7-C
863,a,bio,Sample,,20ul,0.235,540,60,1/17/2023,LH,7-C
,,,Standard,0.0625,20ul,0.05,540,60,1/17/2023,LH,7-C
494,b,bio,Sample,,20ul,0.256,540,60,1/17/2023,LH,7-C
516,b,bio,Sample,,20ul,0.556,540,60,1/17/2023,LH,7-C
918,,,Sample,,20ul,0.525,540,60,1/17/2023,LH,7-C
487,b,bio,Sample,,20ul,0.923,540,60,1/17/2023,LH,7-C
502,b,bio,Sample,,20ul,0.308,540,60,1/17/2023,LH,7-C
519,b,bio,Sample,,20ul,0.442,540,60,1/17/2023,LH,7-C
694,b,bio,Sample,,20ul,0.752,540,60,1/17/2023,LH,7-C
745,c,bio,Sample,,20ul,0.353,540,60,1/17/2023,LH,7-C
747,b,bio,Sample,,20ul,0.498,540,60,1/17/2023,LH,7-C
863,b,bio,Sample,,20ul,0.192,540,60,1/17/2023,LH,7-C
,,,Standard,0.125,20ul,0.109,540,60,1/17/2023,LH,7-C
505,a,bio,Sample,,20ul,0.398,540,60,1/17/2023,LH,7-C
522,a,bio,Sample,,20ul,0.419,540,60,1/17/2023,LH,7-C
875,a,bio,Sample,,20ul,0.485,540,60,1/17/2023,LH,7-C
920,sampleplate,bio,Sample,,20ul,0.771,540,60,1/17/2023,LH,7-C
421,a,bio,Sample,,20ul,0.414,540,60,1/17/2023,LH,7-C
458,a,bio,Sample,,20ul,0.206,540,60,1/17/2023,LH,7-C
507,a,bio,Sample,,20ul,0.73,540,60,1/17/2023,LH,7-C
569,a,bio,Sample,,20ul,0.277,540,60,1/17/2023,LH,7-C
633,a,bio,Sample,,20ul,0.341,540,60,1/17/2023,LH,7-C
686,a,bio,Sample,,20ul,0.33,540,60,1/17/2023,LH,7-C
,,,Standard,0.25,20ul,0.225,540,60,1/17/2023,LH,7-C
505,b,bio,Sample,,20ul,0.678,540,60,1/17/2023,LH,7-C
522,b,bio,Sample,,20ul,0.419,540,60,1/17/2023,LH,7-C
875,b,bio,Sample,,20ul,0.539,540,60,1/17/2023,LH,7-C
920,sampleplate,bio,Sample,,20ul,0.787,540,60,1/17/2023,LH,7-C
421,b,bio,Sample,,20ul,0.436,540,60,1/17/2023,LH,7-C
458,b,bio,Sample,,20ul,0.353,540,60,1/17/2023,LH,7-C
507,b,bio,Sample,,20ul,0.626,540,60,1/17/2023,LH,7-C
569,b,bio,Sample,,20ul,0.316,540,60,1/17/2023,LH,7-C
633,b,bio,Sample,,20ul,0.401,540,60,1/17/2023,LH,7-C
686,b,bio,Sample,,20ul,0.363,540,60,1/17/2023,LH,7-C
,,,Standard,0.5,20ul,0.473,540,60,1/17/2023,LH,7-C
497,a,bio,Sample,,20ul,0.916,540,60,1/17/2023,LH,7-C
705,a,bio,Sample,,20ul,0.698,540,60,1/17/2023,LH,7-C
879,sampleplate,bio,Sample,,20ul,0.409,540,60,1/17/2023,LH,7-C
480,a,bio,Sample,,20ul,0.475,540,60,1/17/2023,LH,7-C
491,a,bio,Sample,,20ul,0.417,540,60,1/17/2023,LH,7-C
513,a,bio,Sample,,20ul,0.681,540,60,1/17/2023,LH,7-C
698,a,bio,Sample,,20ul,0.567,540,60,1/17/2023,LH,7-C
745,a,bio,Sample,,20ul,0.302,540,60,1/17/2023,LH,7-C
799,c,bio,Sample,,20ul,0.193,540,60,1/17/2023,LH,7-C
864,a,bio,Sample,,20ul,0.348,540,60,1/17/2023,LH,7-C
,,,Standard,1,20ul,0.976,540,60,1/17/2023,LH,7-C
497,b,bio,Sample,,20ul,0.867,540,60,1/17/2023,LH,7-C
628,sampleplate,bio,Sample,,20ul,0.388,540,60,1/17/2023,LH,7-C
705,b,bio,Sample,,20ul,0.762,540,60,1/17/2023,LH,7-C
480,b,bio,Sample,,20ul,0.606,540,60,1/17/2023,LH,7-C
491,b,bio,Sample,,20ul,0.326,540,60,1/17/2023,LH,7-C
513,b,bio,Sample,,20ul,0.73,540,60,1/17/2023,LH,7-C
698,b,bio,Sample,,20ul,0.517,540,60,1/17/2023,LH,7-C
745,b,bio,Sample,,20ul,0.353,540,60,1/17/2023,LH,7-C
863,c,bio,Sample,,20ul,0.253,540,60,1/17/2023,LH,7-C
864,b,bio,Sample,,20ul,0.397,540,60,1/17/2023,LH,7-C
