sample,modifier,reptype,standard,conc,volume,absorbance,wavelength,incubationTime,assaydate,assayer,plate
,,,Standard,0,20ul,0,540,60,1/17/2023,LH,7-D
0,a,tech,BC,,20ul,0.864,540,60,1/17/2023,LH,7-D
,,,Standard,0.0625,20ul,0.057,540,60,1/17/2023,LH,7-D
,,,Standard,0.125,20ul,0.113,540,60,1/17/2023,LH,7-D
,,,Standard,0.25,20ul,0.239,540,60,1/17/2023,LH,7-D
,,,Standard,0.5,20ul,0.483,540,60,1/17/2023,LH,7-D
,,,Standard,1,20ul,1.045,540,60,1/17/2023,LH,7-D
759,a,bio,Sample,,20ul,0.761,540,60,1/17/2023,LH,7-D
759,b,bio,Sample,,20ul,0.715,540,60,1/17/2023,LH,7-D
808,a,bio,Sample,,20ul,0.681,540,60,1/17/2023,LH,7-D
808,b,bio,Sample,,20ul,0.763,540,60,1/17/2023,LH,7-D
682,a,bio,Sample,,20ul,0.235,540,60,1/17/2023,LH,7-D
682,b,bio,Sample,,20ul,0.257,540,60,1/17/2023,LH,7-D
897,a,bio,Sample,,20ul,0.225,540,60,1/17/2023,LH,7-D
897,b,bio,Sample,,20ul,0.338,540,60,1/17/2023,LH,7-D
897,,,Sample,,20ul,0.357,540,60,1/17/2023,LH,7-D
682,,,Sample,,20ul,0.232,540,60,1/17/2023,LH,7-D
872,a,bio,Sample,,20ul,0.236,540,60,1/17/2023,LH,7-D
872,b,bio,Sample,,20ul,0.251,540,60,1/17/2023,LH,7-D
915,a,bio,Sample,,20ul,0.432,540,60,1/17/2023,LH,7-D
915,b,bio,Sample,,20ul,0.259,540,60,1/17/2023,LH,7-D
759,c,bio,Sample,,20ul,0.688,540,60,1/17/2023,LH,7-D
808,c,bio,Sample,,20ul,0.736,540,60,1/17/2023,LH,7-D
574,a,bio,Sample,,20ul,0.715,540,60,1/17/2023,LH,7-D
574,b,bio,Sample,,20ul,0.597,540,60,1/17/2023,LH,7-D
915,c,bio,Sample,,20ul,0.434,540,60,1/17/2023,LH,7-D
915,d,bio,Sample,,20ul,0.382,540,60,1/17/2023,LH,7-D
872,c,bio,Sample,,20ul,0.3,540,60,1/17/2023,LH,7-D
872,d,bio,Sample,,20ul,0.22,540,60,1/17/2023,LH,7-D
742,a,bio,Sample,,20ul,0.415,540,60,1/17/2023,LH,7-D
742,b,bio,Sample,,20ul,0.339,540,60,1/17/2023,LH,7-D
568,a,bio,Sample,,20ul,0.33,540,60,1/17/2023,LH,7-D
568,b,bio,Sample,,20ul,0.301,540,60,1/17/2023,LH,7-D
565,a,bio,Sample,,20ul,0.264,540,60,1/17/2023,LH,7-D
565,b,bio,Sample,,20ul,0.375,540,60,1/17/2023,LH,7-D
560,a,bio,Sample,,20ul,0.673,540,60,1/17/2023,LH,7-D
560,b,bio,Sample,,20ul,0.609,540,60,1/17/2023,LH,7-D
562,a,bio,Sample,,20ul,0.717,540,60,1/17/2023,LH,7-D
562,b,bio,Sample,,20ul,0.402,540,60,1/17/2023,LH,7-D
589,a,bio,Sample,,20ul,0.694,540,60,1/17/2023,LH,7-D
589,b,bio,Sample,,20ul,0.619,540,60,1/17/2023,LH,7-D
589,c,bio,Sample,,20ul,0.567,540,60,1/17/2023,LH,7-D
589,d,bio,Sample,,20ul,0.671,540,60,1/17/2023,LH,7-D
