sample,sex,genotype,sampleID,plate
411,male,440,409,7-A
419,female,913,418,7-C
421,male,913,420,7-C
424,male,309,423,7-B
427,male,309,426,7-B
431,female,309,430,7-B
434,female,309,433,7-B
437,male,309,435,7-B
440,female,309,439,7-B
458,male,303,457,7-C
462,male,31,447,7-A
462,male,31,447,7-C
480,male,913,479,7-C
483,male,913,482,7-C
487,female,913,486,7-C
491,male,303,490,7-C
494,male,303,493,7-C
497,female,913,496,7-C
499,female,303,455,7-C
502,female,303,501,7-C
505,female,303,504,7-C
507,female,320,443,7-C
509,male,320,467,7-C
513,female,320,512,7-C
516,female,320,515,7-C
519,male,320,511,7-C
522,male,320,521,7-C
526,female,306,524,7-D
529,male,381,408,7-B
532,male,381,531,7-B
534,female,381,407,7-B
536,female,381,535,7-B
538,male,306,528,7-D
540,female,319,539,7-A
542,female,42,448,7-D
543,male,42,449,7-D
545,male,381,544,7-B
550,male,319,549,7-A
554,male,57,553,7-B
555,female,57,552,7-B
556,female,853,417,7-C
560,female,235,559,7-D
562,female,235,561,7-D
565,male,235,564,7-D
568,male,235,567,7-D
569,male,853,416,7-C
574,female,235,573,7-D
575,female,502,414,7-A
576,male,502,468,7-A
579,female,531,469,7-A
582,female,358,445,7-A
589,female,375,477,7-D
593,male,373,592,7-B
594,female,373,591,7-B
595,female,566,588,7-D
596,male,566,587,7-D
599,male,375,476,7-D
612,female,440,611,7-A
615,male,440,614,7-A
628,female,513,868,7-B
628,female,513,868,7-C
630,female,776,605,7-B
633,male,138,450,7-C
659,female,177,621,7-D
660,male,177,617,7-D
664,female,138,662,7-C
665,female,440,637,7-A
669,female,406,656,7-A
670,male,406,657,7-A
675,male,319,674,7-A
676,male,440,658,7-A
682,male,535,603,7-D
684,male,358,586,7-A
685,female,57,683,7-B
686,female,208,680,7-C
692,male,373,690,7-B
694,female,853,558,7-C
695,male,776,606,7-B
698,male,853,571,7-C
705,female,853,701,7-C
706,female,776,704,7-B
709,male,853,707,7-C
710,female,83,691,7-A
712,female,319,673,7-A
716,male,566,625,7-D
717,female,566,715,7-D
720,male,306,718,7-D
724,male,513,602,7-A
724,male,513,602,7-C
727,female,513,725,7-D
728,female,306,721,7-D
733,male,531,647,7-A
736,female,177,735,7-D
740,male,177,737,7-D
742,male,235,741,7-D
745,male,138,663,7-C
747,female,138,634,7-C
751,female,440,677,7-A
754,female,381,749,7-B
759,female,535,655,7-D
761,male,57,672,7-B
762,female,373,688,7-B
778,male,502,699,7-A
779,male,776,702,7-B
782,female,502,708,7-A
787,male,406,679,7-A
794,male,324,792,7-B
795,female,324,793,7-B
799,male,208,681,7-C
805,male,57,804,7-B
806,female,406,788,7-A
808,female,535,604,7-D
818,female,57,689,7-B
830,female,358,584,7-A
835,female,566,783,7-B
836,male,566,781,7-D
840,female,31,649,7-A
842,male,531,734,7-A
848,female,319,847,7-A
851,female,83,796,7-A
855,male,776,854,7-B
856,male,83,852,7-A
863,male,208,862,7-C
864,female,208,798,7-C
867,male,513,866,7-B
867,male,513,866,7-C
872,male,879,870,7-D
875,female,138,874,7-C
879,female,513,873,7-A
879,female,513,873,7-C
884,male,177,882,7-D
885,female,177,883,7-D
888,female,531,841,7-A
892,male,324,891,7-B
897,male,535,896,7-D
900,female,373,814,7-B
904,male,406,903,7-A
907,female,406,906,7-A
911,female,83,860,7-A
912,male,83,909,7-A
915,female,879,871,7-D
918,male,31,894,7-C
920,female,31,917,7-B
920,female,31,917,7-C
925,female,324,890,7-B
935,male,373,899,7-B
