"sex","genotype","absn5"
"male",440,0.394
"male",440,0.25
"female",913,0.76
"female",913,0.661
"male",913,0.436
"male",913,0.414
"male",309,0.275
"male",309,0.294
"male",309,0.35
"male",309,0.402
"female",309,0.554
"female",309,0.725
"female",309,0.733
"female",309,0.675
"male",309,0.377
"male",309,0.467
"female",309,0.774
"female",309,0.741
"male",303,0.206
"male",303,0.353
"male",31,0.461
"male",31,0.389
"male",31,0.559
"male",913,0.475
"male",913,0.606
"male",913,0.689
"male",913,0.364
"female",913,0.869
"female",913,0.923
"male",303,0.326
"male",303,0.417
"male",303,0.256
"male",303,0.384
"female",913,0.867
"female",913,0.916
"female",303,0.687
"female",303,0.257
"female",303,0.583
"female",303,0.308
"female",303,0.678
"female",303,0.398
"female",320,0.73
"female",320,0.626
"male",320,0.469
"male",320,0.359
"female",320,0.73
"female",320,0.681
"female",320,0.556
"female",320,0.65
"male",320,0.442
"male",320,0.462
"male",320,0.419
"male",320,0.419
"female",306,0.408
"female",306,0.542
"female",306,0.59
"male",381,0.333
"male",381,0.241
"male",381,0.284
"male",381,0.301
"female",381,0.461
"female",381,0.459
"female",381,0.501
"female",381,0.504
"male",306,0.424
"male",306,0.317
"male",306,0.34
"female",319,0.395
"female",319,0.409
"female",42,0.297
"female",42,0.316
"male",42,0.191
"male",42,0.167
"male",42,0.2
"male",381,0.22
"male",381,0.285
"male",319,0.231
"male",319,0.213
"male",319,0.247
"male",57,0.169
"male",57,0.124
"female",57,0.324
"female",57,0.267
"female",853,0.569
"female",853,0.635
"female",235,0.673
"female",235,0.609
"female",235,0.717
"female",235,0.402
"male",235,0.264
"male",235,0.375
"male",235,0.33
"male",235,0.301
"male",853,0.277
"male",853,0.316
"female",235,0.715
"female",235,0.597
"female",502,0.611
"female",502,0.475
"male",502,0.257
"female",531,0.605
"female",531,0.637
"female",531,0.59
"female",358,0.456
"female",375,0.694
"female",375,0.619
"female",375,0.567
"female",375,0.671
"male",373,0.219
"male",373,0.308
"female",373,0.526
"female",373,0.61
"female",566,0.754
"female",566,0.829
"male",566,0.4
"male",566,0.441
"male",375,0.403
"male",375,0.438
"male",375,0.426
"male",375,0.427
"female",440,0.687
"female",440,0.533
"male",440,0.261
"male",440,0.453
"female",513,0.377
"female",513,0.411
"female",513,0.388
"female",776,0.523
"female",776,0.507
"female",776,0.423
"male",138,0.378
"male",138,0.401
"male",138,0.341
"female",177,0.434
"female",177,0.429
"male",177,0.173
"male",177,0.174
"female",138,0.664
"female",138,0.484
"female",440,0.405
"female",440,0.353
"female",406,0.503
"female",406,0.522
"male",406,0.17
"male",406,0.253
"male",319,0.216
"male",319,0.25
"male",319,0.161
"male",440,0.226
"male",440,0.291
"male",535,0.235
"male",535,0.257
"male",535,0.232
"male",358,0.313
"male",358,0.252
"male",358,0.263
"female",57,0.323
"female",57,0.382
"female",208,0.293
"female",208,0.33
"female",208,0.363
"male",373,0.329
"male",373,0.349
"female",853,0.752
"female",853,0.839
"male",776,0.34
"male",776,0.363
"male",853,0.567
"male",853,0.517
"female",853,0.698
"female",853,0.762
"female",776,0.569
"female",776,0.527
"female",776,0.372
"male",853,0.494
"male",853,0.479
"female",83,0.336
"female",83,0.342
"female",319,0.293
"female",319,0.393
"male",566,0.379
"male",566,0.429
"female",566,0.74
"female",566,0.636
"male",306,0.398
"male",306,0.425
"male",306,0.388
"male",513,0.232
"male",513,0.13
"male",513,0.19
"female",513,0.354
"female",513,0.289
"female",306,0.246
"female",306,0.556
"female",306,0.631
"male",531,0.25
"male",531,0.166
"male",531,0.183
"female",177,0.536
"female",177,0.414
"male",177,0.231
"male",177,0.131
"male",235,0.415
"male",235,0.339
"male",138,0.353
"male",138,0.353
"male",138,0.302
"female",138,0.498
"female",138,0.562
"female",440,0.625
"female",440,0.578
"female",381,0.258
"female",381,0.485
"female",535,0.761
"female",535,0.715
"female",535,0.688
"male",57,0.167
"male",57,0.091
"female",373,0.515
"female",373,0.436
"male",502,0.378
"male",502,0.266
"male",776,0.351
"male",776,0.411
"female",502,0.46
"male",406,0.144
"male",406,0.091
"male",324,0.243
"male",324,0.226
"male",324,0.254
"female",324,0.312
"female",324,0.321
"female",324,0.263
"male",208,0.193
"male",208,0.194
"male",208,0.211
"male",57,0.17
"male",57,0.144
"female",406,0.487
"female",406,0.496
"female",535,0.763
"female",535,0.681
"female",535,0.736
"female",57,0.335
"female",57,0.315
"female",358,0.474
"female",358,0.461
"female",566,0.576
"female",566,0.68
"male",566,0.405
