"sex","genotype","tTAG_4_mu_ss","tTAG_4_sd_ss","tTAG_4_var_ss","tTAG_4_cv_ss","tTAG_4_se_ss","tTAG_4_n_ss","tTAG_4_mu_line","tTAG_4_sd_line","tTAG_4_var_line","tTAG_4_cv_line","tTAG_4_se_line","tTAG_4_n_line"
"female","31",0.52,0.2272,0.0516,43.69,0.0928,6,0.5054,0.1758,0.0309,34.78,0.0556,10
"female","42",0.3065,0.0134,2e-04,4.37,0.0095,2,0.2342,0.0674,0.0045,28.78,0.0301,5
"female","57",0.3243,0.0369,0.0014,11.38,0.0151,6,0.2343,0.0997,0.0099,42.55,0.0288,12
"female","83",0.4168,0.0825,0.0068,19.79,0.0337,6,0.3703,0.0793,0.0063,21.42,0.0229,12
"female","138",0.5387,0.069,0.0048,12.81,0.0282,6,0.4467,0.1091,0.0119,24.42,0.0315,12
"female","177",0.3775,0.1293,0.0167,34.25,0.0528,6,0.2738,0.1421,0.0202,51.9,0.041,12
"female","208",0.3452,0.0346,0.0012,10.02,0.0141,6,0.2791,0.0749,0.0056,26.84,0.0216,12
"female","235",0.6188,0.1178,0.0139,19.04,0.0481,6,0.4781,0.1709,0.0292,35.75,0.0493,12
"female","303",0.4852,0.189,0.0357,38.95,0.0772,6,0.4044,0.1619,0.0262,40.03,0.0467,12
"female","306",0.4955,0.1435,0.0206,28.96,0.0586,6,0.4388,0.1174,0.0138,26.75,0.0339,12
"female","309",0.7003,0.0785,0.0062,11.21,0.032,6,0.5306,0.1911,0.0365,36.02,0.0552,12
"female","319",0.3783,0.049,0.0024,12.95,0.02,6,0.299,0.0919,0.0084,30.74,0.0265,12
"female","320",0.6622,0.0668,0.0045,10.09,0.0273,6,0.5452,0.1329,0.0177,24.38,0.0384,12
"female","324",0.3283,0.0623,0.0039,18.98,0.0254,6,0.2898,0.0602,0.0036,20.77,0.0174,12
"female","358",0.4637,0.0093,1e-04,2.01,0.0054,3,0.3698,0.105,0.011,28.39,0.0429,6
"female","373",0.5377,0.0606,0.0037,11.27,0.0247,6,0.4235,0.1299,0.0169,30.67,0.0375,12
"female","375",0.6378,0.0566,0.0032,8.87,0.0283,4,0.5306,0.1208,0.0146,22.77,0.0427,8
"female","381",0.4447,0.0934,0.0087,21,0.0381,6,0.361,0.1112,0.0124,30.8,0.0321,12
"female","406",0.4495,0.1005,0.0101,22.36,0.041,6,0.3198,0.1579,0.0249,49.37,0.0456,12
"female","440",0.5302,0.1288,0.0166,24.29,0.0526,6,0.4213,0.1555,0.0242,36.91,0.0449,12
"female","502",0.5153,0.0832,0.0069,16.15,0.048,3,0.4078,0.1358,0.0185,33.3,0.0554,6
"female","513",0.3791,0.0457,0.0021,12.05,0.0162,8,0.2946,0.109,0.0119,37,0.0291,14
"female","531",0.608,0.0371,0.0014,6.1,0.0151,6,0.4142,0.2062,0.0425,49.78,0.0595,12
"female","535",0.724,0.0354,0.0013,4.89,0.0145,6,0.499,0.2395,0.0573,48,0.0691,12
"female","566",0.7025,0.0905,0.0082,12.88,0.0369,6,0.5699,0.166,0.0275,29.13,0.0501,11
"female","776",0.4868,0.0739,0.0055,15.18,0.0302,6,0.3999,0.1194,0.0143,29.86,0.0345,12
"female","853",0.7092,0.0967,0.0094,13.64,0.0395,6,0.5754,0.1732,0.03,30.1,0.05,12
"female","879",0.3768,0.0821,0.0067,21.79,0.0411,4,0.3142,0.0887,0.0079,28.23,0.0314,8
"female","913",0.8327,0.1023,0.0105,12.29,0.0418,6,0.665,0.2061,0.0425,30.99,0.0595,12
"male","31",0.4835,0.075,0.0056,15.51,0.0375,4,0.5054,0.1758,0.0309,34.78,0.0556,10
"male","42",0.186,0.0171,3e-04,9.19,0.0099,3,0.2342,0.0674,0.0045,28.78,0.0301,5
"male","57",0.1442,0.0317,0.001,21.98,0.0129,6,0.2343,0.0997,0.0099,42.55,0.0288,12
"male","83",0.3238,0.043,0.0018,13.28,0.0176,6,0.3703,0.0793,0.0063,21.42,0.0229,12
"male","138",0.3547,0.0336,0.0011,9.47,0.0137,6,0.4467,0.1091,0.0119,24.42,0.0315,12
"male","177",0.17,0.0431,0.0019,25.35,0.0176,6,0.2738,0.1421,0.0202,51.9,0.041,12
"male","208",0.213,0.0257,7e-04,12.07,0.0105,6,0.2791,0.0749,0.0056,26.84,0.0216,12
"male","235",0.3373,0.0533,0.0028,15.8,0.0218,6,0.4781,0.1709,0.0292,35.75,0.0493,12
"male","303",0.3237,0.0796,0.0063,24.59,0.0325,6,0.4044,0.1619,0.0262,40.03,0.0467,12
"male","306",0.382,0.0445,0.002,11.65,0.0182,6,0.4388,0.1174,0.0138,26.75,0.0339,12
"male","309",0.3608,0.071,0.005,19.68,0.029,6,0.5306,0.1911,0.0365,36.02,0.0552,12
"male","319",0.2197,0.0325,0.0011,14.79,0.0133,6,0.299,0.0919,0.0084,30.74,0.0265,12
