"genotype","tTAG_4_mu_line","tTAG_4_sd_line","tTAG_4_var_line","tTAG_4_cv_line","tTAG_4_se_line","tTAG_4_n_line","tTAG_4_mu_ss_female","tTAG_4_mu_ss_male","tTAG_4_sd_ss_female","tTAG_4_sd_ss_male","tTAG_4_var_ss_female","tTAG_4_var_ss_male","tTAG_4_cv_ss_female","tTAG_4_cv_ss_male","tTAG_4_se_ss_female","tTAG_4_se_ss_male","tTAG_4_n_ss_female","tTAG_4_n_ss_male","tTAG_4_pl_sd","tTAG_4_pl_se"
"31",0.5054,0.1758,0.0309,34.78,0.0556,10,0.52,0.4835,0.2272,0.075,0.0516,0.0056,43.69,15.51,0.0928,0.0375,6,4,0.1854,0.0586
"42",0.2342,0.0674,0.0045,28.78,0.0301,5,0.3065,0.186,0.0134,0.0171,2e-04,3e-04,4.37,9.19,0.0095,0.0099,2,3,0.0159,0.0071
"57",0.2343,0.0997,0.0099,42.55,0.0288,12,0.3243,0.1442,0.0369,0.0317,0.0014,0.001,11.38,21.98,0.0151,0.0129,6,6,0.0344,0.0099
"83",0.3703,0.0793,0.0063,21.42,0.0229,12,0.4168,0.3238,0.0825,0.043,0.0068,0.0018,19.79,13.28,0.0337,0.0176,6,6,0.0658,0.019
"138",0.4467,0.1091,0.0119,24.42,0.0315,12,0.5387,0.3547,0.069,0.0336,0.0048,0.0011,12.81,9.47,0.0282,0.0137,6,6,0.0543,0.0157
"177",0.2738,0.1421,0.0202,51.9,0.041,12,0.3775,0.17,0.1293,0.0431,0.0167,0.0019,34.25,25.35,0.0528,0.0176,6,6,0.0964,0.0278
"208",0.2791,0.0749,0.0056,26.84,0.0216,12,0.3452,0.213,0.0346,0.0257,0.0012,7e-04,10.02,12.07,0.0141,0.0105,6,6,0.0305,0.0088
"235",0.4781,0.1709,0.0292,35.75,0.0493,12,0.6188,0.3373,0.1178,0.0533,0.0139,0.0028,19.04,15.8,0.0481,0.0218,6,6,0.0914,0.0264
"303",0.4044,0.1619,0.0262,40.03,0.0467,12,0.4852,0.3237,0.189,0.0796,0.0357,0.0063,38.95,24.59,0.0772,0.0325,6,6,0.145,0.0419
"306",0.4388,0.1174,0.0138,26.75,0.0339,12,0.4955,0.382,0.1435,0.0445,0.0206,0.002,28.96,11.65,0.0586,0.0182,6,6,0.1063,0.0307
"309",0.5306,0.1911,0.0365,36.02,0.0552,12,0.7003,0.3608,0.0785,0.071,0.0062,0.005,11.21,19.68,0.032,0.029,6,6,0.0748,0.0216
"319",0.299,0.0919,0.0084,30.74,0.0265,12,0.3783,0.2197,0.049,0.0325,0.0024,0.0011,12.95,14.79,0.02,0.0133,6,6,0.0416,0.012
"320",0.5452,0.1329,0.0177,24.38,0.0384,12,0.6622,0.4283,0.0668,0.0399,0.0045,0.0016,10.09,9.32,0.0273,0.0163,6,6,0.055,0.0159
"324",0.2898,0.0602,0.0036,20.77,0.0174,12,0.3283,0.2512,0.0623,0.0227,0.0039,5e-04,18.98,9.04,0.0254,0.0093,6,6,0.0469,0.0135
"358",0.3698,0.105,0.011,28.39,0.0429,6,0.4637,0.276,0.0093,0.0325,1e-04,0.0011,2.01,11.78,0.0054,0.0188,3,3,0.0239,0.0098
"373",0.4235,0.1299,0.0169,30.67,0.0375,12,0.5377,0.3093,0.0606,0.0463,0.0037,0.0021,11.27,14.97,0.0247,0.0189,6,6,0.054,0.0156
"375",0.5306,0.1208,0.0146,22.77,0.0427,8,0.6378,0.4235,0.0566,0.0147,0.0032,2e-04,8.87,3.47,0.0283,0.0073,4,4,0.0414,0.0146
"381",0.361,0.1112,0.0124,30.8,0.0321,12,0.4447,0.2773,0.0934,0.0409,0.0087,0.0017,21,14.75,0.0381,0.0167,6,6,0.0721,0.0208
"406",0.3198,0.1579,0.0249,49.37,0.0456,12,0.4495,0.1902,0.1005,0.0661,0.0101,0.0044,22.36,34.75,0.041,0.027,6,6,0.0851,0.0246
"440",0.4213,0.1555,0.0242,36.91,0.0449,12,0.5302,0.3125,0.1288,0.0904,0.0166,0.0082,24.29,28.93,0.0526,0.0369,6,6,0.1113,0.0321
"502",0.4078,0.1358,0.0185,33.3,0.0554,6,0.5153,0.3003,0.0832,0.0674,0.0069,0.0045,16.15,22.44,0.048,0.0389,3,3,0.0757,0.0309
"513",0.2946,0.109,0.0119,37,0.0291,14,0.3791,0.1818,0.0457,0.0357,0.0021,0.0013,12.05,19.64,0.0162,0.0146,8,6,0.0418,0.0112
"531",0.4142,0.2062,0.0425,49.78,0.0595,12,0.608,0.2203,0.0371,0.045,0.0014,0.002,6.1,20.43,0.0151,0.0184,6,6,0.0412,0.0119
"535",0.499,0.2395,0.0573,48,0.0691,12,0.724,0.274,0.0354,0.0582,0.0013,0.0034,4.89,21.24,0.0145,0.0238,6,6,0.0482,0.0139
"566",0.5699,0.166,0.0275,29.13,0.0501,11,0.7025,0.4108,0.0905,0.0245,0.0082,6e-04,12.88,5.96,0.0369,0.011,6,5,0.0694,0.0209
"776",0.3999,0.1194,0.0143,29.86,0.0345,12,0.4868,0.313,0.0739,0.0881,0.0055,0.0078,15.18,28.15,0.0302,0.036,6,6,0.0813,0.0235
"853",0.5754,0.1732,0.03,30.1,0.05,12,0.7092,0.4417,0.0967,0.117,0.0094,0.0137,13.64,26.49,0.0395,0.0478,6,6,0.1073,0.031
"879",0.3142,0.0887,0.0079,28.23,0.0314,8,0.3768,0.2517,0.0821,0.0346,0.0067,0.0012,21.79,13.75,0.0411,0.0173,4,4,0.063,0.0223
"913",0.665,0.2061,0.0425,30.99,0.0595,12,0.8327,0.4973,0.1023,0.1245,0.0105,0.0155,12.29,25.04,0.0418,0.0508,6,6,0.114,0.0329
