"genotype","tTAG_4_mu_ss_female","tTAG_4_mu_ss_male","diff_TAG","log_div_TAG","mass_4_mu_ss_female","mass_4_mu_ss_male","diff_mass","log_div_mass"
"31",0.52,0.4835,0.0365,0.0728,3.93,NA,NA,NA
"42",0.3065,0.186,0.1205,0.4995,NA,NA,NA,NA
"57",0.3243,0.1442,0.1801,0.8105,3.17,2.38,0.79,0.29
"83",0.4168,0.3238,0.093,0.2525,3.35,2.59,0.76,0.26
"138",0.5387,0.3547,0.184,0.4179,3.78,2.87,0.91,0.28
"177",0.3775,0.17,0.2075,0.7978,3.66,2.5,1.16,0.38
"208",0.3452,0.213,0.1322,0.4828,NA,2.64,NA,NA
"235",0.6188,0.3373,0.2815,0.6068,4.19,3.11,1.08,0.3
"303",0.4852,0.3237,0.1615,0.4047,4.75,3.31,1.44,0.36
"306",0.4955,0.382,0.1135,0.2601,4.56,3.2,1.36,0.35
"309",0.7003,0.3608,0.3395,0.6632,4.55,3.21,1.34,0.35
"319",0.3783,0.2197,0.1586,0.5434,4.02,2.92,1.1,0.32
"320",0.6622,0.4283,0.2339,0.4357,4.54,2.98,1.56,0.42
"324",0.3283,0.2512,0.0771,0.2677,2.95,2.46,0.49,0.18
"358",0.4637,0.276,0.1877,0.5188,3.66,2.71,0.95,0.3
"373",0.5377,0.3093,0.2284,0.553,4.18,3.11,1.07,0.3
"375",0.6378,0.4235,0.2143,0.4095,NA,NA,NA,NA
"381",0.4447,0.2773,0.1674,0.4723,3.54,2.73,0.81,0.26
"406",0.4495,0.1902,0.2593,0.8601,4.37,3,1.37,0.38
"440",0.5302,0.3125,0.2177,0.5286,4.53,3.03,1.5,0.4
"502",0.5153,0.3003,0.215,0.54,3.86,2.74,1.12,0.34
"513",0.3791,0.1818,0.1973,0.7349,4.14,2.73,1.41,0.42
"531",0.608,0.2203,0.3877,1.0152,4.97,3.7,1.27,0.3
"535",0.724,0.274,0.45,0.9717,4.7,3.14,1.56,0.4
"566",0.7025,0.4108,0.2917,0.5365,3.73,2.62,1.11,0.35
"776",0.4868,0.313,0.1738,0.4417,3.82,2.63,1.19,0.37
"853",0.7092,0.4417,0.2675,0.4735,4.46,3.27,1.19,0.31
"879",0.3768,0.2517,0.1251,0.4035,3.68,2.83,0.85,0.26
"913",0.8327,0.4973,0.3354,0.5155,4.99,3.63,1.36,0.32
