"sex","genotype","mass_4_mu_ss","mass_4_sd_ss","mass_4_var_ss","mass_4_cv_ss","mass_4_se_ss","mass_4_n_ss","mass_4_mu_line","mass_4_sd_line","mass_4_var_line","mass_4_cv_line","mass_4_se_line","mass_4_n_line"
"female","31",3.93,0.06,0,1.53,0.04,2,3.93,0.06,0,1.53,0.04,2
"female","57",3.17,0.12,0.01,3.79,0.05,6,2.91,0.41,0.17,14.09,0.14,9
"female","83",3.35,0.15,0.02,4.48,0.06,7,3.07,0.41,0.16,13.36,0.12,11
"female","138",3.78,0.34,0.12,8.99,0.15,5,3.52,0.53,0.28,15.06,0.2,7
"female","177",3.66,0.22,0.05,6.01,0.08,7,3.18,0.63,0.39,19.81,0.18,12
"female","235",4.19,0.23,0.05,5.49,0.09,6,3.65,0.59,0.35,16.16,0.17,12
"female","303",4.75,0.45,0.2,9.47,0.14,10,4.11,0.81,0.66,19.71,0.19,18
"female","306",4.56,0.3,0.09,6.58,0.17,3,3.88,0.78,0.61,20.1,0.32,6
"female","309",4.55,0.16,0.03,3.52,0.06,8,3.88,0.71,0.5,18.3,0.18,16
"female","319",4.02,0.18,0.03,4.48,0.06,8,3.66,0.56,0.31,15.3,0.16,12
"female","320",4.54,0.28,0.08,6.17,0.1,8,3.82,0.85,0.72,22.25,0.22,15
"female","324",2.95,0.14,0.02,4.75,0.08,3,2.67,0.3,0.09,11.24,0.11,7
"female","358",3.66,0.33,0.11,9.02,0.16,4,3.47,0.51,0.26,14.7,0.23,5
"female","373",4.18,0.28,0.08,6.7,0.13,5,3.64,0.6,0.36,16.48,0.19,10
"female","381",3.54,0.18,0.03,5.08,0.09,4,3.09,0.45,0.2,14.56,0.15,9
"female","406",4.37,0.32,0.1,7.32,0.13,6,4.03,0.69,0.48,17.12,0.24,8
"female","440",4.53,0.37,0.14,8.17,0.17,5,3.61,0.8,0.64,22.16,0.22,13
"female","502",3.86,0.19,0.04,4.92,0.1,4,3.3,0.61,0.38,18.48,0.22,8
"female","513",4.14,0.21,0.05,5.07,0.09,5,3.44,0.77,0.59,22.38,0.24,10
"female","531",4.97,0.34,0.12,6.84,0.17,4,4.72,0.64,0.41,13.56,0.29,5
"female","535",4.7,0.33,0.11,7.02,0.19,3,4.31,0.83,0.68,19.26,0.42,4
"female","566",3.73,0.37,0.13,9.92,0.14,7,3.32,0.63,0.4,18.98,0.19,11
"female","776",3.82,NA,NA,NA,NA,1,2.93,0.65,0.43,22.18,0.32,4
"female","853",4.46,0.11,0.01,2.47,0.06,3,3.78,0.64,0.41,16.93,0.24,7
"female","879",3.68,NA,NA,NA,NA,1,3.26,0.6,0.36,18.4,0.42,2
"female","913",4.99,0.2,0.04,4.01,0.08,7,4.42,0.75,0.56,16.97,0.22,12
"male","57",2.38,0.03,0,1.26,0.02,3,2.91,0.41,0.17,14.09,0.14,9
"male","83",2.59,0.13,0.02,5.02,0.06,4,3.07,0.41,0.16,13.36,0.12,11
"male","138",2.87,0.21,0.04,7.32,0.15,2,3.52,0.53,0.28,15.06,0.2,7
"male","177",2.5,0.19,0.03,7.6,0.08,5,3.18,0.63,0.39,19.81,0.18,12
"male","208",2.64,0.19,0.04,7.2,0.1,4,2.64,0.19,0.04,7.2,0.1,4
"male","235",3.11,0.13,0.02,4.18,0.05,6,3.65,0.59,0.35,16.16,0.17,12
"male","303",3.31,0.1,0.01,3.02,0.04,8,4.11,0.81,0.66,19.71,0.19,18
"male","306",3.2,0.21,0.04,6.56,0.12,3,3.88,0.78,0.61,20.1,0.32,6
"male","309",3.21,0.15,0.02,4.67,0.05,8,3.88,0.71,0.5,18.3,0.18,16
"male","319",2.92,0.04,0,1.37,0.02,4,3.66,0.56,0.31,15.3,0.16,12
"male","320",2.98,0.29,0.08,9.73,0.11,7,3.82,0.85,0.72,22.25,0.22,15
"male","324",2.46,0.15,0.02,6.1,0.07,4,2.67,0.3,0.09,11.24,0.11,7
"male","358",2.71,NA,NA,NA,NA,1,3.47,0.51,0.26,14.7,0.23,5
"male","373",3.11,0.15,0.02,4.82,0.07,5,3.64,0.6,0.36,16.48,0.19,10
"male","381",2.73,0.13,0.02,4.76,0.06,5,3.09,0.45,0.2,14.56,0.15,9
"male","406",3,0.08,0.01,2.67,0.06,2,4.03,0.69,0.48,17.12,0.24,8
"male","440",3.03,0.17,0.03,5.61,0.06,8,3.61,0.8,0.64,22.16,0.22,13
"male","502",2.74,0.1,0.01,3.65,0.05,4,3.3,0.61,0.38,18.48,0.22,8
"male","513",2.73,0.2,0.04,7.33,0.09,5,3.44,0.77,0.59,22.38,0.24,10
"male","531",3.7,NA,NA,NA,NA,1,4.72,0.64,0.41,13.56,0.29,5
"male","535",3.14,NA,NA,NA,NA,1,4.31,0.83,0.68,19.26,0.42,4
"male","566",2.62,0.09,0.01,3.44,0.04,4,3.32,0.63,0.4,18.98,0.19,11
"male","776",2.63,0.33,0.11,12.55,0.19,3,2.93,0.65,0.43,22.18,0.32,4
"male","853",3.27,0.04,0,1.22,0.02,4,3.78,0.64,0.41,16.93,0.24,7
"male","879",2.83,NA,NA,NA,NA,1,3.26,0.6,0.36,18.4,0.42,2
"male","913",3.63,0.37,0.13,10.19,0.17,5,4.42,0.75,0.56,16.97,0.22,12
