"genotype","mass_4_mu_line","mass_4_sd_line","mass_4_var_line","mass_4_cv_line","mass_4_se_line","mass_4_n_line","mass_4_mu_ss_female","mass_4_mu_ss_male","mass_4_sd_ss_female","mass_4_sd_ss_male","mass_4_var_ss_female","mass_4_var_ss_male","mass_4_cv_ss_female","mass_4_cv_ss_male","mass_4_se_ss_female","mass_4_se_ss_male","mass_4_n_ss_female","mass_4_n_ss_male","mass_4_pl_sd","mass_4_pl_se"
"31",3.93,0.06,0,1.53,0.04,2,3.93,NA,0.06,NA,0,NA,1.53,NA,0.04,NA,2,NA,NA,NA
"57",2.91,0.41,0.17,14.09,0.14,9,3.17,2.38,0.12,0.03,0.01,0,3.79,1.26,0.05,0.02,6,3,0.1015,0.0338
"83",3.07,0.41,0.16,13.36,0.12,11,3.35,2.59,0.15,0.13,0.02,0.02,4.48,5.02,0.06,0.06,7,4,0.1474,0.0444
"138",3.52,0.53,0.28,15.06,0.2,7,3.78,2.87,0.34,0.21,0.12,0.04,8.99,7.32,0.15,0.15,5,2,0.3209,0.1213
"177",3.18,0.63,0.39,19.81,0.18,12,3.66,2.5,0.22,0.19,0.05,0.03,6.01,7.6,0.08,0.08,7,5,0.2078,0.06
"208",2.64,0.19,0.04,7.2,0.1,4,NA,2.64,NA,0.19,NA,0.04,NA,7.2,NA,0.1,NA,4,NA,NA
"235",3.65,0.59,0.35,16.16,0.17,12,4.19,3.11,0.23,0.13,0.05,0.02,5.49,4.18,0.09,0.05,6,6,0.1883,0.0544
"303",4.11,0.81,0.66,19.71,0.19,18,4.75,3.31,0.45,0.1,0.2,0.01,9.47,3.02,0.14,0.04,10,8,0.3415,0.0805
"306",3.88,0.78,0.61,20.1,0.32,6,4.56,3.2,0.3,0.21,0.09,0.04,6.58,6.56,0.17,0.12,3,3,0.2583,0.1055
"309",3.88,0.71,0.5,18.3,0.18,16,4.55,3.21,0.16,0.15,0.03,0.02,3.52,4.67,0.06,0.05,8,8,0.1544,0.0386
"319",3.66,0.56,0.31,15.3,0.16,12,4.02,2.92,0.18,0.04,0.03,0,4.48,1.37,0.06,0.02,8,4,0.1508,0.0435
"320",3.82,0.85,0.72,22.25,0.22,15,4.54,2.98,0.28,0.29,0.08,0.08,6.17,9.73,0.1,0.11,8,7,0.2827,0.073
"324",2.67,0.3,0.09,11.24,0.11,7,2.95,2.46,0.14,0.15,0.02,0.02,4.75,6.1,0.08,0.07,3,4,0.1468,0.0555
"358",3.47,0.51,0.26,14.7,0.23,5,3.66,2.71,0.33,NA,0.11,NA,9.02,NA,0.16,NA,4,1,NA,NA
"373",3.64,0.6,0.36,16.48,0.19,10,4.18,3.11,0.28,0.15,0.08,0.02,6.7,4.82,0.13,0.07,5,5,0.2235,0.0707
"381",3.09,0.45,0.2,14.56,0.15,9,3.54,2.73,0.18,0.13,0.03,0.02,5.08,4.76,0.09,0.06,4,5,0.1509,0.0503
"406",4.03,0.69,0.48,17.12,0.24,8,4.37,3,0.32,0.08,0.1,0.01,7.32,2.67,0.13,0.06,6,2,0.2924,0.1034
"440",3.61,0.8,0.64,22.16,0.22,13,4.53,3.03,0.37,0.17,0.14,0.03,8.17,5.61,0.17,0.06,5,8,0.2634,0.073
"502",3.3,0.61,0.38,18.48,0.22,8,3.86,2.74,0.19,0.1,0.04,0.01,4.92,3.65,0.1,0.05,4,4,0.1496,0.0529
"513",3.44,0.77,0.59,22.38,0.24,10,4.14,2.73,0.21,0.2,0.05,0.04,5.07,7.33,0.09,0.09,5,5,0.2064,0.0653
"531",4.72,0.64,0.41,13.56,0.29,5,4.97,3.7,0.34,NA,0.12,NA,6.84,NA,0.17,NA,4,1,NA,NA
"535",4.31,0.83,0.68,19.26,0.42,4,4.7,3.14,0.33,NA,0.11,NA,7.02,NA,0.19,NA,3,1,NA,NA
"566",3.32,0.63,0.4,18.98,0.19,11,3.73,2.62,0.37,0.09,0.13,0.01,9.92,3.44,0.14,0.04,7,4,0.3028,0.0913
"776",2.93,0.65,0.43,22.18,0.32,4,3.82,2.63,NA,0.33,NA,0.11,NA,12.55,NA,0.19,1,3,NA,NA
"853",3.78,0.64,0.41,16.93,0.24,7,4.46,3.27,0.11,0.04,0.01,0,2.47,1.22,0.06,0.02,3,4,0.0771,0.0292
"879",3.26,0.6,0.36,18.4,0.42,2,3.68,2.83,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"913",4.42,0.75,0.56,16.97,0.22,12,4.99,3.63,0.2,0.37,0.04,0.13,4.01,10.19,0.08,0.17,7,5,0.2784,0.0804
