"order","complete_mzs","run_order","sampleID","assayer","box","genotype","sex","type","batch","absn5","massn5","heads"
"QC(S)#1",198,1,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"1",192,2,896,"LH","2","535","male","fly heads","1",0.307,3.14,"half"
"2",193,3,415,"LH","1","531","male","fly heads","1",NA,NA,NA
"3",195,4,656,"RC","2","406","female","fly heads","1",0.512,NA,""
"4",191,5,416,"LH","1","853","male","fly heads","1",0.296,3.28,"one-fourth"
"5",192,6,587,"LH","1","566","male","fly heads","1",0.42,2.62,"one-third"
"6",198,7,573,"LH","1","235","female","fly heads","1",0.656,NA,""
"7",195,8,796,"LH","2","83","female","fly heads","1",0.467,3.31,"two-thirds"
"8",198,9,539,"LH","1","319","female","fly heads","1",0.402,4.12,""
"9",198,10,443,"LH","1","320","female","fly heads","1",0.678,4.36,""
"10",198,11,430,"LH","1","309","female","fly heads","1",0.639,4.7,""
"QC(S)#2",198,12,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"11",198,13,417,"RC","1","853","female","fly heads","1",0.602,NA,""
"12",198,14,433,"LH","1","309","female","fly heads","1",0.704,4.43,""
"13",196,15,606,"LH","1","776","male","fly heads","1",0.352,NA,"half"
"14",198,16,535,"RC","1","381","female","fly heads","1",0.502,3.66,""
"15",195,17,891,"RC","2","324","male","fly heads","1",0.261,2.36,""
"16",197,18,718,"RC","2","306","male","fly heads","1",0.404,3.26,""
"17",198,19,917,"LH","2","31","female","fly heads","1",0.626,3.93,""
"18",198,20,469,"RC","1","531","female","fly heads","1",0.611,4.92,""
"19",198,21,847,"LH","2","319","female","fly heads","1",0.39,3.9,""
"20",197,22,567,"RC","1","235","male","fly heads","1",0.316,NA,""
"QC(S)#3",198,23,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"21",197,24,409,"LH","1","440","male","fly heads","1",0.322,3,""
"22",198,25,564,"RC","1","235","male","fly heads","1",0.32,3.11,""
"23",197,26,611,"RC","1","440","female","fly heads","1",0.61,4.82,""
"24",198,27,407,"RC","1","381","female","fly heads","1",0.46,NA,""
"25",198,28,414,"RC","1","502","female","fly heads","1",0.543,NA,""
"26",198,29,725,"RC","2","513","female","fly heads","1",0.322,4.1,""
"27",198,30,493,"RC","1","303","male","fly heads","1",0.32,3.29,""
"28",198,31,868,"RC","2","513","female","fly heads","1",0.392,4.43,""
"29",196,32,658,"LH","2","440","male","fly heads","1",0.258,3,""
"30",197,33,798,"LH","2","208","female","fly heads","1",0.362,NA,""
"QC(S)#4",198,34,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"31",198,35,418,"RC","1","913","female","fly heads","2",0.711,4.8,""
"32",194,36,679,"LH","2","406","male","fly heads","2",0.117,3.06,"one-third"
"33",198,37,504,"LH","1","303","female","fly heads","2",0.538,4.59,""
"34",198,38,704,"RC","2","776","female","fly heads","2",0.489,3.82,""
"35",197,39,681,"RC","2","208","male","fly heads","2",0.199,2.72,""
"36",198,40,841,"RC","2","531","female","fly heads","2",0.605,5.03,""
"37",195,41,586,"RC","1","358","male","fly heads","2",0.276,2.71,"half"
"38",198,42,490,"RC","1","303","male","fly heads","2",0.372,3.37,""
"39",198,43,561,"LH","1","235","female","fly heads","2",0.559,4.31,""
"40",191,44,877,"LH","2","513","male","fly heads","2",NA,2.54,NA
"QC(S)#5",198,45,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"41",195,46,707,"LH","2","853","male","fly heads","2",0.486,3.29,"half"
"42",198,47,804,"RC","2","57","male","fly heads","2",0.157,NA,""
"43",198,48,655,"RC","2","535","female","fly heads","2",0.721,4.79,""
"44",197,49,634,"LH","2","138","female","fly heads","2",0.53,3.65,""
"45",198,50,521,"RC","1","320","male","fly heads","2",0.419,3.09,""
"46",198,51,793,"LH","2","324","female","fly heads","2",0.299,3.02,""
"47",198,52,749,"RC","2","381","female","fly heads","2",0.372,3.41,""
"48",195,53,894,"RC","2","31","male","fly heads","2",0.525,NA,""
"49",194,54,860,"LH","2","83","female","fly heads","2",0.444,3.31,""
"50",196,55,457,"RC","1","303","male","fly heads","2",0.279,3.23,""
"QC(S)#6",198,56,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"51",198,57,511,"RC","1","320","male","fly heads","2",0.452,3.15,""
"52",194,58,737,"RC","2","177","male","fly heads","2",0.181,2.59,""
"53",193,59,734,"LH","2","531","male","fly heads","2",0.241,3.7,"one-third"
"54",198,60,708,"RC","2","502","female","fly heads","2",0.46,3.86,""
"55",193,61,603,"LH","1","535","male","fly heads","2",0.241,NA,"half"
"56",196,62,870,"LH","2","879","male","fly heads","2",0.252,2.83,"half"
"57",194,63,673,"LH","2","319","female","fly heads","2",0.343,4.08,""
"58",198,64,515,"LH","1","320","female","fly heads","2",0.603,4.51,""
"59",198,65,862,"RC","2","208","male","fly heads","2",0.227,2.55,""
"60",194,66,476,"LH","1","375","male","fly heads","2",0.424,NA,"one-fourth"
"QC(S)#7",198,67,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"61",197,68,788,"RC","2","406","female","fly heads","3",0.492,4.58,""
"62",198,69,501,"LH","1","303","female","fly heads","3",0.446,4.89,""
"63",197,70,445,"LH","1","358","female","fly heads","3",0.456,3.7,""
"64",196,71,814,"RC","2","373","female","fly heads","3",0.57,NA,"three-fourths"
"65",196,72,741,"RC","2","235","male","fly heads","3",0.377,3.11,""
"66",197,73,621,"LH","2","177","female","fly heads","3",0.432,3.83,""
"67",197,74,602,"LH","1","513","male","fly heads","3",0.184,2.88,""
"68",197,75,528,"RC","1","306","male","fly heads","3",0.36,3.08,""
"69",195,76,447,"RC","1","31","male","fly heads","3",0.47,NA,""
"70",195,77,408,"LH","1","381","male","fly heads","3",0.287,2.67,"half"
"QC(S)#8",198,78,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"71",195,79,420,"LH","1","913","male","fly heads","3",0.425,3.62,"half"
"72",198,80,467,"RC","1","320","male","fly heads","3",0.414,2.65,""
"73",197,81,649,"LH","2","31","female","fly heads","3",0.308,NA,""
"74",197,82,852,"RC","2","83","male","fly heads","3",0.314,2.69,""
"75",195,83,899,"LH","2","373","male","fly heads","3",0.326,NA,"two-thirds"
"76",196,84,477,"RC","1","375","female","fly heads","3",0.638,NA,""
"77",196,85,672,"RC","2","57","male","fly heads","3",0.129,2.41,""
"78",195,86,544,"LH","1","381","male","fly heads","3",0.252,2.84,"half"
"79",195,87,781,"LH","2","566","male","fly heads","3",0.405,2.61,"three-fourths"
"80",196,88,691,"LH","2","83","female","fly heads","3",0.339,3.43,""
"QC(S)#9",198,89,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"81",198,90,683,"LH","2","57","female","fly heads","3",0.353,3.22,""
"82",196,91,783,"RC","2","566","female","fly heads","3",0.628,3.5,""
"83",192,92,657,"LH","2","406","male","fly heads","3",0.212,NA,"one-fourth"
"84",197,93,873,"RC","2","513","female","fly heads","3",0.405,3.96,""
"85",193,94,592,"LH","1","373","male","fly heads","3",0.264,3.19,""
"86",198,95,558,"RC","1","853","female","fly heads","3",0.795,NA,""
"87",196,96,591,"RC","1","373","female","fly heads","3",0.568,4.22,""
"88",195,97,426,"RC","1","309","male","fly heads","3",0.376,3.13,""
"89",198,98,553,"RC","1","57","male","fly heads","3",0.147,2.37,""
"90",189,99,482,"LH","1","913","male","fly heads","3",0.526,4.17,"half"
"QC(S)#10",198,100,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"91",197,101,559,"LH","1","235","female","fly heads","4",0.641,4.06,""
"92",196,102,439,"LH","1","309","female","fly heads","4",0.758,4.58,"half"
"93",195,103,435,"RC","1","309","male","fly heads","4",0.422,3.35,""
"94",195,104,715,"RC","2","566","female","fly heads","4",0.688,4.2,""
"95",197,105,637,"RC","2","440","female","fly heads","4",0.379,NA,""
"96",195,106,617,"RC","1","177","male","fly heads","4",0.174,NA,""
"97",194,107,479,"LH","1","913","male","fly heads","4",0.54,3.36,"half"
"98",196,108,909,"RC","2","83","male","fly heads","4",0.334,2.48,""
"99",197,109,871,"RC","2","879","female","fly heads","4",0.377,3.68,""
"100",198,110,721,"LH","2","306","female","fly heads","4",0.478,4.56,""
"QC(S)#11",198,111,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"101",196,112,690,"LH","2","373","male","fly heads","4",0.339,3.05,""
"102",195,113,549,"RC","1","319","male","fly heads","4",0.23,2.92,""
"103",194,114,882,"RC","2","177","male","fly heads","4",0.156,2.37,""
"104",197,115,496,"RC","1","913","female","fly heads","4",0.891,5.15,""
"105",196,116,866,"LH","2","513","male","fly heads","4",0.18,2.84,"one-fourth"
"106",195,117,531,"LH","1","381","male","fly heads","4",0.292,2.63,"one-third"
"107",196,118,605,"RC","1","776","female","fly heads","4",0.484,NA,""
"108",198,119,524,"LH","1","306","female","fly heads","4",0.513,NA,""
"109",195,120,588,"RC","1","566","female","fly heads","4",0.791,3.58,""
"110",197,121,512,"LH","1","320","female","fly heads","4",0.706,4.7,""
"QC(S)#12",198,122,NA,NA,NA,"none","none","pooled fly heads","0",NA,NA,NA
"111",194,123,584,"LH","1","358","female","fly heads","4",0.468,3.62,""
"112",194,124,571,"LH","1","853","male","fly heads","4",0.542,3.24,"one-third"
"113",198,125,552,"LH","1","57","female","fly heads","4",0.296,3.12,""
"114",195,126,423,"RC","1","309","male","fly heads","4",0.284,3.14,""
"115",198,127,701,"RC","2","853","female","fly heads","4",0.73,4.46,""
"116",198,128,677,"RC","2","440","female","fly heads","4",0.601,4.34,""
"117",195,129,854,"LH","2","776","male","fly heads","4",0.206,2.45,""
"118",192,130,448,"LH","1","42","female","fly heads","4",0.306,NA,"one-fourth"
"119",194,131,647,"LH","2","531","male","fly heads","4",0.2,NA,""
