"COMPOUND","QC_S_cv","ESI Mode","HMDB ID","KEGG ID","Molecular Formula","CAS","Pathways"
"1-Methyladenosine",0.0775333554165662,"POS","HMDB03331","C02494","C11H15N5O4","15763-06-1","NA"
"1-Methylnicotinamide",0.0797147728607427,"POS","HMDB00699","C02918","C7H9N2O","3106-60-3","Nicotinate, nicotinamide metabolism; Bile secretion"
"1/3-Methylhistidine",0.0856681128254871,"POS","HMDB00001","C01152","C7H11N3O2","332-80-9","Histidine metabolism"
"2'-Deoxycytidine",0.0867633097022002,"POS","HMDB00014","C00881","C9H13N3O4","951-77-9","Pyrimidine metabolism; ABC Transporters"
"2-Aminoadipate",0.0888570730631176,"NEG","HMDB00510","C00956","C4H6N4O3","542-32-5","Lysine biosynthesis; Lysine degradation; Penicillin, cephalosporin biosynthesis"
"2-Aminoisobutyric Acid",0.082419493642418,"POS","HMDB01906","C03665","C4H9NO2","62-57-7","NA"
"2-Hydroxyglutarate",0.0644407126528917,"NEG","HMDB59655","C02630","C5H8O5","2889-31-8","Butanoate metabolism; C5-Branched dibasic acid metabolism"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.0928160371002596,"NEG","HMDB00729","N/A","C4H8O3","594-61-4","NA"
"2-Hydroxyphenylacetate",0.100001686142129,"NEG","HMDB62635","C01983","C8H8O3","611-71-2","Aminobenzoate degradation; Microbial metabolism"
"2-isoPropylmalic Acid",0.105717399560293,"NEG","HMDB00402","C02504","C7H12O5","3237-44-3","Branched chain amino acid biosynthesis; Pyruvate metabolism; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids"
"3-(4-Hydroxyphenyl)Propionate",0.037900658284149,"NEG","HMDB02199","C01744","C9H10O3","501-97-3","NA"
"3-Aminoisobutyrate",0.104333116143398,"POS","HMDB03911","C03284","C4H9NO2","144-90-1","Branched chain amino acid degradation"
"3-Hydroxyisovaleric Acid",0.414486723626515,"NEG","HMDB00754","C20827","C5H10O3","625-08-1","Branched chain amino acid degradation"
"3-Hydroxypropionic Acid",0.0459786522077859,"NEG","HMDB00700","C01013","C3H6O3","503-66-2","Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Carbon fixation pathways in prokaryotes"
