"QC(S)#1","1","2","3","4","5","6","7","8","9","10","QC(S)#2","11","12","13","14","15","16","17","18","19","20","QC(S)#3","21","22","23","24","25","26","27","28","29","30","QC(S)#4","31","32","33","34","35","36","37","38","39","40","QC(S)#5","41","42","43","44","45","46","47","48","49","50","QC(S)#6","51","52","53","54","55","56","57","58","59","60","QC(S)#7","61","62","63","64","65","66","67","68","69","70","QC(S)#8","71","72","73","74","75","76","77","78","79","80","QC(S)#9","81","82","83","84","85","86","87","88","89","90","QC(S)#10","91","92","93","94","95","96","97","98","99","100","QC(S)#11","101","102","103","104","105","106","107","108","109","110","QC(S)#12","111","112","113","114","115","116","117","118","119","120","QC(S)#13","121","122","123","124","125","126","127","128","129","130","QC(S)#14","131","132","133","134","135","136","137","138","139","140","141","QC(S)#15"
1716542.40046204,NA,410082.473730932,888904.410203719,NA,NA,3030882.85807125,816307.67217912,2646605.88070574,1973153.86944496,3562726.97425143,1906500.11537748,2029601.36972887,3717114.01966392,1237894.74264926,1137223.26011425,1189904.51811043,3350889.53922349,2564211.70266002,1959115.49502441,2184240.9277301,1014019.3916497,1725028.77950976,1526575.83501157,1575121.3699724,2236637.14558208,2298260.69038037,1699425.01380692,2461959.71773278,1289694.28491569,2086448.37270083,1489537.77418041,2934624.86874623,1740813.28538018,1076543.61263229,666622.121085644,3404385.16725535,1137882.69280209,1042745.41675299,2021673.65921957,733870.472762143,1523943.57884618,2617637.51686451,NA,1637115.41559601,434688.873544774,2700453.46694139,2811492.32220496,1858128.1901263,1384446.1119855,3020341.77756458,1195904.86835729,2155324.10276584,328479.826760036,1437542.08282364,1727383.86094956,1390796.21456409,910215.431931486,492726.701596794,1576470.21526962,644559.416700736,1037496.57104712,526067.942950913,1567446.65220721,2504591.7106425,667818.624764001,1682140.10918234,2788417.43663301,2428989.77271127,2240791.99650142,1285664.35185804,1053500.9990878,3798717.37609831,1138635.86298065,2986332.14846052,3474116.95774622,912314.483292833,1595081.66294155,1181997.42170898,2549799.23404097,1406592.74430708,1253903.0424644,931232.008966277,1556586.00511744,6766880.204152,754570.390678424,909891.927875473,643901.560552262,1876633.68947685,2000266.63562869,1606869.16060175,NA,1606222.64682581,472436.988254651,1441355.92024942,1310782.52774946,2053071.00656254,3607375.40394459,NA,1609948.45966031,2207960.81175053,1504316.52105482,2089001.21326924,1066562.56080913,1646999.40313555,1838418.14851595,757161.453046634,665491.93211928,1665531.27146131,1752400.50126528,1474042.53861755,1347150.18926535,1002081.82710062,1055158.42152931,1308349.72254758,1011475.51945628,746896.244150906,1837087.62211889,1640565.75309275,1210956.65875726,2729508.58572163,1558081.05721114,541844.888496192,430490.131688892,1783991.19767475,1704026.52012748,3165270.86959799,1729709.04744452,1367310.52566907,NA,1185387.05399272,1295578.93837215,1535794.31821986,4451606.84113799,1492314.06992089,2907786.22906905,2930802.97047696,NA,4347986.73540226,1061951.79423242,1521040.58535159,1008604.35239356,1579516.02954389,1563974.37228977,2037099.40256882,NA,2390812.61625682,NA,NA,1318974.08686302,1315198.91376539,1132838.4003442,NA,1713404.68741124,1390499.75134723,1605970.44740425
2512123.23769098,233408.210242659,149234.562057446,631756.052433046,179884.050394727,313427.68314804,2881304.00594234,333529.891187395,12204314.2944507,11386394.9488081,6890517.97122306,3193529.72483076,11444334.6170086,4267173.63773078,600773.851798562,5394572.90108261,697306.164101071,2392335.18267305,8180162.47196749,7745872.55544064,9515700.62201551,1561264.68992776,3272013.87646562,2506303.70826567,1352941.56760153,8601083.09138031,12544878.1166648,4133725.1395543,9540697.37818053,4446522.83558865,4930607.36893393,4908103.87668309,3004536.78292581,3143246.92253325,4225702.00878278,407691.224873066,12479252.2841712,3562503.24710134,2804425.46849589,9924705.96973659,561727.039386613,3049913.14240933,4091985.83425292,158071.696907963,3205408.37322606,873018.553830634,4754417.75496305,8103861.81232161,3422947.48087453,1818889.66268316,1249852.77026616,5996159.87250853,1313886.9257629,225718.79589578,1516318.64019734,2956975.62909058,1974130.52171974,246868.951059666,360353.812581035,4673447.28789607,832685.99848796,918632.338331706,804030.334750928,1778411.78291041,6391911.166531,263357.548786104,3229172.72896481,2545776.52811808,5876506.47009118,1732169.53986633,4067211.16030904,1005018.64525405,827108.090011244,656942.337134016,1442752.70704276,1622141.15450958,397791.381367285,3055835.910409,603679.737381081,1744221.68628914,2986078.41531065,1353938.98051321,714910.906685652,1384734.36547135,6307148.48576701,667395.291294115,664767.353641342,1697813.68707026,3030321.37128071,4831328.61371195,1764521.02088313,144345.24534815,1949013.77219119,121941.636654367,4675508.9363216,1615118.67585633,308907.417970196,2901518.50496211,NA,2906123.56417909,707943.00181078,498145.503510978,623343.74877587,1097143.58620732,2974719.38276343,325846.300812627,236770.914076166,900541.504766184,4222080.17612647,6680045.27538207,2774234.90862506,860838.183548887,1613234.00204429,260416.460455217,1322387.90021566,556649.02689944,200144.440600372,888307.707923882,2658514.06119488,701159.006917544,3062675.4502706,2896051.52652909,309349.148119254,280420.272333877,2886637.77507996,301484.496116644,10374347.3550692,3397084.88727251,217580.087883728,120653.595792709,247746.70214768,274870.662123483,2921491.40388023,1624510.74988953,3631962.01606884,962243.810461353,686896.909788948,165863.698554466,822918.630879117,1904292.38631426,4207378.26573598,2598364.66702326,1494462.09594902,3031782.28285104,515543.971888191,78215.9977574099,4275244.59350625,213059.3193497,66699.2338925762,931617.995205188,598423.456889974,1831006.42141841,NA,6509870.89319058,2574811.89320151,2981316.04300867
192313.654454395,NA,NA,NA,NA,NA,289895.927861985,140594.70082365,570799.093942074,140908.47623831,423137.191693218,209058.695294991,283091.777293908,606409.63719339,98097.23358854,75453.7011404015,NA,411184.405654149,235159.588780767,62369.5206609058,326024.775220735,69488.2152220413,207669.084917205,183415.549274499,57761.2409160006,119608.191680042,114734.159081841,111067.049489359,404365.095056388,99164.9351803235,162977.428608809,NA,165084.341048832,213505.28904919,238303.574490864,86675.8203210825,363613.829546059,117484.421062625,98553.7626058391,106094.895268427,59021.2113875514,145823.776149326,159373.19398067,NA,220867.409950148,125996.720280838,207077.32498712,163627.421236831,117569.848086778,72460.3999724608,181278.360344897,80274.0178895049,149603.876914497,60384.8916927521,129046.810559329,211863.760814788,83555.5605770808,50408.6651683973,NA,124969.661200034,NA,70106.9704794975,61140.1445407326,304688.854234148,175161.287813014,NA,225531.202193384,284694.261944016,303941.242970975,111889.243582792,90058.6268065496,NA,131383.17821793,67056.3092881143,237555.863684721,225213.753144573,NA,206506.281652913,NA,96267.9322711526,76506.4229033312,195938.788081304,NA,NA,211713.149343628,NA,57907.2793917148,166580.054539077,211277.55956887,367124.527099379,138659.271024952,NA,183473.162414237,NA,110302.909624343,68103.4470479865,NA,135560.348612787,NA,209401.081486928,104102.204512932,77121.1058104637,NA,NA,76036.4319386424,NA,NA,114859.893647899,69512.6551300658,170113.951568755,204486.99074572,NA,NA,NA,101209.310202855,NA,NA,NA,122747.701556859,NA,269861.149733179,218336.374124769,NA,NA,128651.742935813,NA,195399.023964494,69338.6198282117,54781.3634172899,NA,NA,150383.753647863,204168.856307074,126729.58115126,385650.653127656,83500.7730399059,99951.1879183212,NA,352367.306767107,58912.509145531,112738.586507077,56216.2616678141,144830.417482434,217105.187602021,53685.2109031447,NA,153278.613387463,NA,NA,77018.3683204813,NA,NA,NA,152980.039751507,121650.411293947,214733.858376968
485761.17031889,285871.013129755,143393.280656309,247443.85239948,98334.4568183373,163913.492980835,517430.953773807,200829.692923201,605333.727098057,668211.989669483,818452.019654542,504284.188227655,831887.395346887,569459.810473566,444018.775494643,406224.243840858,522501.166936788,683964.672819479,592679.003019636,532360.027196234,558885.067625272,537744.880530874,509430.031318095,553379.453051172,654333.522692472,844730.271980594,595188.521630148,601853.004277402,935769.162962232,589815.51375205,488039.207169582,645281.827198568,302556.222625174,468679.14911262,704281.449950171,254195.240114254,615580.066160721,337945.172118523,352926.947896507,486463.919827562,294019.127691073,466289.97673442,501590.472621851,12327.2251350698,479137.01894772,154619.666820177,394808.785751884,821281.776440669,316796.208778261,394515.181927555,497076.568514719,328022.221320533,323898.320435446,113831.029018769,249736.348235146,446256.531065501,392032.331851584,415764.096171047,253080.249038546,508354.930924065,245461.580360955,359641.250168186,127167.102929776,390634.50813067,351678.974505699,330664.939607753,422119.175590117,71649.2379044165,144908.867162196,186061.910747052,128557.423784312,175802.826786439,35271.9915447845,136042.281858225,247857.481457179,131722.142355038,24143.0551682918,438539.65732378,177735.398294774,123607.389935296,312417.402732416,113988.527605427,85537.380674934,277659.970672856,183455.244556666,113164.500411741,124725.07530201,104292.334919914,403070.602211361,71689.1431151768,185752.616252317,24625.2267908142,219309.203798626,49072.0871617689,189289.282910355,161513.796047937,185525.875055566,252892.579729244,7873.17540402908,380523.944371262,231140.92585309,331678.095918973,248508.050261526,290207.877342185,271234.225917301,166635.146047385,235623.553190697,188731.744453673,289364.3422931,385289.991193882,381393.769305305,207427.104125163,246391.694211434,243543.234579773,426028.130597091,182366.943152511,NA,334220.482559226,449789.4577205,122175.066616845,366821.471907065,381122.928879011,189621.555329312,116019.486856504,218886.037587145,398219.759869629,975656.632514217,415602.638656203,232366.054352102,66766.2198274794,200354.254611275,264155.080269573,360904.656992804,88150.7126105357,117898.538222378,147806.66713904,98768.8926786055,22466.5450962961,34786.7499652972,102179.204208489,68116.2332451832,105074.939828639,136799.092964486,345801.255909556,37585.6574440071,24636.1989462366,131398.227532198,24053.7699220774,20874.2270322003,135610.972605193,171287.59537767,108361.289023552,4987.48055316416,54672.0087010546,44466.6556875014,343271.158956777
17896.8868501489,NA,NA,11838.5321402944,NA,NA,21432.1857767375,NA,42136.1543029359,28920.391900948,28342.6441784971,13437.2533218499,26908.1181936668,23780.8942947654,11635.7742457637,17326.6928331482,11444.3042076217,18317.4512133192,28170.5668845588,44890.041929555,18751.5818913563,18135.9692996049,17243.0832558078,23489.9215690802,19303.0527029857,41144.6205671362,44876.8387160602,22600.9171620999,47071.4863886127,13541.6064807362,26985.9142702096,22317.6422492009,13858.2058582664,22281.6874244283,21820.8701631938,NA,33984.7332099768,16330.0490487088,28055.8705078124,41210.6454504255,NA,30029.7031186033,25234.960506386,NA,17718.3883985191,12321.5056654467,24175.1770166909,49691.0311160017,8399.93728926804,13873.5387422334,21435.1936195632,18623.4969759083,12742.6307178964,NA,14237.6198061787,14232.6785264196,18297.7239950486,NA,NA,22144.011797072,NA,NA,NA,18027.30022654,24378.4206610527,NA,11407.6112999595,24518.9098691613,29316.4837252312,39437.1066738846,27326.1781671952,19664.4900658463,19769.3796691959,15792.1242262573,20222.7246748949,30179.9366892992,NA,14831.9030374091,19758.2077833795,10795.8999819221,37828.5088458255,14842.8229036509,13783.3276568128,27494.679882906,22757.5130300701,NA,15347.9813772003,23445.6630980165,24541.2822371408,28418.496803205,25904.8632007361,NA,32757.3165164918,NA,45881.8953802341,20259.0601928172,31091.541378588,30772.0050056782,NA,21689.9138531233,24800.852113924,19553.3562339505,28903.3208705315,22028.7947710887,49534.4434489252,16781.3537880667,NA,19059.3318573823,19561.3613876365,36733.6736667739,14104.1993538752,13021.2607133729,19443.0263887562,13521.589745602,25389.6457573968,16892.5665308772,15244.5455254827,12776.1789102341,32833.3064279951,26463.9616325046,48765.1685515378,17578.972800648,12990.0574384311,NA,23812.9711340902,25948.6784224523,49479.1002295241,30265.1465335413,NA,NA,11963.1995419167,NA,14716.5696181854,11995.3839226735,33872.9295678396,17734.5988532507,13351.9414400827,NA,24040.0848515979,25620.5965013901,40914.8413578718,15435.6208335655,14448.0102730605,22195.5993475491,21138.0288621878,NA,51131.3301395645,NA,NA,23840.3885972868,26250.614296232,43417.2362278296,NA,32670.9432502885,17920.9767239576,16506.5404789547
114430.881447553,51181.5858967203,29782.5690307644,80542.4776770431,NA,49468.5343881416,199267.767810524,80484.556604656,86043.2422271238,107018.268647107,219621.642406793,118457.781987877,177372.840245527,179941.082922472,57587.4560309592,145030.830984726,67168.1336236483,79565.2876138573,148832.495386052,147833.032772836,85568.1178431139,115354.321557014,114857.162246933,104366.05032364,140088.826050559,151555.728540233,166566.500157193,149584.832112599,199217.641267929,151894.586333766,67638.0745196777,123930.505458699,106224.059551013,97416.4231025145,144293.709695756,45792.3987083525,154103.265925981,53892.3942975847,88993.356783433,121247.849520364,NA,96407.4332486656,109705.177828591,NA,125496.761433747,38160.5531402384,88702.2329832596,132921.380602798,95756.0404075559,66604.782858454,83291.8484140669,66668.1850107016,NA,NA,20787.9867560632,91273.0975388496,71208.2943994545,56916.796663725,45773.8789645815,67811.9853480339,43166.8918878986,56371.777062391,NA,62928.2175609126,102204.086775584,55007.2530979366,102271.147789493,123843.520113254,126508.962438372,84192.6593210341,102876.004804695,93953.4406009792,76266.687503819,20504.5075994934,82259.6546345044,NA,92182.5883679778,94317.4738114982,145576.603458727,166305.25489246,141931.625212516,63477.7924817843,131503.065733729,138704.96912948,NA,44480.776387569,87380.831391403,89063.2296769945,98457.5730196148,124405.395564045,167343.436248248,26706.2309518415,200565.896535716,52002.8614615568,165127.374883289,183757.553982274,92776.6485981997,117548.022239279,NA,119410.106944839,258569.754591624,143741.277792248,184242.116349434,129935.3601005,175187.047477568,96886.4091170312,70358.3143279495,64146.301030194,192048.626339634,175603.711385169,100602.557659643,247506.632427748,163334.96609432,48319.828499464,221018.086295165,123559.409711035,90227.2670879961,89281.9170420246,159558.448217686,134376.61819494,191114.278882622,92635.3900051793,41070.88030634,40588.3624653228,133207.398347191,197737.179072038,232544.950917578,197820.34611215,34427.8188457191,22231.8520820221,95596.1941774059,61637.8768821933,111023.652018541,54654.6903499448,84598.3230088902,36948.6275429316,73669.7798803224,NA,93927.3166184507,50545.2766666983,157294.123857713,117617.573292437,131834.9408765,103593.296948353,46060.1952019657,NA,95914.9434066113,NA,NA,233909.205404132,74876.1401527417,187488.77633561,25760.8140949672,110837.553407075,116296.043561415,101251.179521532
211602.465056633,50800.1692218026,86290.8975276182,118973.197871896,62729.119949949,173555.236133982,426745.362106336,91311.9427939342,301758.80351146,354515.801662639,323050.104803906,213729.527523096,188299.708253445,280075.250707817,142624.995601869,142175.720227405,340761.581767649,286710.90830797,198909.0546978,337074.323843829,246441.428260404,259476.719947411,208422.506322146,166440.889459715,315932.411952959,223116.714094789,192754.552456813,227487.838669487,335815.313665425,209546.726182735,253445.339517065,209624.048969352,132146.964620919,205844.288963738,199955.236672159,65683.4520166292,247687.098483089,154774.931755142,163941.884737139,239194.256113309,219207.238833859,205023.174200115,372524.624989238,57081.0194936972,228703.356775075,92304.6388798649,332796.207251387,358535.037568596,207413.91225626,262868.599192239,335118.865357906,148084.972057009,144022.32796324,89613.856722796,248467.234254941,213054.104591321,231670.315464544,223164.359766473,127072.063039417,171768.320278966,141176.58924395,152266.263667445,56283.1573540857,113493.212639613,250635.772124804,89933.7175365089,211653.230165027,244041.700847684,178192.42069523,291472.689587661,267614.779060489,240555.846592846,195479.872011123,145737.327668519,245534.012540299,311404.452917565,98627.2757300979,194259.407897258,185085.951071306,272598.699978906,169411.81083964,168639.716335243,141161.324740797,288847.734021381,398721.996570494,113062.663333917,191942.057293095,175295.46979682,202494.470516613,169018.530457512,238309.859961379,65225.5671978387,190833.850858949,103087.421985673,215582.620080756,219561.447840498,225129.792106582,323133.78604906,45891.8688681384,200931.268559046,388126.321508876,247856.266511852,327774.315019723,254927.571535702,301837.953520151,293137.121199516,98644.4400938257,199178.126491201,354964.317344974,257306.297906969,177498.160541581,277340.039330376,248570.500382559,240068.060115369,266273.996201494,155737.745083342,114044.423791776,297244.585398298,247774.098210382,222918.03413424,406279.68535101,177723.638201804,143921.894284187,104120.579757379,144468.923883352,208982.519906129,433133.074951161,243920.814634573,86209.115078734,69926.0102395659,159795.649542543,134251.609474105,190666.67095834,229345.067704637,228638.227911278,344764.379364292,273351.037885774,53786.4435615115,308855.912762065,225202.329182762,294136.067228793,241106.754398711,233669.826783067,172106.891804975,262893.925376775,61079.6168403266,354331.918643302,69006.0733343282,57355.4907568656,280740.218765181,264400.677366408,362188.626646891,NA,247837.532800219,168452.537573063,164321.057855982
2540071.57958751,NA,NA,NA,NA,NA,1504616.01047053,NA,1662248.6570446,31975875.1166682,224654.140130141,2442330.89580692,870640.764985658,240068.436743784,200387.917878529,4146607.62978344,NA,NA,505832.220878805,336969.669900215,867606.838748459,209352.235579278,2386652.9455469,NA,274305.884176532,NA,6803010.61073498,418273.275265827,261638.013155107,170222.64481598,155779.141474066,NA,112482.223149214,2271607.83140579,1495664.31838447,NA,809084.936351422,234211.487264111,NA,291343.426307195,127520.934858068,141370.647766689,1711403.39437984,NA,2417340.90372211,NA,96043.6199380117,387954.214662987,338433.491838533,19604040.3070732,4866487.31037429,4450139.33287598,NA,NA,NA,2112068.6306983,19839879.4433445,NA,NA,451585.285098779,NA,NA,229022.450381544,29198394.7626714,229416.85933985,3947662.23760974,2148684.85558444,NA,172575.674965009,1687049.34236248,NA,290119.929264572,246998.559175328,NA,NA,261429.973514934,817287.554236561,2147296.51775933,NA,15245359.5210062,364872.959817767,NA,NA,16751033.8927125,141781.536732524,1747304.37376548,NA,NA,2129775.2691011,891742.953091195,NA,NA,NA,NA,664003.865367502,NA,NA,121219.904589238,NA,2031491.89040854,1518032.6972363,NA,NA,NA,1332870.51383457,NA,NA,NA,NA,445544.508138098,1892379.16592199,186162.355624114,NA,NA,1633129.21773294,334092.327534782,713300.075202439,352261.379241342,417225.497621459,NA,28044531.5083132,1856948.83070607,NA,NA,836612.405036033,NA,889467.125490317,2079698.54601585,179197.502388871,NA,NA,NA,1913996.47253935,NA,225056.274885096,NA,236342.924657938,NA,313271.52214825,NA,304090.914265716,NA,NA,1849393.80068214,546904.820234536,NA,287165.628862681,NA,NA,823415.846128932,NA,345102.820504465,NA,NA,583413.795871751,1834740.17703565
46186736.5221944,2822214.60152429,9609660.22425086,76029174.1062374,4524312.82182664,6947060.10883596,99371560.2557644,38906866.2997233,101921290.49632,76220318.7930652,111204348.190388,48147001.8920865,63532984.9450657,103666764.288741,NA,45775235.2700615,7436665.59259409,13069276.8042208,45676377.2481453,113227744.864899,76628289.1859884,10694997.7141005,48321713.3476683,31207854.1501614,18235127.3674218,111974069.715415,71923557.0262457,86109143.7796951,277834399.39896,9481327.50301635,154915675.093429,35276984.103351,43992438.7375158,48119607.9613658,104000157.963834,29182319.1313167,78906994.1101118,14411457.2450892,11846950.9516868,116209069.654103,38351997.1744909,10025653.5968399,109616669.495165,7851316.66160336,46503297.329242,9638688.04324109,24644392.0032801,144323604.158543,73680240.2668577,9034625.23085894,91754783.542633,54385818.7382411,8376232.15529101,30405790.0018546,6674757.6264819,46953419.3122672,9371535.79490009,10585381.6866413,13210369.1036344,89644948.476836,4755028.22242712,5915064.33664813,32073945.0085139,57141592.0871044,12509099.4098293,8307672.66986677,46346086.2687408,174890604.023877,40986468.9058153,61525562.3462384,75001100.3325577,9493264.99459889,80632649.8360479,19086406.0470317,9914591.18460748,13101430.8678568,7376906.82953987,45068264.5983044,17460435.464633,15452816.9883162,36135111.0994956,30788874.561222,18432635.2467413,83211976.3617655,28429951.816845,7117931.77247451,8703990.42918069,46660324.315945,44646370.4060576,51439086.1934058,52699058.548393,13705944.202429,101820385.151623,17477343.9377346,47801864.5587772,84961541.5828861,16868486.8111845,30839711.1253405,2091305.6446712,44599087.5753149,74059285.6985716,53990608.8988282,16634510.1997202,44101052.6595565,95180284.0546531,11571000.3368335,8784431.51465091,21077288.4446772,52220058.0362383,61998416.460971,42986951.4968204,37037295.9769014,14356471.9931512,7623718.38231693,95471839.5241091,17353245.4317263,7154867.53630243,21424918.7644292,53906049.0198663,35818654.3685238,83220293.7770516,42974693.4649105,36241373.1919177,6178258.48677644,41010797.5008058,14398289.3729051,91088610.363179,97927016.1503854,2581183.8466491,22256167.578937,14127143.7962652,22332402.1190398,43218344.0225114,11078975.579667,60742134.8858481,8676803.72633332,58641888.6870409,1820819.67039682,86102708.1891587,14100659.6855127,94559463.4186017,78156025.9621868,121939293.667909,43588725.7682244,50051365.0900161,7192124.26685736,95369711.0189153,15946079.1160727,5757447.98202638,116793456.129369,8465497.46535972,65832697.9656869,5151906.36427655,65603963.5594845,38188297.5878114,44073672.2293594
2328462.79244753,755032.80720761,616907.658650181,966400.703059672,453853.747852503,2445653.34321075,4907154.49590063,941348.010064715,4008156.56513448,3188924.84202575,3446836.2665311,2047696.18715783,2917446.33138523,3069107.65902825,1213123.92593944,1811887.57240873,2202755.19456568,2091564.76685765,2837599.35119892,2377738.50649852,2875588.86895613,1898413.62427669,2016988.83409831,1682707.89468414,2837864.46008286,2174812.5627282,2970638.27648749,2028781.84754747,4649507.84901187,1918448.70625845,2622609.12105613,1871435.79955537,1910978.0676593,2044512.80362091,2301782.85149566,761538.125879764,4249928.61234912,1701397.89612108,1909448.25379487,2387218.28055038,1531247.23911428,2672267.8299049,5252749.65030697,351871.3493637,2010273.82768114,947750.028880558,1851494.01147789,3019709.30184115,3436443.25471056,1868848.27630896,2981619.93582056,1976741.11355493,1621095.68651269,650987.63893504,1376548.02541893,1882826.51936692,1959328.08851835,1536145.68414563,688025.15061796,1934496.19229092,839927.231563052,1198898.37050102,922136.136183705,2221077.8027029,3010291.10522143,669109.618062339,1854876.58296213,2472205.90591907,1794512.30563294,912434.352326484,1591231.3094889,1756471.31388995,3182436.13221491,984528.297587231,1427694.52444362,NA,975131.613008197,1785181.06469569,1333530.43665713,2473999.06374587,1866475.62933353,1699615.90719134,1145717.13652135,2208572.92995038,1145588.01465648,934453.138669319,1623719.58823495,NA,1720539.1438548,2249486.89610926,2547616.037693,414416.112004298,1663155.47360661,499868.3648358,2173487.68377783,1165791.01462215,1271466.92956047,1564646.6091069,214634.735248881,1680835.28471983,2805916.2931977,1258576.8543179,1677225.54000085,1604177.86997461,1772791.59311332,1679628.79036887,614654.797918146,1124799.39240417,2481394.73489867,1663979.43036986,1594104.84061606,1291588.54930578,1488903.95670793,1204090.28058146,1601669.07318348,827309.358260282,696533.860136326,1497250.00295704,1166305.2189941,1501030.85236899,2651831.37108262,1631410.86923896,559950.847013752,567687.382441204,1501857.28814901,1089319.8034285,3592528.48517054,1479874.64899165,819608.825903737,602411.746881968,748370.291463681,1071348.41075913,1630681.86878142,2576569.6931254,2580136.68192567,1556287.99541951,2370538.6695406,544330.935603566,3590654.28153783,1568470.62738045,2921637.80448817,1217405.10803766,1787243.23596241,1589369.79977955,1669470.50311549,279029.357875627,3300392.57130955,383842.341775428,255046.745895719,2040716.94959607,1489010.0072813,2278514.86143203,874218.886376996,2423068.43340688,1477014.11426105,1634639.11336801
