"QC(S)#1","1","2","3","4","5","6","7","8","9","10","QC(S)#2","11","12","13","14","15","16","17","18","19","20","QC(S)#3","21","22","23","24","25","26","27","28","29","30","QC(S)#4","31","32","33","34","35","36","37","38","39","40","QC(S)#5","41","42","43","44","45","46","47","48","49","50","QC(S)#6","51","52","53","54","55","56","57","58","59","60","QC(S)#7","61","62","63","64","65","66","67","68","69","70","QC(S)#8","71","72","73","74","75","76","77","78","79","80","QC(S)#9","81","82","83","84","85","86","87","88","89","90","QC(S)#10","91","92","93","94","95","96","97","98","99","100","QC(S)#11","101","102","103","104","105","106","107","108","109","110","QC(S)#12","111","112","113","114","115","116","117","118","119","120","QC(S)#13","121","122","123","124","125","126","127","128","129","130","QC(S)#14","131","132","133","134","135","136","137","138","139","140","141","QC(S)#15"
11422861.5904256,7311016.74885291,9282245.08971542,9220977.24475968,5066392.63254606,4946404.57755016,12290229.2835763,7967187.08147405,13503608.8510081,15307066.9463538,15804543.3755336,11002528.9269984,11954786.5708483,13697427.0530023,11392102.461048,13501128.5730727,14905013.4149544,14172917.3958525,14233466.3600663,18025438.9330756,11907654.3446844,10909168.1335782,12042663.2698274,14404376.4804983,12378182.220622,17799032.4921558,17295805.7754117,15280592.7778682,20458264.052252,16387415.804043,16132195.5259083,14845716.3423827,9266009.68857093,11293245.7542984,14381186.687834,7381463.93046659,18154847.5460839,11522740.8349164,9379433.6509376,15624070.4840629,9935686.88369762,14251618.3496488,12011796.5990401,2956393.88187064,10586246.058025,5614633.01711167,13295392.2338287,10965760.6710762,10398929.6368446,9520725.39234461,12615432.7084727,11997909.2250407,9577242.60262848,6136356.43643977,12873266.0879518,11469502.8343781,10520131.6369674,8168007.12029782,9188728.05510256,14060646.6304698,7866833.20514795,9392866.44665195,4017199.90493461,10555283.1601541,9865439.78967847,7195707.48237082,10286875.162339,14028703.0966795,13100035.9182192,13695762.9376521,13661792.7816726,10546718.3542307,9576654.0322045,9618820.90573899,11785987.1829895,9851225.69474284,9339534.94305292,10678752.3605052,10830201.5842243,8559728.74397586,11385420.4940034,11499343.4839195,11124917.778376,12258493.7726699,9693789.86010757,10097258.5715766,9271784.26114009,10359846.1836425,10005155.039136,13371805.6501581,11381986.7059905,4618754.13479493,14891257.5688798,5899610.85521039,8884833.23435979,13818429.9645246,12016972.6846031,10763542.4273946,2023894.19215627,10797248.6001231,8511528.93095794,8091304.35275239,9231122.42085929,9256833.81766176,9889654.20616235,6466187.84698643,6679097.53334811,10650232.0647554,8665716.41620361,8739518.15029189,10291942.2994081,11760067.4843692,7183462.71478034,6978750.56826563,12357508.2048047,10062163.8054698,6504123.70215474,10178139.3446117,7820365.56277944,9357134.22781468,12808758.6032574,9744999.3538057,6900158.49445183,4596897.01315446,8868943.69811895,9749254.00223465,12198763.5548069,12386292.6310605,7163932.05223368,4784252.67372594,10260944.0843956,8541345.79729843,9791825.22766696,10773057.2328338,8688150.01928657,11818711.8413182,8853966.76891169,3667767.72786727,9642879.09860787,7958387.86032174,14094055.993577,12571293.6974771,9795211.17094815,9058365.06106483,9291843.37904704,3485569.04388874,11708584.3652159,4649206.88137679,3319416.51598425,10987509.1134721,9809434.78843648,7960943.50055823,3767225.24620696,9195685.36167617,9081599.37740311,9654732.51434727
470466.265947105,489248.745678539,500122.79775599,510349.053042269,452682.889833529,446047.956584069,488950.363607277,500926.16351437,482936.706766939,494840.989735834,453881.772272164,455055.286180975,466600.15746851,483913.012112051,509911.146215807,435113.486391623,484746.665154805,517937.052921755,415222.75546707,512191.970194526,460278.022275777,494756.295387588,511525.155648612,488524.76960947,499605.395599572,543495.811217417,493726.99897503,456184.004377065,421065.565265683,483255.432656233,520704.156452645,492424.552976561,449650.176733434,525915.977099015,461817.255370105,473386.489197719,445767.280487218,510300.495225733,506606.851999348,487457.957170615,473932.953122724,503131.557448763,446408.333363662,500251.074262825,476435.753511114,468218.299166575,481312.036317644,454229.146975356,492710.136937281,494841.281294813,522283.615377416,500579.766036198,487889.897144748,463892.041959389,475523.406630173,489227.129822515,476201.918188809,554087.107010827,448643.459714795,443274.790780061,520582.241308703,420461.845286749,443950.511624931,415225.292760081,466762.383892092,474396.719613779,501706.724537063,449175.106017303,475658.588504645,489976.530602958,509794.70635847,476816.129486032,422776.707783832,426682.127602247,528704.465913767,468379.336472307,516208.879192531,442876.07655324,516869.689729189,449460.971600877,454343.368261555,497493.544529758,488784.172380668,423769.39659713,446160.137908537,458926.192808336,527072.736298264,540688.880883628,467963.898830192,455830.614085529,489950.968552531,524018.033635149,458197.000864127,529844.514615808,416865.885571431,495240.27063023,481453.845318915,470421.04873652,465344.984980843,402837.268267191,501000.62809465,448849.193997689,413282.580994354,456474.369385757,537682.881015316,489925.541588663,494051.83346105,449901.995455918,452714.077914562,477563.259852091,445245.067324882,469969.170430154,462054.116860909,522315.265416056,430291.843725539,471562.277095624,548068.194795524,476568.29209054,395675.557794177,467172.829515652,460593.955153651,444212.760328462,453481.244240486,451909.898862452,433674.308890321,487192.884448028,488421.388056811,431201.271217448,472219.078738136,466305.15622657,453054.03684504,439390.387200685,461097.730237575,458376.718233286,491500.181324202,456001.18808469,457357.026708976,478407.392787186,434086.938384504,455223.10588,407309.192194936,483318.988482946,438125.673269079,402908.974969937,439124.412119644,496197.648504403,409979.930563496,435318.666731653,442944.827885891,422654.347969802,473492.349901383,431425.474227926,471067.593258614,427548.276506139,390725.326115761,514007.624141305
6961364.19301105,2042505.79454206,2019051.66960714,3330872.87064217,1203484.52802044,2892916.94576716,12901909.101484,3611273.84788747,13043230.2427262,12733622.3856556,16660823.8642644,6849502.05549559,12761319.1352356,12788772.0913464,3953725.72493595,7232694.19553837,3938438.03208266,11143941.0049444,9860295.37154131,15261545.4767147,9507771.59732212,5769807.2905173,7122487.94534143,5904448.61483797,7877237.29192415,9831607.18802849,12192026.3797196,7433820.25521232,20185346.4379988,9630876.83172578,9545278.59264486,6304417.56771617,6649928.93510749,6805534.73760733,12406707.3103488,2563562.43018113,23604051.7455742,5655171.92178252,5459084.35746608,14339952.9287312,3783644.73099982,9340985.03309454,15768715.9811897,1194648.90758918,6714236.73865316,2098059.33804183,6839060.64217472,19691280.4295323,7835101.37263809,6167130.38942096,10707902.1489448,6825614.82714384,4338315.7856465,2454834.13167354,5128105.3726603,6167935.59845284,5955056.77017562,1818187.08181559,2527989.65516336,7303690.24713777,3036432.67573327,3229693.04613547,2200141.14429256,8474870.31166845,10570227.111215,2077615.29806504,5897997.40482586,9970424.71495434,9002718.08617003,5979792.6888628,6447148.89794104,5182366.84869368,7030220.85052417,3171101.99795224,7347744.1297667,8142805.18062465,2672022.09976051,6521262.6232679,4141158.02690787,7225128.29153848,6441336.4735928,5333452.7276295,3338745.20577623,9377568.01578116,7271800.02069698,2677011.68257634,3155862.07332338,4445821.05916759,6277784.23627004,8088985.23042171,7685807.29762175,1370598.51479533,6939384.32439492,1379931.18812941,9098547.35193752,7449675.94812133,4412095.80942094,9347068.53466536,721565.578650941,5867651.17395243,10794687.1684685,7097976.08100033,6881254.90537633,6251380.14304857,9018340.42931276,2986080.82112347,2531112.78684381,3878081.58488806,10939986.8050606,13431647.0994868,6024619.81541207,5650838.15150513,5011523.2937109,1802101.82053475,11889492.5327498,3094085.21374847,2252825.81993779,7611801.18503737,10881969.9138943,5375830.04028661,13161307.7730922,5950601.41503756,2877115.63502741,1803031.7771941,6099643.86806893,4278703.78917809,19958110.4571402,9238052.23016627,2828403.82069745,1872360.10092487,3863916.27394938,3094216.72208486,5653591.67592115,5187525.66264208,8950413.6304637,4101074.79808752,6108738.63399682,1174529.52861788,10073315.5869089,3957638.39034566,10248341.9935508,6782991.63378026,8015608.5487243,6030561.87271503,4778068.59158915,864816.962160167,10841170.0380474,1264186.60075826,624135.75954389,10435146.5247142,5233990.37928194,11818801.635086,1837888.65113606,8381823.4674881,5075735.9090203,5247757.20578837
44276.5772947494,19226.261677459,24324.6836463109,41478.846913547,20261.0640613038,11145.038259534,48198.679367015,19909.9689153196,37865.2902069266,59982.6232472146,133210.543767786,49330.3128652116,64309.2851189757,87161.5940047687,23904.7778578198,62774.029556824,37981.246690952,62711.7255419615,59965.7900702751,91755.717690928,41012.219640739,25633.5573009822,45941.1787373238,48759.1174958706,46458.3351968173,107690.941016315,92954.1152577517,79852.984914027,143084.683582508,78505.2155551357,53594.8539432177,80138.7202820428,38381.4128675036,42125.6047773111,39492.0521095626,28554.5446347978,71405.6215525663,23493.3975048828,22427.3850412433,41252.0918832504,33028.8441780157,48944.58701441,38791.3169351951,18282.0899852062,44128.2051531024,15715.4667213142,66172.4871585533,131850.301517116,22290.4790136291,38485.0475990601,35174.9639199353,45459.1684316543,29222.1366123034,12258.9455820676,30659.1225014005,46452.8376738724,44143.9866842109,21065.5165390831,24274.8934471336,82283.2754791355,33207.143179727,24293.3793585485,15262.0779175471,36523.3590641247,27202.6632741819,12422.8142887727,45807.2514883371,78713.6856764158,45191.6584583451,39628.1792530438,36917.9503611693,24003.4531316402,27407.0938873187,22797.5259269296,41944.1495916948,37723.1048738082,48875.8599583596,40461.2305006988,20369.3621151908,47484.7823099593,42083.2082922144,31394.9611696441,27742.6769819837,39602.965241822,60421.2983388101,48851.2792930488,29076.9130739621,27121.1924962007,41655.6490747622,30593.5062257782,24077.9091291593,20143.1097577231,60939.3697118696,14170.9963070704,56222.2670814055,31920.7515939074,87867.1028813323,52680.0706342527,5133.09460204843,39929.3050268417,23734.898798851,53110.4381066495,53704.0927732741,17576.6965102731,35945.7078370924,13259.0153735024,16239.4648240768,20079.6780681624,23117.7282161364,25384.2494722524,43816.4805799207,22495.3819131606,27960.2794204836,16180.074808175,24033.6879074435,51498.7767463814,39133.7867281112,22140.7135314655,30203.2143903852,27786.7045468346,43312.0134070018,48599.6545209561,26240.2569610966,17708.9300746402,53224.9388260509,68707.2323012433,111438.124054354,44450.6694996832,16450.9623272234,18071.930720495,25577.3040167938,39873.0657424766,41209.0354670137,17531.7591492506,23845.5110675925,16386.3937506727,14459.9024492835,9737.69748503688,21239.0143579749,21199.0352205624,16994.3048590973,17681.056447289,29157.6633392585,42432.8602600891,21780.3156723862,16415.8828354312,46815.6638383508,11882.6391330792,11279.275445008,16258.4394283995,14464.4355835932,29954.3880001503,20835.1089413403,21367.5132170847,30359.2230000255,34350.38059571
73013.0633108021,56332.8487940695,43734.527894983,36432.7221719495,23576.7157988569,41716.7477595631,132160.619839564,11336.5416771142,99908.6457777207,152808.088350434,76624.8875573524,80356.7418662147,111248.21675579,76856.8070125566,43967.1792071836,77478.7446488806,75855.0174884162,125544.614180051,114753.965887703,56856.4751685841,96951.7799213603,60525.1584414234,87182.2933437657,72875.392982082,82778.4907342914,120671.317701336,125131.277215101,90728.8909610047,232111.202952465,99549.0663340776,277906.60983072,81248.0695615072,56495.612350725,70979.0333901336,103476.808447255,26961.7640446535,131468.380239064,56655.8445864562,43135.6484697545,51465.9554283247,63421.6523607797,103959.048132161,92612.0666363588,51223.980871292,89723.7165840498,32814.3785977078,73509.0922890443,84925.4709711116,122436.271942291,82691.1591588736,78980.4828456447,66856.9816288993,72325.7573107638,18450.1337796763,60148.7571587911,89805.1945543604,103712.111460534,37931.4705964496,43360.5928747313,96742.8684621454,74297.4611779739,49504.7838972712,43758.805979526,90737.7224780637,48132.8559811701,61270.142243915,82534.1010788158,71774.7245937044,92992.3861166871,76141.323183559,66007.943762525,66068.2931348477,44844.8128043829,152795.761390396,86262.3402949531,96102.1325581212,39573.8087293876,77228.0308135091,67282.8942870641,91483.7063493568,82411.7887112836,11240.7514898742,55983.8731110034,91081.4884300709,54923.3652950908,46391.732871754,94020.5953415473,17031.4053555115,74075.7308853944,97674.8042906943,87448.2450408319,27185.3333632122,169604.480912555,37675.1497911277,87306.9562301902,76185.1201177684,48455.5097196574,38603.9768433863,19170.4805872085,87767.4047646522,108085.872210362,51881.2799750405,57838.3223030747,73054.4985281465,98046.0536722085,32115.3815908249,52402.904113468,7883.85978640681,72190.745525832,64556.3532833959,83004.1198768419,60538.7655606497,64067.469587218,38774.4555415325,84292.2998956172,136904.314220821,40400.2660150887,43428.2763858508,68367.068921191,57792.1642071137,90859.1252580474,70642.0016409095,43413.0207534055,26475.9598199325,87378.7115197227,42329.5639009678,69494.6540756395,90588.4970452031,43520.5798544687,32941.0168931905,27170.8952259346,75705.7664609331,81396.5044343085,97851.90422037,69160.25321443,74981.0217791739,46107.0460927108,35627.0155952288,50376.1552215579,61505.8770837861,89452.9840688941,70087.4176400395,38922.2288960939,72670.6994434346,43789.7832291864,32045.1878189686,84514.5625989423,24587.9848434534,28566.0633091555,71387.8067194343,83325.0806648679,64701.3845683949,46102.5392631302,47607.8927440602,80077.2561720022,89560.0800403802
14300561.1378928,7966522.29136043,7455867.32975653,7447268.56590002,5495697.45927827,6517625.71160993,17985530.0144659,6607616.05639658,19432243.305098,17511511.7268615,20171755.5021563,13705025.0621753,21796277.6296964,16961153.3785081,12286908.8194946,14146283.9830432,11977791.6440806,19039031.8119382,19852131.3883457,19598779.9826228,15786325.3360819,16000175.0808757,13734972.3744448,16453026.2071409,18022313.4539266,18304646.5450925,20099720.5609732,17958616.9554327,25146049.0268088,15916137.7587058,14998095.6361952,16528679.3188871,13360576.9560964,13356089.4358626,19447268.2944759,6872004.86679957,20817423.167659,12731186.2712799,14513287.8090897,17313908.8592082,9259553.93419373,15893425.1898657,18431513.8769822,2878624.28798664,12862628.9847248,7665505.34232561,12139039.5803138,15821273.3347111,11473762.6545298,12643756.4211182,14585756.7220734,13303068.6619344,12276859.3111213,4683527.52037018,9247853.06713701,13102123.7524542,12694473.3669403,10506814.9513555,7852688.81103137,16754572.7170278,7794077.89054726,7865811.45694344,4438675.7416173,13418693.4642609,20359422.1774407,8077191.32915107,12385596.4341448,15813826.0649496,13167961.6316519,9858181.19444754,16277761.5767645,17428938.4325652,12525557.825222,10462287.7420193,15357686.896415,17607792.4264038,9898515.87183169,12537428.9618252,12575758.0649306,14035056.688377,13970051.0291066,13131092.3811107,12139099.4225547,16910268.4438112,10500083.7854607,9159694.07897888,10668604.5184713,9249374.21536081,12320482.3232563,13402928.8136082,14518281.6680684,4150726.81024032,14905615.9393795,6381569.1389159,18131877.2776001,14308121.670721,11889258.3223785,12825557.6500215,1969984.21710116,11768286.4127533,16151919.7981934,11721135.4101109,15437736.0444761,11612728.3020031,15343330.8410877,13523677.0305048,8582097.09487109,10128611.6778046,10907031.2518962,15537639.4311838,11182301.2397172,15830727.0136905,13266777.8233622,9385955.99045132,17892531.019312,9151275.39182535,8485086.68211238,13720212.8995693,13595851.1558248,12612355.5747917,13291222.2916908,11295614.4175571,7701902.44219893,7787566.64049489,10560944.4357878,12063971.31931,21877042.3561835,13908440.093378,10840685.1721108,3899154.04450934,9675274.08951501,10946364.5650492,11376472.6647355,12047807.1521055,10755086.9685083,9823660.92235275,11158031.4027694,4672074.12732433,14998360.049814,11093202.2277617,15187101.6512302,14255600.1381199,11163668.410781,11496645.1149631,11117773.9176394,3361199.48143954,13563354.9949319,3476646.67251194,3138121.37098056,17950200.7786276,11207307.7468236,15281169.8197402,7256428.7819138,15563574.9439525,10266691.5251393,11361403.5627119
23073881.0359572,3866058.37487,5183425.91982102,12690792.8115851,2673783.0416442,4943819.51243353,37600519.0609654,10361294.7130126,34237166.1809282,26435210.1031381,47752400.7104039,22441543.9433368,24304429.1388181,46226692.9574264,13619459.8250293,15949201.2352261,14282732.5696194,41056940.1754462,32359765.7987722,23829465.7599569,28550731.1369948,14045596.5199168,23353055.2904955,19039529.6543651,20112544.4203058,27201293.2384187,27453636.7115557,20004116.3483908,36937751.9272146,17419565.8625858,28573009.8949622,18202223.2707112,35290359.8894592,23679843.8431705,13430874.8417317,8208694.74948624,41103480.5324703,14054209.6675205,13451774.1577147,25866319.8894667,9468629.46834712,19437972.0790156,30880199.6690272,2495526.75833182,23206492.6008689,6127318.84317361,36336806.1275683,35186879.5574386,22661065.2472445,20074369.8076915,37520681.3467202,14425478.726178,26355498.6713793,5365275.24303135,16930694.9061059,20278697.8840484,21142384.4413885,13878166.4566581,6725754.33438422,20774912.1318174,9612806.76745281,12230221.3938627,6850955.15595653,18773564.6119198,29951455.6027012,7438038.21904209,22477359.4239177,35716044.3579119,30041001.9346286,26606286.0808135,16301281.9497395,12253270.7100833,49805466.6196355,16652288.5907777,36092250.1369956,44636713.143346,9533356.12956159,22337222.3090175,13754756.1969584,29847085.1790315,16844547.4327888,15134472.9527805,13121159.7577722,17974110.8271843,74645082.6459081,10052773.8083741,10855188.4600867,9326376.60844725,21321564.2498541,24253173.2338636,18266498.4749798,2829965.93324733,19551383.267709,6240071.5476244,16580025.5215828,16162097.4503691,24315760.6665274,45533662.7284488,1040167.48029966,21843657.3438121,26171906.5569668,18804950.0950675,24485912.2402863,14198098.1076038,21984450.7811381,23123470.025386,9335127.81631207,8853074.36858187,21060138.6849808,22131716.0571437,20061653.1752429,16955600.0786173,11637299.7876425,12277860.4148827,15508088.6981889,12030291.2733825,8501102.14698579,21413760.0545782,19354742.7234637,15387342.8189711,33367282.3026803,21178613.4541311,7335900.15722071,7299941.60040421,20031903.0944278,21309100.5173925,38154739.5409345,20728377.5520346,15697218.7895966,2566109.07187267,15077965.5685192,18029035.562707,21298595.0280455,57792736.8975762,17100568.3024951,34456587.2525683,35326516.3849356,2733529.03786807,54028712.7960189,14181900.086129,18402152.79992,11777913.0231996,18772993.3262476,18528422.9562862,24736714.4527357,2078708.3946534,28521595.0277863,5555927.99499395,2277651.46263017,15472171.4048635,17552752.0089627,14122804.2831787,3394356.6478867,19520507.8567404,16848944.3731565,21832580.0209959
72939.6977067176,42993.9951905636,44307.343788291,51798.2078565777,39579.1160067303,34859.5636543216,97015.9983462027,58843.2737800811,100671.412831421,116122.946448657,60956.8077315944,58485.1354151598,66037.2441662579,71869.9603487401,44821.1540535161,76333.047220096,60880.3215954235,104984.194659979,110953.422809559,59008.8844712334,85774.7795727997,40614.6899437363,65648.2371892662,79909.4806074946,74732.1227645802,85075.0552301611,70262.4461480641,160522.860193846,131963.059561034,65929.8520744007,69435.7416177056,67067.668937991,93091.320466454,81696.1342296201,88085.0028215049,70425.0476869798,133919.259705063,44424.5873627059,63913.3541027841,67396.3653842995,62131.6638896598,91332.6796999762,119187.133731351,61863.1705120473,68569.974516256,67692.6178081539,80678.0632423548,335113.904360385,116733.165234781,61887.3413796553,78620.3417815848,65607.7247278472,181307.779811388,63148.3690181304,76972.4493190448,64979.5031864191,109011.339228926,47877.7608183223,68588.2712625767,179781.855607738,110979.468198859,52067.0214218379,87498.7144778598,107354.865783559,225414.118667089,57293.13470694,67641.3927664497,84605.0621506985,126027.084149412,82219.3774181389,51959.5480568382,60758.4882854485,90807.2493383778,54162.0035002248,115280.55594444,268521.232169536,47780.9281798446,58604.6745964757,85231.1724736197,115467.45561968,99250.7661857359,106581.820913483,42040.1075715487,74724.6607638213,127629.975340294,51385.5666507205,53933.4538310469,66388.0337962027,71745.7748155822,90330.386735414,57610.5548788682,62111.5172380676,118671.222402899,43116.0953095014,70407.649785066,50702.3620471984,67337.6021892508,134999.679525437,33726.547948702,62674.0566973386,85849.9358633437,56211.5232209354,61271.9437015146,35973.7101045197,66922.1679582987,108333.148961714,83942.4267388017,41184.806775861,61037.4775236644,74848.3447417801,69999.9228326766,116902.374479814,79476.247385997,41886.6302580141,88295.8672423852,40528.9391639611,42852.7655530958,42311.696648126,66230.3830021716,45816.9023564395,145177.529236486,74772.1068915252,52999.5570701877,57928.6305858412,101926.400551091,47294.0302916612,229195.36515216,74480.4849303532,65483.2688832056,99460.0012058149,67614.8980103926,214707.576022467,67129.2149765981,93699.4487609098,207610.731602625,85697.8628038886,69326.0714795309,27734.7500083103,88817.7772453493,96866.12789778,84769.1829567786,76399.5842001025,63152.3604190514,73525.0168156588,66597.5243521362,60358.8902217631,132990.304008963,39050.4993810761,43787.4235830295,148983.225884879,67909.4149862207,91001.9371299496,190305.654237553,92286.5116032173,89403.2054725997,62578.0947618101
55921.7695774904,19626.5301048961,455454.141834447,23126.958915452,22318.1923924856,16438.8917833362,35311.8786720676,47576.8937556474,58900.2835895827,85231.9760954646,30822.3199536357,64114.8320290617,16094.4583809904,28465.137144018,45707.8628983092,29069.2432715062,21817.6279435996,27712.9284734085,30608.1141655231,17321.1097334969,79768.2367766434,23100.7866295442,57018.1809602227,29627.3079030572,19114.1397483588,6955.31984756886,14366.1651520298,20771.9071117212,18934.1137619152,22439.8823239849,17438.5328803085,15576.295367186,81958.8683395895,68568.3393093602,25355.6444512443,35783.9412400731,30255.351930394,18538.0255634459,26569.3050897431,17487.0683605633,31803.4240271941,23730.7638673942,26295.3120207286,66830.8980888595,59980.3470430655,38206.9484875437,20407.4032522277,25714.2930288552,125582.252431486,20524.8923988307,96814.8971750236,22384.2712463479,312768.304685764,41674.4679962413,29711.2360520435,70054.8058374375,24060.3971148285,31670.1612920919,20540.3957404421,21285.9395070364,74139.6937318027,27687.1722929243,77037.6330150113,50352.7603024354,20010.1705689051,37777.0968305941,55779.8985534049,69557.8194427498,31883.5913587312,46608.7967501905,12909.884981103,29364.162137195,63704.6477685609,45211.4574922954,43924.7790352792,85814.9294490568,35639.6186379539,63376.8258082919,35751.3987656683,32303.0676724646,21573.6189735618,60267.7444651644,27743.2152654194,14091.1754739683,32717.3908514323,19700.3641282482,16276.484944373,33207.9984780633,68177.031290332,53470.6306567461,24023.8892577059,26058.6135609182,26969.5402436565,44609.2053802693,16322.4799735259,14856.3702229859,138816.852631755,35762.2036969158,33576.8850246121,56055.8745861574,74086.5367725141,27302.290361944,18893.8200995352,7878.52267338028,20275.3806849793,26735.4054043638,32796.8198995856,13548.3826664547,15685.4681414935,23416.6930057612,54468.173462848,29692.9638247714,21092.2299301327,28033.7574531358,25777.6712974723,17622.6796725572,29830.2152491513,15145.6735155027,17437.9827024681,165355.795670953,26528.6009311816,67909.9373971688,28712.5293151931,26705.0707579443,30483.1355790566,25740.528691758,14374.9947765017,15642.1148497558,53103.4184849323,32289.0004579861,37294.1246169437,51977.3526024799,58079.1602343987,33668.6409286331,32989.8544864668,20698.6056351799,46908.9162985501,28753.1780933408,188477.841024692,19397.0375866128,90932.1594497366,30615.2117175117,28765.6909259528,55776.6759947948,61551.0912480477,21598.4208476919,94416.4602374005,31873.0548597568,39859.5552343369,36261.3395231272,32894.2251613738,18334.2742892739,108760.794744884,49075.6940443706,43988.9604077636,51544.2143222801
558641.221246668,324189.781744671,304131.306680464,242372.073258366,341663.620469039,488454.927749404,850343.772743008,459146.918188982,985991.340447477,723352.930185361,557378.449156457,750875.904931005,988366.650474283,833184.491012717,794530.048967795,609790.553281255,1104286.55270447,780437.161053889,720861.712197156,575844.337079726,634061.701447465,499182.058682471,683790.649859248,385339.070649366,741957.729583603,394460.540436032,761829.907171739,799919.826686266,552395.628650812,447900.931834248,418279.130520331,461948.810272761,431462.50244563,754935.264943477,645823.230245724,371781.091691949,579227.770376069,692970.788586148,375082.272967136,515757.382280357,765504.114099605,431043.925150943,844467.77112541,139904.759175466,600673.668822933,652365.209373861,578870.094745224,634454.264476083,529396.628877201,698071.62994736,896331.460694822,490945.260834565,550304.282500499,404151.330942931,446726.724681155,565031.984149725,523675.553438963,1007996.28367665,735677.321102598,899063.838610817,500228.29713362,427085.788294968,408100.133039067,871431.505615667,632309.447337726,600064.727003864,628569.910898038,423054.212554457,391200.218510634,355402.934513538,609423.749491798,633994.147470959,890462.239153647,314125.552209036,831088.310962979,498186.447402479,344690.973807076,709864.672309013,410689.52554246,666669.74907473,748700.713544997,455285.665776894,241389.169894497,751347.828784879,496170.739953871,360131.041340311,659278.747801719,609772.024231613,547943.539817453,897806.764770456,861124.704479384,287570.58189989,475382.563338768,298870.409806528,1052365.37549509,672143.176551134,669230.613980039,506718.322576423,152530.498545113,706708.516359348,1120064.76746797,717518.66188669,917742.559248802,687253.469966582,674001.550534954,2088254.24489666,712416.061089107,770977.854680167,669276.958521399,963727.610238276,704881.872834654,861893.431932458,860202.090564192,1779598.65084765,927790.041729148,423193.939154983,584122.083593657,1044669.41034101,1000066.66135314,770674.718810752,837595.410244507,694641.563472738,486687.318373743,732359.491459551,689874.826683138,808154.023319068,846685.747473633,736502.980385865,944760.258093911,356721.933145656,1414681.55121273,972622.418542572,695647.376589174,528145.704610967,680889.68027441,870796.069943782,1076204.93535718,319960.803595971,1237622.90549777,502418.470847257,1023199.04905915,479498.592552133,592073.007648904,623573.260613327,750285.84487297,312542.9274,922449.20629722,142729.486143581,188505.518371149,694916.657554647,702728.564164018,961264.333985875,268434.984383593,778081.739502656,903287.648932601,726182.182823591
