"genotype","COMPOUND","mean","variance","sd","range","se","n_samples"
"138","1-Methyladenosine",-0.0279162512618558,0.00468541303099702,0.0684500769246976,0.157337200795527,0.0306118050137427,5
"177","1-Methyladenosine",-0.0663155528003518,0.0076275755506286,0.0873359922977268,0.21489208070026,0.0356547695515121,6
"208","1-Methyladenosine",-0.100151252466627,0.00496856748452112,0.0704880662560771,0.152537837823621,0.0352440331280386,4
"235","1-Methyladenosine",-0.072905802874396,0.00902075059616544,0.0949776320833776,0.209998777747518,0.0387744559303447,6
"303","1-Methyladenosine",0.0042330372881311,0.00837366927062016,0.0915077552485043,0.226896299433098,0.0373578846443875,6
"306","1-Methyladenosine",-0.116109035528872,0.00462397626240136,0.0679998254586095,0.130151186414979,0.0339999127293047,4
"309","1-Methyladenosine",-0.0343809123770754,0.00553246432031722,0.0743805372413861,0.174276086448509,0.0303657271725796,6
"31","1-Methyladenosine",-0.0974643887516502,0.0126577609873464,0.112506715298894,0.253801873632308,0.056253357649447,4
"319","1-Methyladenosine",-0.0988889292059147,0.00339929416867862,0.0583034661806536,0.144715674752014,0.0260741027407603,5
"320","1-Methyladenosine",-0.0673717989793953,0.00452906879911679,0.067298356585557,0.189357179300066,0.0274744390270811,6
"324","1-Methyladenosine",0.0577466747357953,0.00608837063475869,0.0780280118595796,0.179091326004378,0.0390140059297898,4
"358","1-Methyladenosine",0.0737670578810664,3.73593620818456e-05,0.00611223053245259,0.0107367517594688,0.00352889794326055,3
"373","1-Methyladenosine",0.0779898669755399,0.00059934516454424,0.0244815270059741,0.052167005413016,0.00999454154813383,6
"375","1-Methyladenosine",0.0369028239141046,0.0102472276087294,0.101228590866066,0.143158846102708,0.0715794230513541,2
"381","1-Methyladenosine",0.119953805480513,0.00653876487118624,0.0808626296331392,0.203737675501997,0.0330120303101416,6
"406","1-Methyladenosine",0.0737599023607782,0.00809173425228142,0.089954067458239,0.22851685913203,0.0367235942600971,6
"42","1-Methyladenosine",-0.0358000074536051,0.0250459660564555,0.158259173688148,0.223812269799739,0.111906134899869,2
"440","1-Methyladenosine",0.0566933416384391,0.00777622176881218,0.0881828881859297,0.259290976568076,0.0360005133500718,6
"502","1-Methyladenosine",0.0390697347276489,0.00610342335654468,0.0781244094796542,0.162791872053539,0.0390622047398271,4
"513","1-Methyladenosine",0.0516014860804534,0.00706577101635274,0.0840581406905526,0.252545816154388,0.034316592236489,6
"531","1-Methyladenosine",0.129715479315455,0.00915140600556767,0.0956629813750735,0.207122955429606,0.0427817858569921,5
"535","1-Methyladenosine",-0.057299330910791,0.029914158623593,0.172957100529562,0.378229454467503,0.086478550264781,4
"566","1-Methyladenosine",0.00770425672075474,0.00620077025102076,0.0787449696870902,0.210203512713497,0.0321474992573833,6
"57","1-Methyladenosine",-0.103218129733803,0.00628205020834088,0.079259385616726,0.217748536299847,0.0323575086812445,6
"776","1-Methyladenosine",0.0956534892379862,0.00241357965894953,0.0491281961703209,0.115901865009638,0.0245640980851604,4
"83","1-Methyladenosine",0.0630402592087446,0.00351073332747264,0.0592514415645108,0.148740623995427,0.0264980502206205,5
"853","1-Methyladenosine",-0.0681715919061154,0.0192556691425558,0.138764797922801,0.335017082594831,0.056650491528547,6
"879","1-Methyladenosine",0.00604344283071018,0.0251067664578301,0.158451148490095,0.224083763168285,0.112041881584143,2
"913","1-Methyladenosine",0.0452397510129068,0.00205173107915054,0.045296038227979,0.103681201582839,0.0184920301713582,6
"138","1-Methylnicotinamide",-0.166598678733445,0.0116181703253032,0.107787616753054,0.264822724983706,0.0482040876385047,5
"177","1-Methylnicotinamide",-0.0130447835530313,0.0404341381909856,0.201082416414229,0.474516429447768,0.0820915527434518,6
"208","1-Methylnicotinamide",-0.0942277898220104,0.0114735015906367,0.107114432223845,0.251626256434051,0.0535572161119225,4
"235","1-Methylnicotinamide",-0.061877370657276,0.0160663320206868,0.126753035548214,0.330632437629637,0.0517467100736637,6
"303","1-Methylnicotinamide",-0.11153158786406,0.0123538338516917,0.111147801830228,0.304342669216503,0.0453759000860069,6
"306","1-Methylnicotinamide",-0.12393222939467,0.00379570621352099,0.0616093029786979,0.132403304239722,0.0308046514893489,4
"309","1-Methylnicotinamide",-0.0961024735688184,0.00718702972915242,0.0847763512375499,0.237363600605968,0.0346098004644937,6
"31","1-Methylnicotinamide",-0.166328450123344,0.0107219158666733,0.103546684479385,0.231802905864919,0.0517733422396924,4
"319","1-Methylnicotinamide",-0.0245358449807034,0.020374393990551,0.142738901461904,0.363427217220901,0.0638347773404921,5
"320","1-Methylnicotinamide",-0.118388221823586,0.00786026132453702,0.0886581148262076,0.207417170448446,0.0361945238135481,6
"324","1-Methylnicotinamide",-0.0482595318590706,0.00531597719712839,0.0729107481591596,0.177776335458164,0.0364553740795798,4
"358","1-Methylnicotinamide",0.0469157111908423,0.00915539015085679,0.0956838029702875,0.189435417264605,0.0552430694019826,3
"373","1-Methylnicotinamide",0.0555206987514262,0.0190969371541152,0.138191668179074,0.366168881205821,0.0564165122904563,6
"375","1-Methylnicotinamide",0.0391080756443793,0.0691092740414602,0.262886428028265,0.371777551881391,0.185888775940695,2
"381","1-Methylnicotinamide",0.101041841939198,0.0218360355326201,0.147770211925882,0.383343235950861,0.0603269364002241,6
"406","1-Methylnicotinamide",0.146395198981639,0.0726863167596547,0.269603999895504,0.718461686148917,0.110065372059559,6
"42","1-Methylnicotinamide",0.232492796604373,0.00589531656254529,0.0767809648451052,0.10858468181604,0.0542923409080198,2
"440","1-Methylnicotinamide",0.0595476683353696,0.0547036313775327,0.233888074466256,0.678632806315347,0.0954844065607335,6
"502","1-Methylnicotinamide",0.0575369909098739,0.101214693440811,0.318142567791252,0.671824004876188,0.159071283895626,4
"513","1-Methylnicotinamide",0.0341871368295292,0.070293154333996,0.265128561897801,0.784012188264036,0.10823828214792,6
"531","1-Methylnicotinamide",0.0618521885740359,0.0270009896083347,0.164319778506225,0.403993937595188,0.0734860389575254,5
"535","1-Methylnicotinamide",0.016620047063481,0.0710368283369344,0.266527350072998,0.601921287251048,0.133263675036499,4
"566","1-Methylnicotinamide",0.128699048100838,0.035236896660649,0.187714934570079,0.506761783763885,0.0766343011327707,6
"57","1-Methylnicotinamide",-0.162517352965907,0.00190147194439926,0.043605870526791,0.115380683466003,0.017802022096751,6
"776","1-Methylnicotinamide",0.103446140275173,0.00638821167266388,0.0799262889959485,0.173933146791377,0.0399631444979743,4
"83","1-Methylnicotinamide",0.0893411439713555,0.0101961876769611,0.100976173808285,0.243705326825795,0.045157917748632,5
"853","1-Methylnicotinamide",0.0528587983196007,0.0783239562890217,0.279864174715203,0.708733329183729,0.114254070889562,6
"879","1-Methylnicotinamide",-0.015223404856848,0.0105689722360544,0.102805506837204,0.145388942055814,0.072694471027907,2
"913","1-Methylnicotinamide",0.0796752623900314,0.118568309601443,0.344337493749145,0.888408305982594,0.1405751931657,6
"138","1/3-Methylhistidine",0.0511864126854714,0.00856359314814565,0.0925396841800622,0.219865223976014,0.0413850048885962,5
"177","1/3-Methylhistidine",-0.121815476465294,0.0420924574905028,0.205164464492521,0.480130064343525,0.0837580418930055,6
"208","1/3-Methylhistidine",0.0583664201957526,0.00680906824805827,0.0825170785235291,0.187438321178354,0.0412585392617646,4
"235","1/3-Methylhistidine",0.093726708249143,0.00844882550472564,0.091917492920149,0.237842592244651,0.0375251593483751,6
"303","1/3-Methylhistidine",0.128898062561456,0.011410496148903,0.106819923932303,0.3318847341725,0.0436090513328426,6
"306","1/3-Methylhistidine",0.139034670685717,0.00725864832419271,0.085197701402049,0.170542322351788,0.0425988507010245,4
"309","1/3-Methylhistidine",0.0406232000014969,0.0118134140147803,0.108689530382555,0.262184099235329,0.0443723149699981,6
"31","1/3-Methylhistidine",-0.0292483318581732,0.00848024529452883,0.0920882473203222,0.212014979001788,0.0460441236601611,4
"319","1/3-Methylhistidine",-0.0245684244583929,0.00738583707830346,0.0859408929340594,0.227818419882048,0.0384339357295176,5
