"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"1-Methyladenosine",0.103123943849312,-0.0933593525981959,0.0365961371590166,-0.0435844639274985,0.0155795550719198,0.0806848171338133,0.0230517522355976,-0.0365294290798543,-0.0413339156371059,-0.0376208680351696,-0.0387411183074315,0.0196420860565314,-0.12947004711134,0.0125309327587115,0.0189809565081824,0.00693529727086162,-0.122892619117318,-0.0220815028201632,0.0631397892475674,0.0176404903808197,-0.0436661862817404,0.0100024220294456,-0.0475863645117483,-0.0771521634838871
"1-Methylnicotinamide",0.144746751900188,-0.0119679339452223,0.0154905222300074,-0.0297826014048093,0.0922471535275209,-0.0384823089785301,0.0525944860354674,0.00536894229515603,-0.0207110179842168,0.0303248840379574,-0.0361217771619145,-0.0687341178506617,-0.0222329595654497,0.0464853991692089,0.0336873050464333,0.00953262575590732,-0.00581290145000313,0.0128999664273013,0.0482915115441405,-0.0385199144438989,0.0126256371480025,0.0287247472308062,-0.042674410739998,-0.0557684282634796
"1/3-Methylhistidine",-0.133531159994466,-0.0267199694862765,0.0516981041041614,0.00391865327827533,-0.0178198118656522,-0.0384767231001697,0.00994386092057309,-0.00292841670172286,0.0834657928260441,0.0450982427941393,0.0159197096825135,-0.020212313709925,-0.0272268963099583,-0.0679571691993676,-0.105702634424768,-0.0341271345429375,-0.0350821746988876,-0.0331976027050339,0.0912881736283659,-0.0142819038038685,0.0731387352309992,-0.00113775746851338,0.0551155829405225,-0.000210841568931176
"2'-Deoxycytidine",-0.0212560890328018,-0.0752214453645094,-0.0011456316291496,-0.112361184871922,0.0928152218056768,0.0701923715226854,-0.0678082507637488,0.0381717401611714,0.0112230657978054,0.0127644095606697,-0.0561858446622098,-0.0253553999814578,-0.16497964154282,0.146538403630367,-0.0270364260023377,0.14482428208822,0.179940055579249,0.0112556701045605,-0.0312077071969616,0.0423171803839797,-0.161550432705312,-0.0706598185781113,0.133758175239889,-0.0194020476417257
"2-Aminoadipate",0.00100911631248305,-0.0535648713238307,0.0224717647713939,-0.063242797542216,0.0194632736728766,-0.0131955292589459,-0.207842978012739,-0.0518527018188359,0.0499839091012483,-0.105931153213832,-0.0541006745784589,-0.238935862210088,0.0268795609602218,0.122898205723811,0.000784150117698335,-0.0611327815820231,0.000154736361205266,-0.0666685413638677,-0.0888421315197717,-0.153756774007926,-0.0955476050522767,-0.00293406725600374,-0.0639772909766479,0.00728145156135457
"2-Aminoisobutyric Acid",0.0761118088802823,-0.128579861150893,0.0359097155232208,0.0283689042702198,-0.00490599717094226,-0.0159681886428964,-0.0431903260619483,0.0108892317443242,0.0874811361200518,-0.0702079985667895,0.015014645017759,0.102991277530705,0.171533726722176,0.0275320665779343,-0.067456737182981,0.0699038932561014,0.00646199024816561,0.0317279643406614,-0.00712768867132188,-0.0694453146205546,0.0787944649495475,0.0140337098718866,-0.0395433735493986,0.0464185670321587
"2-Hydroxyglutarate",-0.079479755743612,0.00865037774700092,-0.117854566367152,0.00630888468529295,-0.16885640288425,0.0125597848683977,-0.00814047176505852,0.0536933157503182,-0.0803506046637945,-0.12555171535457,-0.0220315075619885,0.0278039421082368,-0.0216994468416092,0.0254334151293156,0.00803361071652808,0.0368630603963735,0.0307592288842692,0.0355187932485093,-0.0381337530935934,0.0119624606212102,0.072999679635368,0.0479291294878303,0.0112450683184995,-0.122951568747826
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.0422494756623528,0.0762610478208919,-0.0249518304813321,-0.0688461730956452,0.100852141137751,-0.00872269582601851,-0.0964300807285461,-0.0379551300268168,0.0505470416298266,0.0552024642165411,0.0529093608151822,-0.0342143080395256,0.0630517389605876,-0.113061027347263,-0.0756662662726108,0.0486786351504192,0.223532675028391,0.0201325936346104,-0.0650189158816025,-0.0438695825375713,-0.14559220788455,-0.00409830943022422,-0.181513392107763,-0.0470379868040472
"2-Hydroxyphenylacetate",0.0976676727126375,0.0967613303602857,-0.00410011283275215,0.00289646401768529,-0.0445630262923308,-0.0955475305602906,-0.0563805329165652,-0.0126352647919173,-0.0203256817081624,-0.0937049950286356,-0.0136150618376529,0.0851871836080254,-0.0505865216802191,0.00530778830242212,0.0314333522875604,-0.0573454966052571,-0.0848745656043422,-0.0346738976597559,0.0636761987033762,0.0641881120594403,0.000918014271441586,-0.0560495486755267,0.0188836036140373,0.0642717848671484
"2-isoPropylmalic Acid",0.0717884639569111,-0.0439114949926747,-0.0194058391451265,0.191610343354407,0.00146040858814195,-0.00838897780446449,0.0690971607995285,0.0883397647270209,0.0132831294478257,-0.062646548828734,-0.00907623008298697,0.00277582123672565,0.0694458743697936,0.00973807207689315,-0.0194351780549832,-0.030453830477231,0.0392222122083624,0.114648817231489,-0.0682368470540184,-0.070949266115627,-0.0687070653322794,0.0522123568138775,0.0363554049498548,-0.0116758608094946
"3-(4-Hydroxyphenyl)Propionate",0.11485752450169,-0.0211914828788541,-0.0373893243364618,0.0236620977302471,-0.0175998349161079,0.0294460377002459,-0.00785276685619268,0.051893460608546,-0.0409790373013209,0.0248782262189459,-0.0569042492639217,-0.0461269303818446,-0.0499094664487699,-0.0967643238427336,0.0430788440113559,-0.0322803741831349,-0.0299841957874378,0.0107628446154507,0.0305964641481302,-0.0192331359939608,0.0480342011557386,-0.00417964341625082,-0.117218892732177,0.0350478276908338
"3-Aminoisobutyrate",0.0460749399312485,-0.146596810209681,0.0268156306185186,0.0401738490868123,0.00369758491958655,-0.0135139903185388,-0.0380330699686318,0.0118818658747511,0.0875061731568321,-0.0772407460051685,0.0244002949222377,0.0904545402799758,0.18812956315765,0.038959011782809,-0.0780894404008677,0.072664837325806,0.0138004617330135,0.0419153798560421,-0.0124732856576658,-0.0883604785648269,0.0914965088540952,0.0170568608353703,-0.0463084482788328,0.0439657084934626
"3-Hydroxyisovaleric Acid",0.133732711415772,0.0369935271633917,-0.0385151651763123,0.00817449710498287,0.0522974352373437,-0.0768776337770328,-0.00989957153905817,0.0419920822474762,-0.00660797236814693,-0.0562933309952753,0.020026596422137,-0.0085374648683042,-0.0321841819564144,-0.028008142275203,-0.037154445388637,-0.011397268136263,0.0640217603636044,0.0591138936873504,0.0686226894381888,-0.014453629821019,-0.00790573209481021,0.0645967218516115,0.0182243480073897,0.0336919103947642
"3-Hydroxypropionic Acid",-0.0467350509664161,0.0623384085343258,0.0719400307442566,0.140363291591151,0.0731450647840609,0.0984565190799699,0.0667993445135222,0.000317779934892862,0.0828400257052764,-0.0475948758129495,-0.0207386929831152,0.100398658520416,-0.109029992926466,0.0440750231296223,0.0773719731323043,-0.0954531560030839,-0.0282708606474445,-0.0412878568245961,0.0330548018445533,-0.108535268998541,-0.0200833283663593,0.0182136439659776,-0.097681954255493,0.14957817822294
"3-Methyl-3-Hydroxyglutaric Acid",-0.0109581313785138,-0.059793380036656,-0.043103269655167,-0.00138790883044999,-0.0429687997405534,-0.0092273257446526,-0.0365181140931547,-0.0684708568575221,0.0689686898845807,-0.0543105841218446,-0.0850646300347966,0.10672759572992,0.199238796791026,-0.0634255648205581,-0.0652125889143067,0.0703861938606596,-0.0771330191756387,0.0609195194572515,0.192127613487261,-0.0194624636836631,-0.195081184779165,0.293384449715442,0.112891067560932,0.0643898469306499
"3HBA",0.111011545200324,0.0237203367482421,-0.0338237042916478,0.0049906107008729,0.0065069419849127,-0.0165398405250067,-0.0806204235111121,0.0340132153918257,0.0336088668591833,-0.02073548859248,0.112946060745919,-0.0350892845671888,-0.0771832932049104,-0.185637552823815,-0.0714124367551797,0.0571214027193513,0.126468349307355,0.101914631199787,0.0735687194619567,-0.020822689952708,0.0573079253644249,0.0768454988363666,0.0258896915304783,0.017912510771888
"4-Guanidinobutanoate",-0.10321522078919,0.0807973250442767,0.0293309884814873,0.131135004383556,0.11857038241207,0.0333303367424729,0.055692703096696,-0.0359293763341604,0.0394026319471345,0.0277456562888625,-0.016167676896218,0.10293184219699,0.0120244164221867,0.00524350444792435,-0.0795389317577551,-0.0374570928147314,0.034590322296081,-0.0612074362359064,0.00566674778797477,-0.0373124043706356,-0.010135991161137,0.0379369338793514,-0.0142887389804195,0.00231144456426841
"4-Hydroxybenzoic Acid",-0.0162874283618214,0.0155542460526609,0.0464357731751236,0.15721464703981,-0.00930912216195611,0.072310497063313,0.0629001218661749,-0.0117210439159146,0.168412941539369,-0.033363304900407,-0.191568544642527,0.0430487686662824,-0.0228319657348609,-0.0515691155872378,0.176918264430982,0.0568624935399258,-0.0552830549234585,0.0773042201927801,0.0270489056215343,0.0525634863724566,-0.0459073245551632,0.0960491482612895,-0.0508081485387586,0.0637060694388603
"4-Pyridoxic Acid",0.0128848985162685,-0.158506437129148,-0.0467963772816327,0.0169495320771341,0.0743716760087377,-0.0858743351484515,0.0841951259444163,-0.0180169415447252,-0.0156629840464688,-0.135001068258686,-0.0297370439905445,0.0201426829190059,-0.06136627542803,0.0400502731178455,-0.0370682090062231,-0.0280003402933952,0.131131538510188,0.0540858589901213,0.0319827258429652,-0.00649731608788182,-0.0538964832711132,-0.0115050916404274,-0.0411873570654808,-0.00250839444772172
"5'-Methylthioadenosine",-0.00617829312348395,0.0185935800381793,-0.0648438709367416,-0.102234975607181,-0.00349429867943462,0.0539572306626442,-0.135837527417705,0.0215304492070956,0.0915370059553814,-0.137069263574021,0.113672860800243,0.129888599191137,0.118416199757617,-0.0847509579572958,0.014453607136531,0.116314202166554,-0.113995034100913,0.0350630560967839,0.0955045076519093,0.0186726520175525,-0.0121546190835006,-0.0236279774003392,-0.0095076383108898,0.0355136774854806
"5-Methylcytidine",0.012727277379159,-0.104340964117906,0.064191745345452,0.0099274576687243,-0.0791581782294403,0.129230958445698,-0.140884838218525,-0.0853137882237876,-0.0513165601084863,-0.0124426253502383,0.0845599570601609,0.00371629616713912,-0.0633495698040157,-0.00261418114540754,-0.0950711040642381,0.0564441809555519,-0.150146954516097,0.101368527985615,-0.0649258632950289,-0.0540659698501934,0.029400033132304,-0.14784037684676,0.0416440263036921,-0.0124044144814301
"5,6-Dihydrouracil",-0.0278126710011121,-0.0610068606501958,-0.00864367828801947,0.0468320971269232,0.0172315061668883,-0.00326306053238893,-0.0548435059905836,-0.236392935601402,0.000708681564298173,0.0723128844828165,0.219295899446825,0.0014994443055851,-0.00810651034225834,-0.03352239193958,0.126490488445023,0.0121107236528115,0.0124724749458611,0.0568194279529087,0.0469509308520948,-0.0163967114413942,0.0187571386185126,0.085967212875472,0.0219748341471359,-0.140794374857138
"6-Methyladenosine",0.0358894684991923,0.0621962253022805,-0.118187525083243,-0.00920630878070324,-0.0371201411932115,0.116827615803194,-0.133913996237936,0.0368607099956686,0.119104041219805,0.0906511835301952,0.0876938902146056,-0.00250493114161082,0.0270779628916509,-0.0342890551238381,-0.120319552944751,0.0911900989165763,0.021300278911582,0.00798229435827472,0.10342178060932,-0.0349186107142575,-0.00655164401664679,0.00723967777283327,-0.0748687275275342,0.00321522365611992
"7-Methylguanine",-0.00993726202266703,-0.0418735037483942,-0.00572818893970386,0.0401015689650279,-0.0872949441025444,0.0205720888832622,-0.057685433385864,-0.211274822074363,-0.141327681881474,-0.0705488609087055,-0.0345072185335859,0.00958215554528469,-0.0478494558483707,-0.0404950332216904,-0.0290094464631921,-0.0734336888050243,-0.200963292587069,0.0910421868849302,-0.155711625243953,-0.106509852559622,0.0330813394710089,0.180135039458825,0.109909901518901,0.0701191330218641
"Acetylcarnitine",-0.0256310061762862,0.0446441963696329,0.0689083249139856,0.0428505225243461,0.149620748217521,-0.043044134534541,0.108745624129356,-0.0259906437457253,0.0531481128266517,0.00820552790771699,-0.0312664602523086,-0.157022991449063,0.0453012394937075,-0.06901065187008,-0.172868988593884,-0.00950160798827335,-0.104683393161171,-0.0795032446707026,0.0553695063288717,0.0122370273804152,0.114852516995967,0.0737432584253015,-0.10931479242558,-0.0547804454110938
"Acetylcholine",0.000527530693664544,-0.022035118760833,0.0313300860261335,-0.104152760015986,0.0609734520580695,-0.0568826805845044,0.0401678479596529,-0.0256531582770435,0.161546392037723,0.162919496019529,0.0204768730500319,-0.0721114570151247,0.0283895726706592,0.095988975523867,0.108350329447727,-0.125549157290651,0.042047333937494,0.00166969822223867,0.0931947576967592,-0.123340292436178,0.142777247020335,-0.0352183027140825,-0.0668184471308141,0.161198339452601
