"genotype","sex","n_samples"
"138","female",3
"138","male",2
"177","female",3
"177","male",3
"208","female",2
"208","male",2
"235","female",3
"235","male",3
"303","female",3
"303","male",3
"306","female",2
"306","male",2
"309","female",3
"309","male",3
"31","female",2
"31","male",2
"319","female",3
"319","male",2
"320","female",3
"320","male",3
"324","female",2
"324","male",2
"358","female",2
"358","male",1
"373","female",3
"373","male",3
"375","female",1
"375","male",1
"381","female",3
"381","male",3
"406","female",3
"406","male",3
"42","female",1
"42","male",1
"440","female",3
"440","male",3
"502","female",2
"502","male",2
"513","female",3
"513","male",3
"531","female",2
"531","male",3
"535","female",2
"535","male",2
"566","female",3
"566","male",3
"57","female",3
"57","male",3
"776","female",2
"776","male",2
"83","female",3
"83","male",2
"853","female",3
"853","male",3
"879","female",1
"879","male",1
"913","female",3
"913","male",3
