"component","AIC_null","AIC_sex","AIC_geno","AIC_sex_geno","AIC_int","AIC_min","delta_null_s","delta_null_g","delta_sex","delta_geno","delta_sex_geno","best_fit"
"PC1",921.38574550414,845.251743021757,942.352243239458,833.596988826602,790.758349013155,790.758349013155,NA,NA,NA,NA,42.838639813447,"AIC_int"
"PC2",825.31786128939,821.353289695299,798.937958568232,792.219987020682,746.81631174882,746.81631174882,NA,NA,NA,NA,45.4036752718614,"AIC_int"
"PC3",785.898735882011,761.631587039645,780.990165114046,739.752571502118,631.0689157381,631.0689157381,NA,NA,NA,NA,108.683655764018,"AIC_int"
"PC4",713.9507439244,701.656184593885,600.519625240826,552.811863206692,502.244525890322,502.244525890322,NA,NA,NA,NA,50.5673373163705,"AIC_int"
"PC5",681.089281056333,680.05999846692,613.925955066851,609.063164327239,578.494095575234,578.494095575234,NA,NA,NA,NA,30.5690687520049,"AIC_int"
"PC6",674.021245311997,674.288923499259,612.608840545068,609.317667742518,613.830656567397,609.317667742518,NA,NA,64.9712557567407,3.29117280255002,NA,"AIC_sex_geno"
"PC7",642.813662919862,642.549191268484,503.59415767628,496.026363153588,482.404419924604,482.404419924604,NA,NA,NA,NA,13.6219432289842,"AIC_int"
"PC8",639.757519153854,641.590927322885,489.92941478175,490.767033023159,490.842822856794,489.92941478175,NA,149.828104372104,NA,NA,NA,"AIC_geno"
"PC9",608.689166596267,610.662316089826,468.989623123,469.6087152801,438.89183700598,438.89183700598,NA,NA,NA,NA,30.7168782741194,"AIC_int"
"PC10",604.408772020396,606.408247569049,535.747900999686,537.685409327579,536.232805773848,535.747900999686,NA,68.66087102071,NA,NA,NA,"AIC_geno"
"PC11",599.631188611341,601.395888514975,432.530366901197,433.621476490021,417.46440014596,417.46440014596,NA,NA,NA,NA,16.1570763440617,"AIC_int"
"PC12",595.320433169418,596.354729050658,502.169591165545,501.320057841467,498.444954905229,498.444954905229,NA,NA,NA,NA,2.87510293623802,"AIC_int"
"PC13",573.214957661481,567.145071267554,440.770271661974,407.77431331308,420.400065453502,407.77431331308,NA,NA,159.370757954474,32.9959583488937,NA,"AIC_sex_geno"
"PC14",572.326142583837,574.325609089768,511.176623603258,513.077773392117,492.862867542853,492.862867542853,NA,NA,NA,NA,20.2149058492646,"AIC_int"
"PC15",553.979250062915,554.452549315145,445.036053137932,440.87801092405,410.749409841288,410.749409841288,NA,NA,NA,NA,30.1286010827622,"AIC_int"
"PC16",552.420978409,554.205009699287,446.225726993678,447.865857162474,419.524342569748,419.524342569748,NA,NA,NA,NA,28.341514592726,"AIC_int"
"PC17",532.762361601896,533.449667409062,436.81774537511,435.609775931114,428.637721181868,428.637721181868,NA,NA,NA,NA,6.97205474924613,"AIC_int"
"PC18",539.586573360284,541.543880429596,432.105061710282,433.909279439586,430.110940025409,430.110940025409,NA,NA,NA,NA,3.79833941417724,"AIC_int"
"PC19",521.110068734007,521.682308118949,430.58773557947,427.609109949925,417.694581446439,417.694581446439,NA,NA,NA,NA,9.91452850348537,"AIC_int"
"PC20",515.977924550568,513.158566448118,444.746179570907,432.221101596105,385.994713931294,385.994713931294,NA,NA,NA,NA,46.2263876648111,"AIC_int"
"PC21",496.441940179272,497.265366225943,401.888105877043,401.629065112129,375.37793354259,375.37793354259,NA,NA,NA,NA,26.2511315695397,"AIC_int"
"PC22",497.31506678693,499.309595752205,392.334040188794,394.332468184659,381.36828898583,381.36828898583,NA,NA,NA,NA,12.9641791988287,"AIC_int"
"PC23",495.830245236861,497.781622408731,411.354358444546,413.255815110193,377.857490497218,377.857490497218,NA,NA,NA,NA,35.3983246129745,"AIC_int"
"PC24",466.192535441326,468.19224061944,456.500625091572,458.494042749776,448.565310538481,448.565310538481,NA,NA,NA,NA,9.9287322112948,"AIC_int"
