"COMPOUND","AIC_null","AIC_sex","AIC_geno","AIC_sex_geno","AIC_int","AIC_min","delta_null_s","delta_null_g","delta_sex","delta_geno","delta_sex_geno","best_fit"
"1-Methyladenosine",-224.529114412467,-252.580449065803,-260.754859746827,-320.677842820856,-352.091749628203,-352.091749628203,NA,NA,NA,NA,31.4139068073474,"AIC_int"
"1-Methylnicotinamide",-53.2961908977171,-100.513206534073,-38.4996124590983,-106.282728029833,-115.189408601583,-115.189408601583,NA,NA,NA,NA,8.90668057175048,"AIC_int"
"1/3-Methylhistidine",-145.476129452642,-222.006780758944,-125.261081425921,-239.222838460507,-291.657798517249,-291.657798517249,NA,NA,NA,NA,52.434960056742,"AIC_int"
"2'-Deoxycytidine",-81.0384615754755,-79.1389531546019,-162.51312206655,-160.546707620378,-159.395767795382,-162.51312206655,NA,81.4746604910743,NA,NA,NA,"AIC_geno"
"2-Aminoadipate",-49.8635624383593,-47.92080679288,-231.864979355055,-229.891795075178,-254.158123981573,-254.158123981573,NA,NA,NA,NA,24.2663289063951,"AIC_int"
"2-Aminoisobutyric Acid",-301.528932921361,-329.621072771183,-338.201780118094,-395.5160141753,-411.653650516086,-411.653650516086,NA,NA,NA,NA,16.1376363407866,"AIC_int"
"2-Hydroxyglutarate",-105.893428831378,-104.908680745998,-146.048673878681,-146.130952859523,-158.345699298528,-158.345699298528,NA,NA,NA,NA,12.2147464390042,"AIC_int"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-135.314016661283,-140.760948660892,-155.49585846848,-166.644950909486,-153.943853614054,-166.644950909486,NA,NA,25.8840022485937,11.1490924410059,NA,"AIC_sex_geno"
"2-Hydroxyphenylacetate",67.7682951554884,59.1004595085577,105.319705830833,94.6459426543051,65.6727321222106,59.1004595085577,8.66783564693066,NA,NA,NA,NA,"AIC_sex"
"2-isoPropylmalic Acid",-107.947766421955,-114.463620699297,-152.246585125384,-167.594688183107,-176.734146742343,-176.734146742343,NA,NA,NA,NA,9.13945855923646,"AIC_int"
"3-(4-Hydroxyphenyl)Propionate",-74.10262219838,-113.822724192527,-55.1296554344424,-111.351362494046,-92.3384010706088,-113.822724192527,39.7201019941473,NA,NA,NA,NA,"AIC_sex"
"3-Aminoisobutyrate",-301.18317892654,-317.305577346187,-335.846140547551,-366.44771120709,-392.034219776053,-392.034219776053,NA,NA,NA,NA,25.586508568963,"AIC_int"
"3-Hydroxyisovaleric Acid",-24.9003378544029,-63.5820535118909,-1.91322522583309,-52.2998214852436,-77.6541126932599,-77.6541126932599,NA,NA,NA,NA,25.3542912080163,"AIC_int"
