"","component","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","PC1","AIC_int",0.823590286971264,0.702441447903337,0.0928334652145418,0.0206006738651746,5.60585616717267e-05,0.0126468948763464,0.221389418399816,0.368833233091879,0.247555907238778,0.0206006738651746,0.000269081096024288
"2","PC2","AIC_int",0.744685514343215,0.569349060337953,0.0348535277019382,2.73966332223675e-08,3.26731957529215e-05,0.0148737307656378,0.419395431965441,0.282393892255931,0.119497809263788,3.86775998433423e-08,0.000196039174517529
"3","PC3","AIC_int",0.851414461406001,0.749373790323374,0.000557706676633419,9.81712455809676e-07,1.03097826267131e-11,0.0327876604010917,0.274129058312363,0.467682458084404,0.00421357056154197,1.24005783891749e-06,2.47434783041113e-10
"4","PC4","AIC_int",0.900736085974359,0.832566892004943,0.0293432147332219,3.06086841236991e-16,1.07880426850171e-05,0.0108349864452398,0.597748745444161,0.206589261685819,0.117372858932888,2.44869472989593e-15,0.000129456512220205
"5","PC5","AIC_int",0.784788941996889,0.63699339613933,0.959574620528709,4.95874426233102e-10,0.000663563034034696,8.14845150082636e-06,0.492453032369166,0.221816902063476,0.959574620528709,7.93399081972963e-10,0.00192635569248161
"6","PC6","AIC_sex_geno",0.581148207489186,0.471718459896271,0.0417150221264784,6.70971360653634e-11,NA,0.0158716247634411,0.563791470851142,NA,0.100116053103548,8.47542771351959e-11,NA
"7","PC7","AIC_int",0.857179237492957,0.759097509024264,0.334258262486973,2.15054377032393e-14,0.013796761536306,0.00253918015220011,0.627461192761505,0.14265385542317,0.501387393730459,1.29032626219436e-13,0.023651591205096
"8","PC8","AIC_geno",0.767711185130727,0.709638981413409,NA,4.19905096903188e-24,NA,NA,0.625843029920795,NA,NA,5.03886116283826e-23,NA
"9","PC9","AIC_int",0.866378889597956,0.774614994502577,0.73469226541091,1.22626252397659e-16,0.000644876653620286,0.0002530036236106,0.61248892010336,0.154320650222078,0.839648303326754,2.44869472989593e-15,0.00192635569248161
"10","PC10","AIC_geno",0.586922334907536,0.48365291863442,NA,1.41600170225878e-11,NA,NA,0.584394822712282,NA,NA,1.99906122671827e-11,NA
"11","PC11","AIC_int",0.877601562812259,0.79354480474357,0.000203431639048575,2.53702746190717e-16,0.00906382781036211,0.034908733393679,0.630675700384683,0.128136461645417,0.0024411796685829,2.44869472989593e-15,0.0167332205729762
"12","PC12","AIC_int",0.775879352638771,0.621965173125637,0.913541272911937,4.32171161185264e-07,0.0695268915946366,4.96493228337568e-05,0.471811550599603,0.180067451446804,0.953260458690717,5.76228214913686e-07,0.083432269913564
"13","PC13","AIC_sex_geno",0.794987724451198,0.741425958767276,1.6298947868533e-07,2.35515467570636e-25,NA,0.0572285947687673,0.73262467082861,NA,9.77936872111978e-07,2.82618561084763e-24,NA
"14","PC14","AIC_int",0.746421024701357,0.572276427207108,0.20950474210654,4.01108447274629e-06,0.00450460049250458,0.00652855793284231,0.406007913478577,0.242864351839987,0.41900948421308,4.81330136729554e-06,0.00900920098500917
"15","PC15","AIC_int",0.838673514640746,0.727883036743427,0.516432789098287,8.07369164897744e-14,0.000722383384680605,0.00112497934449192,0.588060338000018,0.185142851411313,0.619719346917944,3.87537199150917e-13,0.00192635569248161
"16","PC16","AIC_int",0.826406682383825,0.707191994382355,7.89848021761002e-05,8.23807800239039e-11,0.0010165583276625,0.0497309804001321,0.486425584734659,0.195888097824849,0.0018956352522264,1.52087593890284e-10,0.00243973998638999
"17","PC17","AIC_int",0.787110763591584,0.640909721720744,0.300809396087745,1.21140130262071e-11,0.0388146214747292,0.00327176527316831,0.551342678124959,0.141029541165038,0.500137652431084,2.90736312628971e-11,0.0517528286329722
"18","PC18","AIC_int",0.795038591698026,0.654281961900285,0.182848291042691,1.87345315290336e-13,0.061207426348154,0.00512939034872799,0.611375058301806,0.12463336110527,0.398941725911327,6.42326795281153e-13,0.0773146438081945
"19","PC19","AIC_int",0.786037349710499,0.639099144089998,0.46625340306477,1.08623330988047e-10,0.024873755073684,0.00171635877869313,0.534322477064985,0.158463773340723,0.601927542982625,1.86211424550938e-10,0.0351158895157892
"20","PC20","AIC_int",0.822782481047668,0.701078883694862,0.259093375823031,1.04045522238855e-12,2.74364637659285e-05,0.0033550027433147,0.523266794472159,0.229624749289826,0.478326232288672,2.77454725970279e-12,0.000196039174517529
"21","PC21","AIC_int",0.811210117364924,0.68155923410951,0.160129133497941,1.99433125962001e-11,0.00150649947136754,0.00608459975844219,0.542198921151577,0.199113859272493,0.38430992039506,4.3512682028073e-11,0.00328690793752918
"22","PC22","AIC_int",0.80423262979239,0.669789977963067,0.000702261760256995,5.66909968853038e-11,0.0153517031737853,0.0385836681632582,0.533649265649689,0.163001484549345,0.00421357056154197,1.13381993770608e-10,0.0245627250780565
"23","PC23","AIC_int",0.807025426470208,0.674500719347339,0.432787087755117,4.04698292793826e-09,0.000256817998546411,0.00200656787723049,0.458928919937332,0.244478838377453,0.601927542982625,6.07047439190739e-09,0.00102727199418564
"24","PC24","AIC_int",0.606835200457016,0.336830458602195,0.016240632077245,3.68688463091837e-05,0.0248191334545345,0.0260060663431277,0.37451505706829,0.213758338482419,0.0779550339707761,4.21358243533528e-05,0.0351158895157892
