"","component","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","PC1","AIC_int",0.220002492696752,0.0250031158709401,NA,0.320356340130233,NA,NA,0.217739545841536,NA,NA,0.320356340130233,NA
"2","PC10","AIC_geno",0.586922334907536,0.48365291863442,NA,1.41600170225878e-11,NA,NA,0.584394822712282,NA,NA,1.99906122671827e-11,NA
"3","PC11","AIC_int",0.79449303060245,0.743116288253063,NA,6.80561542278681e-27,NA,NA,0.794488453712314,NA,NA,1.63334770146883e-25,NA
"4","PC12","AIC_int",0.652783713820971,0.565979642276214,NA,3.22244128900367e-15,NA,NA,0.652494025320458,NA,NA,5.94912237969909e-15,NA
"5","PC13","AIC_sex_geno",0.73723288535885,0.671541106698563,NA,2.50327061524293e-21,NA,NA,0.735434663193201,NA,NA,1.20156989531661e-20,NA
"6","PC14","AIC_int",0.564320175268734,0.455400219085918,NA,1.70897944079492e-10,NA,NA,0.553101376103921,NA,NA,2.05077532895391e-10,NA
"7","PC15","AIC_int",0.689574054627208,0.611967568284009,NA,1.21588565407681e-17,NA,NA,0.687048720187547,NA,NA,4.16875081397764e-17,NA
"8","PC16","AIC_int",0.683464833195444,0.604331041494305,NA,3.23617994027265e-17,NA,NA,0.682798581250356,NA,NA,8.62981317406041e-17,NA
"9","PC17","AIC_int",0.659595748171986,0.574494685214982,NA,1.21109567646168e-15,NA,NA,0.625587424348491,NA,NA,2.64239056682547e-15,NA
"10","PC18","AIC_int",0.686339266900324,0.607924083625405,NA,2.04740402459406e-17,NA,NA,0.675339358422501,NA,NA,6.14221207378218e-17,NA
"11","PC19","AIC_int",0.646250231119241,0.557812788899052,NA,8.06257010873936e-15,NA,NA,0.605091248594857,NA,NA,1.38215487578389e-14,NA
"12","PC2","AIC_int",0.442478732965339,0.303098416206673,NA,8.23490385976331e-06,NA,NA,0.44101707154076,NA,NA,9.41131869687235e-06,NA
"13","PC20","AIC_int",0.594385793436404,0.492982241795506,NA,5.97786191349185e-12,NA,NA,0.562262595021974,NA,NA,8.96679287023777e-12,NA
"14","PC21","AIC_int",0.656221488221981,0.570276860277477,NA,1.97226257782642e-15,NA,NA,0.656044706889511,NA,NA,3.94452515565284e-15,NA
"15","PC22","AIC_int",0.680727212535391,0.600909015669239,NA,4.98248566793865e-17,NA,NA,0.646694246402639,NA,NA,1.19579656030528e-16,NA
"16","PC23","AIC_int",0.630750564022014,0.538438205027518,NA,6.55443278567777e-14,NA,NA,0.604222170360293,NA,NA,1.04870924570844e-13,NA
"17","PC24","AIC_int",0.372430008151824,0.215537510189781,NA,0.00075397680669511,NA,NA,0.369768892211195,NA,NA,0.000822520152758302,NA
"18","PC3","AIC_int",0.350774833834964,0.188468542293705,NA,0.0024407220892983,NA,NA,0.350764274992762,NA,NA,0.00254684044100692,NA
"19","PC4","AIC_int",0.69929908304768,0.6241238538096,NA,2.44166149418071e-18,NA,NA,0.698983878789991,NA,NA,9.76664597672286e-18,NA
"20","PC5","AIC_int",0.582511702858478,0.478139628573098,NA,2.33477693790947e-11,NA,NA,0.563486755877686,NA,NA,3.11303591721262e-11,NA
"21","PC6","AIC_sex_geno",0.565131716607972,0.456414645759965,NA,1.56752275218369e-10,NA,NA,0.563425359492201,NA,NA,1.98002873960045e-10,NA
"22","PC7","AIC_int",0.749559897338715,0.686949871673393,NA,2.09513047500557e-22,NA,NA,0.748805804418975,NA,NA,1.25707828500334e-21,NA
"23","PC8","AIC_geno",0.767711185130727,0.709638981413409,NA,4.19905096903188e-24,NA,NA,0.625843029920795,NA,NA,5.03886116283826e-23,NA
"24","PC9","AIC_int",0.750411077537876,0.688013846922345,NA,1.75654514807517e-22,NA,NA,0.702214509956522,NA,NA,1.25707828500334e-21,NA
