"","component","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","PC1","AIC_int",0.425434893904433,0.421301331990076,1.92861984375782e-18,NA,NA,0.349543999342555,NA,NA,4.62868762501877e-17,NA,NA
"2","PC10","AIC_geno",3.7195061793814e-06,-0.00719049833909979,0.981891931754873,NA,NA,3.71897021754215e-06,NA,NA,0.986422628367395,NA,NA
"3","PC11","AIC_int",0.00166740334553662,-0.00551484555125814,0.630687412376549,NA,NA,0.00166684862590244,NA,NA,0.967641740986881,NA,NA
"4","PC12","AIC_int",0.00682556467190378,-0.000319575150600437,0.330078501066706,NA,NA,0.00679282076631531,NA,NA,0.565848858971495,NA,NA
"5","PC13","AIC_sex_geno",0.0556262190751719,0.0488321630972954,0.00487027110313586,NA,NA,0.0542666942436983,NA,NA,0.0292216266188152,NA,NA
"6","PC14","AIC_int",3.78363872105568e-06,-0.00719043374517292,0.981736514042518,NA,NA,3.78305810427727e-06,NA,NA,0.986422628367395,NA,NA
"7","PC15","AIC_int",0.0107692567125342,0.0036524887752144,0.220725801334167,NA,NA,0.0106948020099241,NA,NA,0.512305493728694,NA,NA
"8","PC16","AIC_int",0.001530520533684,-0.00565271313154136,0.645094493991254,NA,NA,0.00152925394712046,NA,NA,0.967641740986881,NA,NA
"9","PC17","AIC_int",0.00926668506128015,0.00213910725596567,0.256152746864347,NA,NA,0.00924492985099389,NA,NA,0.512305493728694,NA,NA
"10","PC18","AIC_int",0.000302740907190684,-0.00688932570498779,0.837741357042393,NA,NA,0.000302734187439799,NA,NA,0.986422628367395,NA,NA
"11","PC19","AIC_int",0.0100748668648904,0.00295310331715593,0.23631226717627,NA,NA,0.00999968642906844,NA,NA,0.512305493728694,NA,NA
"12","PC2","AIC_int",0.0414196836353042,0.0345234223664934,0.0154982171589384,NA,NA,0.0408537145343415,NA,NA,0.0743914423629045,NA,NA
"13","PC20","AIC_int",0.0336023124925446,0.0266498111435701,0.0295722408527831,NA,NA,0.0330689512680899,NA,NA,0.118288963411133,NA,NA
"14","PC21","AIC_int",0.00830977745218009,0.00117531541946203,0.282354291680188,NA,NA,0.00826207645669594,NA,NA,0.521269461563424,NA,NA
"15","PC22","AIC_int",3.88009119380617e-05,-0.00715516454912701,0.941561010663649,NA,NA,3.87726851952618e-05,NA,NA,0.986422628367395,NA,NA
"16","PC23","AIC_int",0.000344783301267081,-0.00684698084764457,0.827006068406457,NA,NA,0.000344646770716744,NA,NA,0.986422628367395,NA,NA
"17","PC24","AIC_int",2.0909331728576e-06,-0.00719213862845902,0.986422628367395,NA,NA,2.08958336052592e-06,NA,NA,0.986422628367395,NA,NA
"18","PC3","AIC_int",0.169968673191902,0.163997224797599,3.78093891678266e-07,NA,NA,0.156396006773435,NA,NA,4.53712670013919e-06,NA,NA
"19","PC4","AIC_int",0.0964102639518356,0.0899096183687553,0.000178807950338046,NA,NA,0.0922975756464215,NA,NA,0.00143046360270437,NA,NA
"20","PC5","AIC_int",0.0212551306005636,0.0142138006048843,0.0845282285697978,NA,NA,0.021099111147712,NA,NA,0.289811069382164,NA,NA
"21","PC6","AIC_sex_geno",0.0122108059073753,0.00510440882757235,0.192075695702909,NA,NA,0.0120951447644082,NA,NA,0.512201855207757,NA,NA
"22","PC7","AIC_int",0.0159318071299061,0.00885217984307085,0.135850110820404,NA,NA,0.0158672809810253,NA,NA,0.407550332461213,NA,NA
"23","PC8","AIC_geno",0.00118080464820277,-0.00600494495864456,0.685827857353885,NA,NA,0.00118072287044898,NA,NA,0.968227563323131,NA,NA
"24","PC9","AIC_int",0.000190410993219578,-0.00700246374783631,0.870988817410804,NA,NA,0.000190404644724465,NA,NA,0.986422628367395,NA,NA
