"","component","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","PC1","AIC_int",0.644404991868334,0.551501791545647,1.18620523681297e-20,0.000526506171990281,NA,0.40908866083393,0.211068936477943,NA,2.84689256835112e-19,0.00054939774468551,NA
"2","PC10","AIC_geno",0.587105371747535,0.479232000402297,0.824857461155872,1.94848376660385e-11,NA,0.000182185453666295,0.584370779470493,NA,0.899844503079133,2.59797835547181e-11,NA
"3","PC11","AIC_int",0.795813474572708,0.742467445407019,0.39868281991104,1.05484760794798e-26,NA,0.00132089084672122,0.794414833246771,NA,0.562846333992057,2.53163425907515e-25,NA
"4","PC12","AIC_int",0.659730335991981,0.570831054404301,0.135075172047725,2.56890188414833e-15,NA,0.00693821103531081,0.652114218660784,NA,0.2493695483958,4.7425880938123e-15,NA
"5","PC13","AIC_sex_geno",0.794987724451198,0.741425958767276,1.6298947868533e-07,2.35515467570636e-25,NA,0.0572285947687673,0.73262467082861,NA,9.77936872111978e-07,2.82618561084763e-24,NA
"6","PC14","AIC_int",0.564625508245942,0.450879019409297,0.780757748265115,2.26416615197262e-10,NA,0.000299511216961476,0.553856125881511,NA,0.892673878076879,2.71699938236714e-10,NA
"7","PC15","AIC_int",0.702839821949203,0.625203379035031,0.0280317723680836,3.81734478382649e-18,NA,0.0131552911263277,0.686307059717169,NA,0.0747513929815562,1.30880392588337e-17,NA
"8","PC16","AIC_int",0.684271685779414,0.601784108190252,0.595374538139722,4.93296771240566e-17,NA,0.00080685925404227,0.682746809316948,NA,0.793832717519629,1.31545805664151e-16,NA
"9","PC17","AIC_int",0.667253036766732,0.580319145471554,0.11283244419725,9.68652947700642e-16,NA,0.00723985608527038,0.622116619150066,NA,0.225664888394499,2.11342461316504e-15,NA
"10","PC18","AIC_int",0.686774490986246,0.604940799442112,0.69527520572205,3.12472858535175e-17,NA,0.000428660890075081,0.676119729855353,NA,0.87824236512259,9.37418575605525e-17,NA
"11","PC19","AIC_int",0.658522977062066,0.569308259357561,0.0482349551168902,3.58542034784908e-15,NA,0.0115707930000034,0.611359421052933,NA,0.105239902073215,6.146434882027e-15,NA
"12","PC2","AIC_int",0.475905996454626,0.338980536068897,0.00895189813148158,4.54122062034656e-06,NA,0.0334603315118259,0.434916129731786,NA,0.0306922221650797,5.18996642325321e-06,NA
"13","PC20","AIC_int",0.634089876038912,0.538491735544573,0.000740919020003247,3.24517670548791e-13,NA,0.0378465963241456,0.572394799868113,NA,0.00355641129601559,4.86776505823186e-13,NA
"14","PC21","AIC_int",0.661685470582536,0.573296989923919,0.183331120188446,2.08470148215837e-15,NA,0.00547555824650875,0.654759922069966,NA,0.31428192032305,4.16940296431674e-15,NA
"15","PC22","AIC_int",0.680730772076841,0.597318090907728,0.972000418244429,7.96638583097471e-17,NA,3.38491234156757e-06,0.647297604872116,NA,0.972000418244429,1.91193259943393e-16,NA
"16","PC23","AIC_int",0.631008538194575,0.534605363488653,0.78108964331727,9.56972438738649e-14,NA,0.000247135208013069,0.604165977953303,NA,0.892673878076879,1.53115590198184e-13,NA
"17","PC24","AIC_int",0.372459304490602,0.208507230889048,0.942742705170993,0.000860496672971874,NA,2.90944892041389e-05,0.369891011326667,NA,0.972000418244429,0.000860496672971874,NA
"18","PC3","AIC_int",0.522229735053075,0.397406873039914,5.83464014217719e-09,3.50805608224358e-05,NA,0.170459324097243,0.350215608209689,NA,4.66771211374175e-08,3.82697027153846e-05,NA
"19","PC4","AIC_int",0.788636622605651,0.733415560043163,4.32369486729258e-10,1.12658128797234e-23,NA,0.0899272010028177,0.696795313617478,NA,5.18843384075110e-09,6.75948772783403e-23,NA
"20","PC5","AIC_int",0.602345221432266,0.498453432437092,0.0203870985294983,9.16155726418421e-12,NA,0.0193581715029056,0.567163188675277,NA,0.0611612955884949,1.29339631964954e-11,NA
"21","PC6","AIC_sex_geno",0.581148207489186,0.471718459896271,0.0417150221264784,6.70971360653634e-11,NA,0.0158716247634411,0.563791470851142,NA,0.100116053103548,8.47542771351959e-11,NA
"22","PC7","AIC_int",0.765990179586017,0.704852478757139,0.00617526734258225,2.63406106217759e-23,NA,0.0163809348025038,0.74780561358238,NA,0.024701069370329,1.26434930984524e-22,NA
"23","PC8","AIC_geno",0.769618265842307,0.709428443404712,0.3398606984299,5.45456231598801e-24,NA,0.00156756869658804,0.631634781967218,NA,0.50979104764485,4.36364985279041e-23,NA
"24","PC9","AIC_int",0.752843538932262,0.688271130184835,0.298202372030995,1.93734803915573e-22,NA,0.00228245354858899,0.706237643353662,NA,0.477123795249592,7.74939215662291e-22,NA
