"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","1-Methyladenosine","AIC_int",0.480081546680489,0.350101933350611,NA,4.52741118580558e-07,NA,NA,0.478954729167547,NA,NA,1.13185279645139e-06,NA
"2","1-Methylnicotinamide","AIC_int",0.253397861324956,0.0667473266561953,NA,0.133676453911151,NA,NA,0.247247440340118,NA,NA,0.154563399834769,NA
"3","1/3-Methylhistidine","AIC_int",0.224148377830523,0.0301854722881536,NA,0.291584511274963,NA,NA,0.223140884569005,NA,NA,0.315456927402738,NA
"4","2'-Deoxycytidine","AIC_geno",0.622806738207588,0.528508422759485,NA,1.84031166928364e-13,NA,NA,0.609570121888539,NA,NA,1.13485886272491e-12,NA
"5","2-Aminoadipate","AIC_int",0.815102435279096,0.76887804409887,NA,2.53521633339125e-29,NA,NA,0.810406853133237,NA,NA,7.81691702795635e-28,NA
"6","2-Aminoisobutyric Acid","AIC_int",0.481727563316955,0.352159454146194,NA,3.9553594392041e-07,NA,NA,0.472667573810481,NA,NA,1.00238561130515e-06,NA
"7","2-Hydroxyglutarate","AIC_int",0.494371006236742,0.367963757795927,NA,1.36881359656245e-07,NA,NA,0.486306478463466,NA,NA,3.8958540825239e-07,NA
"8","2-Hydroxyisobutyrate/2-Hydroxybutyrate","AIC_sex_geno",0.417424652750193,0.271780815937742,NA,4.71063993917649e-05,NA,NA,0.412776155451832,NA,NA,8.5438077328201e-05,NA
"9","2-Hydroxyphenylacetate","AIC_sex",0.122642788693037,-0.0966965141337042,NA,0.961125369289729,NA,NA,0.122418294870722,NA,NA,0.96634887673152,NA
"10","2-isoPropylmalic Acid","AIC_int",0.509013742187217,0.386267177734022,NA,3.7970290075041e-08,NA,NA,0.506601667105679,NA,NA,1.1707506106471e-07,NA
"11","3-(4-Hydroxyphenyl)Propionate","AIC_sex",0.230952907397158,0.0386911342464471,NA,0.2476416776304,NA,NA,0.229138220902656,NA,NA,0.271087043559905,NA
"12","3-Aminoisobutyrate","AIC_int",0.474286939689647,0.342858674612059,NA,7.24381453616995e-07,NA,NA,0.466765620499944,NA,NA,1.74039699894992e-06,NA
"13","3-Hydroxyisovaleric Acid","AIC_int",0.208744182285385,0.0109302278567314,NA,0.405133493399355,NA,NA,0.204796981162444,NA,NA,0.433235238606246,NA
"14","3-Hydroxypropionic Acid","AIC_int",0.459959834116746,0.324949792645932,NA,2.23277193243089e-06,NA,NA,0.455391288049286,NA,NA,4.9174143749966e-06,NA
"15","3-Methyl-3-Hydroxyglutaric Acid","AIC_int",0.510303050466951,0.387878813083689,NA,3.38209361399221e-08,NA,NA,0.501578555083174,NA,NA,1.07877123894579e-07,NA
"16","3HBA","AIC_sex",0.285066860337373,0.106333575421717,NA,0.0459006601258145,NA,NA,0.283876478787865,NA,NA,0.056990752505206,NA
"17","4-Guanidinobutanoate","AIC_int",0.444353945325598,0.305442431656997,NA,7.18435772068529e-06,NA,NA,0.444111081725973,NA,NA,1.46055623991954e-05,NA
"18","4-Hydroxybenzoic Acid","AIC_int",0.49251736810166,0.365646710127075,NA,1.60343670382887e-07,NA,NA,0.490176284259835,NA,NA,4.49448166982336e-07,NA
"19","4-Pyridoxic Acid","AIC_int",0.514779485594114,0.393474356992642,NA,2.25488747588119e-08,NA,NA,0.509831158155024,NA,NA,7.58462150978219e-08,NA
