"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","1-Methyladenosine","AIC_int",0.191948942920338,0.18613562596293,5.5325713173344e-08,NA,NA,0.175749069868031,NA,NA,2.08882794634054e-07,NA,NA
"2","1-Methylnicotinamide","AIC_int",0.294646969120879,0.289572486884339,3.56587989591197e-12,NA,NA,0.257197507360266,NA,NA,3.29843890371858e-11,NA,NA
"3","1/3-Methylhistidine","AIC_int",0.427048938720225,0.422926988639076,1.58321918115626e-18,NA,NA,0.350327345536777,NA,NA,9.7631849504636e-17,NA,NA
"4","2'-Deoxycytidine","AIC_geno",0.000712452320176486,-0.00647666672787972,0.753382633100359,NA,NA,0.000712450121989867,NA,NA,0.770031973058378,NA,NA
"5","2-Aminoadipate","AIC_int",0.000405905927824038,-0.00678541848996139,0.812557378699542,NA,NA,0.000405897966766638,NA,NA,0.825951181645139,NA,NA
"6","2-Aminoisobutyric Acid","AIC_int",0.192182757895458,0.186371123060174,5.41931962687575e-08,NA,NA,0.176218618518434,NA,NA,2.08869610619169e-07,NA,NA
"7","2-Hydroxyglutarate","AIC_int",0.00717450764346905,3.18782020551911e-05,0.31797450148396,NA,NA,0.0071377424705534,NA,NA,0.365771998230078,NA,NA
"8","2-Hydroxyisobutyrate/2-Hydroxybutyrate","AIC_sex_geno",0.0514446353474468,0.0446204960333997,0.00683791891728564,NA,NA,0.0496082299903301,NA,NA,0.0111948230061756,NA,NA
"9","2-Hydroxyphenylacetate","AIC_sex",0.0728671471420292,0.0661971266178711,0.00120739327121397,NA,NA,0.0699867866641293,NA,NA,0.00245459071620422,NA,NA
"10","2-isoPropylmalic Acid","AIC_int",0.0586084533682596,0.0518358523133551,0.00382501795206338,NA,NA,0.0567812461722007,NA,NA,0.00676296711962638,NA,NA
"11","3-(4-Hydroxyphenyl)Propionate","AIC_sex",0.256128703869613,0.250777111811121,1.53457366605655e-10,NA,NA,0.227112141751787,NA,NA,1.09190818546331e-09,NA,NA
"12","3-Aminoisobutyrate","AIC_int",0.120610751593754,0.114284210238313,2.45140460567962e-05,NA,NA,0.114458326058246,NA,NA,6.47871217215329e-05,NA,NA
"13","3-Hydroxyisovaleric Acid","AIC_int",0.250630285234148,0.245239136207056,2.58668973925563e-10,NA,NA,0.222371605099726,NA,NA,1.65012966124928e-09,NA,NA
"14","3-Hydroxypropionic Acid","AIC_int",0.178301246367999,0.172389744543309,1.83400646500381e-07,NA,NA,0.164785933947141,NA,NA,6.40172067973026e-07,NA,NA
