"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"1","1-Methyladenosine","AIC_int",0.664875573244657,0.577320542831099,3.24146601999288e-12,2.39632844203538e-11,NA,0.183850193601664,0.470511164030061,NA,1.71334632485338e-11,7.38867936294243e-11,NA
"2","1-Methylnicotinamide","AIC_int",0.544854695844732,0.425942859623986,1.40482879246055e-13,0.00223869632655732,NA,0.277043271578731,0.237834076871338,NA,9.28190452161437e-13,0.00272472908166515,NA
"3","1/3-Methylhistidine","AIC_int",0.659117622214471,0.570058262252485,1.50603229286107e-21,0.000124033942111609,NA,0.420476926360445,0.224336612300895,NA,2.53287249253907e-20,0.000165081145975882,NA
"4","2'-Deoxycytidine","AIC_geno",0.622896573214385,0.524374056306432,0.87111917241681,2.76644697825514e-13,NA,8.79843747994312e-05,0.609366914287916,NA,0.88547827965445,1.00351508034745e-12,NA
"5","2-Aminoadipate","AIC_int",0.815137596200368,0.766840211423887,0.884737084377232,5.37700415242001e-29,NA,3.49800893744786e-05,0.810541541881758,NA,0.889545438096673,1.42106538313957e-27,NA
"6","2-Aminoisobutyric Acid","AIC_int",0.65969825242209,0.570790588640473,9.20079788474632e-12,4.95361624405481e-11,NA,0.17358705268208,0.456000014306525,NA,4.47933581231071e-11,1.478095169597e-10,NA
"7","2-Hydroxyglutarate","AIC_int",0.501783236490803,0.371618496474887,0.201442839085478,1.2573210281776e-07,NA,0.00726808302473561,0.484989966960561,NA,0.231471585284556,2.61353247430175e-07,NA
"8","2-Hydroxyisobutyrate/2-Hydroxybutyrate","AIC_sex_geno",0.469296994115322,0.330644857442749,0.00132652065229987,1.14744667256759e-05,NA,0.0508775981739726,0.409839306380922,NA,0.0021717373511104,1.75436061508268e-05,NA
"9","2-Hydroxyphenylacetate","AIC_sex",0.198063542467399,-0.0114513878789555,0.00162366985235314,0.927962071499079,NA,0.0752282871822586,0.124876906029041,NA,0.00261199063204636,0.933005343626791,NA
"10","2-isoPropylmalic Acid","AIC_int",0.565854406237144,0.452428980839642,0.000226635513283321,3.07833828927442e-09,NA,0.0563410425328535,0.502787331620561,NA,0.000436745520389733,8.02102230303899e-09,NA
"11","3-(4-Hydroxyphenyl)Propionate","AIC_sex",0.491109788817695,0.358156490400696,1.4245770910284e-11,0.0143138803524605,NA,0.25246239698918,0.228031208051019,NA,6.42796980098182e-11,0.0163460979333654,NA
"12","3-Aminoisobutyrate","AIC_int",0.582811258049044,0.473816001142938,4.30631603873813e-07,1.08482792556253e-08,NA,0.106594477739831,0.453981396441738,NA,1.04824798311389e-06,2.64069955564563e-08,NA
"13","3-Hydroxyisovaleric Acid","AIC_int",0.454291373442193,0.311718849386549,1.47558348186782e-10,0.0787907682168709,NA,0.236344599479607,0.196028299470029,NA,5.68714466969891e-10,0.0872831863480306,NA
"14","3-Hydroxypropionic Acid","AIC_int",0.635073766777402,0.539732678818345,4.65492804730114e-11,5.60992524477988e-10,NA,0.175421331666951,0.457574349348673,NA,1.95718565625161e-10,1.52622966218276e-09,NA
"15","3-Methyl-3-Hydroxyglutaric Acid","AIC_int",0.53903670518746,0.41860485338959,0.00973929815254594,1.34829737208605e-08,NA,0.0285397804149063,0.502514938323654,NA,0.0134460459568731,3.19788479276819e-08,NA
"16","3HBA","AIC_sex",0.426392641322683,0.276531259325906,8.07774757909571e-07,0.00653255844528502,NA,0.139143786564069,0.282152990883265,NA,1.89162443307938e-06,0.00764888172390968,NA
"17","4-Guanidinobutanoate","AIC_int",0.850869293848835,0.811907217466999,1.74354346668798e-33,1.48013337910242e-21,NA,0.406574689495651,0.430725812226842,NA,1.61277770668638e-31,1.61073338314087e-20,NA
"18","4-Hydroxybenzoic Acid","AIC_int",0.530684683643058,0.408070772162416,0.00328847695259893,3.78796413852882e-08,NA,0.0381193672126686,0.491573442379286,NA,0.00498662488713773,8.34254006699801e-08,NA
"19","4-Pyridoxic Acid","AIC_int",0.56593131920971,0.452525988192427,0.000450436941566124,4.01050225442719e-09,NA,0.0509546999199503,0.499675293162182,NA,0.000801258021055125,1.01636016036853e-08,NA
"20","5'-Methylthioadenosine","AIC_int",0.456206734456371,0.314134620035062,0.0652344922086118,8.08700606054179e-06,NA,0.0169795052697486,0.43650964607674,NA,0.0809958460308267,1.26787806881376e-05,NA
"21","5-Methylcytidine","AIC_geno",0.662147792005262,0.573880098024655,0.453138679771287,1.36177374667641e-15,NA,0.0016584057666393,0.635569662144834,NA,0.47903231861536,6.99800397597601e-15,NA
"22","5,6-Dihydrouracil","AIC_int",0.417141855120234,0.264863601052547,0.17750998698395,8.49146998874614e-05,NA,0.00919433092836267,0.386666008500087,NA,0.20653677730837,0.000115508966758679,NA
"23","6-Methyladenosine","AIC_int",0.433858023518009,0.285947056689381,0.000344391831712813,0.000277925609781576,NA,0.0670689250483979,0.351681562150181,NA,0.000642531403669153,0.000362086181757687,NA
"24","7-Methylguanine","AIC_int",0.82468427959703,0.778881073365623,0.589115290828337,3.22047487078739e-30,NA,0.000280529258357693,0.499172402857885,NA,0.615741970639787,9.92979751826113e-29,NA
"25","Acetylcarnitine","AIC_int",0.665250311698057,0.577793185925477,1.16016588781272e-11,8.20195372382072e-12,NA,0.173163309764375,0.491643842498604,NA,5.50335100629111e-11,2.66203761211725e-11,NA
"26","Acetylcholine","AIC_null",0.247497580415115,0.0508978491722166,0.616421909557088,0.177679749257376,NA,0.00167632745529321,0.239648799091179,NA,0.640663220607086,0.192226629313536,NA
"27","Adenine","AIC_sex_geno",0.75017403106937,0.684904183330737,1.62999169832005e-08,1.37645797353543e-20,NA,0.0820897224998758,0.667805831063412,NA,4.94341744572475e-08,1.10715097871328e-19,NA
"28","Adenosine","AIC_int",0.646881624399425,0.554625472215491,0.00206697707062025,3.675527257695e-14,NA,0.0313950860956687,0.617440834262124,NA,0.0032133677148298,1.61898224446089e-13,NA
"29","Adenylosuccinate","AIC_sex",0.440073268075595,0.293786103879128,6.97731019456554e-09,0.0292995360241894,NA,0.193416227157983,0.232313146243329,NA,2.18780065422818e-08,0.0332540746286813,NA
"30","Adipic Acid / 3-Methylglutaric Acid","AIC_int",0.211233990920517,0.0051599885483995,0.0200118953073617,0.645187501309396,NA,0.0394154681418855,0.17370603976028,NA,0.0260718354356473,0.663109376345768,NA
"31","ADP","AIC_int",0.497780762944197,0.366570331641329,0.112814585727943,1.97095701071976e-07,NA,0.0115361617397761,0.487196682924056,NA,0.133786527946599,3.92072093530275e-07,NA
"32","Agmatine","AIC_int",0.337992047695878,0.165035015111919,0.878510839115621,0.0052385476194214,NA,0.000139351306611623,0.336111030660901,NA,0.888112050472076,0.00617281088912713,NA
"33","Alanine","AIC_int",0.655800538122879,0.565874552587415,1.18051419079835e-14,2.27802248404999e-09,NA,0.227608278150136,0.376976263536182,NA,8.39981251144982e-14,6.02048799356069e-09,NA
"34","Allantoin","AIC_int",0.372678265632143,0.208783398094595,0.63838955783575,0.000894390123573293,NA,0.00125449323340429,0.371058285826002,NA,0.659788090500635,0.00111798765446662,NA
"35","Alpha-Ketoglutaric Acid","AIC_sex_geno",0.592636085457,0.486207675351171,6.25813031920155e-06,4.53210596909553e-10,NA,0.0809320653592681,0.503682363246776,NA,1.34622570820033e-05,1.25140239445175e-09,NA
"36","Aminolevulinate","AIC_int",0.698657142523977,0.619927927507719,0.300254090905313,5.27130963586852e-18,NA,0.00293175729152998,0.693283650056672,NA,0.33063694534216,3.61182326902102e-17,NA
"37","AMP","AIC_int",0.535388687170127,0.414003749583944,0.00535146189577955,1.78761227058792e-08,NA,0.0337093861255673,0.5025941919204,NA,0.00779543661983635,4.13385337573457e-08,NA
"38","Anthranilic Acid","AIC_sex_geno",0.420657963012614,0.269298331727621,0.000966421645312937,0.000463408459778784,NA,0.0596185317766365,0.357770482757688,NA,0.00164025692094398,0.000591245276269484,NA
"39","Arabitol/Xylitol","AIC_geno",0.633293977771984,0.537487899892592,0.236104375188312,8.28389677870018e-14,NA,0.00466999466236219,0.627322625983367,NA,0.264723087332349,3.26068277459475e-13,NA
"40","Arginine","AIC_int",0.613209298159262,0.512155871552222,1.05980410585731e-16,5.70720691847305e-05,NA,0.33105456368258,0.274021820210829,NA,1.03191452412422e-15,7.99873696907208e-05,NA
"41","Argininosuccinate","AIC_int",0.744129842761131,0.677280882761787,0.00765231797441342,3.91350737865932e-21,NA,0.0169356707403704,0.716915007268342,NA,0.0108067085898205,3.5985331218765e-20,NA
"42","Asparagine","AIC_int",0.776803153872129,0.718490464343226,6.60290939017425e-26,8.25478126434463e-14,NA,0.385574585461816,0.384074761163033,NA,2.44307647436447e-24,3.26068277459475e-13,NA
"43","Aspartic Acid","AIC_sex_geno",0.409328750789873,0.25500923523047,0.000411504835553856,0.00104300123959019,NA,0.0697538046326031,0.341187621339626,NA,0.000739110626965663,0.00129500153908849,NA
"44","Azelaic Acid","AIC_int",0.230123832709894,0.028985014228695,0.00204036195092853,0.685598968151517,NA,0.0689473813401635,0.163886237353817,NA,0.00319887255018455,0.696900050044124,NA
"45","betaAlanine","AIC_sex_geno",0.465109648779389,0.325363520983013,0.002153702310477,1.49984037921403e-05,NA,0.0466762001984102,0.40698863777504,NA,0.00332029106198538,2.21976376123677e-05,NA
"46","Betaine","AIC_int",0.409282988553808,0.254951517094893,4.22933315073484e-09,0.176943908052358,NA,0.207790743533131,0.18437256975003,NA,1.34901143601025e-08,0.192226629313536,NA
"47","Biopterin","AIC_int",0.641655922630996,0.548034497012067,5.68554448440265e-11,1.66750686143611e-10,NA,0.165013876102473,0.456217147010851,NA,2.28657767307498e-10,4.82013702133877e-10,NA
"48","Cadaverine","AIC_int",0.524219700669772,0.399916739583496,4.50668146623857e-13,0.0078128615270281,NA,0.275258547385988,0.222788001935339,NA,2.77912023751379e-12,0.00909043636792578,NA
"49","cAMP","AIC_int",0.541993022398663,0.422333541764079,2.07082615516637e-07,5.81176193070977e-07,NA,0.125610703401394,0.419199295881714,NA,5.17706538791593e-07,1.08603632038516e-06,NA
