"COMPOUND","mass_R_spearman","mass_p","mass_adj","sig_mass"
"Choline",-0.687218505467253,1.56262690318933e-16,2.89085977090026e-14,"SIG"
"1/3-Methylhistidine",0.677029081331844,6.3709114680309e-16,5.89309310792858e-14,"SIG"
"Hypoxanthine",-0.625623228053888,3.5117086974225e-13,2.16555369674387e-11,"SIG"
"Xanthine",-0.585843234328338,2.204797216127e-11,1.01971871245874e-09,"SIG"
"Taurine",-0.564023316977887,1.69851758574462e-10,5.29429638804588e-09,"SIG"
"Erythrose-4-Phosphate",0.563902841749365,1.71706909882569e-10,5.29429638804588e-09,"SIG"
"G1P/F1P/F6P",0.543987359742095,9.75727152889842e-10,2.57870747549458e-08,"SIG"
"G6P",0.541953181845121,1.15783577729087e-09,2.67749523498515e-08,"SIG"
"Glyceraldehyde",0.538047004243416,1.6031664122825e-09,3.2589262973606e-08,"SIG"
"Sarcosine",-0.536290846104571,1.85324830483919e-09,3.2589262973606e-08,"SIG"
"Kynurenic Acid",0.535748707576221,1.93773996059279e-09,3.2589262973606e-08,"SIG"
"Succinylcarnitine",0.532820232790601,2.46202905173252e-09,3.79562812142097e-08,"SIG"
"Glucosamine",0.525985580403275,4.26765773265911e-09,6.03038487100811e-08,"SIG"
"Adenylosuccinate",-0.525142253803619,4.56353449697911e-09,6.03038487100811e-08,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.521940392922506,5.87636459045584e-09,7.24751632822887e-08,"SIG"
"Asparagine",0.512561859748305,1.21418041631986e-08,1.40389610636984e-07,"SIG"
"S-Adenosylmethionine (SAM)",0.50348451464541,2.40106554641728e-08,2.61292427110116e-07,"SIG"
"Oxalacetate",-0.499652475645873,3.18306757875475e-08,3.27148612260905e-07,"SIG"
"Cadaverine",-0.498619168878162,3.43246170617249e-08,3.34213376653638e-07,"SIG"
"Urate",-0.490519526591352,6.14721914723253e-08,5.65225698064921e-07,"SIG"
"1-Methylnicotinamide",-0.489606695052163,6.55830359265708e-08,5.65225698064921e-07,"SIG"
"L-Kynurenine",0.489259170354503,6.72160289590717e-08,5.65225698064921e-07,"SIG"
"Linoleic Acid",-0.479639686723257,1.31365325615384e-07,1.0566341408194e-06,"SIG"
"Ethanolamine",-0.477350657381333,1.53611653992988e-07,1.18408983286262e-06,"SIG"
"Spermidine",0.465826738406907,3.31941426733784e-07,2.45636655783e-06,"SIG"
"Pantothenate",-0.458686264285641,5.27643786085547e-07,3.75438847791639e-06,"SIG"
"Histamine",-0.45370044328987,7.24769824807258e-07,4.96601546627195e-06,"SIG"
"Pyruvate",0.4531166017978,7.51970985782261e-07,4.96837972748994e-06,"SIG"
"PEP",0.449669156797007,9.33426808894378e-07,5.95461929811931e-06,"SIG"
"Linolenic Acid",-0.448811929209444,9.84610924788383e-07,6.07176736952836e-06,"SIG"
"Ergocalciferol",-0.447278186877102,1.08290064087861e-06,6.46247156653367e-06,"SIG"
"Arginine",-0.444284840814585,1.30215006183788e-06,7.37075699209366e-06,"SIG"
"3-Hydroxyisovaleric Acid",-0.444127296284979,1.31478367967076e-06,7.37075699209366e-06,"SIG"
"Glucose",0.442565751976824,1.44645061700686e-06,7.87039306312556e-06,"SIG"
"N6-Acetyl-Lysine",0.441036643307118,1.58742421723753e-06,8.39067086254124e-06,"SIG"
"Alanine",-0.428928882840622,3.2633155887769e-06,1.67698162201035e-05,"SIG"
"Homoarginine",0.42309510158256,4.5729665022494e-06,2.26384939472649e-05,"SIG"
"Fructose",0.422803180836525,4.65006902700577e-06,2.26384939472649e-05,"SIG"
"Biopterin",-0.421635497852385,4.97092675645512e-06,2.35800371780563e-05,"SIG"
"Pyridoxamine",-0.417279854975039,6.36182317578301e-06,2.94234321879964e-05,"SIG"
"N6-Trimethyllysine",0.413985320841216,7.64960045835543e-06,3.45164898730672e-05,"SIG"
"Palmitic Acid",-0.410871499550177,9.0893501309607e-06,4.00364231958983e-05,"SIG"
"Indole-3-Carboxylic Acid",-0.404727262895538,1.27098656920012e-05,5.4681980302796e-05,"SIG"
"Glutamine",0.400617204137872,1.58471772161038e-05,6.66301769313454e-05,"SIG"
"Betaine",-0.399032491516539,1.72407772510647e-05,7.08787509210438e-05,"SIG"
