"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"1-Methyladenosine",-0.341472079359251,3.8903878325597e-05,0.000224913046569858,"SIG",-0.356833725895271,0.000139711169561281,0.00042371420276782,"SIG",0.0198776758409786,0.837219868798332,0.908762313259924,"NS"
"1-Methylnicotinamide",-0.43415681543104,9.31405918628564e-08,2.46157278494692e-06,"SIG",-0.489606695052163,6.55830359265708e-08,5.65225698064921e-07,"SIG",0.0884811416921509,0.35968173830348,0.559169088959191,"NS"
"1/3-Methylhistidine",0.58661307379853,3.24616783846398e-14,6.00541050115836e-12,"SIG",0.677029081331844,6.3709114680309e-16,5.89309310792858e-14,"SIG",-0.117699935131128,0.222516613276196,0.426135447996302,"NS"
"2'-Deoxycytidine",-0.0611120917251786,0.474817303609434,0.529163862456297,"NS",0.0331955591205408,0.731846205261311,0.787160162635712,"NS",-0.167083680845149,0.0824939671865978,0.272524713027154,"NS"
"2-Aminoadipate",0.116073204051432,0.173599243800977,0.239670597784931,"NS",0.0524808630093865,0.587836994709821,0.65511954229709,"NS",0.0582151793160967,0.547087279814577,0.72293676261212,"NS"
"2-Aminoisobutyric Acid",-0.158368169551491,0.0625972542173097,0.0989785643607034,"NS",-0.304820862812068,0.00126947876459043,0.00313138095265638,"SIG",0.202205541655083,0.0351414111544797,0.224177967709612,"NS"
"2-Hydroxyglutarate",-0.070053689819803,0.412518328146525,0.479974155390611,"NS",-0.0646766630659559,0.504031809349172,0.58645210521759,"NS",-0.0782411268649801,0.418113984291109,0.609063677904371,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.14157083460012,0.0964311833928869,0.141585467680032,"NS",-0.0613543269563205,0.526230564776421,0.608454090522737,"NS",0.0263274951348346,0.785510154627329,0.883016832890366,"NS"
"2-Hydroxyphenylacetate",-0.258647231441279,0.00210955339083784,0.00527388347709459,"SIG",-0.270758808778693,0.00440491190863383,0.00947568259415416,"SIG",0.153007135575943,0.112123895196998,0.31428667593098,"NS"
"2-isoPropylmalic Acid",-0.122302383333744,0.151488604217931,0.213934288399369,"NS",-0.355624339947412,0.000147729960707383,0.000440807140820417,"SIG",0.332480771012881,0.000442108152410579,0.0686955164500668,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.484620317321391,1.4931741486269e-09,9.20790724986588e-08,"SIG",-0.521940392922506,5.87636459045584e-09,7.24751632822887e-08,"SIG",0.00223334260031508,0.981619099483217,0.994099787323673,"NS"
"3-Aminoisobutyrate",-0.0863795911884737,0.311970846002197,0.387346352418835,"NS",-0.236136081566426,0.0134368923118019,0.0251093442190237,"NS",0.192150866462793,0.04545583295165,0.251099576317623,"NS"
"3-Hydroxyisovaleric Acid",-0.401556401188496,9.61576075063077e-07,1.09243589908387e-05,"SIG",-0.444127296284979,1.31478367967076e-06,7.37075699209366e-06,"SIG",0.11321471596701,0.24073799150555,0.454454371719661,"NS"
"3-Hydroxypropionic Acid",0.239356437351077,0.00454171073742254,0.0100025772193235,"NS",0.179058625222649,0.0624677814795239,0.0902854654196243,"NS",0.0724399962932073,0.45353448081891,0.640487625583957,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0412694298865083,0.629542241026185,0.673209910923955,"NS",-0.0158656608638654,0.86993347269097,0.896304622811121,"NS",-0.05726068019646,0.553686667908309,0.726468323142108,"NS"
"3HBA",-0.18880579844781,0.0260177874917027,0.0462816412112019,"NS",-0.204038700490493,0.0333280352233321,0.0522515806467495,"NS",0.124307293114633,0.197488560323762,0.415174814317,"NS"
"4-Guanidinobutanoate",0.343402499337701,3.49325439139562e-05,0.000215417354136063,"SIG",0.3569681021117,0.000138845590674383,0.00042371420276782,"SIG",0.019154851264943,0.843062942855525,0.908762313259924,"NS"
"4-Hydroxybenzoic Acid",0.124675191223921,0.143648804416844,0.204423298593201,"NS",0.0529488629355694,0.584507216283099,0.65511954229709,"NS",0.0630432768047447,0.514307936173104,0.68574755262226,"NS"
"4-Pyridoxic Acid",-0.183532892025193,0.0305652950508939,0.0528465381721063,"NS",-0.109317368896119,0.257826265563087,0.328950752614973,"NS",-0.140218700769159,0.145702903162099,0.354671540591952,"NS"
"5'-Methylthioadenosine",-0.0705943861563595,0.408911499604483,0.478788781182464,"NS",1.39009879064241e-05,0.99988553758033,0.99988553758033,"NS",0.000305810397553517,0.997515881074751,0.997515881074751,"NS"
"5-Methylcytidine",0.0296198815443366,0.729240702506621,0.766531420248437,"NS",-0.117657961639974,0.223049008967355,0.288559906706019,"NS",0.204355481419702,0.0332136791791311,0.21944752314783,"NS"
"5,6-Dihydrouracil",0.155213362827451,0.0680784523318548,0.105836249423472,"NS",0.295127240578655,0.00183697876237511,0.00429397018796538,"SIG",-0.131174126586971,0.17370647718017,0.387177087690741,"NS"
"6-Methyladenosine",-0.254844482826324,0.00246510003550404,0.00600057245484537,"SIG",-0.263743443548585,0.00558741175694629,0.0116377133272848,"NS",0.00852562320452229,0.929808252840814,0.979996791040324,"NS"
"7-Methylguanine",-0.0366712767433956,0.668223090786218,0.710467079284198,"NS",-0.213699887085458,0.0256671090669092,0.042396564083734,"NS",0.140274302659624,0.145542016120844,0.354671540591952,"NS"
"Acetylcarnitine",0.246709460671769,0.00341379015935712,0.00787620277578103,"SIG",0.306855040709041,0.00117287975092315,0.00297236649206551,"SIG",-0.0371605967936243,0.700833166777792,0.820234757376633,"NS"
"Acetylcholine",0.0432333641006949,0.613314858647924,0.671380170709266,"NS",0.127272811608584,0.187229905349055,0.247410946354108,"NS",0.00143638217032712,0.988191288497613,0.994099787323673,"NS"
"Adenine",-0.157311353984585,0.0643916954962847,0.100953081922141,"NS",-0.263683205934323,0.00559868370880186,0.0116377133272848,"NS",0.18596052265777,0.0529804477796655,0.251317508698413,"NS"
"Adenosine",-0.165091125240328,0.0521168221141154,0.0853240008062952,"NS",-0.230126221128216,0.0160712984145482,0.0291489235950139,"NS",0.0471226021684737,0.626059046818564,0.773648906298133,"NS"
"Adenylosuccinate",-0.41052481067171,5.18395315049547e-07,6.85022380601188e-06,"SIG",-0.525142253803619,4.56353449697911e-09,6.03038487100811e-08,"SIG",0.0254193309239181,0.792740286226578,0.883016832890366,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.221960314721206,0.00863734328378173,0.0169990266755279,"NS",-0.246798139290654,0.00967898632844611,0.0190490688378993,"NS",0.0887498841627282,0.358219958358719,0.559169088959191,"NS"
"ADP",0.065886753176506,0.440934221867767,0.497395311253273,"NS",0.0959260838795973,0.321079469690995,0.393375509224067,"NS",-0.1250579186359,0.194779689547931,0.41418669616514,"NS"
"Agmatine",0.0812318045792746,0.341790878965286,0.416254956172545,"NS",0.102742201616381,0.287732142487007,0.359665178108759,"NS",-0.071374293392642,0.46021880219051,0.645003624282155,"NS"
"Alanine",-0.260640211326437,0.00194241606029297,0.00492256124868767,"SIG",-0.428928882840622,3.2633155887769e-06,1.67698162201035e-05,"SIG",0.192447409878603,0.0451189747996901,0.251099576317623,"NS"
"Allantoin",-0.0712534994591866,0.404539948261781,0.47668720018108,"NS",-0.203060997674408,0.034201049712944,0.0531696991335683,"NS",0.22933926420165,0.0166220961506891,0.153754389393874,"NS"
"Alpha-Ketoglutaric Acid",0.249761490406216,0.00302490383722832,0.00717445140881075,"SIG",0.362287546817225,0.000108322947547293,0.000357852594575879,"SIG",-0.127031785747382,0.187785260968843,0.408709097402777,"NS"
"Aminolevulinate",0.0547488554999188,0.522087420790446,0.578360316444506,"NS",0.0427872407759734,0.658659819103793,0.716776861965892,"NS",-0.0694096932629043,0.472682915987728,0.654876191529973,"NS"
"AMP",0.165864186944661,0.0510106930727074,0.0842587340933113,"NS",0.230668359656566,0.0158165520830727,0.0289709122313707,"NS",-0.141775553702159,0.141248756552357,0.354671540591952,"NS"
"Anthranilic Acid",0.215967969371435,0.0106664639130904,0.0207715349886497,"NS",0.222564083707121,0.020012987411499,0.0346018941226852,"NS",0.00532851450282643,0.956110273595913,0.989262999134468,"NS"
"Arabitol/Xylitol",0.110150121455517,0.196753809096402,0.267643049138488,"NS",0.0437927455678714,0.651156884438555,0.716776861965892,"NS",0.0373644703919933,0.699270649979891,0.820234757376633,"NS"
"Arginine",-0.364746598937387,1.01230186522821e-05,7.80316021113408e-05,"SIG",-0.444284840814585,1.30215006183788e-06,7.37075699209366e-06,"SIG",0.177907515522194,0.0642813025588683,0.255764071141685,"NS"
"Argininosuccinate",-0.0143061100949225,0.867250450016523,0.886416205817993,"NS",0.148425481539526,0.123490370944675,0.169227545368629,"NS",-0.186637012325086,0.052111034154228,0.251317508698413,"NS"
"Asparagine",0.347127048069269,2.8322641238157e-05,0.000187131736752109,"SIG",0.512561859748305,1.21418041631986e-08,1.40389610636984e-07,"SIG",-0.29592252803262,0.00185663557973154,0.0686955164500668,"NS"
"Aspartic Acid",-0.26332581875016,0.001736206947564,0.0045239195112583,"SIG",-0.392809482597097,2.39060077488363e-05,9.61437268159719e-05,"SIG",0.169001946066166,0.0789944524325202,0.270039403988336,"NS"
"Azelaic Acid",-0.230043948380964,0.00644331958549146,0.0130990563001749,"NS",-0.297698923341343,0.00166747923889306,0.00401000972993669,"SIG",0.13628023352794,0.157445031341598,0.355211351197507,"NS"
"betaAlanine",0.246063753063237,0.00350162063789249,0.00789988673973541,"SIG",0.200155691201965,0.0369097377804789,0.0564322437139553,"NS",0.119219720137151,0.216569932911782,0.426135447996302,"NS"
"Betaine",-0.361448798140869,1.23300383904387e-05,9.12422840892461e-05,"SIG",-0.399032491516539,1.72407772510647e-05,7.08787509210438e-05,"SIG",0.118218886108794,0.220473173710303,0.426135447996302,"NS"
"Biopterin",-0.312623025236865,0.000179070248510244,0.00070427273759836,"SIG",-0.421635497852385,4.97092675645512e-06,2.35800371780563e-05,"SIG",0.148772124918914,0.122500231684609,0.333272689141951,"NS"
"Cadaverine",-0.448100971780003,3.17581520352409e-08,1.17505162530391e-06,"SIG",-0.498619168878162,3.43246170617249e-08,3.34213376653638e-07,"SIG",0.101779260494857,0.291814261143755,0.508744955914602,"NS"
"cAMP",0.292851860434433,0.000467850512037447,0.00152463690577018,"SIG",0.333016699948931,0.000402763129284986,0.00114401642938972,"SIG",-0.0675192289871189,0.484848211996787,0.664421623847449,"NS"
"Carnitine",0.180139017086229,0.0338360208629276,0.0579598505522372,"NS",0.260022612452298,0.00632280289857552,0.0128540498487524,"NS",-0.0252710592160133,0.79392240982515,0.883016832890366,"NS"
"Carnosine",0.230951067028244,0.00623108674906184,0.0128083449841827,"NS",0.294839953495255,0.00185685197317422,0.00429397018796538,"SIG",-0.0983134093225836,0.308622138296145,0.510152455311377,"NS"
"cGMP",0.292393832546028,0.000477994273160382,0.00152463690577018,"SIG",0.390640928483695,2.67489822223886e-05,0.000104410158236721,"SIG",-0.164627930682977,0.087154290130124,0.281854667067812,"NS"
"Cholecalciferol",-0.341624010561258,3.85765733379898e-05,0.000224913046569858,"SIG",-0.357792894060815,0.000133640879608007,0.000419043436059006,"SIG",0.0826892781021221,0.392081170606478,0.589715581806491,"NS"
"Cholesteryl Sulfate",-0.100397478856058,0.239613327535852,0.312172292916427,"NS",-0.204585472681479,0.0328480580707934,0.0519392371204852,"NS",0.128273561301084,0.183480041107542,0.404092947677326,"NS"
"Choline",-0.522607586388059,4.13909695152695e-11,3.82866468016243e-09,"SIG",-0.687218505467253,1.56262690318933e-16,2.89085977090026e-14,"SIG",0.2540079696043,0.00783937629905264,0.123924425733965,"NS"
"Citraconic Acid",-0.163582984632164,0.054331858582681,0.0881701213841753,"NS",-0.149032491344773,0.121945832373327,0.168358052157206,"NS",0.174738207765731,0.0692373583581951,0.256619557031334,"NS"
"Citrulline",-0.152550098227553,0.0730039102523586,0.112547694972386,"NS",-0.330709135956465,0.000444303703280653,0.00121304630797961,"SIG",0.232582707812066,0.0151172858857934,0.151175930556699,"NS"
