"COMPOUND","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"2-isoPropylmalic Acid",0.332480771012881,0.000442108152410579,0.0686955164500668,"NS"
"Sucrose",0.304596422945047,0.00134156435564098,0.0686955164500668,"NS"
"Histidine",-0.29887869520897,0.00166377442514367,0.0686955164500668,"NS"
"Glyceraldehyde",-0.297590584746548,0.00174545221512015,0.0686955164500668,"NS"
"Asparagine",-0.29592252803262,0.00185663557973154,0.0686955164500668,"NS"
"Pyruvate",-0.290556945602817,0.00225929409423066,0.0696615679054453,"NS"
"Succinylcarnitine",-0.277972384394403,0.00353080440486375,0.0868171039272699,"NS"
"Spermidine",-0.273199888796219,0.0041612488543707,0.0868171039272699,"NS"
"n-Glycylproline",-0.272764340654249,0.00422353478565097,0.0868171039272699,"NS"
"Ribose-5-P",-0.260874803076638,0.00628099207195728,0.11619835333121,"NS"
"Choline",0.2540079696043,0.00783937629905264,0.123924425733965,"NS"
"Taurine",0.2516726902048,0.00844254273957996,0.123924425733965,"NS"
"Pyroglutamic Acid",0.250227041052729,0.00883617766523031,0.123924425733965,"NS"
"Glucosamine",-0.2483273097952,0.00937806465013786,0.123924425733965,"NS"
"Histamine",0.245408210545825,0.0102679027547867,0.126637467309036,"NS"
"Glucose",-0.234945788156797,0.0140969973550724,0.151175930556699,"NS"
"Citrulline",0.232582707812066,0.0151172858857934,0.151175930556699,"NS"
"PEP",-0.232499304976369,0.0151544418739687,0.151175930556699,"NS"
"Ethanolamine",0.231674543601149,0.0155261766517691,0.151175930556699,"NS"
"Allantoin",0.22933926420165,0.0166220961506891,0.153754389393874,"NS"
"Hypoxanthine",0.224020016680567,0.0193720396675753,0.170658444690544,"NS"
"Valine",-0.220489296636086,0.0214072259161042,0.180015308839967,"NS"
"Pantothenate",0.217811138912056,0.0230713807229842,0.185574149293568,"NS"
"Reduced Glutathione",-0.212908905569456,0.0264063585778899,0.203549014037902,"NS"
"Homocitrulline",-0.207737929756278,0.0303622940211403,0.21944752314783,"NS"
"Retinol",0.206570290056529,0.0313221522964298,0.21944752314783,"NS"
"Sarcosine",0.205041238068761,0.0326179473428843,0.21944752314783,"NS"
"5-Methylcytidine",0.204355481419702,0.0332136791791311,0.21944752314783,"NS"
"2-Aminoisobutyric Acid",0.202205541655083,0.0351414111544797,0.224177967709612,"NS"
"Linoleic Acid",0.194791956259846,0.0425283089225925,0.251099576317623,"NS"
"L-Kynurenine",-0.194402743026596,0.0429495585988088,0.251099576317623,"NS"
"Alanine",0.192447409878603,0.0451189747996901,0.251099576317623,"NS"
"3-Aminoisobutyrate",0.192150866462793,0.04545583295165,0.251099576317623,"NS"
"Glycerophosphocholine",0.190390139931424,0.0474993810203427,0.251099576317623,"NS"
"Uridine",-0.189611713464924,0.0484268993865611,0.251099576317623,"NS"
"Tyrosine",0.189250301176907,0.0488626202564023,0.251099576317623,"NS"
"Argininosuccinate",-0.186637012325086,0.052111034154228,0.251317508698413,"NS"
"G1P/F1P/F6P",-0.18639607079974,0.0524193250238173,0.251317508698413,"NS"
"Adenine",0.18596052265777,0.0529804477796655,0.251317508698413,"NS"
"NAD",-0.183254563988509,0.0565788269517772,0.255764071141685,"NS"
"Leucine /D-Norleucine",-0.18222592901492,0.0579984518541029,0.255764071141685,"NS"
"Putrescine",0.182114725233991,0.0581536634449482,0.255764071141685,"NS"
"Erythrose-4-Phosphate",-0.179909183578908,0.0613032130587108,0.255764071141685,"NS"
"Ergocalciferol",0.179445834491706,0.0619823333205105,0.255764071141685,"NS"
"D-Leucic Acid",0.178546937262534,0.0633173887480221,0.255764071141685,"NS"
"Arginine",0.177907515522194,0.0642813025588683,0.255764071141685,"NS"
"SAH",-0.177203224909647,0.0653568386514301,0.255764071141685,"NS"
"N-Ac-L-Glutamine",-0.176554536187564,0.0663604076475723,0.255764071141685,"NS"
"Citraconic Acid",0.174738207765731,0.0692373583581951,0.256619557031334,"NS"
"N-Ac-Alanine",0.173978315262719,0.0704706705476189,0.256619557031334,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.173811509591326,0.0707437697762055,0.256619557031334,"NS"
"Myristic Acid",0.172801408581225,0.0724159318057851,0.257633603539812,"NS"
"Aspartic Acid",0.169001946066166,0.0789944524325202,0.270039403988336,"NS"
"G6P",-0.168992679084422,0.0790110664965563,0.270039403988336,"NS"
"Dimethylglycine",-0.168288388471875,0.0802819849695054,0.270039403988336,"NS"
"2'-Deoxycytidine",-0.167083680845149,0.0824939671865978,0.272524713027154,"NS"
"cGMP",-0.164627930682977,0.087154290130124,0.281854667067812,"NS"
"Glycerol-3-P",-0.164007042906125,0.0883652469726112,0.281854667067812,"NS"
"Hypotaurine",0.16298767491428,0.0903824453050092,0.283402582736046,"NS"
"Trigonelline",0.161078676675007,0.0942585679293062,0.290630584448694,"NS"
"Pseudouridine",0.15959595959596,0.0973591726349907,0.293447237658966,"NS"
"S-Methylcysteine",0.159132610508757,0.0983444796478697,0.293447237658966,"NS"
"Hydrocinnamic Acid",0.157538689648781,0.101794212270994,0.296725255426398,"NS"
"S-Adenosylmethionine (SAM)",-0.157149476415531,0.102650899174538,0.296725255426398,"NS"
"UDP-GlcNAc",-0.154601056435919,0.108401136793837,0.308526312413229,"NS"
"2-Hydroxyphenylacetate",0.153007135575943,0.112123895196998,0.31428667593098,"NS"
"Niacinamide",0.14924474098786,0.121306726577506,0.333272689141951,"NS"
"Biopterin",0.148772124918914,0.122500231684609,0.333272689141951,"NS"
"Indole-2-Carboxylic Acid",0.147187471040682,0.126568296573344,0.33934978066766,"NS"
"Margaric Acid",-0.145621351125938,0.130690236640598,0.340723949901851,"NS"
"Nicotinic Acid",0.145593550180706,0.130764326719089,0.340723949901851,"NS"
"Glutamine",-0.144861458622926,0.132726986709915,0.341034618629643,"NS"
"AMP",-0.141775553702159,0.141248756552357,0.354671540591952,"NS"
"Palmitic Acid",0.141034195162636,0.143356692437222,0.354671540591952,"NS"
"7-Methylguanine",0.140274302659624,0.145542016120844,0.354671540591952,"NS"
"4-Pyridoxic Acid",-0.140218700769159,0.145702903162099,0.354671540591952,"NS"
"UMP",-0.138596978963951,0.150454920715659,0.355211351197507,"NS"
"Proline",0.138291168566398,0.151363969160748,0.355211351197507,"NS"
"N-Ac-Arginine",0.137420072282458,0.153976066175587,0.355211351197507,"NS"
"Glutaric Acid",0.137077193957928,0.155013477201212,0.355211351197507,"NS"
"Homoarginine",-0.136335835418404,0.157274465652599,0.355211351197507,"NS"
"Azelaic Acid",0.13628023352794,0.157445031341598,0.355211351197507,"NS"
"5,6-Dihydrouracil",-0.131174126586971,0.17370647718017,0.387177087690741,"NS"
"Cholesteryl Sulfate",0.128273561301084,0.183480041107542,0.404092947677326,"NS"
"Alpha-Ketoglutaric Acid",-0.127031785747382,0.187785260968843,0.408709097402777,"NS"
"Maleic Acid",0.125474932814382,0.193286464078809,0.41418669616514,"NS"
"ADP",-0.1250579186359,0.194779689547931,0.41418669616514,"NS"
"3HBA",0.124307293114633,0.197488560323762,0.415174814317,"NS"
"Lactose/Trehalose",-0.122203688258734,0.205225190012595,0.42549361181948,"NS"
"Sorbitol",-0.121721805208044,0.207027731577293,0.42549361181948,"NS"
"Indole-3-Carboxylic Acid",0.121119451394681,0.209296857705798,0.42549361181948,"NS"
"Thiamine",-0.119988879621907,0.213603838691028,0.426135447996302,"NS"
"betaAlanine",0.119219720137151,0.216569932911782,0.426135447996302,"NS"
"Tryptophan",0.118793438976925,0.218226366292928,0.426135447996302,"NS"
"Betaine",0.118218886108794,0.220473173710303,0.426135447996302,"NS"
"1/3-Methylhistidine",-0.117699935131128,0.222516613276196,0.426135447996302,"NS"
"DHAP/D-GA3P",-0.117468260587527,0.223433180841304,0.426135447996302,"NS"
"3-Hydroxyisovaleric Acid",0.11321471596701,0.24073799150555,0.454454371719661,"NS"
"Oxalacetate",0.11165786303401,0.247299332251364,0.458339135794466,"NS"
"IMP",-0.111036975257159,0.249950297675707,0.458339135794466,"NS"
"Threonine",-0.11097210638495,0.250228393055357,0.458339135794466,"NS"
"Cytidine",0.109637661013808,0.255996681689614,0.462051556786149,"NS"
"UDP-Glucose",-0.109350384579742,0.257250326210667,0.462051556786149,"NS"
"Suberic Acid",0.104772495598184,0.277797366335813,0.494158776655052,"NS"
"Imidazoleacetic Acid",-0.10329904550088,0.284639614891394,0.501507892903885,"NS"
"Cadaverine",0.101779260494857,0.291814261143755,0.508744955914602,"NS"
"Phenylalanine",-0.101269576498934,0.294247082610067,0.508744955914602,"NS"
"Kynurenic Acid",-0.100657955703827,0.29718417766551,0.509065489519623,"NS"
"NADH",-0.0996756556389584,0.301941779698536,0.510152455311377,"NS"
"Carnosine",-0.0983134093225836,0.308622138296145,0.510152455311377,"NS"
"Phosphorylcholine",0.0982022055416551,0.309171710004471,0.510152455311377,"NS"
"Ribulose 5-Phosphate",-0.0977666573996849,0.311330356788409,0.510152455311377,"NS"
"Creatine",0.0977110555092206,0.311606634865868,0.510152455311377,"NS"
"Cystathionine",-0.0927810212213882,0.336738616955729,0.546461790673771,"NS"
"DCDP",0.0912519692336206,0.344788267329866,0.554659386574132,"NS"
"Orotate",-0.08912056343249,0.356209787259164,0.559169088959191,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.0887498841627282,0.358219958358719,0.559169088959191,"NS"
"Methionine",-0.0886108794365675,0.358975589199927,0.559169088959191,"NS"
"1-Methylnicotinamide",0.0884811416921509,0.35968173830348,0.559169088959191,"NS"
"iso-Leucine /allo-isoLeucine",-0.086284867018812,0.371766542385833,0.573140086178159,"NS"
"Guanosine",-0.0851913631730145,0.377875247027541,0.577743146281777,"NS"
"Glutamic acid",0.083069224353628,0.389903572933017,0.589715581806491,"NS"
"Cholecalciferol",0.0826892781021221,0.392081170606478,0.589715581806491,"NS"
"Neopterin",-0.0805764062644796,0.404323317929487,0.599361293888274,"NS"
"Urate",0.0804652024835511,0.404973847221807,0.599361293888274,"NS"
"Inosine",0.0794180335464739,0.411129971118574,0.603643211562986,"NS"
"2-Hydroxyglutarate",-0.0782411268649801,0.418113984291109,0.609063677904371,"NS"
"Xanthosine",-0.0766286720415161,0.427793999497013,0.617445526011832,"NS"
"GMP",-0.0761745899360578,0.430543096516358,0.617445526011832,"NS"
"Glycine",0.0753498285608377,0.435562210680702,0.619838530584076,"NS"
"3-Hydroxypropionic Acid",0.0724399962932073,0.45353448081891,0.640487625583957,"NS"
"Agmatine",-0.071374293392642,0.46021880219051,0.645003624282155,"NS"
"Aminolevulinate",-0.0694096932629043,0.472682915987728,0.654876191529973,"NS"
"Lysine",0.069150217774071,0.474342754946034,0.654876191529973,"NS"
"cAMP",-0.0675192289871189,0.484848211996787,0.664421623847449,"NS"
"Dimethylarginine (A/SDMA)",-0.0665554628857381,0.49111410817605,0.668059632445363,"NS"
"Ornithine",0.0633398202205542,0.512328072539599,0.68574755262226,"NS"
"4-Hydroxybenzoic Acid",0.0630432768047447,0.514307936173104,0.68574755262226,"NS"
"Cysteinyl-Glycine (Cys-Gly)",-0.062904272078584,0.515237350348617,0.68574755262226,"NS"
"2-Aminoadipate",0.0582151793160967,0.547087279814577,0.72293676261212,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.05726068019646,0.553686667908309,0.726468323142108,"NS"
"Glucoronate",-0.0561579093689185,0.561358909772027,0.731347875407218,"NS"
"N-Ac-Phenylalanine",-0.0547863960707997,0.570971264475953,0.735970868236332,"NS"
"Xanthurenic Acid",0.0545176536002224,0.572863810951523,0.735970868236332,"NS"
"Cystine",0.0536187563710499,0.579215360787102,0.73899890859044,"NS"
"Phosphoserine",0.052831062922806,0.584807896888225,0.741023704961107,"NS"
"Fructose",0.0508293948660921,0.599130091020137,0.751915414405727,"NS"
