"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"1/3-Methylhistidine",0.58661307379853,3.24616783846398e-14,6.00541050115836e-12,"SIG"
"Choline",-0.522607586388059,4.13909695152695e-11,3.82866468016243e-09,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.484620317321391,1.4931741486269e-09,9.20790724986588e-08,"SIG"
"Xanthine",-0.453271101213027,2.10478749161415e-08,9.73464214871544e-07,"SIG"
"Cadaverine",-0.448100971780003,3.17581520352409e-08,1.17505162530391e-06,"SIG"
"Erythrose-4-Phosphate",0.443292796092939,4.62758043005172e-08,1.42683729926595e-06,"SIG"
"1-Methylnicotinamide",-0.43415681543104,9.31405918628564e-08,2.46157278494692e-06,"SIG"
"Urate",-0.429721764901848,1.29843816307e-07,2.91232041628549e-06,"SIG"
"Sarcosine",-0.428546532368671,1.41680452684159e-07,2.91232041628549e-06,"SIG"
"Oxalacetate",-0.425704525178176,1.74720134813076e-07,3.05485985770754e-06,"SIG"
"Kynurenic Acid",0.425175000253532,1.81640315863691e-07,3.05485985770754e-06,"SIG"
"G1P/F1P/F6P",0.423597596891511,2.03842015141651e-07,3.14256440010045e-06,"SIG"
"G6P",0.419347991800063,2.77301953149429e-07,3.9462201025111e-06,"SIG"
"Adenylosuccinate",-0.41052481067171,5.18395315049547e-07,6.85022380601188e-06,"SIG"
"Deoxyguanosine",0.408522893657021,5.95985283334783e-07,7.35048516112899e-06,"SIG"
"3-Hydroxyisovaleric Acid",-0.401556401188496,9.61576075063077e-07,1.09243589908387e-05,"SIG"
"Hypoxanthine",-0.400921864991876,1.00386001537436e-06,1.09243589908387e-05,"SIG"
"Taurine",-0.394411166129373,1.55317122246404e-06,1.59631486753249e-05,"SIG"
"Pyridoxamine",-0.3906106517968,1.99532346083718e-06,1.94281494870989e-05,"SIG"
"N6-Acetyl-Lysine",0.389544899100365,2.13933733199079e-06,1.97888703209148e-05,"SIG"
"Guanine",0.380480415474705,3.83229994114035e-06,3.37607375767126e-05,"SIG"
"Fructose",0.37203706235137,6.49496476299102e-06,5.46167491433336e-05,"SIG"
"Linolenic Acid",-0.370334539175932,7.21115083665412e-06,5.80027349904788e-05,"SIG"
"Arginine",-0.364746598937387,1.01230186522821e-05,7.80316021113408e-05,"SIG"
"Betaine",-0.361448798140869,1.23300383904387e-05,9.12422840892461e-05,"SIG"
"Phenylacetic Acid",-0.356531142617064,1.6479618132974e-05,0.000117258821330777,"SIG"
"Glucosamine",0.348425166133481,2.63094783483109e-05,0.00018026864794213,"SIG"
"Asparagine",0.347127048069269,2.8322641238157e-05,0.000187131736752109,"SIG"
"PEP",0.34498883982925,3.19574270310206e-05,0.000203866344853063,"SIG"
"4-Guanidinobutanoate",0.343402499337701,3.49325439139562e-05,0.000215417354136063,"SIG"
"Cholecalciferol",-0.341624010561258,3.85765733379898e-05,0.000224913046569858,"SIG"
"1-Methyladenosine",-0.341472079359251,3.8903878325597e-05,0.000224913046569858,"SIG"
"Glyceraldehyde",0.340696783372536,4.06150767806561e-05,0.000227690581952163,"SIG"
"Maleic Acid",-0.339126082857663,4.43005926132108e-05,0.000236887328888547,"SIG"
"Succinylcarnitine",0.338916060313711,4.48165216816171e-05,0.000236887328888547,"SIG"
"Neopterin",-0.336147784441837,5.21654218255334e-05,0.000268072306603436,"SIG"
"iso-Leucine /allo-isoLeucine",-0.33406543326138,5.84220170294439e-05,0.00029211008514722,"SIG"
