"COMPOUND","mass_R_spearman","mass_p","mass_adj","sig_mass"
"Choline",-0.750752418880066,1.46193750829152e-10,2.70458439033932e-08,"SIG"
"1/3-Methylhistidine",0.714636386446737,2.67786350960361e-09,2.47702374638334e-07,"SIG"
"Hypoxanthine",-0.689747914923532,1.55321690365719e-08,9.57817090588598e-07,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.668573503473258,6.07642249353536e-08,2.8103454032601e-06,"SIG"
"Erythrose-4-Phosphate",0.632329400002931,4.94584005638705e-07,1.82996082086321e-05,"SIG"
"Taurine",-0.623962092252419,7.72766214803874e-07,2.30934839666248e-05,"SIG"
"G1P/F1P/F6P",0.621614123240796,8.73807501439856e-07,2.30934839666248e-05,"SIG"
"G6P",0.614655596897259,1.2503640151714e-06,2.7666604047725e-05,"SIG"
"Adenylosuccinate",-0.613204125144619,1.34594289961905e-06,2.7666604047725e-05,"SIG"
"Xanthine",-0.609874278182681,1.59152630693862e-06,2.94432366783644e-05,"SIG"
"Kynurenic Acid",0.597920981396236,2.86007116901786e-06,4.81011969334822e-05,"SIG"
"Cadaverine",-0.57811266100727,7.18296341056995e-06,9.9386223409708e-05,"SIG"
"Asparagine",0.577301544439619,7.44947720756602e-06,9.9386223409708e-05,"SIG"
"Linoleic Acid",-0.577088092711289,7.52111960938331e-06,9.9386223409708e-05,"SIG"
"Urate",-0.572178702959714,9.35591141014016e-06,0.000109200646689995,"SIG"
"Succinylcarnitine",0.571965251231385,9.44438025426988e-06,0.000109200646689995,"SIG"
"1-Methylnicotinamide",-0.569702662911093,1.04309652501168e-05,0.000113513445368918,"SIG"
"Glucosamine",0.567824287701795,1.13215666106497e-05,0.000116360545720567,"SIG"
"Glyceraldehyde",0.564323679357193,1.31716547107311e-05,0.000123941331724201,"SIG"
"Oxalacetate",-0.563085659332883,1.38902236074116e-05,0.000123941331724201,"SIG"
"Histamine",-0.562786826913222,1.40690160335579e-05,0.000123941331724201,"SIG"
"Ethanolamine",-0.53683109674837,4.08228759396967e-05,0.000343283274947449,"SIG"
"Myristic Acid",-0.53465388911941,4.44629549025868e-05,0.000357636811172981,"SIG"
"Pyruvate",0.532519371836117,4.83190921682778e-05,0.000372459668797141,"SIG"
"S-Adenosylmethionine (SAM)",0.530214093170159,5.2827081674052e-05,0.000390920404387985,"SIG"
"Phenylacetic Acid",-0.527780743467205,5.80019549166553e-05,0.000412706217676201,"SIG"
"Deoxyguanosine",0.525902368257906,6.23103984815385e-05,0.000426941619225356,"SIG"
"3-Hydroxyisovaleric Acid",-0.522188308184975,7.17054046818964e-05,0.00047376785236253,"SIG"
"Sarcosine",-0.516382421174416,8.90196499806089e-05,0.000567883974014229,"SIG"
"cGMP",0.513821000434464,9.78113796423962e-05,0.000592571647292937,"SIG"
"Linolenic Acid",-0.512881812829814,0.000101229193003466,0.000592571647292937,"SIG"
"L-Kynurenine",0.512540290064487,0.000102498879531751,0.000592571647292937,"SIG"
