"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"1-Methyladenosine",-0.384662708788336,0.00305609738193888,0.0117787086595561,"NS",-0.432752034014968,0.00135451745824656,0.00464047647732618,"SIG",0.0357722189020746,0.800761017750801,0.887070588526337,"NS"
"1-Methylnicotinamide",-0.540127349349411,1.66676870832407e-05,0.000406044234529521,"SIG",-0.569702662911093,1.04309652501168e-05,0.000113513445368918,"SIG",0.0463587466917101,0.743524636743489,0.865294982216323,"NS"
"1/3-Methylhistidine",0.678550555230859,1.38219535771336e-08,2.55706141176971e-06,"SIG",0.714636386446737,2.67786350960361e-09,2.47702374638334e-07,"SIG",-0.0725689404934688,0.608200327575758,0.807747927980436,"NS"
"2'-Deoxycytidine",-0.0494324648558861,0.711824699093908,0.779216386582089,"NS",0.0840999809617725,0.553339795942212,0.6478978623374,"NS",-0.146845385469137,0.297941812285266,0.662983873581327,"NS"
"2-Aminoadipate",0.139007659417392,0.297165561250234,0.387152315713334,"NS",0.0107579671078003,0.939663240426593,0.965764997105109,"NS",0.11602492956544,0.411605001925634,0.732181974579253,"NS"
"2-Aminoisobutyric Acid",-0.181580485404042,0.172109269086135,0.252700117309007,"NS",-0.319964140765728,0.0207577805393115,0.0426687711085848,"NS",0.214547938188338,0.126494864491809,0.53459864609592,"NS"
"2-Hydroxyglutarate",0.0330062444246209,0.80528334789008,0.851299539198084,"NS",-0.0178018741426696,0.900317383915771,0.941009695053207,"NS",-0.104670024758815,0.459095069052254,0.745619994041499,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.218185733181581,0.0998777647865203,0.16208233759216,"NS",-0.0803432305431755,0.571260468855625,0.664674130429501,"NS",-0.0596772816528643,0.673473001712425,0.821808924279894,"NS"
"2-Hydroxyphenylacetate",-0.384724230213172,0.00305109319290303,0.0117787086595561,"NS",-0.348566672361864,0.0113278096140373,0.0281272175760271,"NS",0.0802527106633655,0.570659343675265,0.782014656147585,"NS"
"2-isoPropylmalic Acid",-0.0664738995355132,0.619175235175546,0.698459868948024,"NS",-0.357147431840705,0.00934520870343346,0.024011994585211,"NS",0.394006659267481,0.00409500382448752,0.378787853765096,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.627610815466486,2.8538716056063e-07,2.63983123518582e-05,"SIG",-0.668573503473258,6.07642249353536e-08,2.8103454032601e-06,"SIG",0.0363698454708444,0.797498768325352,0.887070588526337,"NS"
"3-Aminoisobutyrate",-0.0408194653788182,0.760398444195048,0.813142844948462,"NS",-0.207901983392808,0.139147698529407,0.207599388935002,"NS",0.215828566549987,0.124205311297369,0.53459864609592,"NS"
"3-Hydroxyisovaleric Acid",-0.537789535205635,1.83577048732729e-05,0.000406044234529521,"SIG",-0.522188308184975,7.17054046818964e-05,0.00047376785236253,"SIG",0.0424314863826517,0.764614513656693,0.867814018567412,"NS"
"3-Hydroxypropionic Acid",0.229321111076933,0.0834286282901987,0.137806216372203,"NS",0.175457320686744,0.21343983972613,0.296890002626571,"NS",0.217536071032186,0.121201875275806,0.53459864609592,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.00741333169276201,0.955995584400345,0.971753753373977,"NS",-0.0482827809481039,0.733926786168477,0.803410978941824,"NS",0.0584820285153249,0.67965819143148,0.821808924279894,"NS"
"3HBA",-0.345412039742841,0.00820813371156545,0.0261811161489588,"NS",-0.345749109547916,0.0120532616859383,0.0289591352194621,"NS",0.188166993938359,0.181098684774333,0.540974273513027,"NS"
"4-Guanidinobutanoate",0.395490479559507,0.00228003238987993,0.0100429998125663,"NS",0.4023138175552,0.00311005375218114,0.00927999909925018,"SIG",0.0711175616835994,0.615410422990136,0.807747927980436,"NS"
"4-Hydroxybenzoic Acid",0.17222922882894,0.195561754646055,0.274082762193334,"NS",0.042818416702872,0.763109187884167,0.825585963500414,"NS",0.194740886194826,0.166117434899859,0.53459864609592,"NS"
"4-Pyridoxic Acid",-0.0627210926205051,0.639137850015941,0.712292182246682,"NS",-0.12427159623336,0.38007370273632,0.4750921284204,"NS",-0.0877657303850422,0.535031157814959,0.76707252583253,"NS"
"5'-Methylthioadenosine",-0.0966193977052509,0.46956481915981,0.57150981279319,"NS",-0.00840999809617725,0.952815001090676,0.968520742866895,"NS",0.0221975582685905,0.875670606390966,0.925708926756164,"NS"
"5-Methylcytidine",-0.000522932111107693,0.997064919884842,0.997064919884842,"NS",-0.12085636858009,0.39340608623324,0.485200839687663,"NS",0.293946896610604,0.034805860345517,0.510437853210429,"NS"
"5,6-Dihydrouracil",0.206804269586884,0.119203080686193,0.190108361439188,"NS",0.292001964354581,0.0356859942625194,0.0673664177404704,"NS",-0.127550584820285,0.366448793504326,0.682119395881367,"NS"
"6-Methyladenosine",-0.386631394383094,0.00289954246202933,0.0116612033799006,"NS",-0.383828897881876,0.00496926395287805,0.0135193210482712,"NS",0.0234781866302399,0.868546107273425,0.925708926756164,"NS"
"7-Methylguanine",0.0454950936663693,0.733901196329412,0.798657184240831,"NS",-0.146427885633949,0.300279287736508,0.388473204414364,"NS",0.127892085716725,0.365158668682471,0.682119395881367,"NS"
"Acetylcarnitine",0.2822910578609,0.0321435352865282,0.0613046807011104,"NS",0.386176866893499,0.00468887838408826,0.0131430681978231,"NS",-0.0451634935541706,0.749924212495415,0.865294982216323,"NS"
"Acetylcholine",0.0629056568950137,0.638149914413047,0.712292182246682,"NS",0.165339708763931,0.241445441988351,0.325497380122244,"NS",-0.137454110817041,0.330167287672994,0.662983873581327,"NS"
"Adenine",-0.303762035128734,0.0208032863814074,0.0447512555879113,"NS",-0.321629064246697,0.0200679879573992,0.0424813308420479,"NS",0.194570135746606,0.166494663739549,0.53459864609592,"NS"
"Adenosine",-0.304438770801932,0.0205101625134959,0.04463976547055,"NS",-0.235693398421292,0.0925527646983644,0.148889230166934,"NS",0.105523776999915,0.455423339118661,0.745619994041499,"NS"
"Adenylosuccinate",-0.35156418222646,0.00708283119751415,0.0229881363428091,"NS",-0.613204125144619,1.34594289961905e-06,2.7666604047725e-05,"SIG",0.0919491163664305,0.515679715511118,0.76707252583253,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.320864991233197,0.0144012247193838,0.0379578948596047,"NS",-0.300369272105092,0.0304970900035985,0.0593890700070076,"NS",0.0878511056091522,0.53463268317717,0.76707252583253,"NS"
"ADP",0.187240456488972,0.158954948374639,0.237150527817002,"NS",0.26924801011467,0.0535835748331785,0.0953169360013272,"NS",-0.259626056518398,0.0633092606738686,0.533124095945809,"NS"
"Agmatine",0.149773908763727,0.261030081174327,0.349931630559786,"NS",0.0743238918042873,0.600519337913745,0.685778256259524,"NS",-0.071971313924699,0.61116473597032,0.807747927980436,"NS"
"Alanine",-0.316066320095973,0.0159977760403546,0.0388495712261907,"NS",-0.492860040712519,0.000205675213883604,0.00100719813790891,"SIG",0.194570135746606,0.166494663739549,0.53459864609592,"NS"
"Allantoin",-0.136854409548125,0.304767897563466,0.39154209061973,"NS",-0.294008410600877,0.0343795531687804,0.0662522639190038,"NS",0.293861521386494,0.0348604944382703,0.510437853210429,"NS"
"Alpha-Ketoglutaric Acid",0.42440554923252,0.000995803947403766,0.00526353515056276,"SIG",0.453499542008583,0.000734454667546538,0.00289093858502361,"SIG",-0.18628873900794,0.185553684245501,0.544879866435202,"NS"
"Aminolevulinate",-0.0152880740717955,0.909205204724124,0.944960465584062,"NS",0.0242054259925508,0.864750929516561,0.909467951749786,"NS",-0.0910953641253308,0.519599952451881,0.76707252583253,"NS"
"AMP",0.270355901442677,0.0404337935501246,0.0755580990583136,"NS",0.346218703350241,0.0119296508639455,0.0289591352194621,"NS",-0.205071288312132,0.144446432934338,0.53459864609592,"NS"
"Anthranilic Acid",0.303146820880372,0.0210728563093647,0.0448100967497986,"NS",0.25413562774895,0.0690602128408749,0.118297586810758,"NS",0.156065909673013,0.268371054813204,0.662983873581327,"NS"
"Arabitol/Xylitol",0.259651173521179,0.0493102366648037,0.0894352331665558,"NS",0.154026767162475,0.275614282686596,0.361621576574612,"NS",-0.0174165457184325,0.902351387460009,0.932597802682132,"NS"
"Arginine",-0.494909102094805,9.68557129765857e-05,0.00111989418129177,"SIG",-0.503063033326663,0.000144102797575365,0.000784088751513017,"SIG",0.101340391018526,0.473568556245742,0.753546887993504,"NS"
"Argininosuccinate",0.0114737457319512,0.931840677917008,0.95772514119248,"NS",0.113855151890887,0.421581074289387,0.513108544365372,"NS",-0.259540681294288,0.0633985411395016,0.533124095945809,"NS"
"Asparagine",0.459288197114645,0.000333254889781956,0.00246608618438647,"SIG",0.577301544439619,7.44947720756602e-06,9.9386223409708e-05,"SIG",-0.263553316827457,0.0593107986059228,0.533124095945809,"NS"
"Aspartic Acid",-0.448829554892491,0.000468052238718382,0.00309248800581788,"SIG",-0.478217252149124,0.00033622152854431,0.00152348553795311,"SIG",0.1619568001366,0.250546638531766,0.662983873581327,"NS"
"Azelaic Acid",-0.341228582853979,0.00906001512711217,0.0282184945305736,"NS",-0.322653632542678,0.0196532175231693,0.0424813308420479,"NS",0.100657389225647,0.476567491325621,0.753546887993504,"NS"
"betaAlanine",0.286412993324925,0.0296342290656112,0.058322684863171,"NS",0.226643045140127,0.106154947622774,0.166429367035704,"NS",0.247502774694784,0.0770406492479811,0.53459864609592,"NS"
"Betaine",-0.516626165061983,4.27817185622063e-05,0.000719510721273469,"SIG",-0.475442379680843,0.000368134538113657,0.00162154498931016,"SIG",0.0601895329975241,0.670828769633902,0.821808924279894,"NS"
"Biopterin",-0.325725183795257,0.0129262764651123,0.0356919574036682,"NS",-0.423360157968476,0.00176495634599023,0.00572836708786302,"SIG",0.13847861350636,0.326548429206458,0.662983873581327,"NS"
"Cadaverine",-0.551078162970254,1.05135376604815e-05,0.000389000893437815,"SIG",-0.57811266100727,7.18296341056995e-06,9.9386223409708e-05,"SIG",0.0460172457952702,0.74535134191443,0.865294982216323,"NS"
"cAMP",0.331692762004368,0.0112955858099443,0.0331695773784078,"NS",0.478089181112127,0.000337637335438256,0.00152348553795311,"SIG",-0.181678476906002,0.196823212097556,0.568942097469498,"NS"
"Carnitine",0.282967793534098,0.0317197330742249,0.0613046807011104,"NS",0.2927277002309,0.0352087915200354,0.067150787950583,"NS",-0.103047895500726,0.466115802887791,0.749838465515142,"NS"
"Carnosine",0.368667138330924,0.00463422983938288,0.0161760852884119,"NS",0.436807616853226,0.00120539321527899,0.00428841816974255,"SIG",-0.108597285067873,0.442339801952385,0.737233003253975,"NS"
"cGMP",0.340797932880126,0.00915194417207794,0.0282184945305736,"NS",0.513821000434464,9.78113796423962e-05,0.000592571647292937,"SIG",-0.254332792623581,0.0690396860939364,0.53459864609592,"NS"
"Cholecalciferol",-0.484081331323633,0.000142902573400724,0.00155511623994905,"SIG",-0.465111316029701,0.000512541006884617,0.00215500196076486,"SIG",0.0440536156407411,0.755881790758449,0.865294982216323,"NS"
"Cholesteryl Sulfate",-0.239656710449414,0.070157028611395,0.123610002791506,"NS",-0.214476296625353,0.126800012166078,0.19386778719607,"NS",0.195765388884146,0.163867241950494,0.53459864609592,"NS"
"Choline",-0.618751730290074,4.48190386029247e-07,2.76384071384702e-05,"SIG",-0.750752418880066,1.46193750829152e-10,2.70458439033932e-08,"SIG",0.23204985913088,0.097866968233028,0.53459864609592,"NS"
"Citraconic Acid",-0.335322526069704,0.0103937288626102,0.0310135457997241,"NS",-0.282866230382083,0.0421640769360306,0.0774688035953149,"NS",0.126952958251515,0.368713186962901,0.682119395881367,"NS"
"Citrulline",-0.167615121966225,0.207943870656573,0.289245233620046,"NS",-0.357147431840705,0.00934520870343346,0.024011994585211,"NS",0.407922820797405,0.0028868289111393,0.378787853765096,"NS"
"Creatine",-0.154757144175459,0.245357167566013,0.331321722625638,"NS",-0.183440415326262,0.193008833494997,0.273314627991141,"NS",0.0700076837701699,0.620948671150483,0.807747927980436,"NS"
"Cystathionine",-0.218554861730598,0.0992946610581033,0.16208233759216,"NS",-0.245939081381102,0.0788352016043661,0.131392002673943,"NS",-0.147613762486127,0.295399357091994,0.662983873581327,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.375557537912578,0.00388255127577483,0.0138129228080451,"NS",0.431257871916663,0.00141348484478348,0.00475444902336261,"SIG",-0.153590028173824,0.276110466192043,0.662983873581327,"NS"
"Cystine",0.0790857916269341,0.554141874231545,0.648837004638202,"NS",-0.024120045301219,0.865223564907904,0.909467951749786,"NS",0.143345001280628,0.309704387506722,0.662983873581327,"NS"
"Cytidine",-0.189885877756929,0.153068783222972,0.232112499149588,"NS",-0.21212832761373,0.131111207052251,0.198816174628414,"NS",0.146418509348587,0.2993604422476,0.662983873581327,"NS"
"D-Leucic Acid",-0.307945492017595,0.019047074685015,0.0435751428759213,"NS",-0.337040279032078,0.014553346776751,0.0336546144212367,"NS",0.145906258003927,0.301068602092208,0.662983873581327,"NS"
"DCDP",0.173890307299517,0.191236493438257,0.270066803710515,"NS",-0.0352195351743463,0.804231326624063,0.86101444923016,"NS",0.200973277554854,0.152774804082024,0.53459864609592,"NS"
