"COMPOUND","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"Citrulline",0.407922820797405,0.0028868289111393,0.378787853765096,"NS"
"2-isoPropylmalic Acid",0.394006659267481,0.00409500382448752,0.378787853765096,"NS"
"Sucrose",0.370784598309571,0.00712220036450121,0.439202355810908,"NS"
"Histidine",-0.337659011354905,0.0147521175990897,0.490862039774034,"NS"
"Pyroglutamic Acid",0.335353880303936,0.0154791295951323,0.490862039774034,"NS"
"Ethanolamine",0.328609237599249,0.017785579129696,0.490862039774034,"NS"
"NAD",-0.319986339964142,0.0211571189883544,0.490862039774034,"NS"
"n-Glycylproline",-0.317937334585503,0.0220337481744981,0.490862039774034,"NS"
"Reduced Glutathione",-0.313839323828225,0.023879774907926,0.490862039774034,"NS"
"Pseudouridine",0.294629898403483,0.0343713521595591,0.510437853210429,"NS"
"5-Methylcytidine",0.293946896610604,0.034805860345517,0.510437853210429,"NS"
"Allantoin",0.293861521386494,0.0348604944382703,0.510437853210429,"NS"
"Histamine",0.290788013318535,0.0368754646696298,0.510437853210429,"NS"
"Pantothenate",0.288226756595236,0.0386277294321406,0.510437853210429,"NS"
"Hypoxanthine",0.280542986425339,0.0443035069038014,0.533124095945809,"NS"
"Pyruvate",-0.276957227012721,0.0471782205557215,0.533124095945809,"NS"
"N-Ac-Alanine",0.271237086997353,0.0520798559330045,0.533124095945809,"NS"
"Glyceraldehyde",-0.268248954153505,0.0548012784475299,0.533124095945809,"NS"
"Glucosamine",-0.265004695637326,0.0578859310625612,0.533124095945809,"NS"
"Asparagine",-0.263553316827457,0.0593107986059228,0.533124095945809,"NS"
"ADP",-0.259626056518398,0.0633092606738686,0.533124095945809,"NS"
"Argininosuccinate",-0.259540681294288,0.0633985411395016,0.533124095945809,"NS"
"cGMP",-0.254332792623581,0.0690396860939364,0.53459864609592,"NS"
"Dimethylglycine",-0.249807905745753,0.074261714167665,0.53459864609592,"NS"
"betaAlanine",0.247502774694784,0.0770406492479811,0.53459864609592,"NS"
"Succinylcarnitine",-0.239050627507897,0.0879446819560297,0.53459864609592,"NS"
"Linoleic Acid",0.234867241526509,0.0937737027935737,0.53459864609592,"NS"
"Choline",0.23204985913088,0.097866968233028,0.53459864609592,"NS"
"Nicotinic Acid",0.230342354648681,0.100414781333211,0.53459864609592,"NS"
"Homocitrulline",-0.228805600614702,0.102751698583423,0.53459864609592,"NS"
"Hypotaurine",0.228378724494152,0.103408283641546,0.53459864609592,"NS"
"UMP",-0.226158968667293,0.106875180611507,0.53459864609592,"NS"
"Spermidine",-0.223597711943994,0.110986487728319,0.53459864609592,"NS"
"Ribose-5-P",-0.222060957910014,0.113511177892769,0.53459864609592,"NS"
"3-Hydroxypropionic Acid",0.217536071032186,0.121201875275806,0.53459864609592,"NS"
"3-Aminoisobutyrate",0.215828566549987,0.124205311297369,0.53459864609592,"NS"
"2-Aminoisobutyric Acid",0.214547938188338,0.126494864491809,0.53459864609592,"NS"
"Indole-2-Carboxylic Acid",0.213096559378468,0.12912834071602,0.53459864609592,"NS"
"Glucose",-0.211986681465039,0.131170089401085,0.53459864609592,"NS"
"PEP",-0.211474430120379,0.13212064215575,0.53459864609592,"NS"
"Putrescine",0.211047553999829,0.13291674432833,0.53459864609592,"NS"
"Thiamine",-0.210535302655169,0.133876849694724,0.53459864609592,"NS"
"Valine",-0.206864168018441,0.140911586283426,0.53459864609592,"NS"
"AMP",-0.205071288312132,0.144446432934338,0.53459864609592,"NS"
"DCDP",0.200973277554854,0.152774804082024,0.53459864609592,"NS"
"Indole-3-Carboxylic Acid",0.199948774865534,0.154911590794229,0.53459864609592,"NS"
"GMP",-0.199351148296764,0.156168246362223,0.53459864609592,"NS"
"Trigonelline",0.198924272176214,0.157070472323302,0.53459864609592,"NS"
"Succinate",-0.197985144711005,0.159068947680456,0.53459864609592,"NS"
"Sorbitol",-0.196960642021685,0.161270474055222,0.53459864609592,"NS"
"Cholesteryl Sulfate",0.195765388884146,0.163867241950494,0.53459864609592,"NS"
"Lactose/Trehalose",-0.195423887987706,0.164614798886492,0.53459864609592,"NS"
"Taurine",0.194997011867156,0.165552769745223,0.53459864609592,"NS"
"4-Hydroxybenzoic Acid",0.194740886194826,0.166117434899859,0.53459864609592,"NS"
"Adenine",0.194570135746606,0.166494663739549,0.53459864609592,"NS"
"Alanine",0.194570135746606,0.166494663739549,0.53459864609592,"NS"
"Oxidized Glutathione",-0.194399385298386,0.166872521443266,0.53459864609592,"NS"
"Glucoronate",-0.194057884401947,0.167630125293089,0.53459864609592,"NS"
"Glycerol-3-P",-0.192777256040297,0.170493622268429,0.53459864609592,"NS"
"Lysine",0.188337744386579,0.180697565838691,0.540974273513027,"NS"
"3HBA",0.188166993938359,0.181098684774333,0.540974273513027,"NS"
"Orotate",-0.188081618714249,0.18129948625842,0.540974273513027,"NS"
"Alpha-Ketoglutaric Acid",-0.18628873900794,0.185553684245501,0.544879866435202,"NS"
"cAMP",-0.181678476906002,0.196823212097556,0.568942097469498,"NS"
