"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"1/3-Methylhistidine",0.678550555230859,1.38219535771336e-08,2.55706141176971e-06,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.627610815466486,2.8538716056063e-07,2.63983123518582e-05,"SIG"
"Choline",-0.618751730290074,4.48190386029247e-07,2.76384071384702e-05,"SIG"
"Urate",-0.571564797440709,4.27574387286811e-06,0.00019775315412015,"SIG"
"Cadaverine",-0.551078162970254,1.05135376604815e-05,0.000389000893437815,"SIG"
"Oxalacetate",-0.542772770617368,1.49308143506536e-05,0.000406044234529521,"SIG"
"1-Methylnicotinamide",-0.540127349349411,1.66676870832407e-05,0.000406044234529521,"SIG"
"3-Hydroxyisovaleric Acid",-0.537789535205635,1.83577048732729e-05,0.000406044234529521,"SIG"
"Phenylacetic Acid",-0.536005413885386,1.97535033014361e-05,0.000406044234529521,"SIG"
"Deoxyguanosine",0.521055707650189,3.5987778668291e-05,0.000665773905363384,"SIG"
"Betaine",-0.516626165061983,4.27817185622063e-05,0.000719510721273469,"SIG"
"Kynurenic Acid",0.510227936879018,5.47130427511426e-05,0.000843492742413449,"SIG"
"Erythrose-4-Phosphate",0.504014272970562,6.91834433583105e-05,0.000933340503755205,"SIG"
"G1P/F1P/F6P",0.503460580147036,7.06311732571506e-05,0.000933340503755205,"SIG"
"Maleic Acid",-0.499154080408502,8.28840024558845e-05,0.00102223603028924,"SIG"
"Arginine",-0.494909102094805,9.68557129765857e-05,0.00111989418129177,"SIG"
"Cholecalciferol",-0.484081331323633,0.000142902573400724,0.00155511623994905,"SIG"
"G6P",0.4797748315851,0.000166260662229024,0.00170879013957608,"SIG"
"S-Adenosylmethionine (SAM)",0.477806145990341,0.00017806527965214,0.00173379351240242,"SIG"
"Taurine",-0.472330739179919,0.00021506035973579,0.0019552603440137,"SIG"
"Pyridoxamine",-0.471407917807376,0.000221948471482636,0.0019552603440137,"SIG"
"Xanthine",-0.466547725245317,0.000261681132070972,0.00220050042877863,"SIG"
"Imidazoleacetic Acid",0.463840782552524,0.000286536580068726,0.00230475075272671,"SIG"
"Sarcosine",-0.461687532683257,0.000307830212508798,0.00237285788808865,"SIG"
"Asparagine",0.459288197114645,0.000333254889781956,0.00246608618438647,"SIG"
