"COMPOUND","deltaPC1_R_spearman","deltaPC1_p","deltaPC1_adj","sig_deltaPC1"
"Cadaverine",-0.91231527093596,3.25691914587838e-07,1.46623404178895e-05,"SIG"
"SAH",0.906896551724138,3.7644115001468e-07,1.46623404178895e-05,"SIG"
"Oxalacetate",-0.902463054187192,4.19648161852602e-07,1.46623404178895e-05,"SIG"
"Betaine",-0.900985221674877,4.34353501806692e-07,1.46623404178895e-05,"SIG"
"Urate",-0.892118226600985,5.25230515480858e-07,1.46623404178895e-05,"SIG"
"1-Methylnicotinamide",-0.885221674876847,5.98211811747228e-07,1.46623404178895e-05,"SIG"
"Citraconic Acid",-0.873891625615763,7.1971526443133e-07,1.46623404178895e-05,"SIG"
"Glycerophosphocholine",0.855172413793103,9.14530868256704e-07,1.46623404178895e-05,"SIG"
"Hydrocinnamic Acid",-0.850738916256157,9.58227408070299e-07,1.46623404178895e-05,"SIG"
"Choline",-0.848275862068965,9.82030880933304e-07,1.46623404178895e-05,"SIG"
"Maleic Acid",-0.843349753694581,1.02870028975746e-06,1.46623404178895e-05,"SIG"
"S-Adenosylmethionine (SAM)",0.836945812807882,1.08797125176805e-06,1.46623404178895e-05,"SIG"
"3-Hydroxyisovaleric Acid",-0.830541871921182,1.14695444306605e-06,1.46623404178895e-05,"SIG"
"Arginine",-0.830049261083744,1.15154067707343e-06,1.46623404178895e-05,"SIG"
"1/3-Methylhistidine",0.826108374384236,1.18883841226131e-06,1.46623404178895e-05,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.801477832512315,1.51639988330867e-06,1.75333736507565e-05,"SIG"
"Succinylcarnitine",0.797044334975369,1.61557970581321e-06,1.75813085632614e-05,"SIG"
"Glyceraldehyde",0.791625615763547,1.76883518121239e-06,1.81796949180162e-05,"SIG"
"Pyridoxamine",-0.785714285714286,1.98938606788042e-06,1.87302603179183e-05,"SIG"
"Aminolevulinate",0.783251231527093,2.10194761721163e-06,1.87302603179183e-05,"SIG"
"Glutaric Acid",-0.782758620689655,2.12613765770965e-06,1.87302603179183e-05,"SIG"
"PEP",0.778817733990148,2.34208526380503e-06,1.96948079001787e-05,"SIG"
"N6-Acetyl-Lysine",0.77487684729064,2.60335910927597e-06,2.0940062400698e-05,"SIG"
"Biopterin",-0.771428571428571,2.87586785229371e-06,2.21681480280973e-05,"SIG"
"Phenylacetic Acid",-0.76256157635468,3.81372579341546e-06,2.82215708712744e-05,"SIG"
"n-Glycylproline",0.749261083743842,6.12662923106538e-06,4.35933233748883e-05,"SIG"
"Palmitic Acid",-0.724137931034483,1.58561159942023e-05,0.000108643757738053,"SIG"
"2-Hydroxyphenylacetate",-0.722660098522167,1.67621714888898e-05,0.000110750061623022,"SIG"
"Glucose",0.720197044334975,1.83818988289097e-05,0.000117263837356838,"SIG"
"3-Methyl-3-Hydroxyglutaric Acid",0.70935960591133,2.73997374678622e-05,0.000168965047718484,"SIG"
"Homoarginine",0.70295566502463,3.44828648273775e-05,0.000202871257679794,"SIG"
"Glucosamine",0.702463054187192,3.50912445716401e-05,0.000202871257679794,"SIG"
"Azelaic Acid",-0.701477832512315,3.63372509754744e-05,0.000203708831226144,"SIG"
