"COMPOUND","deltaTAG_R_spearman","deltaTAG_p","deltaTAG_adj","sig_deltaTAG"
"Cadaverine",-0.704926108374384,3.21438113418492e-05,0.00541135815485282,"SIG"
"1-Methylnicotinamide",-0.68128078817734,7.23951790960662e-05,0.00541135815485282,"SIG"
"Oxalacetate",-0.675369458128079,8.77517538624781e-05,0.00541135815485282,"SIG"
"Tyrosine",-0.645320197044335,0.00021937288005661,0.00855402615662842,"SIG"
"Uridine",0.640394088669951,0.000252602323746969,0.00855402615662842,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.636453201970443,0.000282287325969518,0.00855402615662842,"SIG"
"SAH",0.631527093596059,0.00032366585457513,0.00855402615662842,"SIG"
"FAD",-0.620197044334975,0.000439573351654137,0.00867848669272836,"SIG"
"N6-Acetyl-Lysine",0.618226600985222,0.000463065483931261,0.00867848669272836,"SIG"
"N6-Trimethyllysine",0.617733990147783,0.000469107388796128,0.00867848669272836,"SIG"
"Citraconic Acid",-0.591625615763547,0.000906193103727235,0.0152405203808671,"NS"
"Arginine",-0.586206896551724,0.00103200692281068,0.0159101067266647,"NS"
"Cystine",0.58128078817734,0.00115932360626543,0.0164134911885631,"NS"
"N-Ac-Arginine",0.578325123152709,0.00124210203589126,0.0164134911885631,"NS"
"Succinylcarnitine",0.574384236453202,0.00136044661942443,0.0167788416395679,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.565024630541872,0.00168155496153629,0.0187056978803913,"NS"
"S-Adenosylmethionine (SAM)",0.564039408866995,0.0017189019673873,0.0187056978803913,"NS"
"Betaine",-0.559113300492611,0.00191663965895511,0.0196987964948165,"NS"
"6-Methyladenosine",0.550246305418719,0.00232259825411405,0.0226147724742684,"NS"
"S-Methylcysteine",-0.529556650246305,0.00356969138355723,0.0330196452979044,"NS"
"Aminolevulinate",0.525615763546798,0.00386340119906499,0.0340347248489058,"NS"
"Palmitic Acid",-0.523152709359606,0.00405734166349293,0.0341185548975542,"NS"
"DCDP",0.517733990147783,0.0045136970488017,0.0343424151960257,"NS"
"L-Kynurenine",0.516748768472906,0.0046012397909686,0.0343424151960257,"NS"
"Histamine",-0.515763546798029,0.00469023665138195,0.0343424151960257,"NS"
"1/3-Methylhistidine",0.514285714285714,0.00482650159511713,0.0343424151960257,"NS"
"Taurine",-0.502463054187192,0.00604429768339777,0.040112134323757,"NS"
"Urate",-0.501477832512315,0.00615669487312852,0.040112134323757,"NS"
"Ethanolamine",0.498522167487685,0.00650467043087951,0.040112134323757,"NS"
"Homoarginine",0.498522167487685,0.00650467043087951,0.040112134323757,"NS"
"Ergocalciferol",-0.491133004926108,0.00744890834539027,0.0444531627063613,"NS"
"Phenylacetic Acid",-0.483743842364532,0.00850751651090935,0.0491840798286947,"NS"
"Glyceraldehyde",0.48128078817734,0.00888765894487517,0.0498247546909669,"NS"
"n-Glycylproline",0.476354679802956,0.00969135514900366,0.0527323736048729,"NS"
"Leucine /D-Norleucine",0.472413793103448,0.0103778996040517,0.0548546121928446,"NS"
"Cystathionine",0.460591133004926,0.012689492123431,0.0631666256898653,"NS"
"Glucose",0.457142857142857,0.0134402499623538,0.0631666256898653,"NS"
"3-Hydroxyisovaleric Acid",-0.455665024630542,0.0137732549271092,0.0631666256898653,"NS"
"Adenosine",-0.455665024630542,0.0137732549271092,0.0631666256898653,"NS"
"Glycerophosphocholine",0.454679802955665,0.0139990900177539,0.0631666256898653,"NS"
"Biopterin",-0.454679802955665,0.0139990900177539,0.0631666256898653,"NS"
"2-Hydroxyglutarate",0.452216748768473,0.0145773293375915,0.064209664939391,"NS"
"gamma-Aminobutyrate",0.44679802955665,0.0159203172618884,0.0684943882197523,"NS"
"Indole-3-Carboxylic Acid",-0.434975369458128,0.019212945672923,0.0799472364273014,"NS"
"Glutaric Acid",-0.432512315270936,0.0199658146338681,0.0799472364273014,"NS"
