"COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj","deltaTAG_R_spearman","deltaTAG_p","deltaTAG_adj","sig_deltaTAG","deltaPC1_R_spearman","deltaPC1_p","deltaPC1_adj","sig_deltaPC1","deltaPC2_R_spearman","deltaPC2_p","deltaPC2_adj","sig_deltaPC2","TAG_R_spearman.x","TAG_p.x","TAG_adj.x","sig_TAG.x","mass_R_spearman.x","mass_p.x","mass_adj.x","sig_mass.x","rTAG_R_spearman.x","rTAG_p.x","rTAG_adj.x","sig_rTAG.x","TAG_R_spearman.y","TAG_p.y","TAG_adj.y","sig_TAG.y","mass_R_spearman.y","mass_p.y","mass_adj.y","sig_mass.y","rTAG_R_spearman.y","rTAG_p.y","rTAG_adj.y","sig_rTAG.y"
"1-Methyladenosine","AIC_int",0.819713887985301,0.695902943589665,0.176903614880939,2.60785474214864e-08,0.000563364900137132,0.00641821090207376,0.450105246732794,0.246658336950942,0.324328752033779,7.90906766061472e-08,0.00179693976767878,-0.352216748768473,0.0616078647848235,0.149966512963057,"NS",-0.599507389162562,0.000747104440351149,0.00245459016054873,"SIG",0.248275862068965,0.193368285309395,0.359191661621617,"NS",-0.384662708788336,0.00305609738193888,0.0117787086595561,"NS",-0.432752034014968,0.00135451745824656,0.00464047647732618,"SIG",0.0357722189020746,0.800761017750801,0.887070588526337,"NS",-0.341472079359251,3.8903878325597e-05,0.000224913046569858,"SIG",-0.356833725895271,0.000139711169561281,0.00042371420276782,"SIG",0.0198776758409786,0.837219868798332,0.908762313259924,"NS"
"1-Methylnicotinamide","AIC_int",0.71276932175342,0.515514518620226,0.199371766645285,0.251080922252949,0.029037438797299,0.00954005198040809,0.192950045111755,0.27659662144543,0.349200068260146,0.2700579687023,0.0400890013246293,-0.68128078817734,7.23951790960662e-05,0.00541135815485282,"SIG",-0.885221674876847,5.98211811747228e-07,1.46623404178895e-05,"SIG",0.378817733990148,0.043526492595509,0.156202928325553,"NS",-0.540127349349411,1.66676870832407e-05,0.000406044234529521,"SIG",-0.569702662911093,1.04309652501168e-05,0.000113513445368918,"SIG",0.0463587466917101,0.743524636743489,0.865294982216323,"NS",-0.43415681543104,9.31405918628564e-08,2.46157278494692e-06,"SIG",-0.489606695052163,6.55830359265708e-08,5.65225698064921e-07,"SIG",0.0884811416921509,0.35968173830348,0.559169088959191,"NS"
"1/3-Methylhistidine","AIC_int",0.84201577050948,0.733520576762978,0.0624745265024588,6.55220934214537e-06,7.17803551597099e-06,0.0125128348718046,0.339044502861033,0.337187277977114,0.175191168927679,1.44304610511535e-05,4.57909162225736e-05,0.514285714285714,0.00482650159511713,0.0343424151960257,"NS",0.826108374384236,1.18883841226131e-06,1.46623404178895e-05,"SIG",-0.449261083743842,0.015297556559058,0.0832367048066392,"NS",0.678550555230859,1.38219535771336e-08,2.55706141176971e-06,"SIG",0.714636386446737,2.67786350960361e-09,2.47702374638334e-07,"SIG",-0.0725689404934688,0.608200327575758,0.807747927980436,"NS",0.58661307379853,3.24616783846398e-14,6.00541050115836e-12,"SIG",0.677029081331844,6.3709114680309e-16,5.89309310792858e-14,"SIG",-0.117699935131128,0.222516613276196,0.426135447996302,"NS"
"2'-Deoxycytidine","AIC_geno",0.744424193400582,0.568908278025078,0.939044731360976,1.35224738570738e-07,0.117804847628171,2.38867601866529e-05,0.486369342576159,0.160239822841882,0.966461585187186,3.57379666222664e-07,0.137936055767163,0.4,0.0324237787613314,0.0999733178474386,"NS",0.564039408866995,0.0017189019673873,0.00481813430252505,"SIG",-0.165024630541872,0.390653719922394,0.551686551035442,"NS",-0.0494324648558861,0.711824699093908,0.779216386582089,"NS",0.0840999809617725,0.553339795942212,0.6478978623374,"NS",-0.146845385469137,0.297941812285266,0.662983873581327,"NS",-0.0611120917251786,0.474817303609434,0.529163862456297,"NS",0.0331955591205408,0.731846205261311,0.787160162635712,"NS",-0.167083680845149,0.0824939671865978,0.272524713027154,"NS"
"2-Aminoadipate","AIC_int",0.8953787128371,0.823530359002338,0.136263117721145,1.80326944939655e-18,0.00217449360034491,0.00479603961020035,0.683369195324819,0.134891909244036,0.27288571368847,2.78004040115301e-17,0.00496643600078775,-0.151231527093596,0.431907247713258,0.624240943960568,"NS",-0.166995073891626,0.384954007783862,0.481192509729828,"NS",0.0512315270935961,0.791469131564404,0.857652790496813,"NS",0.139007659417392,0.297165561250234,0.387152315713334,"NS",0.0107579671078003,0.939663240426593,0.965764997105109,"NS",0.11602492956544,0.411605001925634,0.732181974579253,"NS",0.116073204051432,0.173599243800977,0.239670597784931,"NS",0.0524808630093865,0.587836994709821,0.65511954229709,"NS",0.0582151793160967,0.547087279814577,0.72293676261212,"NS"
"2-Aminoisobutyric Acid","AIC_int",0.795979949707053,0.655869794686596,0.120214131619055,2.3932721137879e-06,0.00909353421158534,0.00972869576603469,0.40455909295186,0.218818836452027,0.255627751143968,5.46611532161434e-06,0.0155768873068823,0.0862068965517241,0.655470925015945,0.787416370960713,"NS",0.105911330049261,0.583120005770117,0.653801218590737,"NS",-0.20935960591133,0.274465843009522,0.457443071682537,"NS",-0.181580485404042,0.172109269086135,0.252700117309007,"NS",-0.319964140765728,0.0207577805393115,0.0426687711085848,"NS",0.214547938188338,0.126494864491809,0.53459864609592,"NS",-0.158368169551491,0.0625972542173097,0.0989785643607034,"NS",-0.304820862812068,0.00126947876459043,0.00313138095265638,"SIG",0.202205541655083,0.0351414111544797,0.224177967709612,"NS"
"2-Hydroxyglutarate","AIC_int",0.692878718758721,0.481964103930373,0.0143895464560592,0.000421721971496699,0.0173181202237179,0.0292304369817461,0.341021626000735,0.241539255740508,0.0778600895954496,0.000666825339546063,0.0273183823527761,0.452216748768473,0.0145773293375915,0.064209664939391,"NS",0.411330049261084,0.0275105737221496,0.05532017541954,"NS",-0.0133004926108374,0.946050474396856,0.987480982093779,"NS",0.0330062444246209,0.80528334789008,0.851299539198084,"NS",-0.0178018741426696,0.900317383915771,0.941009695053207,"NS",-0.104670024758815,0.459095069052254,0.745619994041499,"NS",-0.070053689819803,0.412518328146525,0.479974155390611,"NS",-0.0646766630659559,0.504031809349172,0.58645210521759,"NS",-0.0782411268649801,0.418113984291109,0.609063677904371,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate","AIC_sex_geno",0.609620970579252,0.341529347965003,0.991065410754356,0.00309270267203974,0.398751724709694,7.17157905937741e-07,0.350491657477713,0.169603408208209,0.991065410754356,0.0045051180655697,0.421537537550248,-0.00985221674876847,0.960287973374678,0.976116896012722,"NS",-0.145812807881773,0.448751753299063,0.542608329152461,"NS",0.296551724137931,0.118302905295567,0.273102642151243,"NS",-0.218185733181581,0.0998777647865203,0.16208233759216,"NS",-0.0803432305431755,0.571260468855625,0.664674130429501,"NS",-0.0596772816528643,0.673473001712425,0.821808924279894,"NS",-0.14157083460012,0.0964311833928869,0.141585467680032,"NS",-0.0613543269563205,0.526230564776421,0.608454090522737,"NS",0.0263274951348346,0.785510154627329,0.883016832890366,"NS"
"2-Hydroxyphenylacetate","AIC_sex",0.561051325565605,0.259604645532346,0.107650614986229,0.0324502050210657,0.000901421182279113,0.0129462563785357,0.234132118146947,0.33591808140889,0.236824991544838,0.0394953153216918,0.00247039874072137,-0.361576354679803,0.0546694842996584,0.138545953362148,"NS",-0.722660098522167,1.67621714888898e-05,0.000110750061623022,"SIG",0.473399014778325,0.0102025180273221,0.0741235062247352,"NS",-0.384724230213172,0.00305109319290303,0.0117787086595561,"NS",-0.348566672361864,0.0113278096140373,0.0281272175760271,"NS",0.0802527106633655,0.570659343675265,0.782014656147585,"NS",-0.258647231441279,0.00210955339083784,0.00527388347709459,"SIG",-0.270758808778693,0.00440491190863383,0.00947568259415416,"SIG",0.153007135575943,0.112123895196998,0.31428667593098,"NS"
"2-isoPropylmalic Acid","AIC_int",0.726473647037384,0.538630248014865,0.979895676174801,0.0108392039698703,0.0280237739649725,3.41544018157859e-06,0.290910239553315,0.260564104762486,0.985221196154011,0.0139253662112918,0.0395755586528237,-0.413300492610837,0.0267221762778714,0.0898836838437493,"NS",-0.589162561576355,0.00096161684865219,0.00296498528334425,"SIG",0.361083743842364,0.055018411769539,0.169640102956078,"NS",-0.0664738995355132,0.619175235175546,0.698459868948024,"NS",-0.357147431840705,0.00934520870343346,0.024011994585211,"NS",0.394006659267481,0.00409500382448752,0.378787853765096,"NS",-0.122302383333744,0.151488604217931,0.213934288399369,"NS",-0.355624339947412,0.000147729960707383,0.000440807140820417,"SIG",0.332480771012881,0.000442108152410579,0.0686955164500668,"NS"
"3-(4-Hydroxyphenyl)Propionate","AIC_sex",0.608528437448005,0.339686520996635,0.357006788355605,0.50276622489145,0.626804792650873,0.00618197324352351,0.198144400664899,0.179388731986736,0.485325639284404,0.513877080690156,0.640656832267467,-0.636453201970443,0.000282287325969518,0.00855402615662842,"SIG",-0.801477832512315,1.51639988330867e-06,1.75333736507565e-05,"SIG",0.250246305418719,0.189768780609041,0.358236983802781,"NS",-0.627610815466486,2.8538716056063e-07,2.63983123518582e-05,"SIG",-0.668573503473258,6.07642249353536e-08,2.8103454032601e-06,"SIG",0.0363698454708444,0.797498768325352,0.887070588526337,"NS",-0.484620317321391,1.4931741486269e-09,9.20790724986588e-08,"SIG",-0.521940392922506,5.87636459045584e-09,7.24751632822887e-08,"SIG",0.00223334260031508,0.981619099483217,0.994099787323673,"NS"
"3-Aminoisobutyrate","AIC_int",0.766095943192006,0.605463036709407,0.23550468460439,6.04246333832121e-07,0.00170472115598973,0.00534900575882526,0.414627560441408,0.243629760301377,0.375589367688035,1.47086278630187e-06,0.00409575862153376,0.190147783251231,0.321693568311834,0.500111849896548,"NS",0.288669950738916,0.128765526340217,0.210810817459647,"NS",-0.257635467980296,0.176692025250063,0.34050025699231,"NS",-0.0408194653788182,0.760398444195048,0.813142844948462,"NS",-0.207901983392808,0.139147698529407,0.207599388935002,"NS",0.215828566549987,0.124205311297369,0.53459864609592,"NS",-0.0863795911884737,0.311970846002197,0.387346352418835,"NS",-0.236136081566426,0.0134368923118019,0.0251093442190237,"NS",0.192150866462793,0.04545583295165,0.251099576317623,"NS"
"3-Hydroxyisovaleric Acid","AIC_int",0.693534743415048,0.483070651543455,0.386144747488504,0.146819767102405,0.0017796600790733,0.00395636207741408,0.197610544451898,0.337732502534387,0.513933656729303,0.15977445243497,0.00422098864908411,-0.455665024630542,0.0137732549271092,0.0631666256898653,"NS",-0.830541871921182,1.14695444306605e-06,1.46623404178895e-05,"SIG",0.619211822660098,0.000451185626402322,0.0278231136281432,"NS",-0.537789535205635,1.83577048732729e-05,0.000406044234529521,"SIG",-0.522188308184975,7.17054046818964e-05,0.00047376785236253,"SIG",0.0424314863826517,0.764614513656693,0.867814018567412,"NS",-0.401556401188496,9.61576075063077e-07,1.09243589908387e-05,"SIG",-0.444127296284979,1.31478367967076e-06,7.37075699209366e-06,"SIG",0.11321471596701,0.24073799150555,0.454454371719661,"NS"
"3-Hydroxypropionic Acid","AIC_int",0.854075781291932,0.753862763624945,0.000172630380385458,6.74091875809535e-15,6.26307710835948e-08,0.0331718569967825,0.521088335160902,0.266977132907643,0.00399207754641373,4.79642296249092e-14,7.72446176697669e-07,0.213793103448276,0.264248130384881,0.444161196619054,"NS",0.217733990147783,0.255379347340621,0.359456360114488,"NS",-0.172413793103448,0.36953306151475,0.533792687789264,"NS",0.229321111076933,0.0834286282901987,0.137806216372203,"NS",0.175457320686744,0.21343983972613,0.296890002626571,"NS",0.217536071032186,0.121201875275806,0.53459864609592,"NS",0.239356437351077,0.00454171073742254,0.0100025772193235,"NS",0.179058625222649,0.0624677814795239,0.0902854654196243,"NS",0.0724399962932073,0.45353448081891,0.640487625583957,"NS"
"3-Methyl-3-Hydroxyglutaric Acid","AIC_int",0.707719071231846,0.50699602376456,0.200082201273381,1.83520903076956e-07,0.0321247548868962,0.00663825835446183,0.469216930964503,0.190610953992044,0.349200068260146,4.78188268580802e-07,0.0430657945947521,0.431034482758621,0.020429202034148,0.0799472364273014,"NS",0.70935960591133,2.73997374678622e-05,0.000168965047718484,"SIG",-0.415270935960591,0.0259524840004452,0.114314512859104,"NS",-0.00741333169276201,0.955995584400345,0.971753753373977,"NS",-0.0482827809481039,0.733926786168477,0.803410978941824,"NS",0.0584820285153249,0.67965819143148,0.821808924279894,"NS",-0.0412694298865083,0.629542241026185,0.673209910923955,"NS",-0.0158656608638654,0.86993347269097,0.896304622811121,"NS",-0.05726068019646,0.553686667908309,0.726468323142108,"NS"
"3HBA","AIC_sex",0.566803846853448,0.269307693487744,0.0744834797662657,0.340373420520848,0.530709648835359,0.0220736655342536,0.211632510539615,0.181991595814202,0.188510900967819,0.35575752992292,0.548498799075651,-0.242364532019704,0.204454072583196,0.376223064074833,"NS",-0.610837438423645,0.000561235826180531,0.00199670438160381,"SIG",0.469458128078818,0.0109194315007722,0.0741235062247352,"NS",-0.345412039742841,0.00820813371156545,0.0261811161489588,"NS",-0.345749109547916,0.0120532616859383,0.0289591352194621,"NS",0.188166993938359,0.181098684774333,0.540974273513027,"NS",-0.18880579844781,0.0260177874917027,0.0462816412112019,"NS",-0.204038700490493,0.0333280352233321,0.0522515806467495,"NS",0.124307293114633,0.197488560323762,0.415174814317,"NS"
"4-Guanidinobutanoate","AIC_int",0.938888296316525,0.896920017883295,4.88844041395086e-08,7.70316102507182e-19,1.40775044638311e-07,0.0610804894005353,0.56191757007046,0.202575495924385,9.04361476580909e-06,1.42508478963829e-17,1.44685462544931e-06,0.405911330049261,0.0297778539740987,0.0966474207931272,"NS",0.535467980295566,0.00316525033658004,0.0081329348926015,"SIG",-0.28423645320197,0.134945059694259,0.290288791202766,"NS",0.395490479559507,0.00228003238987993,0.0100429998125663,"NS",0.4023138175552,0.00311005375218114,0.00927999909925018,"SIG",0.0711175616835994,0.615410422990136,0.807747927980436,"NS",0.343402499337701,3.49325439139562e-05,0.000215417354136063,"SIG",0.3569681021117,0.000138845590674383,0.00042371420276782,"SIG",0.019154851264943,0.843062942855525,0.908762313259924,"NS"
"4-Hydroxybenzoic Acid","AIC_int",0.717138046834101,0.522883452491255,0.940158991966425,9.80842626669777e-09,0.0103060625951193,2.06311577630237e-05,0.496125414178387,0.199082550489749,0.966461585187186,3.07552349040523e-08,0.0171767709918656,0.366995073891626,0.0509464756071181,0.134644256961669,"NS",0.521674876847291,0.00417767973196205,0.00990859936426897,"SIG",-0.478817733990148,0.00928212930290511,0.0741235062247352,"NS",0.17222922882894,0.195561754646055,0.274082762193334,"NS",0.042818416702872,0.763109187884167,0.825585963500414,"NS",0.194740886194826,0.166117434899859,0.53459864609592,"NS",0.124675191223921,0.143648804416844,0.204423298593201,"NS",0.0529488629355694,0.584507216283099,0.65511954229709,"NS",0.0630432768047447,0.514307936173104,0.68574755262226,"NS"
"4-Pyridoxic Acid","AIC_int",0.750553833947882,0.579247430755464,0.0772698406317285,0.000203920883870309,0.00321659003501249,0.0138541474319448,0.333351053953999,0.265928849919336,0.188510900967819,0.000339868139783848,0.00668617029749786,-0.142857142857143,0.458088089083265,0.637190199100783,"NS",-0.142857142857143,0.458088089083265,0.55030062649613,"NS",-0.00344827586206897,0.986757994755238,0.996217205585254,"NS",-0.0627210926205051,0.639137850015941,0.712292182246682,"NS",-0.12427159623336,0.38007370273632,0.4750921284204,"NS",-0.0877657303850422,0.535031157814959,0.76707252583253,"NS",-0.183532892025193,0.0305652950508939,0.0528465381721063,"NS",-0.109317368896119,0.257826265563087,0.328950752614973,"NS",-0.140218700769159,0.145702903162099,0.354671540591952,"NS"
"5'-Methylthioadenosine","AIC_int",0.808457922234562,0.676916977263116,0.542366478316379,2.9300485146872e-05,8.37086358489434e-10,0.00115176890059545,0.270817155624018,0.469747841191751,0.66448873171212,5.82859113136702e-05,1.4078270574595e-08,0.388669950738916,0.0380320043565809,0.110689685795475,"NS",0.282758620689655,0.137052856815293,0.222410337814291,"NS",0.0443349753694581,0.819171186578995,0.868081989639918,"NS",-0.0966193977052509,0.46956481915981,0.57150981279319,"NS",-0.00840999809617725,0.952815001090676,0.968520742866895,"NS",0.0221975582685905,0.875670606390966,0.925708926756164,"NS",-0.0705943861563595,0.408911499604483,0.478788781182464,"NS",1.39009879064241e-05,0.99988553758033,0.99988553758033,"NS",0.000305810397553517,0.997515881074751,0.997515881074751,"NS"
"5-Methylcytidine","AIC_geno",0.763935660925939,0.601819187103993,0.668392042541023,2.11002769071294e-07,0.195803770336061,0.000758884426420055,0.480710483827994,0.14696407587919,0.772828299188058,5.42159892752631e-07,0.216908368336355,0.165024630541872,0.390653719922394,0.582830146658411,"NS",0.292118226600985,0.124106599125896,0.210146043731528,"NS",-0.226600985221675,0.236156206994159,0.412159417867165,"NS",-0.000522932111107693,0.997064919884842,0.997064919884842,"NS",-0.12085636858009,0.39340608623324,0.485200839687663,"NS",0.293946896610604,0.034805860345517,0.510437853210429,"NS",0.0296198815443366,0.729240702506621,0.766531420248437,"NS",-0.117657961639974,0.223049008967355,0.288559906706019,"NS",0.204355481419702,0.0332136791791311,0.21944752314783,"NS"
