"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"1/3-Methylhistidine",0.697211020837361,2.37772456993361e-09,4.39879045437718e-07,"SIG"
"S-Adenosylmethionine (SAM)",0.654214233533405,4.54939763836554e-08,4.20819281548813e-06,"SIG"
"Choline",-0.606671680958045,7.19034567954893e-07,4.43404650238851e-05,"SIG"
"Aspartic Acid",-0.591427986890029,1.58824826219793e-06,7.34564821266543e-05,"SIG"
"Succinylcarnitine",0.573620891353176,3.81310506122565e-06,0.000124399559749731,"SIG"
"NAD",0.572424637334385,4.03678642077619e-06,0.000124399559749731,"SIG"
"Sucrose",-0.569177662140525,4.70701036890873e-06,0.000124399559749731,"SIG"
"Argininosuccinate",0.563059677301568,6.25936436249367e-06,0.000138316335200504,"SIG"
"Pyruvate",0.561487457734015,6.72890279353803e-06,0.000138316335200504,"SIG"
"2-Hydroxyphenylacetate",-0.545184224392213,1.394599248451e-05,0.000234895514799192,"SIG"
"Hydrocinnamic Acid",-0.545150045705962,1.39667603394114e-05,0.000234895514799192,"SIG"
"Spermidine",0.532538110479285,2.39231698592615e-05,0.000368815535330282,"SIG"
"Histamine",-0.530213959814206,2.63558656740323e-05,0.000375064242284306,"SIG"
"Hypoxanthine",-0.507519312143437,6.54328336849619e-05,0.000864648159408424,"SIG"
"Kynurenic Acid",0.502255794460759,8.00671037824929e-05,0.000987494279984079,"SIG"
"N-Acetyl-Aspartate (NAA)",-0.486260169295217,0.000144954631257418,0.0016760379239139,"SIG"
"Uracil",0.48397019731639,0.000157436374721663,0.00171327819550045,"SIG"
"3-(4-Hydroxyphenyl)Propionate",-0.48161186796506,0.000171311077257418,0.00176069718292346,"SIG"
"2-isoPropylmalic Acid",-0.470743045737192,0.000250864979229253,0.00244263269249536,"SIG"
"Cholecalciferol",-0.467906214778346,0.000276551263042501,0.00255809918314314,"SIG"
"cGMP",0.454508169767892,0.000433341646033819,0.00381753354839317,"SIG"
"SAH",0.452525805965325,0.000462400710886197,0.00388836961427029,"SIG"
"ADP",0.448766150477698,0.000522411292422719,0.00420200387383491,"SIG"
"Lysine",-0.446852144047633,0.00055559563522772,0.00428271635488034,"SIG"
"Serine",-0.443468454108768,0.000618959535757038,0.00458030056460208,"SIG"
"Xanthine",-0.439025224896118,0.000712069952037812,0.00492621795549877,"SIG"
"Glucosamine",0.438717616719857,0.000718961539451171,0.00492621795549877,"SIG"
"n-Glycylproline",0.431745164724621,0.000892229795129622,0.00589508971782072,"SIG"
"Glutaric Acid",-0.428634904275766,0.000980997977144049,0.00625809054384997,"SIG"
"Ribose-5-P",0.404573109154951,0.00198374961726399,0.0120339437724207,"NS"
"4-Pyridoxic Acid",0.403992071488681,0.00201649868618941,0.0120339437724207,"NS"
"Uridine",0.402078065058617,0.00212781443410276,0.0123014271971566,"NS"
"AMP",0.397224691610952,0.00243500131414585,0.013590324461036,"NS"
"Oxalacetate",-0.396301867082171,0.00249768125229852,0.013590324461036,"NS"
"Glyceraldehyde",0.394251145907101,0.00264213106364359,0.0139655499078304,"NS"
"Carnosine",0.391140885458246,0.00287538801073846,0.0147762994996282,"NS"
"Erythrose-4-Phosphate",0.38594572514807,0.00330592931404101,0.0165296465702051,"NS"
"Ergocalciferol",-0.380374599289132,0.00383012888617931,0.0173602818062104,"NS"
"Betaine",-0.380272063230378,0.00384042796681532,0.0173602818062104,"NS"
"Reduced Glutathione",0.379622668191606,0.00390622508830539,0.0173602818062104,"NS"
"5'-Methylthioadenosine",0.379485953446601,0.00392020321166432,0.0173602818062104,"NS"
"G1P/F1P/F6P",0.379280881329094,0.00394125316681534,0.0173602818062104,"NS"
"cAMP",0.368377880414975,0.00521434706411471,0.0224338187642144,"NS"
"Aminolevulinate",0.367318341141189,0.00535546883678132,0.0225173121546487,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.359833208852186,0.00645145015312019,0.0265226284072719,"NS"
"Nicotinic Acid",-0.352245540504429,0.00775775586985208,0.0311996703461442,"NS"
"Proline",0.347118737566755,0.00876568008842903,0.0331308122068649,"NS"
"G6P",0.346640235959239,0.00886530888858971,0.0331308122068649,"NS"
