"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"Sucrose",0.415447710184552,0.00158578673896225,0.138780587028254,"NS"
"Homocitrulline",-0.40123034859877,0.00234645523437939,0.138780587028254,"NS"
"Ribose-5-P",-0.401025290498975,0.00235948090052587,0.138780587028254,"NS"
"Glyceraldehyde",-0.392002734107997,0.00300066134115144,0.138780587028254,"NS"
"Threonine",-0.371018455228982,0.00512643275327525,0.189678011871184,"NS"
"Glycerol-3-P",-0.355775803144224,0.00741535203008089,0.228640020927494,"NS"
"Choline",0.344839371155161,0.00956835048896399,0.252877834351191,"NS"
"Reduced Glutathione",-0.331373889268626,0.0129517341661828,0.270673310666704,"NS"
"Putrescine",0.330622009569378,0.013167890789191,0.270673310666704,"NS"
"N-Ac-L-Glutamine",-0.321326042378674,0.0161089635197584,0.29009469757846,"NS"
"Succinylcarnitine",-0.318113465481887,0.0172488739100706,0.29009469757846,"NS"
"PEP",-0.312235133287765,0.019514293216228,0.300845353750182,"NS"
"Histidine",-0.302597402597403,0.0237779278677086,0.304355835276061,"NS"
"Glycerophosphocholine",0.302255639097744,0.0239425919069878,0.304355835276061,"NS"
"DHAP/D-GA3P",-0.298222829801777,0.0259597878230244,0.304355835276061,"NS"
"Citraconic Acid",0.295352016404648,0.0274817576318527,0.304355835276061,"NS"
"Allantoin",0.294463431305537,0.0279678335118543,0.304355835276061,"NS"
"Valine",-0.288858509911142,0.031203797669335,0.309092179611033,"NS"
"Tyrosine",0.28796992481203,0.0317446022303223,0.309092179611033,"NS"
"Margaric Acid",-0.277375256322625,0.0388208546645218,0.358764919843155,"NS"
"Ribulose 5-Phosphate",-0.270266575529733,0.0442679344872912,0.358764919843155,"NS"
"Hypotaurine",0.269993164730007,0.0444894342922038,0.358764919843155,"NS"
"S-Methylcysteine",0.268762816131237,0.0454975325138083,0.358764919843155,"NS"
"Alanine",0.266165413533835,0.0476876385606566,0.358764919843155,"NS"
"2-isoPropylmalic Acid",0.259056732740943,0.0541282291380017,0.358764919843155,"NS"
"Retinol",0.257621326042379,0.0555112386590668,0.358764919843155,"NS"
"Dimethylglycine",-0.256732740943267,0.0563817286941185,0.358764919843155,"NS"
"Lysine",0.255434039644566,0.0576739496303107,0.358764919843155,"NS"
"Asparagine",-0.254203691045796,0.0589202774759195,0.358764919843155,"NS"
"Aminolevulinate",-0.253041695146958,0.0601173649466909,0.358764919843155,"NS"
"Glucose",-0.253041695146958,0.0601173649466909,0.358764919843155,"NS"
"Hydrocinnamic Acid",0.250717703349282,0.0625707204077194,0.360334111415099,"NS"
"n-Glycylproline",-0.249145591250854,0.0642758144686393,0.360334111415099,"NS"
"Biopterin",0.245864661654135,0.0679551682558662,0.36395321246415,"NS"
"NAD",-0.242652084757348,0.0717202383807525,0.36395321246415,"NS"
"AMP",-0.242036910457963,0.0724599335765459,0.36395321246415,"NS"
"SAH",-0.241763499658237,0.0727906424928299,0.36395321246415,"NS"
"Taurine",0.236842105263158,0.078952704720004,0.384375009821072,"NS"
"2-Hydroxyphenylacetate",0.234107997265892,0.0825513663818586,0.391589814888303,"NS"
"Fructose",0.230963773069036,0.0868493447897612,0.398071812493083,"NS"
"N6-Acetyl-Lysine",0.227887901572112,0.0912230540860991,0.398071812493083,"NS"
"Imidazoleacetic Acid",-0.226862611073137,0.0927188525945695,0.398071812493083,"NS"
"Palmitic Acid",0.224743677375256,0.0958711824773099,0.398071812493083,"NS"
"Glucosamine",-0.223786739576213,0.0973220518701281,0.398071812493083,"NS"
"2'-Deoxycytidine",-0.222761449077239,0.0988955545465736,0.398071812493083,"NS"
"Proline",0.222351332877649,0.0995304915951062,0.398071812493083,"NS"
"Inosine",0.221326042378674,0.101131757768513,0.398071812493083,"NS"
"Arginine",0.216062884483937,0.109669800252634,0.422685688473695,"NS"
"NADH",-0.213123718386876,0.114674635984657,0.427844163303447,"NS"
"2-Aminoisobutyric Acid",0.210252904989747,0.119731078097393,0.427844163303447,"NS"
"Cytidine",0.210116199589884,0.119976056199867,0.427844163303447,"NS"
"Pseudouridine",0.209842788790157,0.120467164592772,0.427844163303447,"NS"
"Linoleic Acid",0.208680792891319,0.122571571108555,0.427844163303447,"NS"
"Pyruvate",-0.198838004101162,0.141539924419002,0.484905296620656,"NS"
"gamma-Aminobutyrate",-0.187901572112098,0.165115247424065,0.544551400836233,"NS"
"Citrulline",0.18714969241285,0.166836365648789,0.544551400836233,"NS"
"7-Methylguanine",0.18673957621326,0.167780701879272,0.544551400836233,"NS"
"Niacinamide",0.183253588516746,0.175966665501282,0.55535303839212,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.182775119617225,0.177112590622352,0.55535303839212,"NS"
"Hypoxanthine",0.179015721120984,0.1863061174286,0.563896151193717,"NS"
"ADP",-0.177033492822967,0.191290333825267,0.563896151193717,"NS"
"Neopterin",-0.174709501025291,0.197255336252285,0.563896151193717,"NS"
"UMP",-0.173752563226247,0.199749850506251,0.563896151193717,"NS"
"Maleic Acid",0.173137388926863,0.201365328599497,0.563896151193717,"NS"
"5-Methylcytidine",0.172590567327409,0.202809120739322,0.563896151193717,"NS"
"2-Hydroxyglutarate",-0.172590567327409,0.202809120739323,0.563896151193717,"NS"
"Tryptophan",0.168967874231032,0.212560894275513,0.563896151193717,"NS"
"3-Aminoisobutyrate",0.168557758031442,0.213685402728417,0.563896151193717,"NS"
"betaAlanine",0.16596035543404,0.220904905322003,0.563896151193717,"NS"
"G1P/F1P/F6P",-0.165823650034176,0.22128956336851,0.563896151193717,"NS"
"Trigonelline",0.163431305536569,0.228097249540322,0.563896151193717,"NS"
"Carnitine",0.163226247436774,0.228687486328683,0.563896151193717,"NS"
"o-Phosphoethanolamine",-0.162884483937116,0.229673578185574,0.563896151193717,"NS"
"Riboflavin",-0.162816131237184,0.229871151312353,0.563896151193717,"NS"
"Sedoheptulose 7-Phosphate",-0.162679425837321,0.230266652474892,0.563896151193717,"NS"
"Betaine",0.162200956937799,0.231654635084986,0.563896151193717,"NS"
"Adenine",0.159535201640465,0.239494120169896,0.571979792249607,"NS"
"Lactose/Trehalose",-0.158783321941217,0.241737981349649,0.571979792249607,"NS"
"Xanthurenic Acid",0.156049213943951,0.250019359309874,0.571979792249607,"NS"
"UDP-GlcNAc",-0.155365686944634,0.252119654541578,0.571979792249607,"NS"
"Histamine",0.154477101845523,0.254867993786557,0.571979792249607,"NS"
"Indole-2-Carboxylic Acid",0.152973342447027,0.259565345423554,0.571979792249607,"NS"
"Cholecalciferol",0.152494873547505,0.261072185670599,0.571979792249607,"NS"
"Myristic Acid",0.152221462747779,0.261935890603794,0.571979792249607,"NS"
"5'-Methylthioadenosine",0.151948051948052,0.262801526168739,0.571979792249607,"NS"
"Erythrose-4-Phosphate",-0.150580997949419,0.267158687975951,0.574701828785476,"NS"
"4-Guanidinobutanoate",0.143814080656186,0.289440237123169,0.615476366296393,"NS"
"Cystathionine",-0.141763499658237,0.296427314540584,0.621551547672721,"NS"
"Orotate",-0.141011619958988,0.299016690502012,0.621551547672721,"NS"
"Phosphotyrosine",0.13984962406015,0.303047433998393,0.622930836552252,"NS"
"Argininosuccinate",-0.138072453861928,0.309280181364497,0.628756412664087,"NS"
"Pyroglutamic Acid",0.137047163362953,0.312913449179877,0.629228131503013,"NS"
"Spermidine",-0.135885167464115,0.317064276374644,0.630719259454937,"NS"
"Sarcosine",0.132057416267943,0.330986347386724,0.651409300707914,"NS"
