"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG"
"1/3-Methylhistidine",0.477819760492665,2.19067932810104e-05,0.00405275675698693,"SIG"
"Aspartic Acid",-0.434954578398532,0.000134513371431067,0.0112947586548764,"NS"
"N-Acetyl-Aspartate (NAA)",-0.427060053114129,0.000183158248457456,0.0112947586548764,"NS"
"S-Adenosylmethionine (SAM)",0.397765093708461,0.000540133170258232,0.0249811591244432,"NS"
"Glycerol-3-P",-0.382876437062112,0.000902073808268768,0.0333767309059444,"NS"
"Glutaric Acid",-0.359996784353953,0.00189595613999252,0.0472694380306156,"NS"
"Homocitrulline",-0.355977168628697,0.00214845654253219,0.0472694380306156,"NS"
"Uracil",0.355205402409447,0.00220025262465387,0.0472694380306156,"NS"
"Serine",-0.351201865147092,0.00248734131368465,0.0472694380306156,"NS"
"Spermidine",0.350317549687536,0.00255510475841166,0.0472694380306156,"NS"
"Carnitine",0.339335959526136,0.00354524840286016,0.0596246322299209,"NS"
"Proline",0.331377120390128,0.00446306764242932,0.062447307111052,"NS"
"Suberic Acid",-0.329624567933916,0.00469144634511418,0.062447307111052,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.32528338295064,0.00530229928835766,0.062447307111052,"NS"
"Hydrocinnamic Acid",-0.325154755247431,0.00532142373990023,0.062447307111052,"NS"
"Azelaic Acid",-0.32246965194296,0.0057348060497487,0.062447307111052,"NS"
"3-Aminoisobutyrate",0.321649650335008,0.00586657256179036,0.062447307111052,"NS"
"2-Hydroxyphenylacetate",-0.320379451765827,0.00607595420539966,0.062447307111052,"NS"
"Tryptophan",0.31745317151784,0.00658356675685632,0.0625198312678509,"NS"
"Pyridoxamine",-0.316488463743779,0.00675890067760551,0.0625198312678509,"NS"
"Cholecalciferol",-0.31243669109272,0.00754092896708382,0.0664319932814527,"NS"
"N-Ac-Alanine",0.297274700577054,0.0112151172487533,0.0943089405008798,"NS"
"Oxalacetate",-0.293110378685688,0.0124635649600532,0.0979781888408798,"NS"
"Betaine",-0.291052335434357,0.013123819034799,0.0979781888408798,"NS"
"Phosphotyrosine",0.290698609250535,0.0132402957893081,0.0979781888408798,"NS"
"4-Pyridoxic Acid",0.287450759744527,0.0143522196614636,0.102121562975799,"NS"
"Xanthurenic Acid",0.28482997029166,0.015307334935485,0.104883591224619,"NS"
"2-Aminoisobutyric Acid",0.279829568329442,0.0172822070286064,0.114186010724721,"NS"
"cGMP",0.275166814088144,0.0193168354705213,0.123228088346429,"NS"
"5'-Methylthioadenosine",0.273076613911011,0.020293379603433,0.123645908312551,"NS"
"Arabitol/Xylitol",0.272192298451455,0.0207190440956166,0.123645908312551,"NS"
"Agmatine",0.268944448945448,0.0223483491739663,0.12631691608323,"NS"
"Glycerophosphocholine",0.268590722761625,0.0225322066526843,0.12631691608323,"NS"
"Carnosine",0.266998954934423,0.0233755639153124,0.127190568362729,"NS"
"Cadaverine",-0.265278559404014,0.0243170650747666,0.127419963377755,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.263783262354218,0.025161311100271,0.127419963377755,"NS"
"Choline",-0.262561299173741,0.0258695411762571,0.127419963377755,"NS"
"ADP",0.262046788360908,0.0261727492343496,0.127419963377755,"NS"
"DHAP/D-GA3P",-0.256692660214866,0.0295103098045417,0.13998480291898,"NS"
"Pyruvate",0.252560495249303,0.032324809454424,0.147196840919116,"NS"
"Argininosuccinate",0.252110298288074,0.0326446074678819,0.147196840919116,"NS"
"7-Methylguanine",0.249634215001316,0.0344512472803694,0.147196840919116,"NS"
"NAD",0.249055390336879,0.0348854196147583,0.147196840919116,"NS"
"SAH",0.248733821078859,0.035128595143358,0.147196840919116,"NS"
"3-Hydroxypropionic Acid",-0.247849505619303,0.0358046369803255,0.147196840919116,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.246370287032408,0.0369597236179064,0.147849250578125,"NS"
"Histamine",-0.24561459927606,0.0375617014982264,0.147849250578125,"NS"
"5,6-Dihydrouracil",0.244312243781077,0.038618301489077,0.148060036651401,"NS"
"N-AcetylGlycine",-0.243588712950531,0.0392159015995603,0.148060036651401,"NS"
"Creatine",-0.234488302948551,0.0474106864673176,0.172832410093243,"NS"
"Phenylalanine",0.234247126005035,0.0476456914311102,0.172832410093243,"NS"
"Urate",-0.231996141198892,0.0498856025152783,0.174793924407739,"NS"
"IMP",0.231385159608653,0.0505082632486427,0.174793924407739,"NS"
"1-Methylnicotinamide",-0.230886727258721,0.0510209292865833,0.174793924407739,"NS"
"Methionine",0.228860840933192,0.0531487293334851,0.178772998667177,"NS"
"Hypotaurine",0.226497306886741,0.0557222587745941,0.184082462023213,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.224825146745035,0.0576036303926705,0.186959151274457,"NS"
"Kynurenic Acid",0.221271806443908,0.0617732190218455,0.195160488715661,"NS"
"Myristic Acid",0.220885923334283,0.0622403720768863,0.195160488715661,"NS"
"AMP",0.217975721549198,0.0658562856723527,0.201033006218442,"NS"
"Succinylcarnitine",0.217638073828276,0.0662865588071619,0.201033006218442,"NS"
"Aminolevulinate",0.215242382856024,0.0694049046254078,0.207095279930652,"NS"
"Xanthosine",0.211656885629095,0.074291035077323,0.218156214115948,"NS"
"Ergocalciferol",-0.209711391618071,0.0770551446948512,0.222563103473762,"NS"
"Maleic Acid",-0.208778840769811,0.078408851194942,0.222563103473762,"NS"
"UDP-GlcNAc",0.208103545327968,0.0794008909690179,0.222563103473762,"NS"
"Guanosine",0.205498834338002,0.0833211906539366,0.227825649199515,"NS"
"Cholesteryl Sulfate",-0.205225500468685,0.0837413197057675,0.227825649199515,"NS"
"Pyroglutamic Acid",0.203987458825306,0.0856653119949347,0.227937813527256,"NS"
"Adenosine",-0.203617654178582,0.0862467402535562,0.227937813527256,"NS"
"Niacinamide",0.202347455609401,0.0882676030748568,0.229993050265472,"NS"
"5-Methylcytidine",0.199163919954998,0.0934967862341262,0.238178561743454,"NS"
"L-Kynurenine",0.19887450762278,0.0939839730122817,0.238178561743454,"NS"
"Uridine",0.192861162497797,0.104564098173152,0.261410245432881,"NS"
"cAMP",0.191140766967387,0.107755235027009,0.265796246399956,"NS"
"n-Glycylproline",0.189918803786909,0.110067287783511,0.267926950525653,"NS"
"L-2-Aminobutyric Acid",0.188085859016192,0.113607035105578,0.268034804202099,"NS"
"Alpha-Ketoglutaric Acid",0.188069780553291,0.11363846902969,0.268034804202099,"NS"
"Palmitic Acid",0.187651740517864,0.114458105578193,0.268034804202099,"NS"
"DCDP",0.184194870994144,0.121411346902789,0.280027298155799,"NS"
"Succinate",-0.183616046329707,0.122606546760106,0.280027298155799,"NS"
"GMP",0.179708979844758,0.130910673261407,0.295347250650736,"NS"
"Alanine",0.17753838735312,0.135704838225934,0.300144252945794,"NS"
"N6-Acetyl-Lysine",0.177281131946703,0.136281714851063,0.300144252945794,"NS"
"Sorbitol",-0.176203874932335,0.138717514950139,0.301914591362067,"NS"
"Cytidine",0.173583085479467,0.144780256862109,0.311445901389421,"NS"
"Phosphorylcholine",0.166154835619194,0.163042048137796,0.346698608109106,"NS"
"Ribulose 5-Phosphate",-0.161057962879569,0.176520497284414,0.371094227245644,"NS"
"Xanthine",-0.158646193444415,0.183174202550654,0.380755364852483,"NS"
"Retinol",-0.156491679415678,0.189270321496018,0.384254166349195,"NS"
"D-Leucic Acid",-0.155993247065746,0.190701218021723,0.384254166349195,"NS"
"Glucosamine",0.155848540899637,0.191118095192697,0.384254166349195,"NS"
"Glutamic acid",-0.155141088531992,0.193165607948514,0.384254166349195,"NS"
"N2,N2-Dimethylguanosine",0.152536377542026,0.200839990292667,0.393171236777649,"NS"
"3-Hydroxyisovaleric Acid",-0.152182651358203,0.201898743210144,0.393171236777649,"NS"
"betaAlanine",0.150397941976189,0.207301360232506,0.399486996281391,"NS"
"Putrescine",0.149594018831138,0.209768202033528,0.400073375012398,"NS"
"Hypoxanthine",-0.147712838671718,0.215621685765339,0.40704093741416,"NS"
"Adenine",-0.14210145511926,0.233762841148664,0.432108169539969,"NS"
"Phosphoserine",0.141715572009636,0.235048129747466,0.432108169539969,"NS"
"Adenylosuccinate",-0.141458316603219,0.235907703370469,0.432108169539969,"NS"
"Sucrose",-0.136522228492604,0.252823195726985,0.458551874602865,"NS"
"Lysine",-0.135621834570147,0.255995731738774,0.459798158948284,"NS"
"4-Guanidinobutanoate",-0.130460647978918,0.274702349662759,0.488639418194754,"NS"
"Thiamine",0.129753195611273,0.277335886002428,0.488639418194754,"NS"
"1-Methyladenosine",-0.126698287660078,0.28890070827401,0.504213500289546,"NS"
"Glycine",-0.124013184355607,0.299324437649935,0.517523560422785,"NS"
"2-Aminoadipate",0.122566122694515,0.305042560060178,0.52252660751049,"NS"
"Deoxycarnitine",-0.121167296422125,0.310637040263019,0.527228004116133,"NS"
"Nicotinic Acid",-0.120009647093252,0.315316733937756,0.527816892157403,"NS"
"Glutamine",0.11967199937233,0.316690135294442,0.527816892157403,"NS"
"Phenylacetic Acid",-0.113771203487654,0.341310287552872,0.563771457118583,"NS"
"2'-Deoxycytidine",0.112645711084582,0.346138804665666,0.566687423567684,"NS"
"6-Methyladenosine",-0.110362569352637,0.356063807139816,0.577822844919877,"NS"
"Pseudouridine",0.108979821543148,0.362159199336156,0.582603929366859,"NS"
"Lactate",-0.106246482849974,0.374395001123533,0.594178724781597,"NS"
"2-Hydroxyglutarate",-0.105940992054855,0.375777896213226,0.594178724781597,"NS"
"Margaric Acid",-0.104268831913148,0.383401960976193,0.601096294750811,"NS"
"Cystine",-0.10225902405052,0.392687116313269,0.610479970739116,"NS"
"Trigonelline",-0.101069217795844,0.398246211611693,0.613962909568027,"NS"
"Acetylcholine",0.099766862300861,0.404384027656278,0.618273100135631,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0979499959930452,0.413038523190238,0.622976767578518,"NS"
"o-Phosphoethanolamine",0.0977088190495298,0.414195364390042,0.622976767578518,"NS"
"Ornithine",-0.0939143018048878,0.432641772544294,0.645473612263665,"NS"
"Erythrose-4-Phosphate",0.0925958678470038,0.439158373645148,0.64995439299482,"NS"
"Pipecolate",0.0893640968038977,0.455363060236291,0.665580024333375,"NS"
"Arginine",-0.0890586060087783,0.456911692380208,0.665580024333375,"NS"
"Sedoheptulose 7-Phosphate",0.0852319318383343,0.476553665541203,0.68876896972752,"NS"
"Biopterin",-0.0831256531983,0.487555004215928,0.698163803069037,"NS"
"Dimethylarginine (A/SDMA)",0.0825468285338631,0.490601591345809,0.698163803069037,"NS"
"Threonine",0.0795883913600744,0.506328104445712,0.713189235066865,"NS"
"Leucine /D-Norleucine",0.0789452528440334,0.509780903981564,0.713189235066865,"NS"
"2-isoPropylmalic Acid",-0.0783985851053986,0.512725233858881,0.713189235066865,"NS"
"Citraconic Acid",-0.0742503416769341,0.535346632461493,0.739097962726688,"NS"
"Allantoin",0.0707452367645106,0.554836792963777,0.760331901468879,"NS"
"G1P/F1P/F6P",0.0687836642905855,0.565890206420733,0.769777119028203,"NS"
"Asparagine",0.0674491518698005,0.573468784565814,0.7702546926493,"NS"
"Acetylcarnitine",-0.0672562103149882,0.574568365327586,0.7702546926493,"NS"
"Dimethylglycine",0.065230323989459,0.586172458167388,0.776175074845973,"NS"
"Homoarginine",0.0650213039717457,0.587375732315871,0.776175074845973,"NS"
"Glyceraldehyde",0.0616448267625304,0.60696620193804,0.7963740947414,"NS"
"Inosine",-0.056258541690687,0.638793086143746,0.827385799957828,"NS"
"NADH",-0.0554546185456357,0.643601597356112,0.827385799957828,"NS"
"Indole-3-Carboxylic Acid",-0.0549240292699019,0.64678324741521,0.827385799957828,"NS"
"Anthranilic Acid",-0.0538789291813353,0.653068601756831,0.827385799957828,"NS"
"Imidazoleacetic Acid",0.0528016721669666,0.659572658096459,0.827385799957828,"NS"
"Guanine",0.0527855937040655,0.659669926054207,0.827385799957828,"NS"
"Lactose/Trehalose",-0.052415789057342,0.661908639966262,0.827385799957828,"NS"
"UMP",-0.0485087225723928,0.685738665976445,0.851420491313035,"NS"
"S-Methylcysteine",0.0461773454517442,0.70010717701136,0.857383187678201,"NS"
"Deoxyguanosine",0.046032639285635,0.701002550056753,0.857383187678201,"NS"
"Neopterin",-0.0452287161405837,0.70598421704889,0.857383187678201,"NS"
"3HBA",0.0447302837906519,0.709079068728458,0.857383187678201,"NS"
"Linoleic Acid",0.0425918482248156,0.7224098062847,0.865473321657988,"NS"
"Citrulline",0.0421577297264879,0.72512629652426,0.865473321657988,"NS"
"Linolenic Acid",0.0407910603799008,0.733700192931388,0.868483944188603,"NS"
"Glucose",-0.040260471104167,0.737037725608706,0.868483944188603,"NS"
"Orotate",0.0377683093545081,0.752778084125526,0.88141737698242,"NS"
"N-Ac-L-Glutamine",0.0363373261563168,0.761862227261642,0.886443471971093,"NS"
"G6P",0.033282418205122,0.781361679269654,0.903449441655538,"NS"
"N6-Trimethyllysine",-0.0299863333104119,0.802552107296371,0.920443082188902,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.0286196639638247,0.81138117507632,0.920443082188902,"NS"
"Tyrosine",0.0280247608364868,0.815231830394476,0.920443082188902,"NS"
"PEP",-0.0276710346526643,0.817523487205731,0.920443082188902,"NS"
"Reduced Glutathione",0.0264651499350874,0.825347317445484,0.920443082188902,"NS"
"Taurine",-0.0261114237512648,0.827645567128878,0.920443082188902,"NS"
"Ethanolamine",0.025612991401333,0.830886457975928,0.920443082188902,"NS"
