"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"Hypoxanthine",-0.717191890675661,1.52715200877206e-09,2.8252312162283e-07,"SIG"
"Lysine",-0.524486389408429,5.54784280602934e-05,0.00513175459557714,"SIG"
"Cystine",-0.489888917115631,0.000196706453140635,0.00856738015360027,"SIG"
"gamma-Aminobutyrate",-0.487671130430195,0.00021236799477681,0.00856738015360027,"SIG"
"IMP",0.482550059356552,0.000252960788764807,0.00856738015360027,"SIG"
"Glycine",-0.479767745151187,0.000277860977954604,0.00856738015360027,"SIG"
"Glutamic acid",-0.466420701644292,0.000431194217853533,0.0113958471861291,"NS"
"Xanthine",-0.434484573374016,0.001150900862441,0.0266145824439482,"NS"
"Arginine",0.421419793627085,0.00167454934842231,0.0344212921620143,"NS"
"4-Guanidinobutanoate",-0.412588970279623,0.0021398517988814,0.0395872582793059,"NS"
"Proline",0.40561302306907,0.00258529666729741,0.0434799894045474,"NS"
"FAD",0.396499935961643,0.00329012173487704,0.0468209631501733,"NS"
"NAD",0.396499935961643,0.00329012173487704,0.0468209631501733,"NS"
"GMP",0.386781997940006,0.00422391095382045,0.0550775807772568,"NS"
"Reduced Glutathione",0.382225454386292,0.00473690886242336,0.0550775807772568,"NS"
"Imidazoleacetic Acid",-0.381620603472082,0.00480896062506152,0.0550775807772568,"NS"
"AMP",0.379564110363769,0.00506118309845062,0.0550775807772568,"NS"
"Deoxycarnitine",-0.368959057667958,0.00655468224899001,0.067367567559064,"NS"
"Carnosine",0.359886293954811,0.0081240753701273,0.0791028391301869,"NS"
"Nicotinic Acid",-0.355732984343904,0.00894520100172133,0.0795378727826342,"NS"
"DHAP/D-GA3P",-0.355329750401098,0.00902862339694766,0.0795378727826342,"NS"
"N-Acetyl-Aspartate (NAA)",-0.350208679327455,0.0101481605992103,0.085336805038814,"NS"
"3-Hydroxypropionic Acid",-0.3467811908136,0.0109627371653157,0.088178538068844,"NS"
"N6-Trimethyllysine",-0.343353702299744,0.0118330619640064,0.090663879441687,"NS"
"Oxidized Glutathione",0.341781089922799,0.012251875600228,0.090663879441687,"NS"
"Argininosuccinate",0.326175936336187,0.0171458550797876,0.121999353452335,"NS"
"Putrescine",-0.324361383593558,0.0178104143795705,0.122034320748909,"NS"
"Guanosine",0.317748346931531,0.020420760983157,0.134922885067288,"NS"
"ADP",0.306175532772984,0.0257681981816788,0.162348458653551,"NS"
"Xanthosine",0.305086801127407,0.0263267770789543,0.162348458653551,"NS"
"Urate",0.288312269106656,0.0362975644367589,0.216614497445174,"NS"
"Homocitrulline",-0.284642840227116,0.0388507236810463,0.224605746281049,"NS"
"7-Methylguanine",-0.27432005129127,0.0468368907458137,0.262570448120471,"NS"
"N-Ac-Phenylalanine",0.270811915988853,0.0498382386470977,0.265522205747689,"NS"
"Pyridoxamine",0.26936027379475,0.0511250917567183,0.265522205747689,"NS"
"Ornithine",0.26875542288054,0.0516691859833341,0.265522205747689,"NS"
"Glycerol-3-P",-0.26625537243514,0.0539681906319774,0.269840953159887,"NS"
"Xanthurenic Acid",0.261295594938619,0.0587741762550157,0.286137437030997,"NS"
"2-Hydroxyglutarate",-0.259037484858903,0.0610736055935995,0.289708129097844,"NS"
"3HBA",0.256537434413503,0.0637031470457421,0.294627055086557,"NS"
"Ethanolamine",-0.251093776185615,0.0697427161083101,0.314692743415545,"NS"
"Kynurenic Acid",0.248714695923056,0.0725215109518648,0.319439988716547,"NS"
"Guanine",0.244319445946465,0.0778859283794256,0.329882987703908,"NS"
"Citraconic Acid",0.24274683356952,0.0798797246748179,0.329882987703908,"NS"
"DCDP",-0.242464569809555,0.0802418078198695,0.329882987703908,"NS"
"Acetylcholine",0.229077202908379,0.098950621153723,0.396436427676553,"NS"
"Indole-2-Carboxylic Acid",0.227020709800066,0.102101728151496,0.396436427676553,"NS"
"Cystathionine",-0.225327127240279,0.104754470646998,0.396436427676553,"NS"
"Methionine",-0.224762599720349,0.105650416064022,0.396436427676553,"NS"
"2-Aminoadipate",0.223028693766281,0.108439146693737,0.396436427676553,"NS"
"Sucrose",-0.2204883199266,0.112626567452618,0.396436427676553,"NS"
"Palmitic Acid",0.220206056166636,0.113099365472967,0.396436427676553,"NS"
"Indole-3-Carboxylic Acid",0.219923792406671,0.11357367928031,0.396436427676553,"NS"
"Betaine",0.211334909424893,0.12874499357297,0.439549908971506,"NS"
"Deoxyguanosine",0.210125207596473,0.13099903604957,0.439549908971506,"NS"
"N-Ac-Arginine",-0.209036475950896,0.133052945418402,0.439549908971506,"NS"
"N6-Acetyl-Lysine",-0.206173514956969,0.138569307149028,0.443499846026916,"NS"
"Inosine",-0.205931574591285,0.139043194970601,0.443499846026916,"NS"
"Asparagine",-0.203794434694411,0.143281915200338,0.446291344918755,"NS"
"4-Hydroxybenzoic Acid",-0.203068613597359,0.144743138892569,0.446291344918755,"NS"
"PEP",-0.200528239757678,0.149944692987581,0.454750298404959,"NS"
"Leucine /D-Norleucine",-0.193511969152845,0.165027888169335,0.492421924376241,"NS"
"Serine",-0.191253859073128,0.170110251746621,0.499530104335316,"NS"
"Phosphotyrosine",0.189882863667586,0.173250972293902,0.500803591787061,"NS"
"Maleic Acid",0.188552191656325,0.176339326656525,0.501888852791648,"NS"
"2-Aminoisobutyric Acid",0.187060226067941,0.179849151515964,0.504122621673534,"NS"
"Pyroglutamic Acid",-0.181858508205737,0.192479660308319,0.509351186266511,"NS"
"Valine",-0.180769776560159,0.195201382716508,0.509351186266511,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.179640721520301,0.198052714270067,0.509351186266511,"NS"
