"COMPOUND","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"Pyroglutamic Acid",0.392114175133043,0.00391946866854638,0.504923241573564,"NS"
"Spermidine",-0.353007579422674,0.00986526812683779,0.504923241573564,"NS"
"2-isoPropylmalic Acid",0.35187872923722,0.0101163130460588,0.504923241573564,"NS"
"3-Hydroxypropionic Acid",0.32865666827931,0.0166613508257401,0.504923241573564,"NS"
"4-Pyridoxic Acid",-0.320029027576197,0.0198841303516021,0.504923241573564,"NS"
"Putrescine",0.311482019029189,0.0235862684997852,0.504923241573564,"NS"
"iso-Leucine /allo-isoLeucine",-0.3075310433801,0.0254858275298302,0.504923241573564,"NS"
"Aspartic Acid",0.299709724238026,0.0296289748837306,0.504923241573564,"NS"
"Glycine",0.299225931301403,0.0299028273200015,0.504923241573564,"NS"
"Asparagine",-0.291807772939848,0.0343751404199332,0.504923241573564,"NS"
"Phenylalanine",-0.289469440412837,0.0358956238915258,0.504923241573564,"NS"
"Argininosuccinate",-0.286566682793098,0.0378606487438527,0.504923241573564,"NS"
"Pyruvate",-0.282051282051282,0.0410944463641474,0.504923241573564,"NS"
"cGMP",-0.274875020158039,0.0467019289177979,0.504923241573564,"NS"
"L-2-Aminobutyric Acid",0.274310595065312,0.0471684275464984,0.504923241573564,"NS"
"Guanosine",-0.272133526850508,0.0490037804043221,0.504923241573564,"NS"
"Xanthosine",-0.270440251572327,0.0504714128708187,0.504923241573564,"NS"
"5'-Methylthioadenosine",-0.270278987260119,0.0506130441930497,0.504923241573564,"NS"
"Sucrose",0.268424447669731,0.0522653056677495,0.504923241573564,"NS"
"Ethanolamine",0.255845831317529,0.0646695283666928,0.504923241573564,"NS"
"4-Guanidinobutanoate",0.252136752136752,0.0687492068003186,0.504923241573564,"NS"
"Uridine",-0.251169166263506,0.0698467705896989,0.504923241573564,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.251007901951298,0.0700310566861594,0.504923241573564,"NS"
"Histamine",0.249395258829221,0.0718954408907858,0.504923241573564,"NS"
"Histidine",-0.248911465892598,0.0724624369767566,0.504923241573564,"NS"
"n-Glycylproline",-0.245847443960651,0.0761369567179993,0.504923241573564,"NS"
"Dimethylglycine",-0.243670375745847,0.0788369143363109,0.504923241573564,"NS"
"Cholesteryl Sulfate",0.24141267537494,0.0817167024442955,0.504923241573564,"NS"
"5-Methylcytidine",0.240445089501693,0.0829761466983223,0.504923241573564,"NS"
"Pantothenate",0.239558135784551,0.084144092680452,0.504923241573564,"NS"
"Valine",-0.238026124818578,0.0861920406404137,0.504923241573564,"NS"
"Nicotinic Acid",0.236574746008708,0.0881683028543982,0.504923241573564,"NS"
"L-Kynurenine",-0.235203999354943,0.0900673890374466,0.504923241573564,"NS"
"D-Leucic Acid",0.23326882760845,0.092803047889189,0.504957760573528,"NS"
"DHAP/D-GA3P",0.219480728914691,0.114223648404432,0.562676220268479,"NS"
"1-Methyladenosine",-0.214481535236252,0.12286657064584,0.562676220268479,"NS"
"Citrulline",0.211659409772617,0.127961313537384,0.562676220268479,"NS"
"Leucine /D-Norleucine",-0.210933720367683,0.129296981215482,0.562676220268479,"NS"
"Deoxyguanosine",0.210853088211579,0.129446039560158,0.562676220268479,"NS"
"UDP-Glucose",-0.210691823899371,0.129744547473771,0.562676220268479,"NS"
"Ornithine",0.210369295274956,0.130343129895792,0.562676220268479,"NS"
"Glucosamine",-0.209885502338333,0.131244927277715,0.562676220268479,"NS"
"Ribulose 5-Phosphate",0.209643605870021,0.131697595187832,0.562676220268479,"NS"
"Succinylcarnitine",-0.208514755684567,0.133825695631422,0.562676220268479,"NS"
"FAD",-0.20690211256249,0.136910804398568,0.562855529194112,"NS"
"Guanine",0.201499758103532,0.147637121987748,0.593757990602898,"NS"
"Pyridoxamine",-0.197951943234962,0.155015145604997,0.600227177937874,"NS"
"Azelaic Acid",0.196500564425093,0.158111049351565,0.600227177937874,"NS"
"Glutamine",-0.196097403644573,0.158979090372734,0.600227177937874,"NS"
"Uracil",-0.191582002902758,0.168943147686941,0.612832986707531,"NS"
"Serine",0.191582002902758,0.168943147686941,0.612832986707531,"NS"
"Sedoheptulose 7-Phosphate",0.18996935978068,0.172610464982036,0.614094923493783,"NS"
"IMP",-0.186340912756007,0.181074052017604,0.632050936287863,"NS"
"Sorbitol",-0.182148040638607,0.191224569757926,0.637898285147418,"NS"
"N-Ac-Alanine",0.180616029672633,0.19503362555182,0.637898285147418,"NS"
"Cystine",0.179809708111595,0.197060100606522,0.637898285147418,"NS"
"Alpha-Ketoglutaric Acid",-0.179487179487179,0.197874895272349,0.637898285147418,"NS"
"DCDP",0.17803580067731,0.201571288563594,0.637898285147418,"NS"
"Urate",-0.177310111272375,0.203437831479447,0.637898285147418,"NS"
"Phosphotyrosine",-0.174568617964844,0.210600161603686,0.647698179611029,"NS"
"Phosphoserine",0.172230285437833,0.216848650880411,0.647698179611029,"NS"
"gamma-Aminobutyrate",0.172149653281729,0.217066416950723,0.647698179611029,"NS"
"Hypoxanthine",0.170053217223029,0.222782394734969,0.65420227025348,"NS"
"Deoxycarnitine",0.16819867763264,0.227925923574333,0.657791624252481,"NS"
"NADH",-0.165457184325109,0.235679962947097,0.657791624252481,"NS"
"Reduced Glutathione",-0.164812127076278,0.2375306491136,0.657791624252481,"NS"
"Carnitine",-0.164570230607966,0.238227236891439,0.657791624252481,"NS"
"Maleic Acid",-0.159651669085631,0.252697614173195,0.687486156206487,"NS"
"Suberic Acid",0.155700693436542,0.26474664168485,0.690572857004498,"NS"
"Cystathionine",-0.155378164812127,0.265747040490414,0.690572857004498,"NS"
"betaAlanine",0.154894371875504,0.267252404483455,0.690572857004498,"NS"
"Carnosine",-0.154410578938881,0.268763490293642,0.690572857004498,"NS"
"Imidazoleacetic Acid",0.152072246411869,0.276147829929064,0.699826692285983,"NS"
"Palmitic Acid",-0.148685695855507,0.287080109191661,0.717700272979152,"NS"
"NAD",-0.14497661667473,0.299376960125578,0.723461429079982,"NS"
"Trigonelline",0.143122077084341,0.305652333998596,0.723461429079982,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.14288018061603,0.306477102862152,0.723461429079982,"NS"
"Riboflavin",-0.141993226898887,0.309513579409728,0.723461429079982,"NS"
"Taurine",0.141590066118368,0.310900197962248,0.723461429079982,"NS"
"Allantoin",0.141025641025641,0.3128481855481,0.723461429079982,"NS"
"4-Hydroxybenzoic Acid",0.136913401064344,0.327277262105633,0.736980623586167,"NS"
"N-AcetylGlycine",0.135542654410579,0.332179339278454,0.736980623586167,"NS"
"Adenine",0.133123689727463,0.340942559458717,0.736980623586167,"NS"
"Sarcosine",0.131511046605386,0.346864363562053,0.736980623586167,"NS"
"Glycerophosphocholine",0.131188517980971,0.34805635999277,0.736980623586167,"NS"
"2'-Deoxycytidine",-0.129333978390582,0.354959657329497,0.736980623586167,"NS"
"Glutamic acid",0.128850185453959,0.356774319880352,0.736980623586167,"NS"
"Pipecolate",0.127801967424609,0.360725650374571,0.736980623586167,"NS"
"Glutaric Acid",0.126269956458636,0.366548747116396,0.736980623586167,"NS"
"N-Ac-Arginine",0.125463634897597,0.369636422466465,0.736980623586167,"NS"
"Cysteinyl-Glycine (Cys-Gly)",-0.125060474117078,0.371186169774847,0.736980623586167,"NS"
"Xanthine",-0.123286566682793,0.378051773953163,0.736980623586167,"NS"
"Thiamine",-0.122641509433962,0.380567196930725,0.736980623586167,"NS"
"Phenylacetic Acid",-0.122399612965651,0.381513066197369,0.736980623586167,"NS"
"cAMP",-0.121673923560716,0.384359126173688,0.736980623586167,"NS"
"ADP",-0.121512659248508,0.38499330423474,0.736980623586167,"NS"
"Biopterin",-0.119980648282535,0.391049137321006,0.736980623586167,"NS"
"Linolenic Acid",-0.119980648282535,0.391049137321006,0.736980623586167,"NS"
"Creatine",0.118690533784873,0.396192388205447,0.736980623586167,"NS"
"Succinate",-0.117239154975004,0.402026022649184,0.736980623586167,"NS"
"Cholecalciferol",-0.1171585228189,0.402351583687583,0.736980623586167,"NS"
"Cadaverine",-0.113046282857604,0.419159292952983,0.757058303732509,"NS"
"N-Acetyl-Aspartate (NAA)",0.112481857764877,0.421497325861883,0.757058303732509,"NS"
"Glucose",-0.10627318174488,0.447704868847714,0.790644071209634,"NS"
"Inosine",-0.106031285276568,0.448743932308171,0.790644071209634,"NS"
"Indole-3-Carboxylic Acid",-0.102564102564103,0.463783415956096,0.805365910715664,"NS"
"G6P",-0.101112723754233,0.470159558688063,0.805365910715664,"NS"
"Neopterin",-0.101112723754233,0.470159558688063,0.805365910715664,"NS"
"GMP",-0.0972423802612482,0.487391694854466,0.806863725167057,"NS"
"N-Ac-Phenylalanine",-0.0971617481051443,0.487754207906282,0.806863725167057,"NS"
"Anthranilic Acid",0.0970004837929366,0.488479660641677,0.806863725167057,"NS"
"S-Methylcysteine",-0.0970004837929366,0.488479660641677,0.806863725167057,"NS"
"N6-Trimethyllysine",0.0924850830511208,0.509021191111266,0.828441772819101,"NS"
"UMP",-0.0916787614900822,0.512735319454722,0.828441772819101,"NS"
"UDP-GlcNAc",-0.0904692791485244,0.518332292947618,0.828441772819101,"NS"
"Oxalacetate",-0.0902273826802129,0.519455381875761,0.828441772819101,"NS"
"Phosphorylcholine",0.0892597968069666,0.523959985559629,0.828483737850696,"NS"
"Arginine",-0.0834542815674891,0.551392445365135,0.854643021501925,"NS"
"1/3-Methylhistidine",0.0828092243186583,0.55448256139792,0.854643021501925,"NS"
"1-Methylnicotinamide",-0.0806321561038542,0.564972428259265,0.854643021501925,"NS"
"Betaine",-0.0804708917916465,0.565753152000287,0.854643021501925,"NS"
"G1P/F1P/F6P",-0.079664570230608,0.569664351297185,0.854643021501925,"NS"
"Aminolevulinate",0.0781325592646347,0.577130186800711,0.854643021501925,"NS"
"S-Adenosylmethionine (SAM)",-0.075794226737623,0.588611504357085,0.854643021501925,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.0751491694887921,0.591796819375935,0.854643021501925,"NS"
"Pseudouridine",0.074665376552169,0.594190873346543,0.854643021501925,"NS"
"Ergocalciferol",0.0743428479277536,0.595789311208538,0.854643021501925,"NS"
"Erythrose-4-Phosphate",-0.0741815836155459,0.596589248429175,0.854643021501925,"NS"
"Linoleic Acid",0.0728108369617804,0.603407930481049,0.854643021501925,"NS"
"N-Ac-L-Glutamine",0.0724076761812611,0.6054199268892,0.854643021501925,"NS"
"Indole-2-Carboxylic Acid",-0.0718432510885341,0.608241647384299,0.854643021501925,"NS"
"Margaric Acid",-0.0694242864054185,0.62039905680269,0.854643021501925,"NS"
"Glucoronate",-0.0693436542493146,0.620806080591413,0.854643021501925,"NS"
"o-Phosphoethanolamine",0.0691017577810031,0.622027832909716,0.854643021501925,"NS"
"Proline",-0.0687792291565876,0.623658421095999,0.854643021501925,"NS"
"3-Aminoisobutyrate",0.0676503789711337,0.629379655513592,0.856141443161871,"NS"
"Fructose",0.0648282535074988,0.643777647335687,0.864143604958242,"NS"
"Alanine",-0.0646669891952911,0.644604418833716,0.864143604958242,"NS"
"Choline",0.0634575068537333,0.650818853932992,0.866197755234558,"NS"
"Myristic Acid",0.06192549588776,0.658724629780746,0.866474140939467,"NS"
"Glyceraldehyde",-0.0616029672633446,0.660393804716026,0.866474140939467,"NS"
"Cytidine",-0.0591033704241251,0.673385451335477,0.875566489330409,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0574100951459442,0.682240998318721,0.875566489330409,"NS"
"2-Aminoadipate",0.0567650378971134,0.685625908792496,0.875566489330409,"NS"
"3-Hydroxyisovaleric Acid",0.055878084179971,0.690290241667227,0.875566489330409,"NS"
"Lactose/Trehalose",-0.0542654410578939,0.698800282097943,0.875566489330409,"NS"
"Agmatine",-0.0541041767456862,0.699653346651421,0.875566489330409,"NS"
"Retinol",0.0538622802773746,0.700933638535903,0.875566489330409,"NS"
"Dimethylarginine (A/SDMA)",-0.0525721657797129,0.707775821592609,0.875566489330409,"NS"
"3HBA",0.0521690049991937,0.709918775132764,0.875566489330409,"NS"
"PEP",0.0492662473794549,0.725413416777785,0.87573888849661,"NS"
"Orotate",-0.0492662473794549,0.725413416777786,0.87573888849661,"NS"
"Lysine",0.0486211901306241,0.728871910265895,0.87573888849661,"NS"
"Methionine",-0.0469279148524431,0.737976007005032,0.87573888849661,"NS"
"Glycerol-3-P",0.0467666505402354,0.738844964149196,0.87573888849661,"NS"
"Ribose-5-P",-0.0466860183841316,0.739279565149156,0.87573888849661,"NS"
"2-Hydroxyphenylacetate",-0.0459603289791969,0.743194624291718,0.87573888849661,"NS"
"N6-Acetyl-Lysine",0.0438638929204967,0.754541009977962,0.883481562315968,"NS"
"Niacinamide",-0.0427350427350427,0.76067230442326,0.885058970555366,"NS"
"Arabitol/Xylitol",0.0415255603934849,0.767257892774968,0.8856754033261,"NS"
"Tyrosine",-0.0408805031446541,0.770776972624336,0.8856754033261,"NS"
"Hydrocinnamic Acid",-0.0389453313981616,0.781361665488266,0.89229572910697,"NS"
"6-Methyladenosine",0.0370101596516691,0.79198611816022,0.896902720713961,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.0364457345589421,0.79509214160589,0.896902720713961,"NS"
"7-Methylguanine",0.0345105628124496,0.805765219492316,0.902497190859482,"NS"
"2-Hydroxyglutarate",0.0331398161586841,0.813346909221994,0.902497190859482,"NS"
"Acetylcarnitine",-0.0328979196903725,0.814686653370452,0.902497190859482,"NS"
"Adenylosuccinate",0.0286244154168682,0.838439489620325,0.920254831547653,"NS"
"Homocitrulline",0.0273343009192066,0.845639574935681,0.920254831547653,"NS"
"Threonine",0.0273343009192066,0.845639574935681,0.920254831547653,"NS"
"5,6-Dihydrouracil",-0.0255603934849218,0.855560196791436,0.925606060856232,"NS"
"2-Aminoisobutyric Acid",0.0244315432994678,0.861885065604319,0.927027541493018,"NS"
"Adenosine",-0.0228189001773907,0.870935540323571,0.93134725410324,"NS"
"Homoarginine",0.0199967747137558,0.886813028059064,0.938448672834243,"NS"
"Xanthurenic Acid",-0.0198355104015481,0.887721717545905,0.938448672834243,"NS"
"Citraconic Acid",-0.0188679245283019,0.893176845459244,0.938850661420228,"NS"
"AMP",-0.0174165457184325,0.901368734941987,0.939524356823762,"NS"
"Kynurenic Acid",0.0168521206257055,0.904557294126144,0.939524356823762,"NS"
"Hypotaurine",0.0152394775036284,0.913675590068336,0.939524356823762,"NS"
"Oxidized Glutathione",-0.0151588453475246,0.914131806639337,0.939524356823762,"NS"
"Acetylcholine",0.0115303983228512,0.934687972163983,0.955344059946613,"NS"
"SAH",-0.00975649088856636,0.944754016935913,0.960326885346945,"NS"
"N2,N2-Dimethylguanosine",0.00749879051765844,0.957577628375767,0.966928582620106,"NS"
"Tryptophan",-0.00677310111272375,0.96170194163297,0.966928582620106,"NS"
"Lactate",0.0019351717464925,0.989217774440022,0.989217774440022,"NS"
