"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"Valine",-0.415968232487352,0.000463766988405166,0.0645216633934502,"NS"
"Asparagine",-0.404015007672771,0.000697531496145407,0.0645216633934502,"NS"
"iso-Leucine /allo-isoLeucine",-0.387831259217639,0.001183936101704,0.0730093929384132,"NS"
"Leucine /D-Norleucine",-0.37294460527494,0.00188230061418821,0.081427915634138,"NS"
"Histidine",-0.36224856437241,0.00259225300870559,0.081427915634138,"NS"
"Ornithine",0.35650143791732,0.00306511518666627,0.081427915634138,"NS"
"Spermidine",-0.356321840215599,0.00308105626723765,0.081427915634138,"NS"
"Xanthine",-0.343350895091263,0.00444691501654556,0.102834909757616,"NS"
"Riboflavin",-0.330220307565397,0.0063504531908953,0.130537093368403,"NS"
"Phenylalanine",-0.3178480214468,0.00876496500702097,0.153659196025652,"NS"
"Trigonelline",0.315752714926715,0.00924484708867272,0.153659196025652,"NS"
"Cystathionine",-0.311901341989796,0.0101868666527905,0.153659196025652,"NS"
"n-Glycylproline",-0.309566571867416,0.010797673234235,0.153659196025652,"NS"
"Azelaic Acid",0.286478289546098,0.0187588185571248,0.240760898830607,"NS"
"Hypoxanthine",-0.282786559010711,0.0204116804753538,0.240760898830607,"NS"
"Suberic Acid",0.281908525802294,0.0208225642231876,0.240760898830607,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.272130428708564,0.0258944650783384,0.270239544588925,"NS"
"Alpha-Ketoglutaric Acid",-0.271431993201869,0.0262935773113549,0.270239544588925,"NS"
"4-Pyridoxic Acid",-0.265904375048883,0.0296391797395417,0.285145835748228,"NS"
"2-Aminoadipate",0.264068487431284,0.0308265768376462,0.285145835748228,"NS"
"2'-Deoxycytidine",-0.258221584475238,0.0348770937980672,0.293774298763088,"NS"
"Tryptophan",-0.258141763274473,0.03493532201507,0.293774298763088,"NS"
"Linolenic Acid",-0.251376916509627,0.0401732511080728,0.323132671956238,"NS"
"Glycine",-0.246507823262953,0.0443328856027642,0.334551133133957,"NS"
"Glutaric Acid",0.24553001355358,0.0452096125856698,0.334551133133957,"NS"
"gamma-Aminobutyrate",-0.238765166788734,0.0516737620030169,0.367678691175313,"NS"
"Sarcosine",0.233018040333644,0.0577417437034582,0.394079909097691,"NS"
"UMP",-0.228109036486588,0.0633717584101668,0.394079909097691,"NS"
"Glutamic acid",-0.226612388972241,0.065173721498911,0.394079909097691,"NS"
"Deoxyguanosine",0.225115741457895,0.0670167314264346,0.394079909097691,"NS"
"Glucose",-0.224477171851774,0.0678157288964607,0.394079909097691,"NS"
"Cytidine",-0.223698915144313,0.0687998342322574,0.394079909097691,"NS"
"Guanine",0.218869732498022,0.075165216135313,0.394079909097691,"NS"
"Cholesteryl Sulfate",0.218590358295344,0.0755473672434049,0.394079909097691,"NS"
"Lactose/Trehalose",-0.217911878088841,0.0764818978031224,0.394079909097691,"NS"
"Xanthurenic Acid",0.217313219083102,0.0773141080639465,0.394079909097691,"NS"
"Uridine",-0.216235632872773,0.0788302317827385,0.394079909097691,"NS"
"Adenine",0.214758940658617,0.0809461434903366,0.394079909097691,"NS"
"NADH",-0.201049649427204,0.102806389675586,0.482247074068045,"NS"
"Deoxycarnitine",-0.199632823113623,0.105304684627006,0.482247074068045,"NS"
"Uracil",-0.198754789905206,0.106876378577242,0.482247074068045,"NS"
"AMP",0.196839081086843,0.110368498121315,0.486146956010553,"NS"
"Pyroglutamic Acid",0.193765964857385,0.11615347065059,0.499730048147887,"NS"
"Glyceraldehyde",-0.190972222830605,0.121611927007498,0.500226307024094,"NS"
"Glucoronate",-0.189954502520849,0.123648319873636,0.500226307024094,"NS"
"D-Leucic Acid",0.188837005710137,0.125914191168415,0.500226307024094,"NS"
"UDP-GlcNAc",-0.187859196000764,0.127922622510977,0.500226307024094,"NS"
