"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"1-Methyladenosine",-0.126698287660078,0.28890070827401,0.504213500289546,"NS",-0.190375282418947,0.159903347405841,0.281734469238863,"NS",0.11203007518797,0.409997424863713,0.702310403701731,"NS",-0.0766483080347286,0.537568194900081,0.796588841655279,"NS",0.107784432912181,0.442360322689342,0.716327850534296,"NS",-0.214481535236252,0.12286657064584,0.562676220268479,"NS"
"1-Methylnicotinamide",-0.230886727258721,0.0510209292865833,0.174793924407739,"NS",-0.306958781221645,0.021384833176069,0.0573361469213444,"NS",0.0200956937799043,0.882937538095008,0.956938905505915,"NS",0.0128113027228055,0.918045695476206,0.976083067029299,"NS",0.149196558838409,0.286311032859346,0.586086514804095,"NS",-0.0806321561038542,0.564972428259265,0.854643021501925,"NS"
"1/3-Methylhistidine",0.477819760492665,2.19067932810104e-05,0.00405275675698693,"SIG",0.697211020837361,2.37772456993361e-09,4.39879045437718e-07,"SIG",-0.106493506493507,0.433633290693808,0.729292352530495,"NS",0.145214719491986,0.240999557042163,0.685741122197436,"NS",0.0617754400379575,0.660351342355326,0.878884880113204,"NS",0.0828092243186583,0.55448256139792,0.854643021501925,"NS"
"2'-Deoxycytidine",0.112645711084582,0.346138804665666,0.566687423567684,"NS",0.322578440838424,0.015320350544179,0.0464633582077558,"NS",-0.222761449077239,0.0988955545465736,0.398071812493083,"NS",-0.258221584475238,0.0348770937980672,0.293774298763088,"NS",0.0562108116272277,0.689319107305969,0.879476102424857,"NS",-0.129333978390582,0.354959657329497,0.736980623586167,"NS"
"2-Aminoadipate",0.122566122694515,0.305042560060178,0.52252660751049,"NS",0.0723221001074492,0.596322105434825,0.698225250034447,"NS",0.0428571428571429,0.753222053717777,0.956938905505915,"NS",0.264068487431284,0.0308265768376462,0.285145835748228,"NS",0.223028693766281,0.108439146693737,0.396436427676553,"NS",0.0567650378971134,0.685625908792496,0.875566489330409,"NS"
"2-Aminoisobutyric Acid",0.279829568329442,0.0172822070286064,0.114186010724721,"NS",0.142388406922322,0.295168648190919,0.433382539010476,"NS",0.210252904989747,0.119731078097393,0.427844163303447,"NS",0.115421456306397,0.35231965357637,0.738813414397732,"NS",0.187060226067941,0.179849151515964,0.504122621673534,"NS",0.0244315432994678,0.861885065604319,0.927027541493018,"NS"
"2-Hydroxyglutarate",-0.105940992054855,0.375777896213226,0.594178724781597,"NS",-0.00239250803758102,0.986037657258435,0.986037657258435,"NS",-0.172590567327409,0.202809120739323,0.563896151193717,"NS",-0.149185824230052,0.228236270790969,0.670217620576654,"NS",-0.259037484858903,0.0610736055935995,0.289708129097844,"NS",0.0331398161586841,0.813346909221994,0.902497190859482,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0979499959930452,0.413038523190238,0.622976767578518,"NS",0.139654112022229,0.304634328459517,0.440291802851646,"NS",-0.0793574846206425,0.559990716034327,0.835470019889923,"NS",0.0551165391283313,0.657769226265482,0.870116449607392,"NS",0.179640721520301,0.198052714270067,0.509351186266511,"NS",0.0751491694887921,0.591796819375935,0.854643021501925,"NS"
"2-Hydroxyphenylacetate",-0.320379451765827,0.00607595420539966,0.062447307111052,"NS",-0.545184224392213,1.394599248451e-05,0.000234895514799192,"SIG",0.234107997265892,0.0825513663818586,0.391589814888303,"NS",0.0830739146963226,0.503910659606255,0.796588841655279,"NS",0.161938751431095,0.246665818063777,0.545882393868819,"NS",-0.0459603289791969,0.743194624291718,0.87573888849661,"NS"
"2-isoPropylmalic Acid",-0.0783985851053986,0.512725233858881,0.713189235066865,"NS",-0.470743045737192,0.000250864979229253,0.00244263269249536,"SIG",0.259056732740943,0.0541282291380017,0.358764919843155,"NS",0.0999161880577678,0.421123188110292,0.752267930554635,"NS",-0.0572592198785246,0.683825958442501,0.879476102424857,"NS",0.35187872923722,0.0101163130460588,0.504923241573564,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.224825146745035,0.0576036303926705,0.186959151274457,"NS",-0.48161186796506,0.000171311077257418,0.00176069718292346,"SIG",0.0347231715652768,0.798996192866072,0.956938905505915,"NS",-0.181732918842039,0.141063830132573,0.503015138237748,"NS",-0.00391136924522316,0.977824626184378,0.983138890457119,"NS",-0.251007901951298,0.0700310566861594,0.504923241573564,"NS"
"3-Aminoisobutyrate",0.321649650335008,0.00586657256179036,0.062447307111052,"NS",0.224348896552598,0.0964583111970693,0.18783986917324,"NS",0.168557758031442,0.213685402728417,0.563896151193717,"NS",0.0871847065357275,0.482962820652431,0.790691343546015,"NS",0.130446180497906,0.351851528377372,0.655261729035363,"NS",0.0676503789711337,0.629379655513592,0.856141443161871,"NS"
"3-Hydroxyisovaleric Acid",-0.152182651358203,0.201898743210144,0.393171236777649,"NS",-0.287989610352253,0.0313707961410516,0.0788479566473952,"NS",0.0551606288448394,0.685614573301111,0.938331380836341,"NS",-0.0102171136979383,0.934599836049875,0.977472170726313,"NS",0.0954857976565819,0.496423613142742,0.748283696720698,"NS",0.055878084179971,0.690290241667227,0.875566489330409,"NS"
"3-Hydroxypropionic Acid",-0.247849505619303,0.0358046369803255,0.147196840919116,"NS",-0.336489166142645,0.0112230487554347,0.0364256845571126,"NS",0.00170881749829118,0.990193830692571,0.99859908483962,"NS",0.0650343233234003,0.601068161470773,0.823685999052541,"NS",-0.3467811908136,0.0109627371653157,0.088178538068844,"NS",0.32865666827931,0.0166613508257401,0.504923241573564,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.246370287032408,0.0369597236179064,0.147849250578125,"NS",0.236892474406772,0.0787689102768395,0.158394004361036,"NS",-0.0919343814080656,0.499331572911891,0.781756125126762,"NS",0.0377753832621039,0.761513219441329,0.911688697373292,"NS",0.071090144116788,0.61296625051694,0.846259375713686,"NS",-0.0574100951459442,0.682240998318721,0.875566489330409,"NS"
"3HBA",0.0447302837906519,0.709079068728458,0.857383187678201,"NS",-0.0392029531300776,0.774218309307323,0.837604603636577,"NS",0.104306220095694,0.44317922864028,0.732037118736177,"NS",0.109993614654367,0.375571245777834,0.752267930554635,"NS",0.256537434413503,0.0637031470457421,0.294627055086557,"NS",0.0521690049991937,0.709918775132764,0.875566489330409,"NS"
"4-Guanidinobutanoate",-0.130460647978918,0.274702349662759,0.488639418194754,"NS",-0.273019345774246,0.0417638383316098,0.0978013935613648,"NS",0.143814080656186,0.289440237123169,0.615476366296393,"NS",-0.136254789706099,0.271575384413988,0.685741122197436,"NS",-0.412588970279623,0.0021398517988814,0.0395872582793059,"NS",0.252136752136752,0.0687492068003186,0.504923241573564,"NS"
"4-Hydroxybenzoic Acid",0.00656001286361826,0.95638548979191,0.968241350874806,"NS",-0.153633194698953,0.258273105540496,0.389427714061404,"NS",0.0341763499658237,0.802099768419687,0.956938905505915,"NS",-0.00947876759086074,0.939316761472317,0.977472170726313,"NS",-0.203068613597359,0.144743138892569,0.446291344918755,"NS",0.136913401064344,0.327277262105633,0.736980623586167,"NS"
"4-Pyridoxic Acid",0.287450759744527,0.0143522196614636,0.102121562975799,"NS",0.403992071488681,0.00201649868618941,0.0120339437724207,"NS",-0.0639097744360902,0.638960148498254,0.918916573906223,"NS",-0.265904375048883,0.0296391797395417,0.285145835748228,"NS",0.088308233474626,0.529483929560024,0.765269741942222,"NS",-0.320029027576197,0.0198841303516021,0.504923241573564,"NS"
"5'-Methylthioadenosine",0.273076613911011,0.020293379603433,0.123645908312551,"NS",0.379485953446601,0.00392020321166432,0.0173602818062104,"NS",0.151948051948052,0.262801526168739,0.571979792249607,"NS",-0.117277299224186,0.344578427359981,0.738813414397732,"NS",0.0677029789972133,0.630029394296687,0.857025279006522,"NS",-0.270278987260119,0.0506130441930497,0.504923241573564,"NS"
"5-Methylcytidine",0.199163919954998,0.0934967862341262,0.238178561743454,"NS",0.0738259623025001,0.588685928090645,0.698121132671598,"NS",0.172590567327409,0.202809120739322,0.563896151193717,"NS",0.110771871361827,0.372181711200682,0.752267930554635,"NS",-0.118389485607992,0.398495334016288,0.682607748083457,"NS",0.240445089501693,0.0829761466983223,0.504923241573564,"NS"
"5,6-Dihydrouracil",0.244312243781077,0.038618301489077,0.148060036651401,"NS",0.31092350882678,0.0196798356733839,0.0560118399934774,"NS",-0.127887901572112,0.346584968997168,0.664977992992393,"NS",0.0197757024895642,0.873794661153013,0.959286806717593,"NS",0.12943809564089,0.355617696012637,0.655261729035363,"NS",-0.0255603934849218,0.855560196791436,0.925606060856232,"NS"
"6-Methyladenosine",-0.110362569352637,0.356063807139816,0.577822844919877,"NS",-0.14054275786476,0.301536741845593,0.439246434971927,"NS",-0.0534518113465482,0.694872427970696,0.938331380836341,"NS",-0.100614623564463,0.417867620830161,0.752267930554635,"NS",-0.145123896016063,0.299816756765143,0.596409677436038,"NS",0.0370101596516691,0.79198611816022,0.896902720713961,"NS"
"7-Methylguanine",0.249634215001316,0.0344512472803694,0.147196840919116,"NS",-0.123009091817916,0.366424680700189,0.496439525209939,"NS",0.18673957621326,0.167780701879272,0.544551400836233,"NS",-0.138848978730966,0.26246762641756,0.685741122197436,"NS",-0.27432005129127,0.0468368907458137,0.262570448120471,"NS",0.0345105628124496,0.805765219492316,0.902497190859482,"NS"
"Acetylcarnitine",-0.0672562103149882,0.574568365327586,0.7702546926493,"NS",-0.114840385803889,0.399341863387363,0.523959182458597,"NS",0.118865345181135,0.38187717329025,0.690850894808431,"NS",-0.0918542467804884,0.459739940058312,0.786102506933965,"NS",-0.016532591655067,0.906466174227015,0.947436396790948,"NS",-0.0328979196903725,0.814686653370452,0.902497190859482,"NS"
"Acetylcholine",0.099766862300861,0.404384027656278,0.618273100135631,"NS",0.260065623685057,0.0529032809362355,0.113803569455855,"NS",-0.00683526999316473,0.960190151160959,0.992375295892611,"NS",0.084151500906652,0.498374586014662,0.796588841655279,"NS",0.229077202908379,0.098950621153723,0.396436427676553,"NS",0.0115303983228512,0.934687972163983,0.955344059946613,"NS"
"Adenine",-0.14210145511926,0.233762841148664,0.432108169539969,"NS",-0.225681865316393,0.0944434293340218,0.18783986917324,"NS",0.159535201640465,0.239494120169896,0.571979792249607,"NS",0.214758940658617,0.0809461434903366,0.394079909097691,"NS",0.112824857197262,0.421186506411613,0.695709854340611,"NS",0.133123689727463,0.340942559458717,0.736980623586167,"NS"
"Adenosine",-0.203617654178582,0.0862467402535562,0.227937813527256,"NS",-0.212078748188432,0.116609398819055,0.215727387815251,"NS",0.0454545454545455,0.738773987167772,0.956938905505915,"NS",0.0808389210748986,0.515493123336396,0.796588841655279,"NS",0.0356458805440956,0.799960333953974,0.91250861953551,"NS",-0.0228189001773907,0.870935540323571,0.93134725410324,"NS"
"Adenylosuccinate",-0.141458316603219,0.235907703370469,0.432108169539969,"NS",-0.267550755974061,0.0462050987033657,0.104243210489301,"NS",-0.115447710184552,0.395789608746628,0.696036854529327,"NS",-0.0143478608375345,0.908256436308641,0.976083067029299,"NS",-0.114760380122733,0.413211775609639,0.688686292682731,"NS",0.0286244154168682,0.838439489620325,0.920254831547653,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.32528338295064,0.00530229928835766,0.062447307111052,"NS",-0.337036025122664,0.0110834732567732,0.0364256845571126,"NS",0.0421736158578264,0.757038515490639,0.956938905505915,"NS",0.272130428708564,0.0258944650783384,0.270239544588925,"NS",0.105606969621025,0.451686907245129,0.720362740003007,"NS",0.14288018061603,0.306477102862152,0.723461429079982,"NS"
"ADP",0.262046788360908,0.0261727492343496,0.127419963377755,"NS",0.448766150477698,0.000522411292422719,0.00420200387383491,"SIG",-0.177033492822967,0.191290333825267,0.563896151193717,"NS",0.0637372288109667,0.608360499315663,0.827549208627923,"NS",0.306175532772984,0.0257681981816788,0.162348458653551,"NS",-0.121512659248508,0.38499330423474,0.736980623586167,"NS"
"Agmatine",0.268944448945448,0.0223483491739663,0.12631691608323,"NS",0.308428464730445,0.0207387736502738,0.0564216636073626,"NS",-0.0618591934381408,0.649778336284757,0.919159352583019,"NS",0.0506465518854833,0.683993525058782,0.878741681499129,"NS",0.0372588163153217,0.791107884406442,0.91250861953551,"NS",-0.0541041767456862,0.699653346651421,0.875566489330409,"NS"
"Alanine",0.17753838735312,0.135704838225934,0.300144252945794,"NS",-0.07943126684769,0.560618328152066,0.673470069533326,"NS",0.266165413533835,0.0476876385606566,0.358764919843155,"NS",0.0313497766005099,0.801163389143761,0.911688697373292,"NS",0.165930767464879,0.235053237425188,0.543560611545746,"NS",-0.0646669891952911,0.644604418833716,0.864143604958242,"NS"
"Allantoin",0.0707452367645106,0.554836792963777,0.760331901468879,"NS",-0.244958644362046,0.0688214646597791,0.143055853506282,"NS",0.294463431305537,0.0279678335118543,0.304355835276061,"NS",0.131784802463251,0.287759400968997,0.691432363079293,"NS",-0.00826629582753348,0.953154807337661,0.969330199263569,"NS",0.141025641025641,0.3128481855481,0.723461429079982,"NS"
"Alpha-Ketoglutaric Acid",0.188069780553291,0.11363846902969,0.268034804202099,"NS",0.261979630115122,0.0511197355136845,0.112585131786091,"NS",0.0492822966507177,0.71764701056717,0.955141704711701,"NS",-0.271431993201869,0.0262935773113549,0.270239544588925,"NS",-0.179197164183214,0.199180927314565,0.509351186266511,"NS",-0.179487179487179,0.197874895272349,0.637898285147418,"NS"
"Aminolevulinate",0.215242382856024,0.0694049046254078,0.207095279930652,"NS",0.367318341141189,0.00535546883678132,0.0225173121546487,"NS",-0.253041695146958,0.0601173649466909,0.358764919843155,"NS",0.123942369488076,0.317659290729784,0.708560962006792,"NS",0.0570172795128407,0.685092180557714,0.879476102424857,"NS",0.0781325592646347,0.577130186800711,0.854643021501925,"NS"
"AMP",0.217975721549198,0.0658562856723527,0.201033006218442,"NS",0.397224691610952,0.00243500131414585,0.013590324461036,"NS",-0.242036910457963,0.0724599335765459,0.36395321246415,"NS",0.196839081086843,0.110368498121315,0.486146956010553,"NS",0.379564110363769,0.00506118309845062,0.0550775807772568,"NS",-0.0174165457184325,0.901368734941987,0.939524356823762,"NS"
"Anthranilic Acid",-0.0538789291813353,0.653068601756831,0.827385799957828,"NS",-0.18248000589493,0.17827363091605,0.299195296058973,"NS",0.0866712235133288,0.524293729074777,0.801606114701106,"NS",0.0549968073271836,0.658466502405594,0.870116449607392,"NS",0.0488316304738685,0.728418596333105,0.904412351151842,"NS",0.0970004837929366,0.488479660641677,0.806863725167057,"NS"
