"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"1/3-Methylhistidine",0.70336810739053,6.11940675017599e-05,0.00621987486794642,"SIG"
"Hydrocinnamic Acid",-0.700632597006901,6.72418904642856e-05,0.00621987486794642,"SIG"
"S-Adenosylmethionine (SAM)",0.676354942352197,0.000148694376117832,0.0070251869929959,"SIG"
"Aspartic Acid",-0.67567106475629,0.000151895934983695,0.0070251869929959,"SIG"
"Choline",-0.664045145625868,0.00021640518759541,0.00800699194103016,"SIG"
"Sucrose",-0.583347589308821,0.00175989622267238,0.0468728211300276,"NS"
"Succinylcarnitine",0.583005650510867,0.00177356620491996,0.0468728211300276,"NS"
"Spermidine",0.570353914986584,0.00234776993777853,0.0512023887642417,"NS"
"NAD",0.567618404602956,0.00249092702096311,0.0512023887642417,"NS"
"Uracil",0.548811770715508,0.00369236040974925,0.0683086675803612,"NS"
"Pyruvate",0.534792279999411,0.00488076381091649,0.0757478532120811,"NS"
"Hypoxanthine",-0.534450341201458,0.00491337426240526,0.0757478532120811,"NS"
"Serine",-0.530005136828061,0.00535436170884893,0.0761966858566962,"NS"
"2-Hydroxyphenylacetate",-0.518379217697639,0.0066684439104886,0.088118723102885,"NS"
"2-isoPropylmalic Acid",-0.503675849385635,0.00870910521629753,0.0964065305756309,"NS"
"ADP",0.50230809419382,0.00892292994463485,0.0964065305756309,"NS"
"Lysine",-0.497179012224517,0.00976422506942912,0.0964065305756309,"NS"
"AMP",0.495469318234749,0.0100589350697555,0.0964065305756309,"NS"
"Kynurenic Acid",0.495469318234749,0.0100589350697555,0.0964065305756309,"NS"
"Histamine",-0.493417685447027,0.0104223276297979,0.0964065305756309,"NS"
"Ergocalciferol",-0.48794666467977,0.0114451225611586,0.0995352367389184,"NS"
"Oxalacetate",-0.482817582710466,0.0124783291065664,0.0995352367389184,"NS"
"N-Acetyl-Aspartate (NAA)",-0.482133705114559,0.0126217474364023,0.0995352367389184,"NS"
"Argininosuccinate",0.480765949922744,0.0129126793607246,0.0995352367389184,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.461617377237344,0.0176028087942911,0.130260785077754,"NS"
"cGMP",0.45170115209669,0.0205324419649264,0.142175690944124,"NS"
"Carnosine",0.449649519308968,0.0211856084969655,0.142175690944124,"NS"
"Cholecalciferol",-0.448623702915107,0.0215184829537052,0.142175690944124,"NS"
"Ribose-5-P",0.435971967390824,0.0259854143052298,0.160010822464776,"NS"
"Cadaverine",-0.434262273401056,0.0266426937915809,0.160010822464776,"NS"
"Glutaric Acid",-0.431868701815381,0.0275853816674873,0.160010822464776,"NS"
"n-Glycylproline",0.431526763017428,0.0277222205943517,0.160010822464776,"NS"
"Xanthine",-0.429475130229706,0.0285547943886355,0.160010822464776,"NS"
"GMP",0.427423497441985,0.0294073943989318,0.160010822464776,"NS"
"4-Pyridoxic Acid",0.422294415472681,0.0316287334871079,0.167180448431856,"NS"
"Erythrose-4-Phosphate",0.415455639513609,0.0347977572531419,0.171580673099769,"NS"
"IMP",0.414771761917702,0.0351281213171326,0.171580673099769,"NS"
"SAH",0.409300741150445,0.037862106510418,0.171580673099769,"NS"
"cAMP",0.408958802352491,0.0380384444342467,0.171580673099769,"NS"
"Glyceraldehyde",0.408616863554537,0.0382154350115236,0.171580673099769,"NS"
"Glucosamine",0.404855536777048,0.0402058782531642,0.171580673099769,"NS"
"Glutamic acid",-0.403829720383187,0.0407627558877625,0.171580673099769,"NS"
"Adenylosuccinate",-0.402803903989326,0.0413257307347361,0.171580673099769,"NS"
"G1P/F1P/F6P",0.402120026393419,0.0417044568138752,0.171580673099769,"NS"
"Betaine",-0.401436148797512,0.0420859260483728,0.171580673099769,"NS"
"G6P",0.400410332403651,0.0426633025004831,0.171580673099769,"NS"
"Retinol",-0.395623189232301,0.0454410580807843,0.178863739254151,"NS"
"Taurine",-0.387758596879369,0.0503120091820392,0.19078679253803,"NS"
"Threonine",0.387416658081415,0.0505327180235863,0.19078679253803,"NS"
"Uridine",0.385706964091647,0.0516476680228702,0.19109637168462,"NS"
"Urate",-0.383997270101879,0.0527817830871226,0.191463330806229,"NS"
"Reduced Glutathione",0.378868188132575,0.0563012401219083,0.200302488895251,"NS"
"Maleic Acid",-0.373397167365318,0.0602540080693522,0.210320594204343,"NS"
"1-Methylnicotinamide",-0.363822881022617,0.0676854219409861,0.231425574007333,"NS"
"3-Hydroxypropionic Acid",-0.362455125830803,0.0688021976778558,0.231425574007333,"NS"
"Suberic Acid",-0.35356471708401,0.0764099906483642,0.252425861963346,"NS"
"Aminolevulinate",0.344674308337217,0.0846433463986763,0.271034253761685,"NS"
"Alpha-Ketoglutaric Acid",0.344332369539263,0.084972901179339,0.271034253761685,"NS"
"Pyridoxamine",-0.342280736751541,0.0869706545397694,0.272704594743345,"NS"
"Azelaic Acid",-0.338861348772006,0.0903787861054537,0.277259103905033,"NS"
"Acetylcholine",0.337835532378145,0.0914205693957135,0.277259103905033,"NS"
"Carnitine",0.332022572812934,0.0974953598756402,0.290913573822475,"NS"
"Histidine",0.327235429641584,0.102720727965179,0.298028602035248,"NS"
