"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"Homocitrulline",-0.556923076923077,0.00362239589432488,0.670143240450102,"NS"
"Sucrose",0.490598290598291,0.0118024983556772,0.760801695138083,"NS"
"Glycerol-3-P",-0.487863247863248,0.012337324786023,0.760801695138083,"NS"
"Reduced Glutathione",-0.458461538461538,0.0194825012299026,0.901065681882996,"NS"
"2-isoPropylmalic Acid",0.384615384615385,0.0532591039568797,0.941650479255857,"NS"
"Glyceraldehyde",-0.382564102564103,0.0546242310577265,0.941650479255857,"NS"
"Citrulline",0.364786324786325,0.0676491085207786,0.941650479255857,"NS"
"Succinylcarnitine",-0.363418803418803,0.0687436259471211,0.941650479255857,"NS"
"PEP",-0.360683760683761,0.0709740928866452,0.941650479255857,"NS"
"Dimethylglycine",-0.352478632478632,0.0780047810297886,0.941650479255857,"NS"
"Glycerophosphocholine",0.348376068376068,0.0817163387859926,0.941650479255857,"NS"
"Pseudouridine",0.347692307692308,0.0823479482583359,0.941650479255857,"NS"
"N6-Acetyl-Lysine",0.344273504273504,0.0855625851312437,0.941650479255857,"NS"
"betaAlanine",0.341538461538462,0.0882030026468909,0.941650479255857,"NS"
"Putrescine",0.336752136752137,0.0929734158853191,0.941650479255857,"NS"
"N-Ac-Alanine",0.330598290598291,0.099393034052916,0.941650479255857,"NS"
"2-Hydroxyglutarate",-0.32991452991453,0.10012657057241,0.941650479255857,"NS"
"Lysine",0.303931623931624,0.131150639423967,0.941650479255857,"NS"
"Ribose-5-P",-0.303247863247863,0.132053106238276,0.941650479255857,"NS"
"Alanine",0.287521367521367,0.154092969239322,0.941650479255857,"NS"
"Orotate",-0.285470085470085,0.157152765516586,0.941650479255857,"NS"
"Glucoronate",-0.278632478632479,0.167668303359264,0.941650479255857,"NS"
"UMP",-0.275897435897436,0.172012224779751,0.941650479255857,"NS"
"N-Ac-L-Glutamine",-0.275213675213675,0.1731106137887,0.941650479255857,"NS"
"Fructose",0.273846153846154,0.175322343586456,0.941650479255857,"NS"
"Allantoin",0.27042735042735,0.180939285706316,0.941650479255857,"NS"
"Margaric Acid",-0.267008547008547,0.186682225945518,0.941650479255857,"NS"
"Threonine",-0.265641025641026,0.189014906324605,0.941650479255857,"NS"
"Cytidine",0.264273504273504,0.191367967878168,0.941650479255857,"NS"
"2-Aminoisobutyric Acid",0.262905982905983,0.193741470830557,0.941650479255857,"NS"
"Glucosamine",-0.262905982905983,0.193741470830557,0.941650479255857,"NS"
"Choline",0.258803418803419,0.200985210434497,0.941650479255857,"NS"
"Anthranilic Acid",0.257435897435897,0.20344105458985,0.941650479255857,"NS"
"Histidine",-0.254700854700855,0.208414962157628,0.941650479255857,"NS"
"Glucose",-0.249230769230769,0.218613062059092,0.941650479255857,"NS"
"Argininosuccinate",-0.244444444444444,0.227812079398564,0.941650479255857,"NS"
"Linoleic Acid",0.241709401709402,0.233184918158516,0.941650479255857,"NS"
"Lactose/Trehalose",-0.24034188034188,0.235903168089005,0.941650479255857,"NS"
"4-Guanidinobutanoate",0.23965811965812,0.237270266184272,0.941650479255857,"NS"
"Ornithine",-0.237606837606838,0.241403503128391,0.941650479255857,"NS"
"Pantothenate",0.234871794871795,0.246989165192429,0.941650479255857,"NS"
"Aminolevulinate",-0.232820512820513,0.251234548998239,0.941650479255857,"NS"
"3-Aminoisobutyrate",0.231452991452991,0.254091586979424,0.941650479255857,"NS"
"Trigonelline",0.231452991452991,0.254091586979424,0.941650479255857,"NS"
"Neopterin",-0.230769230769231,0.255528149840617,0.941650479255857,"NS"
"Hypoxanthine",0.229401709401709,0.258417377650914,0.941650479255857,"NS"
"Inosine",0.229401709401709,0.258417377650914,0.941650479255857,"NS"
"Citraconic Acid",0.228717948717949,0.259870048021796,0.941650479255857,"NS"
"Hypotaurine",0.226666666666667,0.264260315294418,0.941650479255857,"NS"
"Glycine",0.223247863247863,0.27168508172674,0.941650479255857,"NS"
"Carnitine",0.222564102564103,0.273186200790921,0.941650479255857,"NS"
