"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG"
"Aspartic Acid",-0.71871921182266,1.94231873400233e-05,0.00359328965790432,"SIG"
"1/3-Methylhistidine",0.598522167487685,0.000765552015005257,0.0708135613879863,"NS"
"S-Adenosylmethionine (SAM)",0.563054187192118,0.00175696695667858,0.08160898224072,"NS"
"Azelaic Acid",-0.560098522167488,0.00187558591698446,0.08160898224072,"NS"
"4-Pyridoxic Acid",0.550246305418719,0.00232259825411405,0.08160898224072,"NS"
"Suberic Acid",-0.534975369458128,0.00319737138408381,0.08160898224072,"NS"
"Glycerol-3-P",-0.526600985221675,0.00378809008037995,0.08160898224072,"NS"
"N-Ac-Alanine",0.505911330049261,0.00566461652835695,0.08160898224072,"NS"
"Hydrocinnamic Acid",-0.502463054187192,0.00604429768339777,0.08160898224072,"NS"
"Homocitrulline",-0.500492610837438,0.00627087413701375,0.08160898224072,"NS"
"IMP",0.500492610837438,0.00627087413701375,0.08160898224072,"NS"
"Agmatine",0.495566502463054,0.00686930803420594,0.08160898224072,"NS"
"N-Acetyl-Aspartate (NAA)",-0.495073891625616,0.00693174551161792,0.08160898224072,"NS"
"Betaine",-0.494581280788177,0.00699466654091901,0.08160898224072,"NS"
"ADP",0.494088669950739,0.00705807413973793,0.08160898224072,"NS"
"Glutaric Acid",-0.494088669950739,0.00705807413973795,0.08160898224072,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.488177339901478,0.00785803423816528,0.0844158779266364,"NS"
"Xanthurenic Acid",0.485714285714286,0.0082134367712403,0.0844158779266364,"NS"
"3-Aminoisobutyrate",0.47487684729064,0.00994415434945252,0.0923766424971528,"NS"
"2-Hydroxyphenylacetate",-0.470935960591133,0.0106457530338218,0.0923766424971528,"NS"
"Spermidine",0.469458128078818,0.0109194315007722,0.0923766424971528,"NS"
"Cholecalciferol",-0.467487684729064,0.0112935698607697,0.0923766424971528,"NS"
"Carnosine",0.466502463054187,0.0114846636618082,0.0923766424971528,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.460098522167488,0.0127945291434434,0.0986244954807095,"NS"
"2-Aminoisobutyric Acid",0.457635467980296,0.0133307646883786,0.0986476586940014,"NS"
"GMP",0.453694581280788,0.0142280288950466,0.101237897907063,"NS"
"Alpha-Ketoglutaric Acid",0.449753694581281,0.0151754880988226,0.103980196232673,"NS"
"Cadaverine",-0.441871921182266,0.0172296671194157,0.109913393692824,"NS"
"Lactate",-0.441871921182266,0.0172296671194157,0.109913393692824,"NS"
"NAD",0.438423645320197,0.0181987770826051,0.112225792009398,"NS"
"Oxalacetate",-0.433004926108374,0.0198133090832048,0.116347717542366,"NS"
"Arabitol/Xylitol",0.430049261083744,0.0207430667487052,0.116347717542366,"NS"
"D-Leucic Acid",-0.42807881773399,0.021382823764543,0.116347717542366,"NS"
"Phosphotyrosine",0.42807881773399,0.021382823764543,0.116347717542366,"NS"
"Uracil",0.423645320197044,0.0228823265393083,0.120949440279201,"NS"
"Ornithine",-0.418226600985222,0.0248322937949718,0.127610398668605,"NS"
"Tryptophan",0.405418719211823,0.0299913534739248,0.149165478185338,"NS"
"Pyruvate",0.403940886699507,0.0306393955191506,0.149165478185338,"NS"
"Carnitine",0.401970443349754,0.0315212546979963,0.149523900490495,"NS"
"Maleic Acid",-0.396059113300493,0.0342922233556325,0.15690165711575,"NS"
"Urate",-0.395073891625616,0.0347727996851121,0.15690165711575,"NS"
"Choline",-0.382266009852217,0.0415349340947143,0.181111902449594,"NS"
"5,6-Dihydrouracil",0.38128078817734,0.0420962800288244,0.181111902449594,"NS"
"Phenylacetic Acid",-0.372906403940887,0.0471192608909811,0.198115074200716,"NS"
"AMP",0.370935960591133,0.0483684442694321,0.198848048663221,"NS"
"Pyridoxamine",-0.363054187192118,0.0536332701423985,0.215699021224864,"NS"
"Succinate",-0.358128078817734,0.0571493870761074,0.224949715086806,"NS"
"DHAP/D-GA3P",-0.354679802955665,0.0597178625007189,0.230162595054854,"NS"
"Hypotaurine",0.350738916256158,0.0627643803994176,0.235116029390181,"NS"
"cGMP",0.349753694581281,0.0635448728081572,0.235116029390181,"NS"
