"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"Hypoxanthine",-0.762995940653648,5.82862798516893e-06,0.00107829617725625,"SIG"
"Lysine",-0.653898807050549,0.000291186208214757,0.0269347242598651,"NS"
"Glycine",-0.58276337197392,0.00178330711127531,0.109970605195311,"NS"
"Cystine",-0.554035600116051,0.00331750207425419,0.153434470934256,"NS"
"gamma-Aminobutyrate",-0.53727773319896,0.0046491829559406,0.172019769369802,"NS"
"NAD",0.508207964057069,0.00803093734549967,0.208814245892485,"NS"
"Glutamic acid",-0.50376199936478,0.00869578177325357,0.208814245892485,"NS"
"AMP",0.496580056400312,0.00986664066897384,0.208814245892485,"NS"
"GMP",0.483584159607467,0.0123191743726149,0.208814245892485,"NS"
"IMP",0.4825581677554,0.0125325722193872,0.208814245892485,"NS"
"FAD",0.471614254666688,0.0150053951550702,0.208814245892485,"NS"
"DHAP/D-GA3P",-0.470246265530599,0.0153409513742284,0.208814245892485,"NS"
"3-Hydroxypropionic Acid",-0.465458303554287,0.0165644054741867,0.208814245892485,"NS"
"N6-Acetyl-Lysine",-0.462722325282109,0.0172987620643221,0.208814245892485,"NS"
"Xanthine",-0.462722325282109,0.0172987620643221,0.208814245892485,"NS"
"Nicotinic Acid",-0.459986347009931,0.0180596104555663,0.208814245892485,"NS"
"Reduced Glutathione",0.452462406761441,0.0202943036584942,0.210778411564197,"NS"
"Arginine",0.451778412193397,0.0205081697738137,0.210778411564197,"NS"
"Oxidized Glutathione",0.44459646922893,0.0228667379962582,0.219226862776468,"NS"
"Putrescine",-0.442202488240774,0.0237002013812397,0.219226862776468,"NS"
"Carnosine",0.41586869737106,0.0345994246205833,0.29790377550821,"NS"
"N-Acetyl-Aspartate (NAA)",-0.414158710950949,0.0354263949253006,0.29790377550821,"NS"
"Deoxycarnitine",-0.401846808726148,0.041856528761427,0.313993216964235,"NS"
"Imidazoleacetic Acid",-0.401162814158103,0.0422391633206723,0.313993216964235,"NS"
"4-Guanidinobutanoate",-0.400820816874081,0.0424315158059778,0.313993216964235,"NS"
"ADP",0.389192909217325,0.0493944352150602,0.351460404414851,"NS"
"Homocitrulline",-0.374487026004368,0.0594499141911627,0.39445525945765,"NS"
"Argininosuccinate",0.374145028720345,0.0597013365665632,0.39445525945765,"NS"
"Kynurenic Acid",0.358071156371299,0.0724773503396404,0.462355510787361,"NS"
"Glycerol-3-P",-0.352941197110966,0.076966691115763,0.474627928547205,"NS"
"Proline",0.349179226986721,0.0803913730789128,0.479754968374157,"NS"
"Methionine",-0.333447351921697,0.0959792322891187,0.554879936671468,"NS"
"Guanosine",0.32626540895723,0.103804463322812,0.563010185110473,"NS"
"2-Hydroxyphenylacetate",0.323871427969074,0.106515440426306,0.563010185110473,"NS"
"N6-Trimethyllysine",-0.323871427969074,0.106515440426306,0.563010185110473,"NS"
"Guanine",0.320793452412874,0.110077692445154,0.565677030620932,"NS"
"Ergocalciferol",0.314637501300473,0.117465200769768,0.573323893513933,"NS"
"DCDP",-0.31258551759634,0.120006790839252,0.573323893513933,"NS"
"Deoxyguanosine",0.311901523028295,0.120862874848883,0.573323893513933,"NS"
"3HBA",0.305745571915895,0.128769790531012,0.579323038904575,"NS"
"Linolenic Acid",-0.300615612655561,0.135640824267693,0.579323038904575,"NS"
"Histamine",-0.298221631667405,0.138936395067459,0.579323038904575,"NS"
"Betaine",0.296853642531316,0.140845280105804,0.579323038904575,"NS"
"4-Hydroxybenzoic Acid",-0.295827650679249,0.142289273020087,0.579323038904575,"NS"
"Ethanolamine",-0.29445966154316,0.144231100254694,0.579323038904575,"NS"
"Palmitic Acid",0.292407677839027,0.147179366640622,0.579323038904575,"NS"
"Retinol",0.292407677839027,0.147179366640622,0.579323038904575,"NS"
"Pseudouridine",-0.283173751170426,0.160980713329936,0.597673474754311,"NS"
"Citraconic Acid",0.281463764750315,0.163633609000175,0.597673474754311,"NS"
"Ribulose 5-Phosphate",-0.280095775614226,0.16577801100034,0.597673474754311,"NS"
"Urate",0.278385789194114,0.168486232233284,0.597673474754311,"NS"
"Xanthurenic Acid",0.277017800058025,0.170675065722081,0.597673474754311,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.276675802774003,0.171225373848532,0.597673474754311,"NS"
"Citrulline",-0.271545843513669,0.179629583288676,0.615397646451946,"NS"
"2-Hydroxyglutarate",-0.267783873389425,0.185972166251325,0.625542741027185,"NS"
"Ornithine",0.258891944004846,0.201574947483584,0.665917237222554,"NS"
"Sucrose",-0.25034201190429,0.217398172422267,0.699655812699036,"NS"
"Indole-2-Carboxylic Acid",0.249316020052223,0.219351552089427,0.699655812699036,"NS"
"Xanthosine",0.246922039064067,0.223955184319976,0.702232357613483,"NS"
"Azelaic Acid",0.242476074371778,0.232675247902807,0.706963185614277,"NS"
"Cholesteryl Sulfate",0.238372106963511,0.240922014916688,0.706963185614277,"NS"
"Suberic Acid",0.238030109679488,0.24161782790115,0.706963185614277,"NS"
"Glutamine",0.237688112395466,0.242314963133802,0.706963185614277,"NS"
"Trigonelline",0.233926142271221,0.250070822985306,0.706963185614277,"NS"
"Sedoheptulose 7-Phosphate",-0.233926142271221,0.250070822985306,0.706963185614277,"NS"
"L-Kynurenine",-0.232900150419155,0.252213893246174,0.706963185614277,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.230848166715021,0.256535877371496,0.708345333040697,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.228112188442843,0.262372947363986,0.713808753857902,"NS"
"Niacinamide",0.224692215602621,0.269789050341726,0.723347453814773,"NS"
"Pyridoxamine",0.216826278070109,0.287351807578714,0.759429777172317,"NS"
"Indole-3-Carboxylic Acid",0.213748302513908,0.294416190210549,0.767140777309178,"NS"
"Succinate",0.208618343253575,0.306430031857431,0.776253026476038,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.207592351401508,0.308868748516177,0.776253026476038,"NS"
"Inosine",-0.206908356833463,0.310501210590415,0.776253026476038,"NS"
"Maleic Acid",0.198358424732907,0.331355035589124,0.817342421119839,"NS"
"PEP",-0.191860476336484,0.347756600971347,0.83448258649606,"NS"
"Serine",-0.190492487200395,0.351270054721311,0.83448258649606,"NS"
"6-Methyladenosine",-0.187756508928217,0.358359814208679,0.83448258649606,"NS"
"cGMP",0.185704525224084,0.363731974553523,0.83448258649606,"NS"
"Glutaric Acid",0.184678533372017,0.366435632146626,0.83448258649606,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.18365254151995,0.369150983174692,0.83448258649606,"NS"
"Spermidine",-0.179206576827661,0.381052143211943,0.83448258649606,"NS"
"Fructose",0.176128601271461,0.389418922914339,0.83448258649606,"NS"
"N2,N2-Dimethylguanosine",0.175444606703416,0.391292301773671,0.83448258649606,"NS"
"Phosphoserine",0.175444606703416,0.391292301773671,0.83448258649606,"NS"
"Pantothenate",-0.175102609419394,0.392230907861716,0.83448258649606,"NS"
"N-Ac-Phenylalanine",0.173392622999283,0.396943068171099,0.83448258649606,"NS"
"Ribose-5-P",-0.173392622999283,0.396943068171099,0.83448258649606,"NS"
"Allantoin",-0.171682636579171,0.401687025226822,0.834967411988338,"NS"
"S-Methylcysteine",0.166552677318837,0.416108438246774,0.842044129075084,"NS"
"Cytidine",-0.165526685466771,0.419026622412881,0.842044129075084,"NS"
