"COMPOUND","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"Histamine",0.48034188034188,0.0139136587058777,0.711920682295963,"NS"
"3-Hydroxypropionic Acid",0.468034188034188,0.0168540592105818,0.711920682295963,"NS"
"cGMP",-0.45025641025641,0.0219970670085235,0.711920682295963,"NS"
"iso-Leucine /allo-isoLeucine",-0.427008547008547,0.0306071777208384,0.711920682295963,"NS"
"Ethanolamine",0.411282051282051,0.0378552935569948,0.711920682295963,"NS"
"Putrescine",0.40034188034188,0.0436697343785095,0.711920682295963,"NS"
"n-Glycylproline",-0.394188034188034,0.0472421911311549,0.711920682295963,"NS"
"NAD",-0.393504273504273,0.0476531189253536,0.711920682295963,"NS"
"DHAP/D-GA3P",0.382564102564103,0.0546242310577265,0.711920682295963,"NS"
"Histidine",-0.378461538461538,0.0574375323856959,0.711920682295963,"NS"
"ADP",-0.377094017094017,0.0584003044481171,0.711920682295963,"NS"
"Pyroglutamic Acid",0.373675213675214,0.0608629647396979,0.711920682295963,"NS"
"Citrulline",0.36957264957265,0.0639251967686095,0.711920682295963,"NS"
"5-Methylcytidine",0.368205128205128,0.0649723624871819,0.711920682295963,"NS"
"2-isoPropylmalic Acid",0.364786324786325,0.0676491085207786,0.711920682295963,"NS"
"Sedoheptulose 7-Phosphate",0.361367521367521,0.0704112631037251,0.711920682295963,"NS"
"Ribulose 5-Phosphate",0.34974358974359,0.080464330601393,0.711920682295963,"NS"
"cAMP",-0.349059829059829,0.0810884707068779,0.711920682295963,"NS"
"4-Pyridoxic Acid",-0.344273504273504,0.0855625851312437,0.711920682295963,"NS"
"Valine",-0.340854700854701,0.0888727605931653,0.711920682295963,"NS"
"Uracil",-0.338803418803419,0.0909054147041703,0.711920682295963,"NS"
"Leucine /D-Norleucine",-0.338119658119658,0.0915908034495949,0.711920682295963,"NS"
"Allantoin",0.331965811965812,0.0979381988017913,0.711920682295963,"NS"
"2'-Deoxycytidine",-0.330598290598291,0.0993930340529158,0.711920682295963,"NS"
"Phenylalanine",-0.325128205128205,0.105376739904395,0.711920682295963,"NS"
"Argininosuccinate",-0.321709401709402,0.109252166918753,0.711920682295963,"NS"
"Spermidine",-0.313504273504273,0.118989407825925,0.711920682295963,"NS"
"Asparagine",-0.312136752136752,0.120673238580351,0.711920682295963,"NS"
"FAD",-0.308034188034188,0.125831145626486,0.711920682295963,"NS"
"GMP",-0.306666666666667,0.127586232642011,0.711920682295963,"NS"
"Aspartic Acid",0.305982905982906,0.128470538036918,0.711920682295963,"NS"
"Thiamine",-0.302564102564102,0.132960141745999,0.711920682295963,"NS"
"Sorbitol",-0.301196581196581,0.134787963727671,0.711920682295963,"NS"
"Dimethylglycine",-0.299145299145299,0.137564241073993,0.711920682295963,"NS"
