"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"iso-Leucine /allo-isoLeucine",-0.438916256157635,0.0180576106509829,0.988372320768644,"NS"
"Valine",-0.411822660098522,0.0273117025228094,0.988372320768644,"NS"
"2'-Deoxycytidine",-0.398522167487685,0.033114443486193,0.988372320768644,"NS"
"Spermidine",-0.393103448275862,0.035750422043212,0.988372320768644,"NS"
"Glycine",-0.378325123152709,0.0438171841711723,0.988372320768644,"NS"
"Leucine /D-Norleucine",-0.359113300492611,0.0564318959724472,0.988372320768644,"NS"
"n-Glycylproline",-0.355665024630542,0.0589748535027447,0.988372320768644,"NS"
"Glucoronate",-0.353694581280788,0.0604682712209427,0.988372320768644,"NS"
"Asparagine",-0.333004926108374,0.0780221122334978,0.988372320768644,"NS"
"Histidine",-0.322167487684729,0.0886785368607258,0.988372320768644,"NS"
"Glutamic acid",-0.312807881773399,0.09875500979957,0.988372320768644,"NS"
"gamma-Aminobutyrate",-0.306896551724138,0.105555349001343,0.988372320768644,"NS"
"Deoxyguanosine",0.302955665024631,0.110282512074913,0.988372320768644,"NS"
"Xanthine",-0.301970443349754,0.111488916691281,0.988372320768644,"NS"
"Ornithine",0.301477832512315,0.112095841728851,0.988372320768644,"NS"
"Uridine",-0.300492610837438,0.113317164935452,0.988372320768644,"NS"
"Riboflavin",-0.299507389162562,0.114548489070637,0.988372320768644,"NS"
"Azelaic Acid",0.285221674876847,0.133553240642765,0.988372320768644,"NS"
"Phosphoserine",0.282758620689655,0.137052856815293,0.988372320768644,"NS"
"Cytidine",-0.271428571428571,0.15402633730561,0.988372320768644,"NS"
"Linolenic Acid",-0.269458128078818,0.157127759353489,0.988372320768644,"NS"
"Alpha-Ketoglutaric Acid",-0.268965517241379,0.157910143546939,0.988372320768644,"NS"
"Cystathionine",-0.266502463054187,0.161864456747125,0.988372320768644,"NS"
"Suberic Acid",0.265024630541872,0.164271114354395,0.988372320768644,"NS"
"Glutaric Acid",0.259605911330049,0.173316195317067,0.988372320768644,"NS"
"cAMP",-0.257142857142857,0.177543261386428,0.988372320768644,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.252216748768473,0.186216798205718,0.988372320768644,"NS"
"Trigonelline",0.238916256157635,0.211121384162737,0.988372320768644,"NS"
"Cholesteryl Sulfate",0.236453201970443,0.215974953267235,0.988372320768644,"NS"
"Guanine",0.234975369458128,0.218923740527909,0.988372320768644,"NS"
"Tryptophan",-0.230049261083744,0.228952521296381,0.988372320768644,"NS"
"Phenylalanine",-0.229556650246305,0.229972340665644,0.988372320768644,"NS"
"NADH",-0.229064039408867,0.230995249348276,0.988372320768644,"NS"
"Glucose",-0.227586206896552,0.234082532737983,0.988372320768644,"NS"
"Histamine",0.227093596059113,0.235117819969124,0.988372320768644,"NS"
"3HBA",0.21871921182266,0.253193495163221,0.988372320768644,"NS"
"D-Leucic Acid",0.21871921182266,0.253193495163221,0.988372320768644,"NS"
"Xanthurenic Acid",0.218226600985222,0.25428485603125,0.988372320768644,"NS"
"Sarcosine",0.216748768472906,0.257577726722419,0.988372320768644,"NS"
"2-Aminoadipate",0.216256157635468,0.258681617424497,0.988372320768644,"NS"
"Deoxycarnitine",-0.213793103448276,0.264248130384881,0.988372320768644,"NS"
"Indole-2-Carboxylic Acid",0.211822660098522,0.268757879540431,0.988372320768644,"NS"
"Kynurenic Acid",0.210837438423645,0.271031622686267,0.988372320768644,"NS"
"Ribulose 5-Phosphate",0.210344827586207,0.272173214561169,0.988372320768644,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.209852216748768,0.273317954408438,0.988372320768644,"NS"
"AMP",0.209852216748768,0.273317954408438,0.988372320768644,"NS"
"UDP-Glucose",-0.205418719211823,0.283762388279925,0.988372320768644,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.205418719211823,0.283762388279925,0.988372320768644,"NS"
"N-Acetyl-Aspartate (NAA)",-0.204433497536946,0.286118055397008,0.988372320768644,"NS"
"2-isoPropylmalic Acid",0.203448275862069,0.288486341865017,0.988372320768644,"NS"
"N2,N2-Dimethylguanosine",0.203448275862069,0.288486341865017,0.988372320768644,"NS"
"Margaric Acid",0.202463054187192,0.290867250120558,0.988372320768644,"NS"
"Sorbitol",-0.200492610837438,0.295666938631348,0.988372320768644,"NS"
"Retinol",0.198522167487685,0.300517127944827,0.988372320768644,"NS"
"Indole-3-Carboxylic Acid",0.196059113300493,0.306650875710332,0.988372320768644,"NS"
"cGMP",-0.1935960591133,0.312863497117619,0.988372320768644,"NS"
"Creatine",0.193103448275862,0.314115481980574,0.988372320768644,"NS"
"1/3-Methylhistidine",0.189162561576355,0.324244790611168,0.988372320768644,"NS"
"UDP-GlcNAc",-0.188669950738916,0.325525121932033,0.988372320768644,"NS"
"Lactose/Trehalose",-0.188177339901478,0.32680859882597,0.988372320768644,"NS"
"Hypotaurine",0.184729064039409,0.335880927505782,0.988372320768644,"NS"
"Glyceraldehyde",-0.183743842364532,0.33850127005001,0.988372320768644,"NS"
"Uracil",-0.183743842364532,0.33850127005001,0.988372320768644,"NS"
"Pyroglutamic Acid",0.18128078817734,0.34510694900024,0.988372320768644,"NS"
"betaAlanine",0.17192118226601,0.370919555378654,0.988372320768644,"NS"
"Dimethylglycine",-0.170935960591133,0.373701809232085,0.988372320768644,"NS"
"Inosine",-0.163546798029557,0.394960560765359,0.988372320768644,"NS"
"Glucosamine",-0.155665024630542,0.418390740698334,0.988372320768644,"NS"
"4-Pyridoxic Acid",-0.14384236453202,0.454964429455096,0.988372320768644,"NS"
"Sedoheptulose 7-Phosphate",0.142857142857143,0.458088089083265,0.988372320768644,"NS"
"Adenylosuccinate",0.142364532019704,0.459654232258572,0.988372320768644,"NS"
"Hypoxanthine",-0.141379310344828,0.462795120518759,0.988372320768644,"NS"
"L-Kynurenine",-0.139901477832512,0.467527881940458,0.988372320768644,"NS"
"Acetylcarnitine",-0.136453201970443,0.478670267399694,0.988372320768644,"NS"
"Ethanolamine",0.134975369458128,0.483487774149444,0.988372320768644,"NS"
"DHAP/D-GA3P",0.13448275862069,0.485099195862428,0.988372320768644,"NS"
"UMP",-0.132512315270936,0.491572662281497,0.988372320768644,"NS"
"Carnosine",0.130541871921182,0.4980902978806,0.988372320768644,"NS"
"DCDP",0.130541871921182,0.4980902978806,0.988372320768644,"NS"
"Succinate",-0.129556650246305,0.501365560882175,0.988372320768644,"NS"
"Pyruvate",-0.129064039408867,0.503007282580464,0.988372320768644,"NS"
"5-Methylcytidine",0.12807881773399,0.506298875745992,0.988372320768644,"NS"
"Orotate",-0.127586206896552,0.507948734835404,0.988372320768644,"NS"
"G1P/F1P/F6P",0.126600985221675,0.51125654676507,0.988372320768644,"NS"
"3-Aminoisobutyrate",0.12512315270936,0.516238403980682,0.988372320768644,"NS"
"Hydrocinnamic Acid",-0.121182266009852,0.529640270874375,0.988372320768644,"NS"
"GMP",0.120197044334975,0.533017021231153,0.988372320768644,"NS"
"IMP",0.117733990147783,0.541504295939424,0.988372320768644,"NS"
"Linoleic Acid",0.114778325123153,0.551773627205334,0.988372320768644,"NS"
"Erythrose-4-Phosphate",0.114285714285714,0.553494054661437,0.988372320768644,"NS"
"G6P",0.112315270935961,0.560400844167811,0.988372320768644,"NS"
"Lysine",-0.112315270935961,0.560400844167811,0.988372320768644,"NS"
"Phosphorylcholine",-0.110837438423645,0.565607060133945,0.988372320768644,"NS"
"FAD",0.10935960591133,0.57083543983143,0.988372320768644,"NS"
"Phenylacetic Acid",-0.108866995073892,0.572583122338611,0.988372320768644,"NS"
"Cystine",-0.107881773399015,0.576085774444879,0.988372320768644,"NS"
"Serine",-0.106896551724138,0.579598090124918,0.988372320768644,"NS"
