"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"1-Methyladenosine",-0.16256157635468,0.397847007801636,0.608278483002501,"NS",-0.268421956393566,0.184885615384899,0.407188557692933,"NS",-0.0434188034188034,0.833256795926601,0.99733462496961,"NS",-0.0891625615763547,0.644396748901138,0.988372320768644,"NS",0.125171005952145,0.542349796542531,0.850294172545493,"NS",-0.146666666666667,0.472937978213946,0.917973403761328,"NS"
"1-Methylnicotinamide",-0.341871921182266,0.0700680108387654,0.237111184051282,"NS",-0.363822881022617,0.0676854219409861,0.231425574007333,"NS",-0.13025641025641,0.524333565806696,0.943794608524953,"NS",-0.0408866995073892,0.833106070173681,0.988372320768644,"NS",0.15937073435437,0.436770498010442,0.842044129075084,"NS",-0.0755555555555555,0.712991190039108,0.948945109044856,"NS"
"1/3-Methylhistidine",0.598522167487685,0.000765552015005257,0.0708135613879863,"NS",0.70336810739053,6.11940675017599e-05,0.00621987486794642,"SIG",0.0379487179487179,0.854187513629102,0.99733462496961,"NS",0.189162561576355,0.324244790611168,0.988372320768644,"NS",0.0311217528460251,0.880037218483038,0.95228824206608,"NS",0.126153846153846,0.537594924073516,0.938255292015099,"NS"
"2'-Deoxycytidine",0.266009852216749,0.162663828226796,0.356261068151749,"NS",0.271841344373102,0.179137833018618,0.40415242815176,"NS",0.0105982905982906,0.960035262047311,0.99733462496961,"NS",-0.398522167487685,0.033114443486193,0.988372320768644,"NS",0.101231196070587,0.622676359675304,0.871063669392635,"NS",-0.330598290598291,0.0993930340529158,0.711920682295963,"NS"
"2-Aminoadipate",0.210344827586207,0.272173214561169,0.488854802852586,"NS",-0.0646264328132281,0.753784802896323,0.870918611936597,"NS",-0.00923076923076923,0.965360452349074,0.99733462496961,"NS",0.216256157635468,0.258681617424497,0.988372320768644,"NS",0.114569090147455,0.577322886695964,0.86961518467887,"NS",0.146666666666667,0.472937978213947,0.917973403761328,"NS"
"2-Aminoisobutyric Acid",0.457635467980296,0.0133307646883786,0.0986476586940014,"NS",0.203795523580338,0.317997634702432,0.571160800193689,"NS",0.262905982905983,0.193741470830557,0.941650479255857,"NS",0.0512315270935961,0.791469131564404,0.988372320768644,"NS",0.130300965212479,0.525790601248352,0.842044129075084,"NS",0.00854700854700855,0.968023614595605,0.994811461207002,"NS"
"2-Hydroxyglutarate",-0.249753694581281,0.190664192949268,0.38340082277842,"NS",-0.0355616349871731,0.863071463634022,0.939224828072318,"NS",-0.32991452991453,0.10012657057241,0.941650479255857,"NS",-0.0172413793103448,0.929799512289247,0.992291429296534,"NS",-0.267783873389425,0.185972166251325,0.625542741027185,"NS",0.0105982905982906,0.960035262047311,0.994811461207002,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0443349753694581,0.819171186578995,0.87599230934748,"NS",0.19251154324787,0.346091816653074,0.582063509825624,"NS",-0.0687179487179487,0.738121908241857,0.99733462496961,"NS",-0.0773399014778325,0.689123812475783,0.988372320768644,"NS",0.228112188442843,0.262372947363986,0.713808753857902,"NS",-0.244444444444444,0.227812079398564,0.743723832174485,"NS"
"2-Hydroxyphenylacetate",-0.470935960591133,0.0106457530338218,0.0923766424971528,"NS",-0.518379217697639,0.0066684439104886,0.088118723102885,"NS",0.176752136752137,0.386025387795174,0.943794608524953,"NS",0.0773399014778325,0.689123812475783,0.988372320768644,"NS",0.323871427969074,0.106515440426306,0.563010185110473,"NS",-0.148717948717949,0.46670522058968,0.917973403761328,"NS"
"2-isoPropylmalic Acid",0.0428571428571429,0.825136836390498,0.877300659380702,"NS",-0.503675849385635,0.00870910521629753,0.0964065305756309,"NS",0.384615384615385,0.0532591039568797,0.941650479255857,"NS",0.203448275862069,0.288486341865017,0.988372320768644,"NS",-0.0451436414909375,0.826666647271405,0.93824128678043,"NS",0.364786324786325,0.0676491085207786,0.711920682295963,"NS"
