"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG"
"Aspartic Acid",-0.607389162561576,0.000612962317672892,0.0770790677796294,"NS"
"4-Pyridoxic Acid",0.595073891625616,0.000833287219239236,0.0770790677796294,"NS"
"Glycerol-3-P",-0.546305418719212,0.0025256758385379,0.12154204207092,"NS"
"L-Kynurenine",0.514285714285714,0.00482650159511713,0.12154204207092,"NS"
"Threonine",0.513300492610837,0.00491922043453315,0.12154204207092,"NS"
"Uracil",0.512807881773399,0.00496615007588353,0.12154204207092,"NS"
"Suberic Acid",-0.510344827586207,0.00520660263700488,0.12154204207092,"NS"
"Succinate",-0.509852216748768,0.0052558720895533,0.12154204207092,"NS"
"Homocitrulline",-0.498522167487685,0.00650467043087954,0.126623816889955,"NS"
"S-Adenosylmethionine (SAM)",0.495566502463054,0.00686930803420594,0.126623816889955,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.489655172413793,0.00765114261505056,0.126623816889955,"NS"
"IMP",0.485714285714286,0.0082134367712403,0.126623816889955,"NS"
"Azelaic Acid",-0.478325123152709,0.00936278020112544,0.133239564400631,"NS"
"Agmatine",0.460591133004926,0.012689492123431,0.158750095252502,"NS"
"N-Ac-Alanine",0.457142857142857,0.0134402499623538,0.158750095252502,"NS"
"1/3-Methylhistidine",0.451231527093596,0.014814173092923,0.158750095252502,"NS"
"D-Leucic Acid",-0.446305418719212,0.0160473832584251,0.158750095252502,"NS"
"DCDP",0.445812807881773,0.0161752973284686,0.158750095252502,"NS"
"GMP",0.445320197044335,0.0163040638367435,0.158750095252502,"NS"
"Glutaric Acid",-0.438423645320197,0.0181987770826051,0.168338688014098,"NS"
"n-Glycylproline",0.432019704433497,0.0201192954850434,0.171791017105336,"NS"
"Oxalacetate",-0.431034482758621,0.0204292020341481,0.171791017105336,"NS"
"AMP",0.426108374384236,0.0220388747344233,0.172459371422144,"NS"
"Cadaverine",-0.42512315270936,0.0223731076439538,0.172459371422144,"NS"
"Tryptophan",0.419704433497537,0.0242873557346335,0.179726432436288,"NS"
"Hydrocinnamic Acid",-0.414778325123153,0.0261431716298926,0.184946679755869,"NS"
"Adenine",-0.410344827586207,0.0279118912152533,0.184946679755869,"NS"
"ADP",0.406896551724138,0.0293545945175168,0.184946679755869,"NS"
"2-Hydroxyphenylacetate",-0.406403940886699,0.0295656027747971,0.184946679755869,"NS"
"Cholecalciferol",-0.405418719211823,0.0299913534739247,0.184946679755869,"NS"
"Betaine",-0.393103448275862,0.035750422043212,0.206282695636398,"NS"
"Ornithine",-0.388669950738916,0.0380320043565809,0.206282695636398,"NS"
"DHAP/D-GA3P",-0.388177339901478,0.0382926480589752,0.206282695636398,"NS"
"Valine",0.387192118226601,0.0388182843989807,0.206282695636398,"NS"
"Pyruvate",0.385221674876847,0.0398871128747479,0.206282695636398,"NS"
"Carnosine",0.384729064039409,0.0401580108885735,0.206282695636398,"NS"
"2'-Deoxycytidine",0.382758620689655,0.0412565391272796,0.206282695636398,"NS"
"Lactate",-0.378325123152709,0.0438171841711723,0.212032115533273,"NS"
"Leucine /D-Norleucine",0.376847290640394,0.0446986621935009,0.212032115533273,"NS"
"N-AcetylGlycine",-0.366009852216749,0.0516078581288662,0.238686343846006,"NS"
"Xanthurenic Acid",0.35615763546798,0.0586061087650994,0.257141883377025,"NS"
