"COMPOUND","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass"
"Taurine",-0.635244371761981,0.000645315669420828,0.0776877442607788,"NS"
"Choline",-0.624855759988768,0.000839867505521933,0.0776877442607788,"NS"
"Aspartic Acid",-0.598307085457226,0.00158175401255746,0.0897204429192552,"NS"
"Hydrocinnamic Acid",-0.584840366491951,0.00213663353719176,0.0897204429192552,"NS"
"Ergocalciferol",-0.565602196541557,0.00321261674471175,0.0897204429192552,"NS"
"Uracil",0.563678379546518,0.00334189448590084,0.0897204429192552,"NS"
"Succinylcarnitine",0.562908852748502,0.00339482756991776,0.0897204429192552,"NS"
"Adenylosuccinate",-0.542131629202078,0.00511834843448102,0.0980477456403337,"NS"
"S-Adenosylmethionine (SAM)",0.538283995211999,0.00550722558704184,0.0980477456403337,"NS"
"Spermidine",0.534051597822913,0.00596339935681332,0.0980477456403337,"NS"
"Sucrose",-0.53097349063085,0.00631473998798643,0.0980477456403337,"NS"
"Kynurenic Acid",0.530588727231842,0.00635985377126489,0.0980477456403337,"NS"
"Uridine",0.517122008266567,0.00811818858284972,0.1155280682944,"NS"
"Serine",-0.494036204326095,0.0120703467957217,0.159363971452717,"NS"
"Pyruvate",0.487495226542961,0.0134420780831569,0.159363971452717,"NS"
"ADP",0.48595617294693,0.0137828299634783,0.159363971452717,"NS"
"1/3-Methylhistidine",0.477106614769749,0.0158829290235476,0.169311920006221,"NS"
"Maleic Acid",-0.473643744178678,0.0167730245584823,0.169311920006221,"NS"
"2-isoPropylmalic Acid",-0.471335163784631,0.0173887917844227,0.169311920006221,"NS"
"Histamine",-0.46787229319356,0.018346987316882,0.169709632681158,"NS"
"2-Hydroxyphenylacetate",-0.460177025213403,0.0206310501542407,0.1755114110591,"NS"
"Retinol",-0.459407498415387,0.0208716272610821,0.1755114110591,"NS"
"Glycine",-0.449788413440191,0.0240758362504986,0.184268589502141,"NS"
"Linoleic Acid",-0.448249359844159,0.0246235527963432,0.184268589502141,"NS"
"Ribose-5-P",0.447479833046144,0.0249011607435326,0.184268589502141,"NS"
"Cholecalciferol",-0.437475984671939,0.0287454983003172,0.204535276367642,"NS"
"Glutaric Acid",-0.434782640878884,0.0298580126841524,0.204582679502526,"NS"
"NAD",0.426702609499719,0.0334039919764833,0.214438110414661,"NS"
"Oxalacetate",-0.422085448711625,0.0355763094408813,0.214438110414661,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.419007341519562,0.0370859030639301,0.214438110414661,"NS"
"Glyceraldehyde",0.417468287923531,0.0378595355311433,0.214438110414661,"NS"
"AMP",0.417083524524523,0.0380549295705815,0.214438110414661,"NS"
"Glucosamine",0.416698761125515,0.0382511223982909,0.214438110414661,"NS"
"5'-Methylthioadenosine",0.412851127135436,0.0402574715135542,0.219048006764927,"NS"
"Hypoxanthine",-0.402462515362224,0.046092141865308,0.243629892716628,"NS"
"Reduced Glutathione",0.393228193786035,0.0518180472505764,0.266287187259907,"NS"
"Cadaverine",-0.39053484999298,0.0535885009004412,0.267942504502206,"NS"
"cGMP",0.387071979401909,0.05593360283872,0.272308329609558,"NS"
"Acetylcholine",0.383224345411831,0.0586319280199028,0.278125812402103,"NS"
"SAH",0.376298604229689,0.0637417636331667,0.279559071055485,"NS"
"Xanthine",-0.372450970239611,0.0667250591454644,0.279559071055485,"NS"
"Proline",0.372066206840603,0.0670291858094246,0.279559071055485,"NS"
"G1P/F1P/F6P",0.370527153244571,0.0682563455956704,0.279559071055485,"NS"
"Argininosuccinate",0.36898809964854,0.0695006585864853,0.279559071055485,"NS"
"Threonine",0.368603336249532,0.069814433908704,0.279559071055485,"NS"
"Arginine",-0.368218572850524,0.0701292925583214,0.279559071055485,"NS"
"Erythrose-4-Phosphate",0.365140465658461,0.0726874309044138,0.279559071055485,"NS"
"Trigonelline",-0.364755702259453,0.0730121404601941,0.279559071055485,"NS"
"L-Kynurenine",0.362831885264414,0.0746523189870082,0.279559071055485,"NS"
"2'-Deoxycytidine",0.360908068269375,0.0763204197972835,0.279559071055485,"NS"
"Thiamine",0.359369014673343,0.0776751912805313,0.279559071055485,"NS"
"1-Methylnicotinamide",-0.35821472447632,0.0787031993168212,0.279559071055485,"NS"
"Suberic Acid",-0.356675670880288,0.080089896032112,0.279559071055485,"NS"
"3-Hydroxyisovaleric Acid",-0.347056585905092,0.0891800132572393,0.305524119492394,"NS"
"n-Glycylproline",0.342824188516005,0.0934165788196664,0.311205583764765,"NS"
