"COMPOUND","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG"
"Homocitrulline",-0.713793103448276,2.33050483905155e-05,0.00431143395224538,"SIG"
"Glycerol-3-P",-0.689655172413793,5.47283147869906e-05,0.00506236911779664,"SIG"
"Cystine",-0.666009852216749,0.000118000078325953,0.00727667149676712,"SIG"
"DHAP/D-GA3P",-0.611330049261084,0.000554167131565143,0.0256302298348879,"SIG"
"FAD",0.595073891625616,0.000833287219239236,0.0308316271118517,"SIG"
"Carnosine",0.57192118226601,0.00143929018037328,0.0410762968157763,"SIG"
"Tyrosine",0.568472906403941,0.00155633134778403,0.0410762968157763,"SIG"
"S-Methylcysteine",0.56256157635468,0.00177627229473627,0.0410762968157763,"SIG"
"Ergocalciferol",0.553694581280788,0.00215665888148291,0.0443313214527043,"SIG"
"6-Methyladenosine",-0.539408866995074,0.00291815302838386,0.0539858310251014,"NS"
"1-Methylnicotinamide",0.520689655172414,0.00425959928468235,0.0661098244088482,"NS"
"4-Pyridoxic Acid",0.520197044334975,0.00430107432774621,0.0661098244088482,"NS"
"Cadaverine",0.516256157635468,0.00464555522872987,0.0661098244088482,"NS"
"N-Ac-Alanine",0.508374384236453,0.00540608535298252,0.0673025916277842,"NS"
"Oxalacetate",0.507881773399015,0.00545696688873926,0.0673025916277842,"NS"
"Palmitic Acid",0.5,0.00632863917431208,0.0701425805407774,"NS"
"Indole-2-Carboxylic Acid",0.499014778325123,0.00644553442807144,0.0701425805407774,"NS"
"AMP",0.494581280788177,0.00699466654091901,0.0712408812295579,"NS"
"N6-Acetyl-Lysine",-0.492118226600985,0.00731663104519784,0.0712408812295579,"NS"
"Indole-3-Carboxylic Acid",0.486206896551724,0.00814128293371706,0.0727428363954219,"NS"
"Citraconic Acid",0.48423645320197,0.00843317034792568,0.0727428363954219,"NS"
"Ethanolamine",-0.480295566502463,0.0090437039842957,0.0727428363954219,"NS"
"Uridine",-0.480295566502463,0.0090437039842957,0.0727428363954219,"NS"
"3-Hydroxyisovaleric Acid",0.477339901477832,0.0095258664334794,0.0734285537580704,"NS"
"Arginine",0.470935960591133,0.0106457530338218,0.0770421968111043,"NS"
"4-Guanidinobutanoate",-0.469950738916256,0.0108275519842633,0.0770421968111043,"NS"
"IMP",0.462068965517241,0.012378729663915,0.0829744219653177,"NS"
"Glycerophosphocholine",-0.460591133004926,0.0126894921234311,0.0829744219653177,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.459113300492611,0.0130068012810498,0.0829744219653177,"NS"
"GMP",0.45615763546798,0.0136614910091437,0.0842458612230529,"NS"
"PEP",-0.440886699507389,0.0175020489486802,0.10444771146793,"NS"
"2-Hydroxyglutarate",-0.434975369458128,0.019212945672923,0.111074842171586,"NS"
"Ribulose 5-Phosphate",-0.431034482758621,0.0204292020341481,0.114527344736891,"NS"
"Betaine",0.429064039408867,0.0210609278506239,0.114596225069571,"NS"
"Taurine",0.426108374384236,0.0220388747344233,0.116491195024809,"NS"
"SAH",-0.419211822660098,0.0244678925768281,0.125737781297589,"NS"
"Margaric Acid",0.413793103448276,0.0265280125915149,0.132002446473599,"NS"
