"COMPOUND","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Hypoxanthine",-0.728741877720891,3.60847443115009e-05,0.00667567769762766,"SIG"
"Glycine",-0.585225129890958,0.00211873464889117,0.194085171424349,"NS"
"Azelaic Acid",0.549057370384219,0.00447655519297855,0.194085171424349,"NS"
"Deoxycarnitine",-0.544055446197117,0.0049327527831523,0.194085171424349,"NS"
"Kynurenic Acid",0.517891535064583,0.00800782139404314,0.194085171424349,"NS"
"4-Guanidinobutanoate",-0.510581030483433,0.00910857407942939,0.194085171424349,"NS"
"Succinate",0.50942674028641,0.00929337159432186,0.194085171424349,"NS"
"Suberic Acid",0.509041976887402,0.00935565936779303,0.194085171424349,"NS"
"Putrescine",-0.506348633094347,0.00980146631671294,0.194085171424349,"NS"
"Proline",0.500961945508237,0.0107461142407414,0.194085171424349,"NS"
"3-Hydroxypropionic Acid",-0.49672954811915,0.0115401993819883,0.194085171424349,"NS"
"NAD",0.482878065754867,0.0144856804708974,0.223320907259668,"NS"
"Imidazoleacetic Acid",-0.469411346789592,0.0179159370934747,0.24336643616786,"NS"
"ADP",0.461331315410427,0.0202744152941403,0.24336643616786,"NS"
"Allantoin",-0.460177025213403,0.0206310501542407,0.24336643616786,"NS"
"Lysine",-0.458637971617372,0.0211144789056934,0.24336643616786,"NS"
"Nicotinic Acid",-0.454790337627293,0.022363402242452,0.24336643616786,"NS"
"Glycerophosphocholine",-0.449018886642175,0.0243484500399291,0.250247958743716,"NS"
"Cystathionine",-0.424394029105672,0.0344765232976578,0.327367666340358,"NS"
"Xanthine",-0.422470212110633,0.0353910990638225,0.327367666340358,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.418237814721546,0.0374711349754333,0.33010285573596,"NS"
"AMP",0.410157783342381,0.0417107647132179,0.345782134630072,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.407849202948334,0.0429891302513063,0.345782134630072,"NS"
"Xanthurenic Acid",0.402847278761232,0.0458648267718505,0.347875944787162,"NS"
"Niacinamide",0.400923461766192,0.047010262809076,0.347875944787162,"NS"
"N-Ac-Arginine",-0.385917689204886,0.056732763883621,0.402125816581137,"NS"
"Oxidized Glutathione",0.382070055214807,0.0594607697810764,0.402125816581137,"NS"
"N6-Acetyl-Lysine",-0.380146238219768,0.0608622857528208,0.402125816581137,"NS"
"2-Hydroxyphenylacetate",0.372450970239611,0.0667250591454645,0.425659860065894,"NS"
"S-Methylcysteine",0.368218572850524,0.0701292925583213,0.432463970776315,"NS"
"cGMP",0.362062358466398,0.075316193051773,0.447091804597021,"NS"
"Tyrosine",0.359753778072351,0.0773347986329983,0.447091804597021,"NS"
"Reduced Glutathione",0.354751853885249,0.0818492104970419,0.451175503098528,"NS"
"Valine",-0.353597563688225,0.0829187411099997,0.451175503098528,"NS"
"Linoleic Acid",-0.346671822506084,0.0895590797055394,0.458618755021759,"NS"
"D-Leucic Acid",0.343978478713029,0.0922465101186752,0.458618755021759,"NS"
"Methionine",-0.342439425116997,0.0938090589840461,0.458618755021759,"NS"
"7-Methylguanine",-0.342054661717989,0.0942027713017668,0.458618755021759,"NS"
"Trigonelline",0.339361317924934,0.0969934345544874,0.46009706134821,"NS"
"Creatine",0.332820340141801,0.104026949173431,0.481124639927119,"NS"
"Glutaric Acid",0.327818415954699,0.10965534273142,0.489834817144635,"NS"
"Ergocalciferol",0.32397078196462,0.114135291290452,0.489834817144635,"NS"
"PEP",-0.323201255166604,0.115047173552684,0.489834817144635,"NS"
"Glucoronate",0.321277438171565,0.117350248237469,0.489834817144635,"NS"
"Betaine",0.314736460388431,0.125433264262644,0.489834817144635,"NS"
"N-Ac-Phenylalanine",0.313966933590416,0.1264101535442,0.489834817144635,"NS"
"DCDP",-0.3131974067924,0.127392556805516,0.489834817144635,"NS"
"2-Aminoadipate",0.312812643393392,0.12788583072101,0.489834817144635,"NS"
"Leucine /D-Norleucine",-0.309734536201329,0.131881994583368,0.489834817144635,"NS"
"Argininosuccinate",0.309349772802321,0.132387788417469,0.489834817144635,"NS"
"Pyroglutamic Acid",-0.306271665610258,0.136484685421245,0.495091505939809,"NS"
"L-2-Aminobutyric Acid",-0.297422107433078,0.148770310289783,0.513921831151361,"NS"
"Ethanolamine",-0.293574473442999,0.15435028290708,0.513921831151361,"NS"
"Threonine",-0.293574473442999,0.15435028290708,0.513921831151361,"NS"
"Acetylcholine",0.292420183245975,0.15605281959278,0.513921831151361,"NS"
"DHAP/D-GA3P",-0.29165065644796,0.157195201410945,0.513921831151361,"NS"
"Sorbitol",0.290881129649944,0.158343483111501,0.513921831151361,"NS"
"Linolenic Acid",-0.285109678664826,0.167144836450277,0.525277255595136,"NS"
"G6P",0.282031571472763,0.171976529288409,0.525277255595136,"NS"
"6-Methyladenosine",-0.282031571472763,0.17197652928841,0.525277255595136,"NS"
"1-Methylnicotinamide",0.281262044674747,0.173199527520558,0.525277255595136,"NS"
"GMP",0.270103906103519,0.191618088103263,0.556551812934764,"NS"
"3-Hydroxyisovaleric Acid",0.265871508714433,0.198943391886277,0.556551812934764,"NS"
"Margaric Acid",0.263178164921378,0.203703089645002,0.556551812934764,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.262408638123362,0.20507708306918,0.556551812934764,"NS"
"IMP",0.261254347926338,0.20714983478373,0.556551812934764,"NS"
"Citraconic Acid",0.260484821128323,0.20853952103158,0.556551812934764,"NS"
"Hydrocinnamic Acid",0.259330530931299,0.210635846020735,0.556551812934764,"NS"
"Erythrose-4-Phosphate",0.25740671393626,0.214161234033768,0.556551812934764,"NS"
"Maleic Acid",0.255482896941221,0.217726104233509,0.556551812934764,"NS"
"Cystine",-0.254328606744197,0.219884019659006,0.556551812934764,"NS"
"5'-Methylthioadenosine",-0.252789553148165,0.222783442107877,0.556551812934764,"NS"
"G1P/F1P/F6P",0.249711445956103,0.228658581671621,0.556551812934764,"NS"
"Arginine",0.249326682557095,0.229400140187038,0.556551812934764,"NS"
"5-Methylcytidine",-0.248172392360071,0.231634386188431,0.556551812934764,"NS"
"gamma-Aminobutyrate",-0.246248575365032,0.235390067993769,0.556551812934764,"NS"
"Cadaverine",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"Glutamine",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"Lactate",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"Urate",0.239707597581898,0.248458878459535,0.56963421710342,"NS"
"Adenylosuccinate",-0.238938070783882,0.250026890467524,0.56963421710342,"NS"
"Cholecalciferol",0.236244726990827,0.25556562172748,0.56963421710342,"NS"
"Retinol",0.236244726990827,0.25556562172748,0.56963421710342,"NS"
"Oxalacetate",0.233166619798765,0.261992267524122,0.57700677966622,"NS"
"Adenine",-0.228164695611662,0.272655828724068,0.593427391928854,"NS"
"N6-Trimethyllysine",-0.225856115217615,0.277669545822258,0.59582380638633,"NS"
"Palmitic Acid",0.224701825020592,0.28019822246276,0.59582380638633,"NS"
"Pyridoxamine",0.219699900833489,0.291323921194461,0.612442334329265,"NS"
"Serine",-0.21777608383845,0.295675758396195,0.614606913520181,"NS"
"L-Kynurenine",-0.214313213247379,0.303610809427464,0.624088886045344,"NS"
"2'-Deoxycytidine",0.208541762262261,0.317126197644223,0.635499519542022,"NS"
"Glutamic acid",-0.207772235464246,0.318955621680553,0.635499519542022,"NS"
"SAH",-0.206233181868214,0.32263375896455,0.635499519542022,"NS"
"Histamine",-0.205463655070198,0.324482465072638,0.635499519542022,"NS"
"FAD",0.204694128272183,0.326337591116173,0.635499519542022,"NS"
"2-Hydroxyglutarate",-0.202770311277143,0.331003466816377,0.637871264177392,"NS"
"Hypotaurine",0.198153150489049,0.342364757900179,0.65296371352096,"NS"
"Pantothenate",-0.19430551649897,0.352007854772888,0.664504623805962,"NS"
"N2,N2-Dimethylguanosine",-0.189688355710876,0.363788880804427,0.679807504533524,"NS"
