"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"1-Methyladenosine",-0.087192118226601,0.651771306875128,0.850942725108767,"NS",-0.256637187138244,0.215582438526754,0.466036540642391,"NS",0.213300492610837,0.265370852928148,0.500631896688724,"NS",0.0219315137434481,0.91712515200461,0.960091818286567,"NS"
"1-Methylnicotinamide",-0.268472906403941,0.158695348062824,0.387274825281324,"NS",-0.35821472447632,0.0787031993168212,0.279559071055485,"NS",0.520689655172414,0.00425959928468235,0.0661098244088482,"NS",0.281262044674747,0.173199527520558,0.525277255595136,"NS"
"1/3-Methylhistidine",0.451231527093596,0.014814173092923,0.158750095252502,"NS",0.477106614769749,0.0158829290235476,0.169311920006221,"NS",-0.29064039408867,0.126087626238917,0.330855866290835,"NS",-0.05579069285614,0.791103299212373,0.914713189714306,"NS"
"2'-Deoxycytidine",0.382758620689655,0.0412565391272796,0.206282695636398,"NS",0.360908068269375,0.0763204197972835,0.279559071055485,"NS",0.0886699507389162,0.646237280048976,0.829214104552346,"NS",0.208541762262261,0.317126197644223,0.635499519542022,"NS"
"2-Aminoadipate",0.0788177339901478,0.683471706090844,0.850942725108767,"NS",0.0346287059107076,0.8694728674991,0.913934548223486,"NS",0.149261083743842,0.437991502781958,0.648227424117298,"NS",0.312812643393392,0.12788583072101,0.489834817144635,"NS"
"2-Aminoisobutyric Acid",0.297536945812808,0.117041315633161,0.355098513614841,"NS",0.128895738667634,0.53917964285541,0.7024523516074,"NS",0.264532019704433,0.165079037481581,0.381745274176157,"NS",0.135821479849775,0.517405379676905,0.76575996192182,"NS"
"2-Hydroxyglutarate",-0.0812807881773399,0.67408935087293,0.850942725108767,"NS",0.103886117732123,0.621180199851005,0.751100241649908,"NS",-0.434975369458128,0.019212945672923,0.111074842171586,"NS",-0.202770311277143,0.331003466816377,0.637871264177392,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.135467980295566,0.481879141767289,0.718932590539908,"NS",0.282416334871771,0.171367296097405,0.422705997040266,"NS",0.0123152709359606,0.950116836825366,0.990832247717225,"NS",0.407849202948334,0.0429891302513063,0.345782134630072,"NS"
"2-Hydroxyphenylacetate",-0.406403940886699,0.0295656027747971,0.184946679755869,"NS",-0.460177025213403,0.0206310501542407,0.1755114110591,"NS",0.311822660098522,0.0998645406133802,0.30968422465951,"NS",0.372450970239611,0.0667250591454645,0.425659860065894,"NS"
"2-isoPropylmalic Acid",-0.154679802955665,0.421373595657028,0.672018234453019,"NS",-0.471335163784631,0.0173887917844227,0.169311920006221,"NS",0.341871921182266,0.0700680108387655,0.249280423176377,"NS",-0.1223547608845,0.560129261377743,0.797107025806788,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.324630541871921,0.0861633589080621,0.300758894301726,"NS",-0.419007341519562,0.0370859030639301,0.214438110414661,"NS",0.373891625615764,0.0465044610996076,0.187028810944075,"NS",0.116583309899382,0.578914041557891,0.812288398187841,"NS"
"3-Aminoisobutyrate",0.338916256157635,0.0726453579328497,0.274273290154637,"NS",0.163524444578341,0.434777632155723,0.628389546475069,"NS",0.240394088669951,0.208245769347939,0.43287041943111,"NS",0.144286274627948,0.491382905558483,0.745129815805896,"NS"
"3-Hydroxyisovaleric Acid",-0.152709359605911,0.427375033356427,0.672401020246465,"NS",-0.347056585905092,0.0891800132572393,0.305524119492394,"NS",0.477339901477832,0.0095258664334794,0.0734285537580704,"NS",0.265871508714433,0.198943391886277,0.556551812934764,"NS"
"3-Hydroxypropionic Acid",-0.126600985221675,0.51125654676507,0.743721836049742,"NS",-0.328972706151722,0.108336992385223,0.329839452723145,"NS",-0.407389162561576,0.0291448238543379,0.138251087514167,"NS",-0.49672954811915,0.0115401993819883,0.194085171424349,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.291625615763547,0.12476434262143,0.355098513614841,"NS",0.0561754562551479,0.789694126183869,0.875814915489742,"NS",-0.0226600985221675,0.907501517694866,0.974351803463053,"NS",-0.262408638123362,0.20507708306918,0.556551812934764,"NS"
"3HBA",0.00492610837438424,0.980647268115816,0.996811783524319,"NS",-0.0161600627583302,0.938887355679382,0.959636247517601,"NS",0.222660098522167,0.24457512809996,0.48134466700524,"NS",0.158907283790247,0.44803230573555,0.731536698794206,"NS"
"4-Guanidinobutanoate",-0.106403940886699,0.581357851951895,0.800425269268565,"NS",-0.318199330979502,0.121105104602793,0.350069442992447,"NS",-0.469950738916256,0.0108275519842633,0.0770421968111043,"NS",-0.510581030483433,0.00910857407942939,0.194085171424349,"NS"
"4-Hydroxybenzoic Acid",0.270443349753695,0.155571434277817,0.387274825281324,"NS",0.0742593360085174,0.724256886301494,0.842688829973437,"NS",-0.120689655172414,0.531327342021308,0.717485826817095,"NS",-0.158137756992231,0.450262033129859,0.731536698794206,"NS"
"4-Pyridoxic Acid",0.595073891625616,0.000833287219239236,0.0770790677796294,"NS",0.312427879994384,0.128380488572464,0.359854399786452,"NS",0.520197044334975,0.00430107432774621,0.0661098244088482,"NS",0.0215467503444403,0.918574334252553,0.960091818286567,"NS"
"5'-Methylthioadenosine",0.26551724137931,0.163466046012165,0.387274825281324,"NS",0.412851127135436,0.0402574715135542,0.219048006764927,"NS",-0.196551724137931,0.305417814999768,0.523003107202854,"NS",-0.252789553148165,0.222783442107877,0.556551812934764,"NS"
