"KEGG.id","Entry.type","KEGG.name","p.score"
"dme00310","pathway","Lysine degradation - Drosophila melanogaster ...",0.000790911572052436
"dme00350","pathway","Tyrosine metabolism - Drosophila melanogaster...",0.00689035662299857
"dme03015","pathway","mRNA surveillance pathway - Drosophila melano...",0.0170894286754003
"dme03022","pathway","Basal transcription factors - Drosophila mela...",0.0337879093886462
"dme03040","pathway","Spliceosome - Drosophila melanogaster (fruit ...",0.0317880913391557
"dme03083","pathway","Polycomb repressive complex - Drosophila mela...",0.00629041120815137
"dme03250","pathway","Viral life cycle - HIV-1 - Drosophila melanog...",0.0345878366084425
"dme04013","pathway","MAPK signaling pathway - fly - Drosophila mel...",0.0282884097525473
"dme04068","pathway","FoxO signaling pathway - Drosophila melanogas...",0.010390038209607
"dme04120","pathway","Ubiquitin mediated proteolysis - Drosophila m...",0.0324880276564774
"dme04310","pathway","Wnt signaling pathway - Drosophila melanogast...",0.0297882732896652
"dme04350","pathway","TGF-beta signaling pathway - Drosophila melan...",0.0290883369723435
"dme04391","pathway","Hippo signaling pathway - fly - Drosophila me...",0.0314881186317321
"dme04745","pathway","Phototransduction - fly - Drosophila melanoga...",0.0182893195050946
"M00042","module","Catecholamine biosynthesis, tyrosine => dopam...",0.00889017467248911
"1.14.11.27","enzyme","[histone H3]-dimethyl-L-lysine36 demethylase",0.00209079330422125
"1.14.11.4","enzyme","procollagen-lysine 5-dioxygenase",0.000590929767103293
"1.14.16.2","enzyme","tyrosine 3-monooxygenase",0.0190892467248908
"1.14.17.1","enzyme","dopamine beta-monooxygenase",0.00569046579330427
"1.14.18.1","enzyme","tyrosinase",0.00799025655021836
"1.16.1.8","enzyme","[methionine synthase] reductase",0.0307881823144104
"2.1.1.114","enzyme","polyprenyldihydroxybenzoate methyltransferase",0.0275884734352256
"2.1.1.201","enzyme","2-methoxy-6-polyprenyl-1,4-benzoquinol methyl...",0.0321880549490539
"2.1.1.319","enzyme","type I protein arginine methyltransferase",0.0161895105531296
"2.1.1.325","enzyme","juvenile hormone-III synthase",0.0247887281659389
"2.1.1.354","enzyme","[histone H3]-lysine4 N-trimethyltransferase",0.000190966157205229
"2.1.1.355","enzyme","[histone H3]-lysine9 N-trimethyltransferase",0.000190966157205229
"2.1.1.356","enzyme","[histone H3]-lysine27 N-trimethyltransferase",0.000190966157205229
"2.1.1.357","enzyme","[histone H3]-lysine36 N-dimethyltransferase",0.000190966157205229
"2.1.1.359","enzyme","[histone H3]-lysine36 N-trimethyltransferase",0.000190966157205229
"2.1.1.360","enzyme","[histone H3]-lysine79 N-trimethyltransferase",0.000190966157205229
"2.1.1.361","enzyme","[histone H4]-lysine20 N-methyltransferase",0.000190966157205229
"2.1.1.362","enzyme","[histone H4]-N-methyl-L-lysine20 N-methyltran...",0.000190966157205229
"2.1.1.366","enzyme","[histone H3]-N6,N6-dimethyl-lysine9 N-methylt...",0.000190966157205229
"2.1.1.367","enzyme","[histone H3]-lysine9 N-methyltransferase",0.000190966157205229
"2.1.1.56","enzyme","mRNA (guanine-N7)-methyltransferase",0.0206891011644832
"2.1.1.60","enzyme","calmodulin-lysine N-methyltransferase",0.000190966157205229
"2.1.1.64","enzyme","3-demethylubiquinol 3-O-methyltransferase",0.0318880822416303
"2.3.2.23","enzyme","E2 ubiquitin-conjugating enzyme",0.0216890101892285
"2.3.2.24","enzyme","(E3-independent) E2 ubiquitin-conjugating enz...",0.0324880276564774
"2.3.2.25","enzyme","N-terminal E2 ubiquitin-conjugating enzyme",0.0324880276564774
"2.3.2.27","enzyme","RING-type E3 ubiquitin transferase",0.0275884734352256
"2.3.2.34","enzyme","E2 NEDD8-conjugating enzyme",0.0324880276564774
"2.4.1.50","enzyme","procollagen galactosyltransferase",0.0184893013100436
"2.7.1.81","enzyme","hydroxylysine kinase",0.00069092066957792
"3.1.1.116","enzyme","sn-1-specific diacylglycerol lipase",0.0182893195050946
"3.1.3.16","enzyme","protein-serine/threonine phosphatase",0.0284883915574963
"3.4.19.12","enzyme","ubiquitinyl hydrolase 1",0.0099900745997089
"3.4.21.75","enzyme","furin",0.0345878366084425
"3.4.22.61","enzyme","caspase-8",0.0321880549490539
"3.5.1.52","enzyme","peptide-N4-(N-acetyl-beta-glucosaminyl)aspara...",0.0229888919213974
"3.6.1.74","enzyme","mRNA 5'-phosphatase",0.0170894286754003
"4.1.1.107","enzyme","3,4-dihydroxyphenylacetaldehyde synthase",0.00339067503639007
"4.1.1.25","enzyme","tyrosine decarboxylase",0.00569046579330427
"4.1.1.90","enzyme","peptidyl-glutamate 4-carboxylase",0.0331879639737991
"5.2.1.8","enzyme","peptidylprolyl isomerase",0.0322880458515284
"5.3.3.12","enzyme","L-dopachrome isomerase",0.00609042940320233
"6.2.1.45","enzyme","E1 ubiquitin-activating enzyme",0.0324880276564774
"6.2.1.64","enzyme","E1 NEDD8-activating enzyme",0.0324880276564774
