"KEGG.id","Entry.type","KEGG.name","p.score"
"dme00310","pathway","Lysine degradation - Drosophila melanogaster ...",0.00929013828238718
"dme00350","pathway","Tyrosine metabolism - Drosophila melanogaster...",0.00219078420669577
"dme00860","pathway","Porphyrin metabolism - Drosophila melanogaste...",0.0052905021834061
"M00042","module","Catecholamine biosynthesis, tyrosine => dopam...",0.00749030203784567
"M00121","module","Heme biosynthesis, plants and bacteria, gluta...",0.0129898016739447
"M00846","module","Siroheme biosynthesis, glutamyl-tRNA => siroh...",0.00299071142649201
"M00868","module","Heme biosynthesis, animals and fungi, glycine...",0.00849021106259094
"M00926","module","Heme biosynthesis, bacteria, glutamyl-tRNA =>...",0.00739031113537115
"1.14.11.27","enzyme","[histone H3]-dimethyl-L-lysine36 demethylase",0.00449057496360986
"1.14.11.4","enzyme","procollagen-lysine 5-dioxygenase",0.0116899199417759
"1.14.14.18","enzyme","heme oxygenase (biliverdin-producing)",0.0052905021834061
"1.14.17.1","enzyme","dopamine beta-monooxygenase",0.00279072962154298
"1.14.18.1","enzyme","tyrosinase",0.0052905021834061
"1.16.1.8","enzyme","[methionine synthase] reductase",0.00159083879184856
"1.16.3.1","enzyme","ferroxidase",0.00489053857350803
"1.3.3.15","enzyme","coproporphyrinogen III oxidase (coproporphyri...",0.00429059315866083
"1.3.3.3","enzyme","coproporphyrinogen oxidase",0.00599043850072782
"1.3.3.4","enzyme","protoporphyrinogen oxidase",0.00619042030567685
"1.4.3.4","enzyme","monoamine oxidase",0.00199080240174674
"2.1.1.100","enzyme","protein-S-isoprenylcysteine O-methyltransfera...",0.0023907660116448
"2.1.1.114","enzyme","polyprenyldihydroxybenzoate methyltransferase",0.00249075691411932
"2.1.1.201","enzyme","2-methoxy-6-polyprenyl-1,4-benzoquinol methyl...",0.00389062954876276
"2.1.1.319","enzyme","type I protein arginine methyltransferase",0.000890902474526952
"2.1.1.325","enzyme","juvenile hormone-III synthase",0.00129086608442502
"2.1.1.354","enzyme","[histone H3]-lysine4 N-trimethyltransferase",9.09752547307133e-05
"2.1.1.355","enzyme","[histone H3]-lysine9 N-trimethyltransferase",9.09752547307133e-05
"2.1.1.356","enzyme","[histone H3]-lysine27 N-trimethyltransferase",9.09752547307133e-05
"2.1.1.357","enzyme","[histone H3]-lysine36 N-dimethyltransferase",0.000190966157205229
"2.1.1.359","enzyme","[histone H3]-lysine36 N-trimethyltransferase",9.09752547307133e-05
"2.1.1.360","enzyme","[histone H3]-lysine79 N-trimethyltransferase",9.09752547307133e-05
"2.1.1.361","enzyme","[histone H4]-lysine20 N-methyltransferase",0.00069092066957792
"2.1.1.362","enzyme","[histone H4]-N-methyl-L-lysine20 N-methyltran...",0.000490938864628777
"2.1.1.366","enzyme","[histone H3]-N6,N6-dimethyl-lysine9 N-methylt...",0.000490938864628777
"2.1.1.367","enzyme","[histone H3]-lysine9 N-methyltransferase",0.00069092066957792
"2.1.1.56","enzyme","mRNA (guanine-N7)-methyltransferase",0.0011908751819505
"2.1.1.60","enzyme","calmodulin-lysine N-methyltransferase",9.09752547307133e-05
"2.1.1.64","enzyme","3-demethylubiquinol 3-O-methyltransferase",0.00519051128093158
"2.5.1.61","enzyme","hydroxymethylbilane synthase",0.00629041120815137
"3.1.1.59","enzyme","juvenile-hormone esterase",0.00629041120815137
"3.1.2.22","enzyme","palmitoyl[protein] hydrolase",0.0109899836244542
"4.1.1.107","enzyme","3,4-dihydroxyphenylacetaldehyde synthase",0.00129086608442502
"4.1.1.25","enzyme","tyrosine decarboxylase",0.00249075691411932
"4.1.1.37","enzyme","uroporphyrinogen decarboxylase",0.00499052947598255
"4.1.1.90","enzyme","peptidyl-glutamate 4-carboxylase",0.00619042030567685
"4.2.1.24","enzyme","porphobilinogen synthase",0.00869019286754008
"4.2.1.75","enzyme","uroporphyrinogen-III synthase",0.00479054767103352
"4.4.1.17","enzyme","holocytochrome-c synthase",0.00799025655021836
"4.98.1.1","enzyme","protoporphyrin ferrochelatase",0.00979009279475987
"4.99.1.9","enzyme","coproporphyrin ferrochelatase",0.00789026564774384
"5.3.3.12","enzyme","L-dopachrome isomerase",0.00189081149927222
"R00009","reaction","hydrogen-peroxide:hydrogen-peroxide oxidoredu...",0.00509052037845706
"R00031","reaction","1,2-benzenediol:oxygen oxidoreductase",0.0107900018195051
"R00045","reaction","3,4-dihydroxy-L-phenylalanine:oxygen oxidored...",0.00449057496360986
"R00069","reaction","4-imidazolone-5-propanoate:oxygen oxidoreduct...",0.00459056586608437
"R00078","reaction","Fe(II):oxygen oxidoreductase",0.010590020014556
