"","rowname","colname","pvalue","R_squared"
"1","Erythrose-4-Phosphate","G6P",2.38715251859004e-201,0.991164005308446
"2","G1P/F1P/F6P","G6P",2.62411686782286e-255,0.989010659702898
"3","Erythrose-4-Phosphate","G1P/F1P/F6P",7.86878539020386e-220,0.988171582687615
"4","Deoxyguanosine","Guanine",2.19305429740381e-135,0.978329551778758
"5","Cadaverine","Oxalacetate",5.12570282174533e-242,0.978085534483497
"6","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",1.28175523890175e-232,0.977122308317993
"7","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",3.31673944923989e-203,0.967806841046278
"8","Glycerol-3-P","Homocitrulline",1.35095487281578e-137,0.967224624341795
"9","Lactose/Trehalose","UMP",2.63799073523229e-118,0.966924953979194
"10","1-Methylnicotinamide","Cadaverine",5.78524517379149e-206,0.966000256860311
"11","Guanosine","Xanthosine",5.68473168542282e-101,0.960058221670448
"12","1-Methylnicotinamide","Oxalacetate",3.77119686227105e-216,0.959604435121366
"13","2-Aminoisobutyric Acid","3-Aminoisobutyrate",1.05813131258478e-103,0.958611241919603
"14","Azelaic Acid","Suberic Acid",3.46745215177726e-191,0.954206087589366
"15","S-Methylcysteine","Tyrosine",2.54715858462637e-193,0.952048460978638
"16","Glucose","Glyceraldehyde",5.6861439980836e-147,0.931024444539578
"17","4-Guanidinobutanoate","Deoxycarnitine",3.75243129662359e-174,0.928712701742369
"18","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.20435709300842e-170,0.926961770623743
"19","Pyridoxamine","Urate",1.7852802296566e-168,0.916785821310844
"20","Glucosamine","Glyceraldehyde",5.19938766494204e-186,0.899178047005437
"21","ADP","NAD",6.68732695623295e-105,0.897204503617449
"22","Glutaric Acid","Suberic Acid",1.00147484398798e-105,0.888437005008776
"23","Azelaic Acid","Glutaric Acid",5.43294926187809e-123,0.863859754270303
"24","Cadaverine","Urate",8.29052094684445e-142,0.863324628622801
"25","cAMP","cGMP",1.97051168070737e-121,0.861496639410934
"26","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",4.83248363820271e-98,0.853221456397962
"27","1-Methylnicotinamide","Palmitic Acid",3.7218816489457e-139,0.850250438803031
"28","Cadaverine","Palmitic Acid",2.55420532569097e-125,0.848011473093882
"29","Oxalacetate","Urate",7.14000067112017e-136,0.846076458752515
"30","GMP","IMP",6.06952050547291e-89,0.845271629778672
"31","Glucosamine","Glucose",4.87657628143259e-127,0.844449676784109
"32","1-Methylnicotinamide","Urate",6.8944774140093e-127,0.837544415428743
"33","2-Aminoisobutyric Acid","Alanine",2.67838640856186e-103,0.825707436105998
"34","Oxalacetate","Palmitic Acid",1.57237795139877e-125,0.824478787619333
"35","Linoleic Acid","Linolenic Acid",4.45292523128551e-70,0.821747506314483
"36","2-Hydroxyphenylacetate","Cholecalciferol",2.07560620366789e-134,0.820501733807098
"37","Betaine","Urate",5.67174528915702e-93,0.814966394109337
"38","Leucine /D-Norleucine","Valine",1.08817706370037e-32,0.814058821011173
"39","Hypoxanthine","Xanthine",1.18707424020951e-62,0.809050044950554
"40","Ergocalciferol","Retinol",6.84103507382199e-127,0.808086818785051
"41","Biopterin","Urate",3.55978275677699e-121,0.805030181086519
"42","Arginine","Cadaverine",1.39168677179321e-122,0.802423048931889
