"","rowname","colname","p_F_all","R_F_all"
"1","Azelaic Acid","Suberic Acid",4.27268924838336e-200,0.949128561322272
"2","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",1.37130222966559e-195,0.975561129333076
"3","G1P/F1P/F6P","G6P",8.72776528632676e-184,0.976139944690977
"4","Erythrose-4-Phosphate","G1P/F1P/F6P",3.46129738855486e-162,0.977522670268185
"5","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.45520352304844e-161,0.919769760113191
"6","Glycerol-3-P","Homocitrulline",3.43708035366635e-160,0.979998713743649
"7","S-Methylcysteine","Tyrosine",4.76532607204361e-156,0.95321242523635
"8","Cadaverine","Oxalacetate",5.87268008384848e-153,0.948163869059104
"9","Deoxyguanosine","Guanine",5.70216619287967e-151,0.957875104508329
"10","Guanosine","Xanthosine",5.01662875267053e-149,0.966460865650524
"11","Erythrose-4-Phosphate","G6P",4.33786011272827e-140,0.980609685510322
"12","2-Aminoisobutyric Acid","3-Aminoisobutyrate",1.92587494060283e-139,0.963920509357515
"13","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",3.05797953099242e-136,0.939353013055502
"14","1-Methylnicotinamide","Oxalacetate",1.17683043153664e-123,0.875458228825005
"15","1-Methylnicotinamide","Cadaverine",3.38122377339219e-122,0.899929255900701
"16","2-Hydroxyphenylacetate","Cholecalciferol",9.0072402072765e-119,0.803845906489163
"17","Cholecalciferol","Glutaric Acid",1.57417233726939e-118,0.780018007588913
"18","GMP","IMP",4.89658031215686e-111,0.879542092739083
"19","Glucosamine","Glyceraldehyde",1.71468136476549e-110,0.809569747250627
"20","2-Hydroxyphenylacetate","Glutaric Acid",2.92649447504305e-110,0.718985143739147
"21","Adipic Acid / 3-Methylglutaric Acid","N-AcetylGlycine",4.75062816098484e-110,0.818316290436684
"22","Betaine","Maleic Acid",1.06127751761832e-108,0.707987651939031
"23","Adipic Acid / 3-Methylglutaric Acid","Creatine",8.79197558585836e-106,0.720110618046177
"24","4-Guanidinobutanoate","Deoxycarnitine",8.29388458320142e-105,0.934400926104573
