"","rowname","colname","p_F_all","R_F_all"
"1","Erythrose-4-Phosphate","G6P",4.33786011272827e-140,0.980609685510322
"2","Glycerol-3-P","Homocitrulline",3.43708035366635e-160,0.979998713743649
"3","Erythrose-4-Phosphate","G1P/F1P/F6P",3.46129738855486e-162,0.977522670268185
"4","G1P/F1P/F6P","G6P",8.72776528632676e-184,0.976139944690977
"5","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",1.37130222966559e-195,0.975561129333076
"6","Lactose/Trehalose","UMP",5.36849699425259e-100,0.971091388513731
"7","Guanosine","Xanthosine",5.01662875267053e-149,0.966460865650524
"8","2-Aminoisobutyric Acid","3-Aminoisobutyrate",1.92587494060283e-139,0.963920509357515
"9","Deoxyguanosine","Guanine",5.70216619287967e-151,0.957875104508329
"10","S-Methylcysteine","Tyrosine",4.76532607204361e-156,0.95321242523635
"11","Azelaic Acid","Suberic Acid",4.27268924838336e-200,0.949128561322272
"12","Cadaverine","Oxalacetate",5.87268008384848e-153,0.948163869059104
"13","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",3.05797953099242e-136,0.939353013055502
"14","4-Guanidinobutanoate","Deoxycarnitine",8.29388458320142e-105,0.934400926104573
"15","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.45520352304844e-161,0.919769760113191
"16","1-Methylnicotinamide","Cadaverine",3.38122377339219e-122,0.899929255900701
"17","GMP","IMP",4.89658031215686e-111,0.879542092739083
"18","1-Methylnicotinamide","Oxalacetate",1.17683043153664e-123,0.875458228825005
"19","cAMP","cGMP",4.28490715356578e-93,0.872467682809184
"20","Cysteinyl-Glycine (Cys-Gly)","Oxidized Glutathione",1.30603540117412e-53,0.862402726863464
"21","Glutaric Acid","Suberic Acid",3.3856076606591e-89,0.859733744935366
"22","Threonine","Valine",8.13228549148575e-80,0.853527558042318
"23","Leucine /D-Norleucine","Valine",1.02259194646984e-66,0.849508006945784
"24","Pyridoxamine","Urate",1.58738143025509e-100,0.847417840375587
"25","ADP","NAD",3.78640217744245e-80,0.846871181426458
"26","Hypoxanthine","Xanthine",2.17610906835872e-73,0.837288571612322
"27","Glucose","Glyceraldehyde",2.30639684173831e-57,0.834426651231591
"28","Azelaic Acid","Glutaric Acid",4.31538885014042e-95,0.825551482410445
"29","Adipic Acid / 3-Methylglutaric Acid","N-AcetylGlycine",4.75062816098484e-110,0.818316290436684
"30","N-AcetylGlycine","Suberic Acid",2.66417552800533e-104,0.811145411280468
"31","Glucosamine","Glyceraldehyde",1.71468136476549e-110,0.809569747250627
"32","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",2.44395569929235e-79,0.809151713936588
"33","2-Hydroxyphenylacetate","Cholecalciferol",9.0072402072765e-119,0.803845906489163
