"","rowname","colname","p_M_all","R_M_all"
"1","1-Methylnicotinamide","Cadaverine",8.64910306264756e-221,0.980124223602485
"2","G1P/F1P/F6P","G6P",1.41916659832357e-219,0.988198757763975
"3","Cadaverine","Oxalacetate",1.88714339253349e-218,0.978918523931312
"4","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",4.3244704694326e-212,0.96678845451224
"5","Erythrose-4-Phosphate","G1P/F1P/F6P",5.02744505699829e-205,0.985677749360614
"6","1-Methylnicotinamide","Oxalacetate",1.22039747845443e-202,0.968396054073803
"7","Erythrose-4-Phosphate","G6P",1.87974120014506e-178,0.989185239313117
"8","Azelaic Acid","Suberic Acid",1.4894065049896e-174,0.939459261965656
"9","Glucose","Glyceraldehyde",2.59069890416178e-163,0.951370113262696
"10","S-Methylcysteine","Tyrosine",1.85220609780274e-154,0.927621483375959
"11","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",2.09468247092788e-154,0.956156375593716
"12","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.03290343335622e-154,0.90248447204969
"13","Pyridoxamine","Urate",4.33300568095645e-153,0.907745706978444
"14","Lactose/Trehalose","UMP",1.18962381590203e-147,0.955169894044574
"15","Glycerol-3-P","Homocitrulline",1.37014771629254e-138,0.95085860431129
"16","3-Hydroxyisovaleric Acid","Phenylacetic Acid",5.02854462991205e-136,0.812056996711728
"17","Deoxyguanosine","Guanine",3.04131185189177e-132,0.969565217391305
"18","Azelaic Acid","Glutaric Acid",2.92592345216003e-131,0.870880526123493
"19","Ergocalciferol","Retinol",9.08150668037885e-131,0.800876872488126
"20","Betaine","SAH",7.06172832377589e-129,-0.776982097186701
"21","Betaine","Citraconic Acid",1.62597641185095e-128,0.790756302521008
"22","1-Methylnicotinamide","Palmitic Acid",2.86226870126463e-127,0.850895140664962
"23","Betaine","Retinol",2.75663801753515e-124,0.786335403726708
"24","2-Hydroxyphenylacetate","Retinol",9.37152347141334e-124,0.836353671903544
"25","Cadaverine","Palmitic Acid",2.19422637679633e-123,0.843441724515893
"26","Oxalacetate","Palmitic Acid",6.51089817173128e-123,0.836097917427841
"27","Glutaric Acid","UDP-GlcNAc",1.80728007464926e-121,-0.811253196930946
"28","Glutaric Acid","Suberic Acid",2.44989781739696e-121,0.907526488856412
"29","Betaine","Hydrocinnamic Acid",4.37793985746587e-121,0.777055169894045
"30","3-Hydroxyisovaleric Acid","Hydrocinnamic Acid",5.12986152760825e-121,0.787175739861162
"31","Hydrocinnamic Acid","SAH",8.26327771081294e-121,-0.75316039459262
"32","2-Hydroxyphenylacetate","Glutaric Acid",1.51952548575489e-120,0.794081110705152
"33","Hydrocinnamic Acid","S-Adenosylmethionine (SAM)",5.39890807445664e-119,-0.780708805261235
"34","Glucosamine","Glyceraldehyde",2.14330832409222e-118,0.816550968213372
"35","Betaine","S-Adenosylmethionine (SAM)",5.5811492749041e-118,-0.815381804895872
"36","Betaine","Maleic Acid",6.99784800682043e-118,0.76507124588966
"37","Betaine","Cadaverine",7.45880741360995e-118,0.856375593715747
"38","Citraconic Acid","Urate",4.59472149431446e-117,0.769053708439898
"39","3-Hydroxyisovaleric Acid","Choline",1.18352490702121e-116,0.722141030325174
"40","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",2.07918249282241e-116,0.881987577639752
"41","S-Adenosylmethionine (SAM)","SAH",5.98914275166084e-116,0.783631713554987
"42","ADP","NAD",6.96556860675294e-116,0.921227621483376
"43","Maleic Acid","S-Adenosylmethionine (SAM)",3.49906829793727e-115,-0.726635001826818
"44","3-Hydroxyisovaleric Acid","PEP",9.825252176244e-115,-0.777383997077092
"45","Hydrocinnamic Acid","Maleic Acid",1.3625592241605e-114,0.703324808184143
"46","3-Hydroxyisovaleric Acid","Maleic Acid",3.43491367645828e-114,0.755717939349653
"47","Betaine","Urate",3.84821616693342e-114,0.854658385093168
"48","Cadaverine","SAH",6.55249129816494e-114,-0.818304713189624
