"","rowname","colname","p_M_all","R_M_all"
"1","Erythrose-4-Phosphate","G6P",1.87974120014506e-178,0.989185239313117
"2","G1P/F1P/F6P","G6P",1.41916659832357e-219,0.988198757763975
"3","Erythrose-4-Phosphate","G1P/F1P/F6P",5.02744505699829e-205,0.985677749360614
"4","1-Methylnicotinamide","Cadaverine",8.64910306264756e-221,0.980124223602485
"5","Cadaverine","Oxalacetate",1.88714339253349e-218,0.978918523931312
"6","Deoxyguanosine","Guanine",3.04131185189177e-132,0.969565217391305
"7","1-Methylnicotinamide","Oxalacetate",1.22039747845443e-202,0.968396054073803
"8","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",4.3244704694326e-212,0.96678845451224
"9","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",2.09468247092788e-154,0.956156375593716
"10","Lactose/Trehalose","UMP",1.18962381590203e-147,0.955169894044574
"11","2-Aminoisobutyric Acid","3-Aminoisobutyrate",5.34844923061676e-91,0.952429667519182
"12","Glucose","Glyceraldehyde",2.59069890416178e-163,0.951370113262696
"13","Glycerol-3-P","Homocitrulline",1.37014771629254e-138,0.95085860431129
"14","Azelaic Acid","Suberic Acid",1.4894065049896e-174,0.939459261965656
"15","Guanosine","Xanthosine",2.52020224640196e-53,0.934453781512605
"16","S-Methylcysteine","Tyrosine",1.85220609780274e-154,0.927621483375959
"17","ADP","NAD",6.96556860675294e-116,0.921227621483376
"18","Pyridoxamine","Urate",4.33300568095645e-153,0.907745706978444
"19","Glutaric Acid","Suberic Acid",2.44989781739696e-121,0.907526488856412
"20","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.03290343335622e-154,0.90248447204969
"21","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",2.07918249282241e-116,0.881987577639752
"22","Azelaic Acid","Glutaric Acid",2.92592345216003e-131,0.870880526123493
"23","Leucine /D-Norleucine","Valine",3.41588752709478e-80,0.865619291194739
"24","Betaine","Cadaverine",7.45880741360995e-118,0.856375593715747
"25","Betaine","Urate",3.84821616693342e-114,0.854658385093168
"26","1-Methylnicotinamide","Palmitic Acid",2.86226870126463e-127,0.850895140664962
"27","Cadaverine","Palmitic Acid",2.19422637679633e-123,0.843441724515893
"28","GMP","IMP",1.24982865456713e-87,0.836499817318232
"29","2-Hydroxyphenylacetate","Retinol",9.37152347141334e-124,0.836353671903544
"30","Oxalacetate","Palmitic Acid",6.51089817173128e-123,0.836097917427841
"31","cAMP","cGMP",1.66157708633171e-66,0.830069419071977
"32","1-Methylnicotinamide","Betaine",2.90418567911056e-105,0.829777128242602
"33","Leucine /D-Norleucine","Phenylalanine",2.97707975088676e-95,0.829265619291195
"34","Glucosamine","Glyceraldehyde",2.14330832409222e-118,0.816550968213372
"35","Alpha-Ketoglutaric Acid","Pyruvate",1.32600759981692e-90,0.815381804895872
"36","Betaine","Oxalacetate",3.00632312867123e-106,0.814870295944465
"37","3-Hydroxyisovaleric Acid","Phenylacetic Acid",5.02854462991205e-136,0.812056996711728
"38","Cadaverine","Urate",7.20993093984988e-104,0.810266715381805
"39","gamma-Aminobutyrate","Glutamic acid",1.58629606421705e-57,0.804822798684691
"40","Glutaric Acid","Retinol",1.06169927275381e-103,0.801571063207892
"41","Ergocalciferol","Retinol",9.08150668037885e-131,0.800876872488126
